Season,Squad,SCA SCA_for,SCA Types PassLive_for,SCA Types PassDead_for,SCA Types TO_for,SCA Types Sh_for,SCA Types Fld_for,SCA Types Def_for,GCA GCA_for,GCA Types PassLive_for,GCA Types PassDead_for,GCA Types TO_for,GCA Types Sh_for,GCA Types Fld_for,GCA Types Def_for,SCA SCA_against,SCA Types PassLive_against,SCA Types PassDead_against,SCA Types TO_against,SCA Types Sh_against,SCA Types Fld_against,SCA Types Def_against,GCA GCA_against,GCA Types PassLive_against,GCA Types PassDead_against,GCA Types TO_against,GCA Types Sh_against,GCA Types Fld_against,GCA Types Def_against
2021-2022,Getafe,700,464,85,32,40,61,18,53,38,7,3,2,1,2,715,505,85,30,32,52,11,70,56,5,2,4,2,1
2021-2022,Granada,702,488,67,43,49,40,15,68,45,8,3,6,2,4,983,696,102,61,57,47,20,100,62,9,11,7,7,4
2021-2022,Levante,720,486,80,48,65,28,13,79,55,3,5,9,6,1,905,658,77,59,47,43,21,132,93,8,12,6,7,6
2021-2022,Mallorca,761,495,90,47,55,55,19,59,32,6,4,7,8,2,813,581,83,46,51,41,11,101,73,6,4,8,7,3
2021-2022,Osasuna,721,502,85,28,49,44,13,62,42,7,0,7,4,2,763,561,63,56,50,24,9,88,58,8,9,9,4,0
2021-2022,Rayo Vallecano,862,603,98,37,54,52,18,63,36,5,7,8,5,2,728,509,77,48,35,40,19,88,55,10,7,7,6,3
2021-2022,Real Madrid,1195,922,68,83,56,49,17,139,102,2,13,11,8,3,749,534,71,41,41,44,18,56,36,4,5,3,5,3
2021-2022,Real Sociedad,773,530,70,56,57,46,14,69,38,3,6,12,10,0,748,535,82,35,44,39,13,67,47,7,1,3,7,2
2021-2022,Sevilla,784,578,78,35,35,43,15,95,63,9,8,7,5,3,699,501,64,40,39,41,14,50,27,6,5,7,4,1
2021-2022,Valencia,718,479,93,45,26,64,11,83,53,8,7,3,11,1,764,529,83,43,41,58,10,83,56,7,5,7,6,2
2021-2022,Villarreal,800,593,73,57,38,28,11,112,73,12,11,10,5,1,697,494,69,34,38,43,19,55,36,4,4,5,5,1
2020-2021,Alavés,595,375,97,25,35,50,13,59,28,9,4,5,9,4,706,515,63,42,32,42,12,102,76,4,9,5,5,3
2020-2021,Athletic Club,723,539,66,37,25,43,13,73,52,5,3,5,7,1,671,499,62,40,24,39,7,74,50,9,2,3,8,2
2020-2021,Atlético Madrid,796,585,71,55,42,35,8,120,90,7,12,3,7,1,634,454,70,27,34,42,7,38,30,4,0,1,1,2
2020-2021,Barcelona,1064,833,50,76,34,61,10,136,105,2,12,9,7,1,564,405,46,40,31,27,15,61,38,5,5,3,7,3
2020-2021,Betis,800,578,74,59,40,36,13,91,58,12,6,5,9,1,640,449,65,43,29,43,11,80,59,3,5,7,5,1
2020-2021,Cádiz,517,330,65,38,27,42,15,53,37,2,3,6,4,1,803,603,63,45,37,39,16,101,74,4,6,5,9,3
2020-2021,Celta Vigo,624,460,51,31,36,38,8,98,69,6,5,6,10,2,715,486,71,58,31,56,13,93,63,4,5,9,8,4
2020-2021,Eibar,758,503,88,49,52,51,15,48,30,3,6,4,2,3,598,425,57,38,39,30,9,91,72,1,10,5,3,0
2020-2021,Elche,460,318,60,22,25,30,5,54,35,8,3,4,3,1,849,624,71,56,30,56,12,98,70,7,9,7,5,0
2020-2021,Getafe,618,413,70,37,37,52,9,38,22,0,6,6,4,0,550,381,68,30,22,45,4,67,47,6,3,3,8,0
2020-2021,Granada,592,387,66,37,43,50,9,69,45,4,5,9,4,2,844,604,76,44,61,51,8,109,80,5,8,10,6,0
2020-2021,Huesca,719,517,71,44,34,43,10,56,41,6,2,4,1,2,757,528,80,54,38,49,8,87,56,7,8,10,6,0
2020-2021,Levante,671,519,48,36,25,29,14,80,60,4,5,4,3,4,805,574,79,46,44,40,22,94,69,7,6,4,4,4
2020-2021,Osasuna,615,441,70,31,35,30,8,61,45,4,0,6,3,3,787,623,51,36,34,42,1,84,63,5,4,6,6,0
2020-2021,Real Madrid,981,745,79,55,51,41,10,114,89,6,8,5,4,2,618,465,41,38,24,35,15,44,28,6,2,2,5,1
2020-2021,Real Sociedad,749,532,76,35,45,48,13,100,72,9,2,9,8,0,583,401,66,32,31,44,9,63,42,5,5,6,4,1
2020-2021,Sevilla,830,635,61,55,36,35,8,87,65,4,8,6,4,0,599,411,63,37,38,47,3,51,33,6,2,5,5,0
2020-2021,Valencia,687,482,58,47,34,59,7,86,58,10,5,5,8,0,959,688,84,60,65,50,12,80,50,5,7,10,6,2
2020-2021,Valladolid,652,471,50,33,31,55,12,56,36,2,3,5,9,1,815,584,90,47,38,47,9,94,65,5,9,7,6,2
2020-2021,Villarreal,742,576,46,49,27,37,7,99,69,3,12,7,7,1,696,520,51,38,32,41,14,67,41,8,5,5,6,2
2019-2020,Alavés,537,333,88,28,36,46,6,58,31,8,4,6,8,1,833,582,83,43,46,68,11,103,78,2,5,7,10,1
2019-2020,Athletic Club,690,469,84,37,36,54,10,65,43,4,3,6,8,1,697,482,70,44,32,55,14,65,43,3,6,4,7,2
2019-2020,Atlético Madrid,790,546,88,43,51,48,14,86,56,5,11,5,8,1,698,493,68,38,42,47,10,43,23,6,3,4,7,0
2019-2020,Barcelona,903,678,38,82,33,60,12,150,114,6,10,5,12,3,630,463,49,35,31,36,16,64,45,4,2,4,9,0
2019-2020,Betis,837,611,62,77,37,39,11,75,52,4,6,7,6,0,771,543,77,40,44,53,14,104,59,11,11,7,15,1
2019-2020,Celta Vigo,659,477,52,41,37,44,8,67,43,3,8,5,8,0,762,519,90,57,35,48,13,84,56,7,7,4,9,1
2019-2020,Eibar,709,450,97,40,55,48,19,63,38,7,5,6,7,0,649,456,67,45,38,33,10,96,68,3,9,9,5,2
2019-2020,Espanyol,691,469,82,37,45,50,8,44,26,5,2,6,3,2,773,548,74,56,43,41,11,90,61,5,8,9,5,2
2019-2020,Getafe,691,464,83,36,35,63,10,70,43,7,7,6,6,1,480,316,63,22,32,42,5,58,41,4,1,6,6,0
2019-2020,Granada,670,434,89,32,38,58,19,86,52,9,5,8,8,4,803,577,76,51,40,54,5,81,60,3,5,7,6,0
2019-2020,Leganés,752,509,87,44,48,57,7,54,38,4,2,3,6,1,626,449,64,38,22,47,6,86,57,8,6,3,11,1
2019-2020,Levante,746,547,71,48,35,37,8,79,52,4,6,8,9,0,1013,737,98,47,60,55,16,87,64,10,4,5,4,0
2019-2020,Mallorca,742,510,78,51,38,57,8,64,41,1,6,5,10,1,873,662,69,47,43,42,10,109,74,5,9,6,13,2
2019-2020,Osasuna,783,553,94,40,42,42,12,73,49,9,4,5,5,1,731,504,68,59,38,48,14,89,59,5,11,5,7,2
2019-2020,Real Madrid,1021,780,68,73,46,42,12,125,90,7,7,5,15,1,583,398,69,38,33,37,8,44,27,2,6,5,2,2
2019-2020,Real Sociedad,744,550,70,34,40,39,11,92,69,6,4,6,2,5,697,479,84,50,32,44,8,84,56,5,8,5,9,1
2019-2020,Sevilla,873,636,90,51,42,42,12,89,58,8,10,5,8,0,645,426,68,46,37,56,12,52,26,7,4,5,8,2
2019-2020,Valencia,612,445,53,39,22,43,10,80,56,5,8,2,9,0,1008,725,80,72,58,55,18,87,51,3,10,13,8,2
2019-2020,Valladolid,647,453,47,46,31,58,12,53,34,2,4,6,7,0,826,572,88,64,36,55,11,72,55,4,2,3,8,0
2019-2020,Villarreal,864,642,66,60,44,37,15,108,71,5,10,10,11,1,863,625,82,47,49,48,12,83,53,12,5,4,7,2
2018-2019,Alavés,700,458,93,38,47,58,6,59,36,8,3,6,5,1,873,644,77,49,44,47,12,79,51,7,5,8,8,0
2018-2019,Athletic Club,693,477,77,43,42,45,9,70,49,5,3,6,7,0,707,474,69,58,42,54,10,74,46,5,7,11,5,0
2018-2019,Atlético Madrid,788,569,75,40,40,53,11,89,63,3,4,11,7,1,760,530,66,53,40,56,15,44,30,1,4,5,3,1
2018-2019,Barcelona,1000,766,42,75,42,66,9,158,113,7,13,10,15,0,700,500,65,43,35,41,16,62,49,3,3,4,3,0
2018-2019,Betis,782,585,47,57,24,55,14,76,57,0,6,5,7,1,740,499,79,49,37,53,23,96,63,8,10,6,8,1
2018-2019,Celta Vigo,814,588,56,63,44,55,8,89,66,3,5,7,8,0,845,650,61,46,40,38,10,108,81,4,6,7,10,0
2018-2019,Eibar,935,639,112,57,48,61,18,73,45,7,3,8,7,3,583,416,68,38,22,31,8,88,70,4,5,4,5,0
2018-2019,Espanyol,805,589,58,39,60,39,20,66,42,4,2,12,3,3,913,635,80,70,49,62,17,76,44,5,6,10,9,2
2018-2019,Getafe,674,428,90,49,36,56,15,78,46,7,11,5,8,1,669,456,71,53,40,44,5,50,29,7,3,5,6,0
2018-2019,Girona,692,462,84,39,39,62,6,63,39,6,2,9,7,0,935,710,59,57,47,43,19,90,61,4,5,9,10,1
2018-2019,Huesca,815,546,93,45,56,54,21,76,42,10,4,10,10,0,824,585,70,55,40,62,12,118,90,3,10,4,10,1
2018-2019,Leganés,707,490,86,37,34,45,15,61,42,8,3,5,3,0,723,532,62,41,34,48,6,72,39,9,4,11,9,0
2018-2019,Levante,759,512,66,61,41,64,15,98,63,10,10,7,8,0,1196,866,94,76,72,65,23,111,72,9,5,10,13,2
2018-2019,Rayo Vallecano,792,537,80,65,50,42,18,67,45,2,6,8,6,0,774,529,83,51,36,59,16,118,78,14,6,11,8,1
2018-2019,Real Madrid,1071,792,81,71,66,49,12,103,66,6,7,13,10,1,668,465,61,42,47,42,11,79,56,2,5,9,5,2
2018-2019,Real Sociedad,754,522,72,53,41,47,19,74,46,7,5,5,9,2,787,543,85,42,58,46,13,71,43,6,7,11,4,0
2018-2019,Sevilla,933,739,59,44,43,35,13,110,88,3,6,8,5,0,811,582,76,54,30,54,15,78,57,4,5,4,6,2
2018-2019,Valencia,855,641,74,42,44,42,12,92,67,7,4,4,8,2,844,590,77,49,58,57,13,52,26,6,3,12,5,0
2018-2019,Valladolid,742,524,70,51,37,49,11,53,32,5,4,4,8,0,848,576,97,55,54,53,13,82,53,7,4,9,7,2
2018-2019,Villarreal,871,638,74,62,51,29,17,77,45,7,10,11,3,1,982,720,89,50,60,51,12,84,54,7,8,4,10,1
2017-2018,Alavés,665,439,70,49,31,61,15,71,52,4,7,4,4,0,954,660,95,62,55,67,15,80,45,4,10,12,8,1
2017-2018,Athletic Club,741,501,95,36,41,52,16,68,45,4,2,10,7,0,820,568,80,57,33,65,17,77,55,5,5,3,7,2
2017-2018,Atlético Madrid,701,472,73,65,29,45,17,104,70,2,14,7,7,4,804,576,71,56,31,57,13,41,34,1,0,3,3,0
2017-2018,Barcelona,1035,743,45,99,57,71,20,170,121,5,17,14,10,3,758,547,67,51,33,33,27,51,40,1,3,5,1,1
2017-2018,Betis,724,551,44,61,22,31,15,93,72,5,6,5,4,1,794,545,93,57,34,43,22,105,69,10,12,5,6,3
2017-2018,Celta Vigo,802,580,56,49,40,56,21,103,70,6,8,8,7,4,796,550,82,61,51,39,13,101,71,6,8,10,4,2
2017-2018,Eibar,809,537,106,46,34,71,15,72,50,9,1,7,4,1,560,403,47,44,20,34,12,84,59,4,9,4,6,2
2017-2018,Espanyol,724,505,70,43,37,49,20,60,40,4,4,2,6,4,829,572,76,66,46,50,19,70,41,3,13,7,5,1
2017-2018,Getafe,629,377,87,54,26,59,26,64,31,9,9,5,8,2,694,457,81,48,28,70,10,63,45,3,4,4,6,1
2017-2018,Girona,794,497,117,44,40,79,17,88,47,9,11,7,12,2,749,494,72,65,38,63,17,99,68,6,8,6,10,1
2017-2018,La Coruña,818,577,92,52,45,41,11,67,45,8,3,7,4,0,927,664,92,63,42,52,14,124,89,9,5,10,9,2
2017-2018,Las Palmas,732,519,64,54,26,61,8,41,28,0,6,3,3,1,955,672,85,80,37,55,26,136,92,9,16,8,8,3
2017-2018,Leganés,678,420,84,50,38,61,25,55,32,6,5,8,3,1,750,529,78,37,36,58,12,86,55,5,5,9,10,2
2017-2018,Levante,728,499,65,61,34,48,21,79,53,5,8,3,10,0,965,670,85,70,50,67,23,98,61,8,8,11,9,1
2017-2018,Málaga,687,427,85,61,39,52,23,34,20,4,2,3,4,1,811,572,72,56,34,55,22,108,79,4,7,10,7,1
2017-2018,Real Madrid,1290,1000,81,82,57,53,17,166,121,8,9,16,11,1,668,478,54,49,38,39,10,73,51,5,7,8,2,0
2017-2018,Real Sociedad,922,651,90,66,42,62,11,108,77,8,10,5,7,1,675,465,65,58,34,37,16,98,69,7,6,9,7,0
2017-2018,Sevilla,927,693,75,59,42,43,15,90,59,8,9,7,6,1,822,559,74,73,35,60,21,97,60,6,16,4,7,4
2017-2018,Valencia,860,605,76,74,45,47,13,114,76,7,11,8,9,3,835,600,70,53,30,62,20,62,42,9,2,2,6,1
2017-2018,Villarreal,831,605,64,69,37,36,20,95,67,3,13,7,5,0,931,617,100,68,57,72,17,89,51,9,11,6,10,2
