Season,Squad,Total Cmp_for,Total Att_for,Total Cmp%_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Total Cmp_against,Total Cmp%_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against
2024-2025 Bundesliga,Dortmund,17077,20321,84.0,7783,8536,91.2,7542,8376,90.0,1403,2463,57.0,56,47.4,50.4,8.6,372,1348,324,86,1563,10934,76.9,77129,4948,5650,87.6,4591,5486,83.7,1108,2219,49.9,39,30.9,35.6,8.1,275,780,265,75,1058
2024-2025 Bundesliga,Eint Frankfurt,13925,17138,81.3,6627,7329,90.4,5810,6682,87.0,1094,2198,49.8,47,45.2,43.6,1.8,354,1033,308,55,1347,14160,80.2,90416,6684,7472,89.5,5871,6806,86.3,1328,2508,53.0,28,35.6,40.0,-7.6,348,1198,291,87,1289
2024-2025 Bundesliga,Freiburg,12892,16460,78.3,5552,6386,86.9,5789,6731,86.0,1209,2417,50.0,35,30.5,36.3,4.5,285,981,253,74,1129,14111,80.6,92325,6283,7139,88.0,6186,7067,87.5,1336,2445,54.6,39,30.7,36.4,8.3,314,1060,288,82,1182
2024-2025 Bundesliga,Gladbach,14148,17507,80.8,6502,7257,89.6,6076,7009,86.7,1261,2322,54.3,39,37.7,34.9,1.3,308,848,278,93,1112,14473,81.1,89898,6579,7410,88.8,6307,7286,86.6,1235,2247,55.0,34,45.2,51.9,-11.2,437,1151,373,113,1520
2024-2025 Bundesliga,Heidenheim,11127,14684,75.8,4145,4986,83.1,5303,6225,85.2,1428,2682,53.2,26,28.6,31.4,-2.6,294,806,231,84,974,15818,81.6,102087,7266,8148,89.2,6849,7849,87.3,1348,2454,54.9,50,43.1,46.5,6.9,350,1319,303,58,1620
2024-2025 Bundesliga,Hoffenheim,12827,16506,77.7,5746,6593,87.2,5461,6522,83.7,1221,2444,50.0,30,32.7,38.9,-2.7,324,1041,298,108,1218,14007,80.2,93244,6350,7134,89.0,5860,6816,86.0,1479,2601,56.9,51,41.4,48.9,9.6,356,1178,338,89,1347
2024-2025 Bundesliga,Holstein Kiel,10537,13961,75.5,4072,4768,85.4,5038,5991,84.1,1261,2558,49.3,29,26.7,27.8,2.3,266,676,181,69,875,14775,80.6,92440,6586,7379,89.3,6421,7467,86.0,1395,2553,54.6,52,44.5,53.6,7.5,418,1350,360,126,1572
2024-2025 Bundesliga,Leverkusen,18301,21589,84.8,9397,10227,91.9,7044,7969,88.4,1397,2377,58.8,53,41.9,52.1,11.1,387,1610,319,83,1692,11597,78.5,74281,5341,6051,88.3,4827,5642,85.6,1109,2247,49.4,25,22.8,28.3,2.2,241,862,203,46,984
2024-2025 Bundesliga,Mainz 05,12478,16434,75.9,5681,6560,86.6,5218,6226,83.8,1280,2671,47.9,37,37.5,45.0,-0.5,319,1038,309,93,1286,12368,76.2,83971,5321,6220,85.5,5441,6465,84.2,1276,2660,48.0,28,31.2,39.5,-3.2,328,1061,265,86,1123
2024-2025 Bundesliga,RB Leipzig,14698,18207,80.7,6822,7749,88.0,6428,7472,86.0,1090,2013,54.1,36,35.6,40.0,0.4,313,1138,306,52,1353,13082,78.4,87124,5968,6842,87.2,5425,6330,85.7,1308,2485,52.6,35,38.8,49.2,-3.8,367,1007,302,93,1275
2024-2025 Bundesliga,St. Pauli,11751,15300,76.8,5086,5835,87.2,5248,6213,84.5,1110,2391,46.4,22,26.3,28.7,-4.3,278,892,201,72,1073,16017,82.1,94838,6968,7806,89.3,7301,8280,88.2,1407,2474,56.9,30,35.0,37.8,-5.0,300,1241,275,66,1388
2024-2025 Bundesliga,Stuttgart,16513,19767,83.5,8302,9120,91.0,6590,7479,88.1,1230,2270,54.2,45,45.3,52.7,-0.3,370,1291,372,90,1493,11408,77.4,78239,4970,5734,86.7,4936,5782,85.4,1179,2335,50.5,34,33.8,35.2,0.2,284,811,237,56,1023
2024-2025 Bundesliga,Union Berlin,9960,13705,72.7,4467,5296,84.3,3994,4998,79.9,1156,2400,48.2,25,23.5,31.6,1.5,292,792,239,75,1049,16465,81.3,98135,6966,7921,87.9,7697,8708,88.4,1456,2714,53.6,36,32.4,41.9,3.6,295,1264,306,88,1491
2024-2025 Bundesliga,Werder Bremen,13999,17550,79.8,5827,6663,87.5,6247,7263,86.0,1455,2530,57.5,38,37.4,44.0,0.6,327,954,335,91,1351,14300,80.3,90286,6723,7496,89.7,6054,7014,86.3,1217,2399,50.7,39,36.3,42.7,2.7,353,1067,274,59,1336
2024-2025 Bundesliga,Wolfsburg,11590,15088,76.8,4735,5598,84.6,5178,6041,85.7,1421,2665,53.3,38,33.0,36.5,5.0,316,999,247,53,1205,14240,80.3,92107,6618,7474,88.5,5949,6888,86.4,1290,2363,54.6,43,40.5,39.7,2.5,367,1098,285,81,1348
2024-2025,Alavés,10534,14746,71.4,4546,5494,82.7,4441,5542,80.1,1312,2838,46.2,20,25.4,25.9,-5.4,284,963,229,99,1160,14251,78.6,94982,6140,6970,88.1,6230,7338,84.9,1563,2925,53.4,28,33.3,32.3,-5.3,306,1034,245,97,1323
2024-2025,Athletic Club,13665,17375,78.6,5552,6396,86.8,6520,7522,86.7,1395,2733,51.0,40,36.7,33.1,3.3,351,1283,274,90,1579,14953,79.2,95206,6402,7284,87.9,6730,7799,86.3,1481,2854,51.9,11,22.9,21.5,-11.9,242,911,205,69,1177
2024-2025,Atlético Madrid,17826,21418,83.2,8814,9752,90.4,6993,7984,87.6,1486,2519,59.0,51,47.9,45.3,3.1,348,1233,365,96,1559,16246,83.2,95937,7097,7859,90.3,7307,8119,90.0,1542,2749,56.1,17,23.9,29.8,-6.9,286,1462,282,84,1543
2024-2025,Barcelona,22321,25721,86.8,10452,11341,92.2,9674,10643,90.9,1577,2424,65.1,72,67.5,64.7,4.5,500,2020,479,77,2212,8511,71.6,69199,3752,4435,84.6,3313,4086,81.1,1208,2491,48.5,31,32.6,21.8,-1.6,222,595,166,59,780
2024-2025,Betis,15770,19284,81.8,7583,8423,90.0,6318,7291,86.7,1341,2443,54.9,37,37.5,34.8,-0.5,417,1127,329,75,1486,13910,78.9,92271,6224,7089,87.8,6031,7022,85.9,1341,2578,52.0,32,38.4,32.4,-6.4,309,1110,251,69,1411
2024-2025,Celta Vigo,17798,21253,83.7,7549,8367,90.2,8368,9325,89.7,1480,2521,58.7,40,38.4,36.9,1.6,339,1424,300,53,1659,14946,81.0,89590,6617,7382,89.6,6584,7411,88.8,1433,2809,51.0,45,33.3,31.9,11.7,308,1103,243,85,1222
2024-2025,Espanyol,10580,13996,75.6,4245,4942,85.9,4814,5678,84.8,1297,2629,49.3,27,24.5,23.4,2.5,256,772,204,81,1000,17987,83.4,106771,8341,9165,91.0,7778,8804,88.3,1534,2689,57.0,39,39.6,41.3,-0.6,431,1501,381,103,1821
2024-2025,Getafe,8695,12922,67.3,3711,4579,81.0,3515,4628,76.0,1250,2951,42.4,21,23.9,23.8,-2.9,296,958,226,104,981,13966,76.4,92537,6043,6962,86.8,6205,7399,83.9,1371,2889,47.5,21,31.3,28.0,-10.3,259,997,227,66,1284
2024-2025,Girona,18273,21401,85.4,8002,8697,92.0,8458,9319,90.8,1526,2565,59.5,31,31.6,37.4,-0.6,308,1494,302,87,1691,13798,82.0,83228,6108,6712,91.0,6052,6873,88.1,1281,2411,53.1,46,36.5,33.6,9.5,348,1070,254,74,1183
2024-2025,Las Palmas,14352,18209,78.8,6396,7255,88.2,6214,7269,85.5,1395,2776,50.3,27,26.3,26.5,0.7,304,1059,246,79,1210,14104,79.0,90659,6398,7238,88.4,6069,7135,85.1,1278,2493,51.3,43,47.5,42.7,-4.5,387,1190,306,96,1470
