Season,Squad,Goals GA_for,Goals PKA_for,Goals FK_for,Goals CK_for,Goals OG_for,Expected PSxG_for,Expected PSxG/SoT_for,Expected PSxG+/-_for,Launched Cmp_for,Launched Att_for,Launched Cmp%_for,Passes Att (GK)_for,Passes Thr_for,Passes Launch%_for,Passes AvgLen_for,Goal Kicks Att_for,Goal Kicks Launch%_for,Goal Kicks AvgLen_for,Crosses Opp_for,Crosses Stp_for,Crosses Stp%_for,Sweeper #OPA_for,Sweeper AvgDist_for,Goals GA_against,Goals PKA_against,Goals FK_against,Goals CK_against,Goals OG_against,Expected PSxG_against,Expected PSxG/SoT_against,Expected PSxG+/-_against,Launched Cmp_against,Launched Att_against,Launched Cmp%_against,Passes Att (GK)_against,Passes Thr_against,Passes Launch%_against,Passes AvgLen_against,Goal Kicks Att_against,Goal Kicks Launch%_against,Goal Kicks AvgLen_against,Crosses Opp_against,Crosses Stp_against,Crosses Stp%_against,Sweeper #OPA_against,Sweeper AvgDist_against
2024-2025,Osasuna,52,7,1,4,1,57.4,0.28,6.4,296,649,45.6,978,143,44.9,37.6,309,68.0,48.3,538,33,6.1,86,19.7,48,9,2,6,2,41.2,0.27,-4.8,128,413,31.0,885,167,31.4,33.0,285,47.4,40.5,615,26,4.2,34,14.2
2024-2025,Rayo Vallecano,45,6,0,6,1,45.7,0.26,1.7,203,640,31.7,1032,150,47.2,38.2,319,48.0,40.6,532,37,7.0,39,14.4,41,0,1,6,3,37.3,0.23,-0.7,176,543,32.4,960,173,39.8,37.4,340,47.4,40.4,595,31,5.2,41,13.4
2024-2025,Real Madrid,38,3,0,7,1,35.9,0.28,-1.1,84,258,32.6,960,205,19.9,28.2,279,24.0,29.3,416,19,4.6,27,10.7,78,10,2,8,0,67.5,0.24,-10.5,174,521,33.4,810,149,44.1,39.5,315,52.1,42.1,437,25,5.7,52,15.3
2024-2025,Real Sociedad,46,5,0,5,0,41.5,0.26,-4.5,187,493,37.9,1072,122,31.8,32.6,271,56.1,44.8,467,30,6.4,43,14.4,35,4,1,3,1,33.0,0.24,-1.0,209,636,32.9,965,118,48.5,39.8,302,55.6,44.6,552,30,5.4,38,15.0
2024-2025,Sevilla,55,5,3,4,1,48.1,0.29,-5.9,155,587,26.4,1061,146,43.4,34.3,264,47.7,39.4,513,27,5.3,43,16.5,42,2,0,4,3,42.7,0.27,3.7,148,478,31.0,927,147,34.1,33.9,315,51.4,42.7,488,29,5.9,57,15.9
2024-2025,Valencia,54,6,0,4,3,50.5,0.3,-0.5,156,521,29.9,925,159,39.4,40.5,286,54.9,43.2,523,36,6.9,54,25.7,44,5,0,6,1,43.2,0.34,0.2,194,495,39.2,967,149,37.5,36.1,280,47.1,39.9,579,46,7.9,50,13.6
2024-2025,Valladolid,90,7,2,5,1,74.5,0.35,-14.5,202,550,36.7,1042,167,35.6,33.8,360,49.7,41.0,580,39,6.7,38,10.4,26,5,2,2,0,27.9,0.24,1.9,143,404,35.4,838,166,33.2,34.0,229,55.0,45.1,531,31,5.8,52,15.9
2024-2025,Villarreal,51,7,2,6,1,44.4,0.25,-5.6,122,339,36.0,834,207,29.4,28.2,296,31.8,30.8,579,34,5.9,36,11.9,71,5,0,6,2,64.5,0.34,-4.5,218,497,43.9,968,155,35.2,35.1,332,47.0,39.7,506,32,6.3,53,15.0
2023-2024,Alavés,46,8,0,4,2,44.8,0.25,0.8,315,778,40.5,886,125,62.2,41.7,335,67.8,48.4,530,29,5.5,37,15.2,36,3,0,5,3,43.1,0.26,10.1,193,497,38.8,1023,203,32.7,33.2,338,47.9,40.8,584,38,6.5,29,12.4
2023-2024,Almería,75,6,0,8,0,70.3,0.32,-4.7,181,615,29.4,1115,180,39.5,24.1,330,53.0,41.7,629,29,4.6,47,22.7,43,2,0,1,1,46.2,0.28,4.2,204,568,35.9,992,158,39.7,35.2,302,57.6,44.6,503,35,7.0,43,15.0
2023-2024,Athletic Club,37,1,0,2,4,40.4,0.28,7.4,238,728,32.7,1050,164,48.0,32.4,272,82.4,59.3,491,33,6.7,49,15.3,61,3,0,6,2,59.7,0.34,0.7,216,576,37.5,1189,170,34.4,33.3,306,54.6,43.4,651,32,4.9,45,15.0
2023-2024,Atlético Madrid,43,1,0,3,0,39.8,0.28,-3.2,114,336,33.9,725,180,27.2,31.5,298,46.6,39.0,579,36,6.2,22,11.8,70,5,0,4,2,65.7,0.3,-2.3,194,535,36.3,1020,160,38.5,36.1,297,47.8,40.8,476,34,7.1,42,14.0
2023-2024,Barcelona,44,2,0,1,0,41.6,0.28,-2.4,113,216,52.3,1076,161,14.7,26.3,255,22.7,27.9,450,15,3.3,36,15.6,79,6,2,9,3,73.1,0.3,-2.9,251,737,34.1,960,152,53.2,41.0,328,68.9,50.2,515,36,7.0,45,14.2
2023-2024,Betis,45,7,3,3,3,47.5,0.26,5.5,180,510,35.3,1022,167,35.2,30.6,279,53.8,42.6,541,38,7.0,42,12.6,48,2,1,5,2,40.5,0.25,-5.5,199,532,37.4,1055,152,37.5,33.8,279,48.7,40.4,483,31,6.4,33,12.9
2023-2024,Cádiz,55,2,0,6,1,51.7,0.3,-2.3,364,910,40.0,991,123,62.8,49.3,342,84.2,60.7,617,60,9.7,45,7.0,26,3,1,4,1,32.8,0.25,7.8,203,523,38.8,871,179,41.2,37.5,304,53.9,42.2,602,41,6.8,47,15.3
2023-2024,Celta Vigo,57,6,0,7,3,56.0,0.31,2.0,176,494,35.6,811,182,38.3,35.5,312,58.7,45.4,556,28,5.0,36,13.3,46,3,0,3,1,50.4,0.3,5.4,202,559,36.1,958,141,41.0,36.4,299,55.5,42.8,504,29,5.8,59,15.9
2023-2024,Getafe,54,5,0,7,0,55.2,0.29,1.2,341,915,37.3,977,124,66.6,39.2,322,82.0,56.2,463,18,3.9,62,10.7,42,6,0,6,0,48.1,0.27,6.1,193,611,31.6,1204,194,38.0,34.9,280,55.0,44.3,559,38,6.8,31,13.5
2023-2024,Girona,46,5,0,8,0,51.0,0.28,5.0,155,420,36.9,1074,178,27.1,30.0,312,41.3,37.9,534,41,7.7,33,13.2,85,7,0,7,1,73.2,0.37,-10.8,234,555,42.2,921,146,41.8,37.2,299,56.9,44.6,525,32,6.1,45,15.2
2023-2024,Granada,79,5,0,12,2,70.2,0.33,-6.8,231,626,36.9,1096,185,40.1,35.7,293,63.8,47.9,536,33,6.2,52,17.3,38,5,0,1,3,37.5,0.25,2.5,220,610,36.1,1057,154,41.9,36.9,271,61.6,46.6,508,34,6.7,42,14.4
2023-2024,Las Palmas,47,5,0,5,3,51.2,0.29,7.2,146,473,30.9,1733,204,23.3,27.3,265,26.4,27.1,545,30,5.5,100,17.8,33,3,1,4,0,37.2,0.26,4.2,231,627,36.8,1046,154,45.4,37.3,263,57.8,45.9,429,23,5.4,68,17.6
2023-2024,Mallorca,44,4,1,4,1,43.6,0.26,0.6,333,824,40.4,981,128,61.0,33.0,332,68.1,51.3,520,34,6.5,29,7.0,33,1,0,10,0,34.1,0.25,1.1,211,611,34.5,955,162,45.3,38.3,273,65.2,47.4,589,44,7.5,52,14.5
2023-2024,Osasuna,56,1,0,8,0,51.8,0.33,-4.2,329,771,42.7,1071,119,55.2,42.5,308,58.4,43.4,537,30,5.6,58,24.8,45,4,0,7,0,42.5,0.3,-2.5,175,538,32.5,1024,189,37.1,35.1,304,52.0,42.5,641,28,4.4,52,15.7
2023-2024,Rayo Vallecano,48,1,1,5,2,47.8,0.31,1.8,170,613,27.7,915,176,46.3,39.4,320,59.1,47.8,534,23,4.3,40,14.6,29,6,1,3,0,43.4,0.23,14.4,245,640,38.3,1122,148,40.6,35.8,332,55.4,45.1,526,29,5.5,45,15.4
2023-2024,Real Madrid,26,1,0,2,1,34.4,0.29,9.4,79,210,37.6,952,177,17.1,25.2,291,16.2,24.3,487,35,7.2,38,12.2,87,2,0,9,2,73.2,0.29,-11.8,181,508,35.6,928,189,36.1,35.0,322,53.7,43.3,468,21,4.5,28,12.5
2023-2024,Real Sociedad,39,6,0,5,1,40.8,0.27,2.8,192,465,41.3,1099,116,31.8,37.0,199,58.3,45.6,410,19,4.6,58,20.1,51,4,2,7,3,49.5,0.32,1.5,269,777,34.6,1090,107,52.2,40.9,331,62.8,47.1,519,30,5.8,30,13.8
2023-2024,Sevilla,54,5,1,4,2,53.4,0.28,1.4,224,613,36.5,920,182,43.8,39.4,288,72.9,53.4,520,31,6.0,32,13.5,48,2,0,10,2,51.1,0.31,5.1,170,501,33.9,871,168,36.9,35.3,348,51.7,42.1,727,28,3.9,38,13.8
2023-2024,Valencia,45,3,1,7,2,51.4,0.29,8.4,191,696,27.4,883,148,58.2,29.1,275,66.2,49.9,561,46,8.2,32,8.3,40,8,0,1,1,42.4,0.27,3.4,236,535,44.1,1101,147,35.0,34.5,260,57.7,46.1,441,33,7.5,58,15.4
2023-2024,Villarreal,65,6,1,9,1,61.7,0.27,-2.3,150,378,39.7,1015,190,26.8,30.2,354,29.9,29.8,688,35,5.1,36,5.3,65,5,0,8,1,61.0,0.33,-3.0,195,551,35.4,1005,136,41.0,36.2,246,56.5,44.0,478,27,5.6,52,15.2
2022-2023,Almería,65,4,1,5,1,63.4,0.29,-0.6,204,572,35.7,990,220,39.2,36.9,356,51.7,42.6,642,40,6.2,28,12.4,49,2,1,11,0,43.2,0.27,-5.8,187,493,37.9,931,166,36.8,35.4,267,56.2,45.0,453,36,7.9,50,16.4
2022-2023,Athletic Club,43,3,1,1,3,37.2,0.29,-2.8,171,452,37.8,925,187,30.9,30.5,264,62.9,48.3,451,29,6.4,50,15.4,47,5,1,2,1,52.0,0.28,6.0,271,721,37.6,1128,211,44.9,37.7,363,59.0,46.8,703,44,6.3,43,13.5
2022-2023,Atlético Madrid,33,4,1,5,0,36.3,0.26,3.3,166,525,31.6,812,165,39.8,34.1,334,60.5,46.3,575,48,8.3,26,9.2,70,1,0,8,2,62.5,0.32,-5.5,199,468,42.5,1002,189,33.1,34.2,298,45.6,40.7,497,32,6.4,66,15.6
2022-2023,Barcelona,20,3,0,2,3,25.1,0.22,8.1,169,338,50.0,1216,190,22.3,25.2,223,30.0,32.5,375,18,4.8,43,16.5,70,0,0,4,1,63.6,0.34,-5.4,287,724,39.6,923,149,52.2,41.2,387,62.5,47.0,561,26,4.6,50,15.5
2022-2023,Betis,41,3,1,7,1,44.0,0.29,4.0,229,635,36.1,956,149,44.0,39.6,315,67.9,49.1,582,22,3.8,43,12.1,46,8,1,5,3,48.6,0.27,5.6,186,449,41.4,944,160,33.3,33.5,271,49.8,42.6,400,17,4.3,37,16.7
2022-2023,Cádiz,53,9,1,7,0,53.4,0.22,0.4,270,829,32.6,916,150,59.1,46.4,322,89.4,64.2,651,44,6.8,30,13.6,30,4,0,1,1,32.7,0.26,3.7,219,518,42.3,948,194,36.7,34.5,323,52.6,42.6,519,39,7.5,55,15.3
2022-2023,Celta Vigo,53,5,1,10,1,42.9,0.27,-9.1,184,506,36.4,934,171,37.5,35.3,289,54.0,43.9,509,22,4.3,39,18.1,43,2,0,3,2,42.7,0.25,1.7,208,523,39.8,950,142,37.8,36.3,279,58.8,45.2,559,29,5.2,26,12.5
2022-2023,Elche,67,7,0,6,2,71.9,0.31,6.9,195,442,44.1,819,175,33.8,34.9,318,51.9,40.9,600,22,3.7,21,14.0,30,4,0,7,0,33.4,0.23,3.4,202,487,41.5,898,133,34.7,34.0,284,61.6,46.4,581,26,4.5,29,13.1
2022-2023,Espanyol,69,5,1,9,2,54.5,0.27,-12.5,305,659,46.3,865,122,49.7,36.2,347,66.0,48.0,557,27,4.8,46,13.8,52,5,0,9,1,50.2,0.29,-0.8,199,501,39.7,937,195,35.9,35.2,310,53.2,42.2,542,38,7.0,33,13.4
2022-2023,Getafe,45,4,0,7,2,45.5,0.23,2.5,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,15.0,34,5,2,2,0,36.4,0.25,2.4,217,582,37.3,1110,169,39.1,36.2,250,59.2,46.4,512,32,6.3,51,16.6
2022-2023,Girona,55,6,2,5,0,62.0,0.33,7.0,169,464,36.4,1075,192,28.4,28.7,329,48.3,41.9,597,43,7.2,59,16.9,58,8,0,3,3,51.2,0.25,-3.8,219,563,38.9,925,133,41.3,36.9,292,62.0,47.7,568,27,4.8,37,14.8
2022-2023,Mallorca,43,6,0,3,0,41.5,0.24,-1.5,351,841,41.7,950,130,61.9,35.2,338,74.9,54.0,657,35,5.3,21,17.4,37,4,0,7,1,32.3,0.25,-3.7,156,454,34.4,857,183,34.1,33.8,235,68.9,50.0,486,32,6.6,37,13.9
2022-2023,Osasuna,42,1,1,3,2,39.1,0.26,-0.9,342,789,43.3,1084,145,53.4,41.1,315,66.7,50.8,534,30,5.6,57,16.3,37,4,0,4,1,36.6,0.24,0.6,197,564,34.9,1096,178,35.7,34.4,325,53.2,43.6,649,45,6.9,49,15.1
2022-2023,Rayo Vallecano,53,4,0,11,4,45.9,0.3,-3.1,154,545,28.3,834,204,44.5,30.3,310,56.1,46.5,512,24,4.7,54,17.0,45,4,2,4,4,38.0,0.21,-3.0,253,634,39.9,1048,159,41.1,37.5,329,61.7,47.8,622,26,4.2,51,17.6
2022-2023,Real Madrid,36,4,0,2,1,34.2,0.22,-0.8,97,241,40.2,1108,230,17.7,27.7,253,17.8,25.0,420,33,7.9,51,15.4,75,9,3,9,2,67.6,0.27,-5.4,237,594,39.9,864,152,42.8,38.1,351,63.8,48.2,448,27,6.0,21,12.2
2022-2023,Real Sociedad,35,1,1,3,2,32.8,0.24,-0.2,244,572,42.7,1062,138,40.9,35.9,244,56.6,46.2,453,18,4.0,47,15.9,51,2,1,4,4,53.4,0.29,6.4,221,736,30.0,1144,158,46.7,39.4,301,67.1,49.9,422,29,6.9,40,16.1
2022-2023,Sevilla,54,2,1,5,3,49.5,0.3,-1.5,218,629,34.7,1143,136,38.0,30.9,307,63.5,49.3,524,32,6.1,49,17.4,47,4,0,7,0,43.2,0.28,-3.8,202,590,34.2,991,176,40.7,36.3,327,57.2,44.2,649,28,4.3,39,13.8
2022-2023,Valencia,45,2,0,7,2,42.9,0.28,-0.1,177,522,33.9,806,142,42.7,35.1,276,64.5,48.1,457,35,7.7,47,16.3,42,5,1,3,2,46.9,0.28,6.9,217,594,36.5,951,159,44.0,37.7,323,54.5,44.8,701,42,6.0,35,12.8
2022-2023,Valladolid,63,6,1,0,1,62.6,0.28,0.6,192,553,34.7,963,170,38.3,25.7,358,51.4,41.9,563,20,3.6,33,33.0,33,3,0,4,1,34.2,0.22,2.2,250,605,41.3,902,152,43.6,37.8,323,65.6,49.9,527,18,3.4,45,17.1
2022-2023,Villarreal,40,4,0,4,1,43.7,0.27,4.7,114,330,34.5,1159,191,21.7,22.8,293,26.6,29.1,548,37,6.8,45,13.3,59,4,1,5,2,60.0,0.29,3.0,233,548,42.5,850,148,42.9,37.8,300,61.0,47.4,394,22,5.6,41,14.9
2021-2022,Alavés,65,6,0,10,0,58.5,0.3,-6.5,369,783,47.1,808,96,64.6,53.3,351,74.4,50.9,619,26,4.2,48,17.6,31,6,0,6,2,32.0,0.22,3.0,221,604,36.6,1038,176,43.4,36.9,277,55.2,42.2,585,31,5.3,48,16.2
2021-2022,Athletic Club,36,3,0,2,1,36.9,0.26,1.9,158,402,39.3,748,201,35.4,33.8,269,50.9,41.7,577,30,5.2,41,15.2,43,3,1,7,3,47.5,0.26,7.5,320,765,41.8,1144,172,48.8,39.8,322,64.3,48.4,622,26,4.2,56,15.9
2021-2022,Atlético Madrid,43,7,2,4,3,32.3,0.23,-7.7,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,13.8,65,4,0,7,2,59.5,0.36,-3.5,213,542,39.3,927,139,39.7,36.1,341,51.0,42.6,552,25,4.5,28,14.1
2021-2022,Barcelona,38,2,1,7,0,34.1,0.26,-3.9,147,289,50.9,1167,165,18.8,26.9,240,29.2,32.3,384,15,3.9,38,15.3,68,6,0,5,0,61.0,0.3,-7.0,291,728,40.0,975,131,51.7,39.8,362,61.9,45.1,626,25,4.0,37,14.2
2021-2022,Betis,40,3,0,3,2,39.1,0.27,1.1,201,547,36.7,962,157,41.4,33.1,275,54.2,43.9,592,24,4.1,41,15.7,62,6,2,5,2,53.1,0.26,-6.9,226,537,42.1,902,158,42.5,36.5,284,54.2,43.2,424,14,3.3,43,15.8
2021-2022,Cádiz,51,11,0,10,0,52.8,0.24,1.8,272,792,34.3,840,119,63.3,46.0,313,83.1,60.2,586,42,7.2,28,12.1,35,3,1,2,0,40.2,0.29,5.2,235,501,46.9,893,184,36.7,33.8,308,56.2,44.9,687,47,6.8,61,15.0
2021-2022,Celta Vigo,43,4,0,1,2,43.3,0.27,2.3,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,14.3,43,3,0,2,0,44.4,0.28,1.4,255,623,40.9,914,146,46.9,39.1,282,68.8,48.2,608,23,3.8,43,14.8
2021-2022,Elche,52,7,0,6,0,54.5,0.27,2.5,257,626,41.1,966,183,42.1,36.4,346,63.3,45.9,616,25,4.1,56,15.2,40,1,0,3,1,33.0,0.3,-6.0,186,445,41.8,794,136,40.2,35.9,244,51.6,42.5,529,25,4.7,58,17.3
2021-2022,Espanyol,53,4,0,4,2,53.6,0.3,2.6,171,466,36.7,897,221,35.1,33.8,337,44.8,36.9,662,38,5.7,48,13.7,40,5,1,7,1,37.3,0.24,-1.7,191,389,49.1,792,149,32.6,33.1,266,49.2,40.3,458,19,4.1,35,14.4
2021-2022,Getafe,41,2,0,5,1,40.9,0.29,0.9,366,869,42.1,892,101,69.5,61.0,294,84.7,54.2,576,26,4.5,45,5.0,33,3,0,4,2,29.4,0.21,-1.6,199,497,40.0,969,185,37.7,35.1,248,53.2,43.0,471,26,5.5,50,17.0
2021-2022,Granada,61,7,0,7,2,60.2,0.27,1.2,267,818,32.6,922,162,57.7,44.0,380,75.3,52.0,615,32,5.2,64,16.1,44,3,0,11,1,37.5,0.26,-5.5,200,544,36.8,880,143,41.3,36.7,314,57.6,45.2,530,23,4.3,43,15.1
2021-2022,Levante,76,5,1,13,0,65.9,0.3,-10.1,155,460,33.7,821,151,42.1,36.6,309,36.9,34.6,532,19,3.6,47,15.6,51,8,0,3,0,55.3,0.28,4.3,214,585,36.6,938,170,43.4,37.3,300,59.3,45.1,485,34,7.0,50,15.5
2021-2022,Mallorca,63,6,1,5,4,53.8,0.3,-5.2,244,595,41.0,787,130,52.4,39.4,312,58.7,43.5,576,17,3.0,20,12.6,36,6,0,5,3,42.8,0.27,9.8,192,519,37.0,894,139,40.6,37.0,273,57.1,43.8,440,22,5.0,51,17.0
2021-2022,Osasuna,51,4,0,11,2,49.1,0.29,0.1,396,876,45.2,884,84,68.6,46.5,315,85.7,58.5,546,24,4.4,71,18.1,37,6,1,5,0,39.3,0.26,2.3,191,625,30.6,998,157,41.7,36.2,340,61.5,46.8,694,37,5.3,31,13.2
2021-2022,Rayo Vallecano,50,7,0,4,1,49.7,0.25,0.7,224,648,34.6,889,193,50.6,42.1,283,70.0,52.2,495,44,8.9,41,13.9,39,4,0,5,1,39.5,0.27,1.5,273,708,38.6,1007,166,47.1,38.8,337,69.4,51.4,645,29,4.5,39,14.8
2021-2022,Real Madrid,31,3,1,2,0,37.0,0.25,6.0,79,261,30.3,926,201,21.0,28.8,289,23.2,28.2,506,24,4.7,31,15.5,80,8,0,10,0,81.0,0.29,1.0,254,612,41.5,823,142,45.1,38.1,359,67.1,48.2,472,20,4.2,35,14.9
2021-2022,Real Sociedad,37,5,1,8,0,35.5,0.24,-1.5,211,521,40.5,1094,139,34.1,32.9,269,55.0,44.0,522,21,4.0,51,16.4,40,9,2,5,0,47.5,0.25,7.5,229,682,33.6,1003,142,50.8,40.0,262,65.6,46.9,481,30,6.2,45,15.1
2021-2022,Sevilla,30,2,2,6,0,31.3,0.24,1.3,181,446,40.6,1051,145,29.0,29.1,277,50.9,40.6,503,32,6.4,36,13.7,53,2,1,11,2,41.1,0.27,-9.9,254,699,36.3,914,147,50.1,40.0,324,74.4,50.9,626,29,4.6,44,13.7
2021-2022,Valencia,53,7,0,7,3,54.1,0.29,4.1,248,623,39.8,749,140,55.3,39.8,298,70.1,50.4,534,20,3.7,45,16.0,48,8,0,5,3,40.7,0.23,-4.3,220,586,37.5,918,157,46.7,37.7,284,55.3,44.3,576,33,5.7,33,13.3
2021-2022,Villarreal,37,4,0,3,1,37.1,0.26,1.1,146,385,37.9,1232,199,23.1,28.0,281,35.9,35.3,583,25,4.3,66,16.8,63,5,0,10,1,57.5,0.31,-4.5,201,618,32.5,898,134,49.8,40.3,277,61.7,46.4,442,29,6.6,53,15.6
2020-2021,Alavés,57,3,0,5,0,51.1,0.35,-5.9,309,615,50.2,792,116,53.7,40.3,306,62.1,44.8,545,19,3.5,37,14.5,36,5,2,2,1,35.5,0.29,0.5,223,618,36.1,1010,154,45.0,37.5,240,68.3,50.7,496,16,3.2,51,17.8
2020-2021,Athletic Club,42,5,1,6,1,37.5,0.29,-3.5,206,493,41.8,817,210,36.5,35.2,270,72.2,52.2,555,24,4.3,36,15.1,46,4,1,4,3,39.7,0.27,-3.3,254,666,38.1,1016,160,44.3,37.9,306,70.6,50.8,609,16,2.6,42,15.3
2020-2021,Atlético Madrid,25,1,0,5,3,33.1,0.25,11.1,202,539,37.5,709,131,49.6,39.1,294,63.6,45.9,513,14,2.7,27,15.7,67,5,1,6,2,59.8,0.3,-5.2,204,549,37.2,955,160,42.4,36.3,290,49.7,42.2,446,18,4.0,41,15.3
2020-2021,Barcelona,38,5,1,5,2,36.0,0.24,0.0,92,207,44.4,1068,193,14.8,24.8,215,22.8,29.3,369,19,5.1,40,13.9,85,4,3,4,5,77.8,0.31,-2.2,225,586,38.4,862,137,46.8,37.9,314,58.3,45.7,355,18,5.1,32,12.3
2020-2021,Betis,50,8,1,4,3,46.9,0.28,-0.1,212,606,35.0,953,163,48.1,37.8,250,59.2,45.1,505,21,4.2,48,19.0,50,8,1,9,0,50.7,0.26,0.7,201,526,38.2,1047,146,37.7,35.0,265,49.4,40.8,453,16,3.5,36,16.0
2020-2021,Cádiz,58,9,2,4,1,53.8,0.3,-3.2,396,998,39.7,846,72,78.7,54.1,349,95.1,65.0,606,33,5.4,26,27.0,36,4,0,5,3,35.2,0.32,2.2,146,351,41.6,790,166,30.4,31.2,232,47.8,40.9,549,26,4.7,49,15.9
2020-2021,Celta Vigo,57,7,2,4,1,49.7,0.32,-6.3,194,607,32.0,1025,156,40.0,32.7,315,62.5,46.6,553,10,1.8,45,15.7,55,7,1,4,0,50.5,0.31,-4.5,267,615,43.4,946,132,48.7,39.7,222,69.4,49.7,416,13,3.1,36,15.8
2020-2021,Eibar,52,3,0,5,0,47.5,0.33,-4.5,340,847,40.1,938,124,65.9,40.2,250,91.6,68.4,406,14,3.4,63,24.3,29,4,0,5,0,38.5,0.23,9.5,350,898,39.0,1184,154,54.8,39.7,373,66.8,49.7,822,20,2.4,32,12.6
2020-2021,Elche,55,6,0,6,1,58.8,0.32,4.8,267,604,44.2,1039,168,36.6,45.0,353,63.5,45.3,537,10,1.9,34,12.4,34,2,0,5,1,31.9,0.34,-1.1,175,402,43.5,819,138,34.9,33.7,208,55.8,44.7,509,16,3.1,47,16.6
2020-2021,Getafe,43,7,0,3,3,39.7,0.29,-0.3,370,913,40.5,863,48,80.1,51.7,263,84.4,55.4,444,17,3.8,50,18.5,28,3,0,0,1,27.7,0.22,0.7,291,696,41.8,1026,173,48.5,39.6,300,66.0,49.5,606,25,4.1,51,17.0
2020-2021,Granada,65,6,2,4,1,61.9,0.31,-2.1,310,848,36.6,944,79,62.6,46.5,316,81.3,56.1,546,12,2.2,62,18.0,47,3,1,7,0,44.0,0.33,-3.0,230,564,40.8,910,151,43.2,36.9,272,62.9,48.2,470,22,4.7,37,15.2
2020-2021,Huesca,53,5,1,10,2,48.2,0.29,-2.8,188,508,37.0,1077,187,35.7,34.2,298,41.6,38.3,539,16,3.0,34,13.4,34,3,0,4,2,36.7,0.26,4.7,221,581,38.0,903,169,42.6,37.1,295,66.4,50.4,624,19,3.0,47,16.5
2020-2021,Levante,57,3,1,6,2,49.8,0.29,-5.2,136,382,35.6,936,197,32.4,32.2,282,28.0,29.6,532,9,1.7,71,18.2,46,3,0,5,1,40.1,0.27,-4.9,283,695,40.7,920,146,51.8,40.3,295,73.9,54.4,506,18,3.6,53,17.1
2020-2021,Osasuna,48,5,0,5,2,47.0,0.3,1.0,441,996,44.3,995,92,71.5,48.0,302,94.4,61.3,600,30,5.0,76,17.5,37,5,0,2,1,34.6,0.25,-1.4,193,643,30.0,980,149,45.7,37.2,315,61.9,45.8,544,13,2.4,41,16.2
2020-2021,Real Madrid,28,7,0,3,1,32.7,0.22,5.7,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,15.7,67,3,1,8,3,53.1,0.3,-10.9,290,691,42.0,942,157,45.9,38.0,354,73.2,50.7,562,20,3.6,37,14.3
2020-2021,Real Sociedad,38,3,0,4,1,35.0,0.3,-2.0,204,520,39.2,998,132,38.2,35.1,217,64.1,49.7,415,9,2.2,47,17.3,59,9,2,8,1,53.5,0.3,-4.5,295,744,39.7,1016,132,51.4,39.8,288,77.1,53.4,523,15,2.9,36,14.0
2020-2021,Sevilla,33,4,0,4,2,33.5,0.24,2.5,183,418,43.8,1012,169,29.8,29.2,228,50.9,39.7,512,30,5.9,36,11.2,53,6,0,5,1,46.7,0.28,-5.3,284,693,41.0,911,127,50.2,39.7,347,68.0,49.3,551,10,1.8,57,19.1
2020-2021,Valencia,53,5,3,5,2,48.2,0.24,-2.8,291,664,43.8,871,145,49.1,41.4,338,69.8,50.4,655,11,1.7,31,19.2,50,8,1,6,2,45.4,0.27,-2.6,222,584,38.0,833,135,48.1,38.9,262,69.8,49.9,462,19,4.1,38,15.8
2020-2021,Valladolid,57,6,1,5,0,53.4,0.3,-3.6,251,810,31.0,877,133,61.1,43.2,332,82.5,58.3,578,7,1.2,28,14.9,34,7,0,4,0,38.1,0.26,4.1,262,603,43.4,902,137,46.1,38.4,284,65.8,50.2,556,23,4.1,43,15.1
2020-2021,Villarreal,44,7,0,3,2,38.7,0.25,-3.3,167,431,38.7,1098,208,26.0,30.2,304,48.0,40.5,597,28,4.7,32,13.9,60,12,1,3,3,63.1,0.32,6.1,232,601,38.6,972,143,44.1,37.5,255,67.5,48.6,420,16,3.8,61,17.3
2019-2020,Alavés,59,12,3,3,0,56.6,0.27,-2.4,375,828,45.3,783,103,66.0,42.5,344,90.4,58.6,527,12,2.3,15,13.1,34,6,0,5,0,36.2,0.3,2.2,182,528,34.5,911,137,43.4,37.4,230,57.8,47.0,409,19,4.6,43,16.8
2019-2020,Athletic Club,38,5,2,2,2,39.8,0.28,3.8,345,817,42.2,976,172,56.5,41.4,298,89.3,60.9,547,26,4.8,20,10.0,41,8,1,4,1,39.5,0.22,-0.5,228,636,35.8,897,161,48.6,39.1,319,62.7,47.4,582,25,4.3,34,14.7
2019-2020,Atlético Madrid,27,3,1,4,3,29.8,0.24,5.8,233,592,39.4,637,112,56.4,30.2,320,72.8,50.0,533,12,2.3,12,,51,6,0,3,1,54.0,0.32,4.0,242,653,37.1,951,157,45.8,37.9,344,63.1,48.3,441,19,4.3,38,15.2
2019-2020,Barcelona,38,6,2,1,0,36.5,0.26,-1.5,127,249,51.0,1237,182,15.4,25.7,254,22.8,27.8,401,19,4.7,43,15.2,86,6,5,3,2,75.2,0.32,-8.8,196,561,34.9,790,156,47.0,38.6,271,70.1,51.7,301,16,5.3,31,14.1
