Season,Squad,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Aerial Duels Won%_for,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won%_against
2024-2025 Ligue 1,Lyon,60,0,0,407,357,71,598,282,340,6,3,0,1422,305,332,47.9,71,3,2,387,387,54,549,319,345,3,10,3,1425,52.1
2024-2025 Ligue 1,Marseille,64,6,4,394,371,53,609,280,358,5,6,2,1485,312,249,55.6,61,3,0,390,372,92,385,335,372,3,10,4,1452,44.4
2024-2025 Ligue 1,Monaco,60,4,2,462,444,69,563,357,429,3,3,0,1763,426,421,50.3,70,3,1,470,436,49,498,368,389,1,7,0,1624,49.7
2024-2025 Ligue 1,Montpellier,87,7,2,427,438,65,646,273,389,3,9,3,1349,374,442,45.8,70,2,1,463,399,38,564,280,366,6,4,0,1412,54.2
2024-2025 Ligue 1,Nantes,71,4,0,413,389,31,611,283,376,3,8,3,1289,426,439,49.2,55,5,1,409,393,42,740,221,350,6,5,0,1422,50.8
2024-2025 Ligue 1,Nice,59,5,2,391,417,56,599,365,399,5,3,1,1608,427,402,51.5,72,4,4,432,369,28,604,312,449,2,6,4,1533,48.5
2024-2025 Ligue 1,Paris S-G,37,0,0,307,336,54,562,265,386,6,3,1,1654,262,214,55.0,61,2,0,360,284,73,386,338,454,1,7,3,1521,45.0
2024-2025 Ligue 1,Reims,66,6,2,392,372,59,611,289,359,1,5,0,1407,378,430,46.8,49,3,0,391,361,56,707,270,371,3,2,1,1457,53.2
2024-2025 Ligue 1,Rennes,67,2,0,445,382,48,580,337,363,4,6,2,1458,443,393,53.0,68,6,2,412,421,89,510,356,411,2,8,0,1482,47.0
2024-2025 Ligue 1,Saint-Étienne,65,3,1,449,361,46,402,328,382,4,15,2,1428,342,386,47.0,55,1,0,387,426,58,692,317,402,10,4,0,1544,53.0
2024-2025 Ligue 1,Strasbourg,71,3,1,393,417,48,496,282,335,2,9,2,1436,339,324,51.1,72,2,1,435,370,68,700,312,366,6,2,2,1517,48.9
2024-2025 Ligue 1,Toulouse,54,3,0,441,415,46,580,281,364,4,2,3,1531,426,443,49.0,77,3,0,439,419,41,556,298,398,2,4,2,1508,51.0
2024-2025 Bundesliga,Augsburg,78,5,2,351,373,59,578,341,300,2,5,2,1441,529,491,51.9,50,3,2,378,331,57,712,270,357,2,2,0,1450,48.1
2024-2025 Bundesliga,Bayern Munich,48,1,0,295,341,56,612,232,300,6,2,0,1665,418,344,54.9,65,2,2,357,283,44,334,404,353,1,10,3,1315,45.1
2024-2025 Bundesliga,Bochum,71,2,1,465,293,63,679,294,360,3,6,0,1447,744,665,52.8,44,4,0,302,448,63,595,300,308,5,3,0,1462,47.2
2024-2025 Bundesliga,Dortmund,71,6,3,330,343,43,698,249,319,5,4,1,1480,474,418,53.1,65,5,2,357,321,93,551,312,374,4,6,2,1424,46.9
2024-2025 Bundesliga,Eint Frankfurt,55,1,1,341,304,57,539,287,341,2,3,2,1486,467,437,51.7,58,3,0,324,329,99,677,264,323,3,5,0,1479,48.3
2024-2025 Bundesliga,Freiburg,54,2,1,316,325,61,589,276,317,3,4,1,1368,596,608,49.5,59,2,0,345,296,43,604,260,298,2,4,3,1404,50.5
2024-2025 Bundesliga,Gladbach,53,3,2,339,326,65,617,317,284,5,8,2,1308,530,473,52.8,46,1,1,338,328,57,750,302,303,6,5,2,1462,47.2
2024-2025 Bundesliga,Heidenheim,66,1,0,385,390,50,581,312,356,3,6,0,1420,553,646,46.1,78,2,1,405,371,32,634,243,303,5,5,0,1527,53.9
2024-2025 Bundesliga,Hoffenheim,66,2,0,391,366,70,732,291,336,2,6,3,1466,577,588,49.5,48,3,3,385,376,41,626,273,321,4,3,0,1427,50.5
2024-2025 Bundesliga,Holstein Kiel,77,4,2,407,350,44,482,294,328,4,7,3,1267,546,607,47.4,74,2,1,370,390,62,852,237,258,5,5,0,1388,52.6
2024-2025 Bundesliga,Leverkusen,62,1,1,325,352,64,735,234,259,5,4,4,1463,463,419,52.5,68,1,0,368,314,63,443,352,313,4,6,2,1379,47.5
2024-2025 Bundesliga,Mainz 05,71,5,3,408,329,78,658,352,325,3,5,0,1545,618,697,47.0,83,6,2,349,399,49,656,303,349,5,4,2,1452,53.0
2024-2025 Bundesliga,RB Leipzig,68,5,2,376,333,83,563,268,333,4,3,0,1533,480,439,52.2,73,1,0,344,351,68,660,298,329,3,4,2,1543,47.8
2024-2025 Bundesliga,St. Pauli,53,4,3,353,352,66,600,257,315,2,5,1,1350,533,656,44.8,75,1,0,367,336,74,562,244,275,4,2,2,1351,55.2
2024-2025 Bundesliga,Stuttgart,72,5,3,358,411,62,637,298,282,4,3,1,1378,468,448,51.1,96,7,6,428,343,82,531,303,347,2,6,3,1435,48.9
2024-2025 Bundesliga,Union Berlin,72,1,0,419,313,67,608,312,318,3,6,1,1368,656,676,49.2,57,2,1,325,400,42,723,250,289,5,3,0,1322,50.8
2024-2025 Bundesliga,Werder Bremen,75,4,3,335,402,72,667,315,321,4,3,3,1453,473,470,50.2,81,8,5,423,318,72,593,317,306,2,5,1,1573,49.8
2024-2025 Bundesliga,Wolfsburg,75,3,0,350,366,49,574,312,301,4,3,1,1344,519,562,48.0,67,2,1,379,335,68,646,309,289,2,5,3,1389,52.0
2024-2025,Alavés,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9,107,5,0,504,590,64,722,287,328,6,11,0,1420,52.1
2024-2025,Athletic Club,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1,83,4,2,406,462,84,592,361,471,5,6,1,1624,50.9
2024-2025,Atlético Madrid,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4,68,0,0,450,384,37,656,369,365,3,7,0,1547,48.6
2024-2025,Barcelona,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9,89,2,0,479,351,181,482,381,405,4,8,3,1499,47.1
2024-2025,Betis,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,49.3,102,7,3,552,408,92,683,332,459,3,10,2,1618,50.7
2024-2025,Celta Vigo,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,46.1,88,7,2,455,447,75,667,390,382,2,9,1,1698,53.9
2024-2025,Espanyol,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,49.4,66,2,0,457,469,53,858,292,309,6,5,2,1576,50.6
2024-2025,Getafe,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,51.1,101,5,1,529,561,85,626,282,391,7,5,0,1419,48.9
2024-2025,Girona,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,48.3,80,4,1,460,426,44,607,277,348,6,5,1,1414,51.7
2024-2025,Las Palmas,110,4,2,452,462,59,674,321,370,1,10,3,1454,529,561,48.5,90,7,2,489,431,99,740,307,360,9,4,2,1625,51.5
2024-2025,Leganés,82,6,0,503,470,84,495,332,384,7,8,3,1500,472,614,43.5,74,1,0,492,475,47,879,279,351,6,7,1,1568,56.5
2024-2025,Mallorca,81,6,1,466,432,78,735,326,361,4,3,1,1523,672,609,52.5,70,2,0,451,440,41,821,272,402,1,5,1,1546,47.5
2024-2025,Osasuna,88,0,0,508,379,66,819,266,365,9,7,1,1461,617,515,54.5,81,6,2,405,485,103,704,250,385,7,9,2,1532,45.5
2024-2025,Rayo Vallecano,96,3,0,522,391,79,769,334,396,1,8,1,1688,485,540,47.3,78,4,1,422,499,50,678,314,398,7,1,3,1600,52.7
2024-2025,Real Madrid,57,4,0,332,518,85,578,331,359,11,3,1,1541,334,267,55.6,89,6,1,534,316,43,554,333,408,3,14,0,1467,44.4
2024-2025,Real Sociedad,85,4,0,501,417,82,740,283,401,3,7,0,1569,578,606,48.8,82,0,0,446,479,85,610,292,377,4,4,1,1530,51.2
2024-2025,Sevilla,98,8,3,494,402,70,612,367,390,1,6,1,1551,531,442,54.6,93,4,0,433,469,62,661,283,375,4,3,3,1409,45.4
2024-2025,Valencia,86,1,0,442,446,72,763,302,415,4,9,3,1550,449,540,45.4,86,3,1,474,418,107,691,293,388,6,5,1,1589,54.6
2024-2025,Valladolid,91,5,2,459,486,67,671,311,357,3,7,1,1355,544,524,50.9,86,3,2,505,434,60,743,211,329,6,5,0,1489,49.1
2024-2025,Villarreal,96,4,1,442,463,77,674,281,396,6,8,1,1547,492,399,55.2,99,7,1,496,413,42,782,297,349,7,7,2,1493,44.8
2023-2024,Alavés,84,1,0,481,449,69,830,279,347,7,8,2,1807,574,625,47.9,102,7,3,476,451,60,686,233,340,6,7,3,1752,52.1
2023-2024,Almería,93,6,4,478,493,75,659,313,372,2,9,0,1716,557,587,48.7,72,4,0,509,450,73,828,280,364,6,2,1,1780,51.3
2023-2024,Athletic Club,80,5,3,511,428,78,845,278,362,4,5,4,2010,541,525,50.8,82,3,2,453,487,91,626,370,428,2,5,2,2051,49.2
2023-2024,Atlético Madrid,89,5,3,438,447,123,621,256,399,4,2,0,1896,422,392,51.8,79,2,0,471,411,37,764,298,318,1,6,2,1846,48.2
2023-2024,Barcelona,87,2,1,412,469,99,651,257,363,6,2,0,1789,453,399,53.2,98,8,2,491,401,117,574,318,392,2,7,3,1678,46.8
2023-2024,Betis,87,3,1,429,497,73,636,345,440,1,8,3,1921,479,500,48.9,97,5,3,521,411,106,712,314,464,7,3,2,1864,51.1
2023-2024,Cádiz,107,7,0,576,498,90,791,298,398,2,2,1,1831,632,673,48.4,97,4,2,525,550,65,758,243,370,1,3,1,1871,51.6
2023-2024,Celta Vigo,66,5,2,463,485,63,661,297,382,4,8,3,1908,522,548,48.8,89,4,1,496,445,53,746,335,382,7,5,1,1879,51.2
2023-2024,Getafe,135,10,5,648,437,78,701,307,364,3,7,0,1773,657,692,48.7,105,10,4,464,623,141,640,261,348,6,7,0,1878,51.3
2023-2024,Girona,75,1,0,406,471,95,698,257,340,7,7,0,1808,373,390,48.9,104,5,3,495,383,49,711,301,423,5,8,1,1745,51.1
2023-2024,Granada,98,4,1,514,504,75,664,280,374,5,6,2,1708,484,540,47.3,92,5,1,534,495,108,718,290,344,6,8,3,1884,52.7
2023-2024,Las Palmas,84,5,1,411,499,93,580,281,397,3,9,3,1846,395,489,44.7,97,5,2,525,378,164,694,335,415,8,5,0,1963,55.3
2023-2024,Mallorca,105,4,2,567,412,104,763,365,388,2,5,1,1816,773,686,53.0,53,1,0,434,538,36,656,295,318,3,3,0,1802,47.0
2023-2024,Osasuna,78,5,1,518,392,68,813,263,311,4,2,0,1802,750,655,53.4,92,6,2,420,500,126,694,291,339,1,5,0,1887,46.6
2023-2024,Rayo Vallecano,108,5,3,563,518,96,688,308,372,3,2,2,1908,506,578,46.7,105,7,3,557,535,87,682,285,408,0,6,0,1934,53.3
2023-2024,Real Madrid,69,4,1,368,523,79,618,296,368,3,1,1,1766,329,272,54.7,95,0,0,548,354,38,680,296,389,0,5,2,1609,45.3
2023-2024,Real Sociedad,98,2,0,604,442,92,672,253,405,1,7,1,1816,759,714,51.5,100,6,3,469,570,98,523,278,368,4,4,3,1665,48.5
2023-2024,Sevilla,108,4,0,477,443,77,934,313,463,1,5,2,1901,610,525,53.7,81,3,1,464,445,78,698,236,347,1,2,2,1720,46.3
2023-2024,Valencia,64,5,2,481,475,69,593,324,379,7,6,2,1863,485,628,43.6,102,5,0,495,456,86,734,269,379,5,9,1,1898,56.4
2023-2024,Villarreal,110,8,4,488,462,92,592,304,348,5,6,1,1697,474,357,57.0,91,2,2,486,461,75,886,346,436,3,7,1,1876,43.0
2022-2023,Almería,98,4,2,443,401,83,605,322,322,2,6,1,1890,482,530,47.6,93,5,2,427,427,158,851,249,369,5,3,0,2010,52.4
2022-2023,Athletic Club,81,5,1,512,421,96,918,310,369,3,3,3,2194,532,487,52.2,97,3,1,449,479,77,579,384,416,3,7,1,2087,47.8
2022-2023,Atlético Madrid,92,8,3,440,418,79,625,304,408,0,5,0,1977,445,399,52.7,93,6,2,449,419,57,743,368,317,3,1,2,2011,47.3
2022-2023,Barcelona,84,6,3,433,452,98,744,253,324,0,3,3,1995,467,359,56.5,93,8,2,471,412,120,483,369,385,3,2,1,1831,43.5
2022-2023,Betis,83,15,3,414,535,74,514,364,421,4,3,1,1918,453,502,47.4,99,8,1,568,389,104,756,324,417,2,9,3,1977,52.6
2022-2023,Cádiz,116,7,4,532,482,75,633,270,410,2,10,0,1953,606,651,48.2,100,11,5,508,503,69,852,242,374,6,5,1,1954,51.8
2022-2023,Celta Vigo,85,6,3,469,493,81,705,368,413,2,8,1,2031,458,539,45.9,112,9,3,520,446,64,633,394,356,6,3,2,2018,54.1
2022-2023,Elche,99,12,3,525,394,81,750,323,363,4,10,2,1924,484,465,51.0,83,8,4,417,499,100,753,288,402,7,5,0,1979,49.0
2022-2023,Espanyol,99,10,4,457,493,62,713,338,379,3,6,2,1791,647,596,52.1,111,8,5,515,443,82,730,238,326,4,5,1,1886,47.9
2022-2023,Getafe,126,9,6,600,437,79,649,320,339,3,8,2,1871,714,697,50.6,91,7,4,463,559,95,771,300,290,2,8,0,2137,49.4
2022-2023,Girona,92,3,2,440,507,87,713,266,321,7,8,0,1836,428,435,49.6,91,5,1,537,423,64,753,304,415,6,9,3,1905,50.4
2022-2023,Mallorca,120,5,0,611,457,77,635,318,344,4,7,0,1833,674,629,51.7,94,4,1,482,591,40,822,231,296,4,5,1,1900,48.3
2022-2023,Osasuna,93,7,1,544,410,60,794,315,328,5,4,2,1930,613,628,49.4,81,9,5,430,513,109,696,311,332,4,5,1,1892,50.6
2022-2023,Rayo Vallecano,90,6,2,544,490,98,832,309,393,2,5,4,2085,437,527,45.3,93,7,4,525,514,85,654,345,391,2,8,4,2125,54.7
2022-2023,Real Madrid,72,3,2,367,530,89,574,296,353,8,5,1,1843,339,231,59.5,97,7,1,549,348,56,541,331,407,0,12,2,1730,40.5
2022-2023,Real Sociedad,90,2,0,621,452,91,538,271,395,4,2,2,2018,664,557,54.4,98,10,5,470,591,91,570,325,403,2,4,4,1911,45.6
2022-2023,Sevilla,121,13,4,474,460,106,827,339,367,4,3,3,1973,497,475,51.1,95,8,1,477,452,75,673,271,353,2,5,0,1822,48.9
2022-2023,Valencia,93,8,3,504,510,80,924,288,428,6,5,2,2015,492,561,46.7,127,10,2,527,476,74,594,294,382,3,8,2,1925,53.3
2022-2023,Valladolid,94,6,2,460,516,98,683,345,396,4,10,1,1966,471,617,43.3,66,2,0,555,427,53,734,264,389,5,4,1,1939,56.7
2022-2023,Villarreal,91,4,2,450,482,87,520,262,370,5,4,1,1819,357,375,48.8,105,5,1,501,429,108,708,349,423,3,7,2,1823,51.2
2021-2022,Alavés,93,4,3,529,455,72,758,376,324,6,9,0,1910,869,674,56.3,79,4,1,484,497,89,789,311,273,3,7,2,2061,43.7
2021-2022,Athletic Club,90,4,3,487,483,89,798,339,292,5,3,1,2098,585,572,50.6,105,9,4,513,455,67,754,387,353,2,7,3,2036,49.4
2021-2022,Atlético Madrid,111,7,3,473,503,85,703,365,346,4,8,3,2002,559,539,50.9,102,4,1,520,444,36,601,404,309,3,5,2,1930,49.1
2021-2022,Barcelona,97,5,3,499,489,99,798,325,331,6,3,0,2066,454,410,52.5,93,5,1,511,465,78,500,392,352,2,7,0,1885,47.5
2021-2022,Betis,87,6,1,485,470,71,547,361,392,4,3,2,1908,505,511,49.7,74,3,1,495,455,129,764,375,370,3,6,2,1869,50.3
2021-2022,Cádiz,105,3,3,488,449,69,865,413,380,5,13,0,2077,601,693,46.4,98,6,3,472,462,63,750,323,312,10,6,0,2038,53.6
2021-2022,Celta Vigo,87,3,1,507,463,83,768,376,409,3,8,2,2144,603,696,46.4,103,5,0,488,481,35,609,454,324,6,6,0,2175,53.6
2021-2022,Elche,104,6,1,518,471,74,720,305,325,1,10,0,1982,527,515,50.6,80,2,0,504,495,104,767,359,346,8,1,1,2077,49.4
2021-2022,Espanyol,99,7,3,440,516,70,627,326,338,3,5,2,1736,447,574,43.8,120,7,4,540,418,86,888,287,350,2,5,1,1899,56.2
2021-2022,Getafe,121,8,1,559,481,53,621,401,360,1,4,1,1924,721,717,50.1,110,4,2,510,530,109,752,357,279,3,5,2,2111,49.9
2021-2022,Granada,105,4,1,477,466,62,691,326,343,2,9,2,1867,602,743,44.8,101,9,6,498,453,69,824,307,280,7,5,1,2067,55.2
2021-2022,Levante,109,6,2,550,403,77,624,377,305,6,6,0,2054,441,492,47.3,104,5,3,434,526,78,697,327,384,6,13,0,2051,52.7
2021-2022,Mallorca,114,7,4,554,535,67,597,344,332,6,8,4,2007,651,703,48.1,114,6,4,561,520,57,738,306,351,4,7,3,2011,51.9
2021-2022,Osasuna,84,2,1,498,391,66,864,368,331,3,7,2,2118,808,743,52.1,73,1,0,414,475,82,719,353,326,5,8,0,2104,47.9
2021-2022,Rayo Vallecano,101,3,1,537,511,83,862,365,359,4,9,1,2110,652,655,49.9,110,3,0,540,508,54,659,343,391,6,4,1,2151,50.1
2021-2022,Real Madrid,76,0,0,394,474,106,611,334,345,10,5,0,1941,397,319,55.4,82,3,1,501,370,30,670,342,346,5,12,0,1742,44.6
2021-2022,Real Sociedad,77,4,1,491,465,76,638,348,339,8,6,0,2012,678,597,53.2,95,2,2,493,465,86,662,339,415,5,11,0,1954,46.8
2021-2022,Sevilla,97,4,2,462,462,80,787,270,302,3,4,0,2064,595,561,51.5,98,4,2,497,441,53,647,348,353,1,3,2,1879,48.5
2021-2022,Valencia,134,8,6,641,586,52,765,339,364,8,8,3,2079,564,599,48.5,133,7,4,603,616,97,679,286,335,5,9,3,2076,51.5
2021-2022,Villarreal,81,1,1,472,459,91,574,329,312,3,5,1,1946,491,437,52.9,98,3,2,483,456,123,749,387,380,5,6,1,1929,47.1
2020-2021,Alavés,96,8,5,513,487,73,645,428,292,5,3,0,1737,831,602,58.0,80,3,1,514,477,107,731,342,278,3,8,1,1922,42.0
2020-2021,Athletic Club,82,3,1,483,477,77,811,344,269,5,6,1,1836,656,601,52.2,80,5,4,503,452,83,753,484,303,5,5,3,1861,47.8
2020-2021,Atlético Madrid,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4,59,3,0,486,455,30,708,454,315,3,7,2,1939,47.6
2020-2021,Barcelona,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5,76,6,2,546,333,48,514,517,320,5,8,5,1846,44.5
2020-2021,Betis,93,8,4,521,483,65,586,452,314,9,10,3,1938,613,628,49.4,83,2,0,507,492,125,654,364,336,6,11,0,1936,50.6
2020-2021,Cádiz,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7,87,4,4,509,399,101,805,302,300,5,4,3,1929,52.3
2020-2021,Celta Vigo,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7,102,6,4,529,607,51,741,489,288,6,7,0,1988,52.3
2020-2021,Eibar,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8,66,2,1,417,461,128,545,406,319,5,9,0,1962,50.2
2020-2021,Elche,99,3,2,527,456,51,672,386,335,1,10,1,1811,488,539,47.5,79,2,1,496,506,64,693,406,347,6,3,1,1977,52.5
