Season,Squad,Unnamed: 3_level_0 Poss_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Unnamed: 3_level_0 Poss_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against
2024-2025 Serie A,Fiorentina,51.0,55,37,92,49,6,8,81,3,48.9,42.6,35.1,77.7,620,1240,49.0,40,29,69,39,1,3,92,7,42.8,40.4,30.5,70.9,675,1277
2024-2025 Serie A,Genoa,45.6,35,27,62,35,0,2,71,1,37.2,35.5,26.8,62.3,470,980,54.4,46,31,77,40,6,8,75,2,47.2,41.1,33.9,75.0,609,1375
2024-2025 Serie A,Hellas Verona,38.7,31,20,51,29,2,2,98,9,33.8,32.3,24.8,57.1,449,1011,61.3,65,48,113,63,2,4,53,2,53.4,50.3,39.1,89.5,665,1593
2024-2025 Serie A,Inter,59.4,76,57,133,68,8,9,56,1,66.9,60.1,48.3,108.5,694,1730,40.6,31,20,51,28,3,4,51,4,36.4,33.1,25.5,58.6,631,1064
2024-2025 Serie A,Juventus,57.2,56,40,96,50,6,6,67,3,51.0,46.3,35.9,82.2,810,1561,42.8,35,22,57,30,5,5,73,2,34.0,30.1,21.4,51.5,540,1097
2024-2025 Serie A,Lazio,55.1,60,43,103,54,6,7,93,7,57.2,52.0,38.5,90.4,774,1588,44.9,47,34,81,43,4,4,116,14,37.7,34.7,28.2,62.8,548,1133
2024-2025 Serie A,Lecce,43.8,27,21,48,24,3,4,61,7,34.6,31.8,24.5,56.3,519,1071,56.2,55,37,92,47,8,10,81,5,57.1,49.6,37.8,87.4,654,1685
2024-2025 Serie A,Milan,53.9,59,43,102,55,4,8,70,6,63.7,57.5,46.8,104.4,915,1589,46.1,40,35,75,39,1,2,75,3,41.3,39.7,33.5,73.2,618,1228
2024-2025 Serie A,Monza,48.5,27,18,45,24,3,3,90,3,29.9,27.7,20.9,48.6,533,1096,51.5,66,54,120,64,2,4,63,2,54.7,51.6,41.7,93.4,699,1599
2024-2025 Serie A,Napoli,54.6,56,42,98,52,4,5,47,0,52.9,49.1,39.1,88.2,739,1546,45.4,25,18,43,24,1,4,72,1,29.6,26.3,21.7,48.0,537,1142
2024-2025 Serie A,Parma,44.2,43,31,74,37,6,7,78,6,43.1,37.6,29.3,66.9,578,1059,55.8,56,42,98,51,5,5,80,3,56.4,52.6,41.7,94.3,822,1761
2024-2025 Serie A,Roma,53.9,55,35,90,47,8,8,66,1,53.0,46.7,35.0,81.7,691,1501,46.1,34,21,55,30,4,4,87,6,40.9,37.7,26.7,64.4,668,1278
2024-2025 Serie A,Torino,47.5,36,21,57,34,2,4,80,3,34.6,31.6,22.5,54.0,529,1113,52.5,43,30,73,40,3,7,63,1,50.4,44.9,34.7,79.7,722,1346
2024-2025 Serie A,Udinese,47.2,41,28,69,39,2,4,88,5,38.2,35.0,27.2,62.1,566,1160,52.8,51,30,81,44,7,8,61,5,52.6,46.5,35.6,82.1,582,1282
2024-2025 Serie A,Venezia,45.1,31,16,47,27,4,5,75,2,35.8,32.0,22.2,54.2,507,1066,54.9,53,35,88,43,10,11,70,2,57.5,48.9,39.3,88.2,719,1397
2024-2025 Ligue 1,Angers,41.2,31,17,48,26,5,6,49,2,36.0,31.3,23.5,54.7,502,953,58.8,53,40,93,49,4,5,79,7,57.8,53.9,42.2,96.0,784,1776
2024-2025 Ligue 1,Auxerre,42.5,47,35,82,43,4,5,68,4,41.0,37.3,32.0,69.3,484,1084,57.5,48,36,84,42,6,8,50,4,58.6,52.3,43.9,96.3,645,1522
2024-2025 Ligue 1,Brest,48.4,52,32,84,45,7,9,69,3,45.4,38.3,29.4,67.8,470,1096,51.6,57,39,96,49,8,10,63,2,57.4,50.0,38.5,88.5,559,1521
2024-2025 Ligue 1,Le Havre,43.1,37,21,58,28,9,10,56,4,41.4,33.4,24.4,57.8,538,1051,56.9,70,50,120,65,5,6,68,6,62.8,58.5,45.3,103.8,633,1639
2024-2025 Ligue 1,Lens,54.1,40,26,66,35,5,5,86,8,51.8,48.3,36.2,84.4,570,1451,45.9,39,25,64,31,8,9,62,2,45.3,38.3,29.7,68.0,585,1095
2024-2025 Ligue 1,Lille,57.6,52,29,81,45,7,10,77,2,54.7,47.5,35.1,82.6,669,1616,42.4,35,23,58,31,4,4,63,8,42.5,39.4,29.0,68.4,503,945
2024-2025 Ligue 1,Lyon,56.4,62,46,108,54,8,10,60,0,60.3,52.5,44.4,96.9,709,1615,43.6,46,32,78,43,3,3,71,3,45.7,43.3,33.0,76.4,624,1135
2024-2025 Ligue 1,Marseille,63.3,70,49,119,62,8,10,64,6,63.8,55.8,44.6,100.5,664,1714,36.7,45,35,80,42,3,6,61,3,45.2,40.9,31.5,72.4,436,872
2024-2025 Ligue 1,Monaco,55.0,63,49,112,57,6,7,60,4,72.8,67.7,55.3,123.0,670,1638,45.0,41,30,71,38,3,3,70,3,34.8,32.7,26.4,59.1,549,1218
2024-2025 Ligue 1,Montpellier,45.3,23,13,36,20,3,4,87,7,33.5,30.4,23.0,53.4,529,1039,54.7,76,58,134,68,8,9,70,2,63.3,56.1,44.1,100.2,632,1461
2024-2025 Ligue 1,Nantes,40.4,39,27,66,34,5,5,71,4,39.1,35.3,27.8,63.1,502,1053,59.6,49,33,82,42,7,8,55,5,55.5,49.3,39.3,88.7,715,1728
2024-2025 Ligue 1,Nice,47.5,62,43,105,56,6,6,59,5,61.6,56.9,42.9,99.8,701,1320,52.5,40,30,70,38,2,3,72,4,40.2,38.0,31.2,69.2,618,1314
2024-2025 Ligue 1,Paris S-G,68.0,89,69,158,83,6,7,37,0,88.9,83.3,70.8,154.1,936,2123,32.0,34,22,56,31,3,3,61,2,31.2,29.0,22.7,51.6,467,874
2024-2025 Ligue 1,Reims,44.1,32,19,51,31,1,2,66,6,37.4,35.9,26.5,62.3,586,1156,55.9,47,32,79,43,4,5,49,3,57.4,53.5,40.5,94.1,663,1636
2024-2025 Ligue 1,Rennes,50.9,51,32,83,46,5,8,67,2,48.6,42.7,29.6,72.4,663,1440,49.1,48,37,85,45,3,6,68,6,46.0,41.4,33.7,75.2,575,1144
2024-2025 Ligue 1,Saint-Étienne,47.1,39,28,67,36,3,4,65,3,36.4,33.2,24.6,57.8,529,1262,52.9,75,41,116,62,13,15,55,1,74.3,62.3,47.2,109.5,714,1467
2024-2025 Ligue 1,Strasbourg,50.1,54,43,97,52,2,2,71,3,49.3,47.7,38.5,86.2,563,1204,49.9,42,21,63,34,8,9,72,2,56.1,49.3,39.1,88.3,537,1361
2024-2025 Ligue 1,Toulouse,45.0,42,34,76,39,3,4,54,3,49.1,46.0,34.7,80.6,543,1219,55.0,40,28,68,39,1,2,77,3,36.8,35.2,26.0,61.2,589,1326
2024-2025 Bundesliga,Augsburg,44.3,35,26,61,34,1,2,78,5,34.7,33.1,25.1,58.2,450,1162,55.7,49,31,80,44,5,5,50,3,48.9,45.0,35.0,80.0,604,1438
2024-2025 Bundesliga,Bayern Munich,67.9,96,66,162,87,9,10,48,1,81.7,74.0,59.7,133.7,831,2138,32.1,32,25,57,31,1,2,65,2,25.5,24.0,18.1,42.1,286,669
2024-2025 Bundesliga,Bochum,45.5,32,23,55,31,1,3,71,2,41.8,39.3,30.0,69.4,378,1090,54.5,68,52,120,65,3,6,44,4,63.2,58.2,49.1,107.3,599,1447
2024-2025 Bundesliga,Dortmund,58.9,69,56,125,64,5,6,71,6,61.2,56.5,47.4,103.9,701,1563,41.1,50,39,89,46,4,4,65,5,42.8,39.6,30.9,70.5,473,1058
2024-2025 Bundesliga,Eint Frankfurt,49.7,68,47,115,65,3,5,55,1,65.1,61.4,45.2,106.6,585,1347,50.3,44,28,72,43,1,3,58,3,48.0,45.7,35.6,81.3,547,1289
2024-2025 Bundesliga,Freiburg,48.7,46,35,81,46,0,4,54,2,44.3,41.1,30.5,71.7,442,1129,51.3,52,39,91,50,2,4,59,2,42.4,39.4,30.7,70.1,471,1182
2024-2025 Bundesliga,Gladbach,49.6,53,39,92,49,4,5,53,3,50.6,46.6,37.7,84.3,530,1112,50.4,55,34,89,48,7,8,46,1,63.4,57.0,45.2,102.2,607,1520
2024-2025 Bundesliga,Heidenheim,43.5,37,26,63,32,5,5,66,1,40.3,36.3,28.6,64.9,516,974,56.5,64,50,114,58,6,6,78,2,57.6,53.0,43.1,96.1,643,1620
2024-2025 Bundesliga,Hoffenheim,48.7,46,30,76,43,3,3,66,2,42.6,40.3,32.7,73.0,481,1218,51.3,65,51,116,62,3,6,48,3,55.8,51.1,41.4,92.5,529,1347
2024-2025 Bundesliga,Holstein Kiel,43.6,49,29,78,45,4,5,77,4,39.8,35.9,26.7,62.6,359,875,56.4,77,52,129,71,6,7,74,2,61.0,55.6,44.5,100.1,549,1572
2024-2025 Bundesliga,Leverkusen,59.2,70,53,123,67,3,6,62,1,56.9,52.0,41.9,93.9,696,1692,40.8,39,25,64,35,4,4,68,1,36.2,33.1,22.8,55.9,403,984
2024-2025 Bundesliga,Mainz 05,50.4,53,37,90,49,4,4,71,5,50.1,47.0,37.5,84.6,466,1286,49.6,43,28,71,39,4,5,83,6,48.1,44.6,31.2,75.8,436,1123
2024-2025 Bundesliga,RB Leipzig,52.2,51,36,87,48,3,4,68,5,46.6,43.4,35.6,79.0,516,1353,47.8,48,35,83,46,2,3,73,1,53.3,51.0,38.8,89.8,530,1275
2024-2025 Bundesliga,St. Pauli,44.2,26,22,48,25,1,2,53,4,35.3,33.7,26.3,60.0,418,1073,55.8,40,30,70,39,1,5,75,1,45.4,41.5,35.0,76.4,484,1388
2024-2025 Bundesliga,Stuttgart,57.2,61,45,106,59,2,6,72,5,62.3,57.7,45.3,103.0,545,1493,42.8,52,34,86,50,2,3,96,7,46.9,44.5,33.8,78.3,443,1023
2024-2025 Bundesliga,Union Berlin,40.0,36,25,61,33,3,3,72,1,37.0,34.7,23.5,58.2,390,1049,60.0,49,36,85,47,2,6,57,2,47.8,43.0,32.4,75.4,595,1491
2024-2025 Bundesliga,Werder Bremen,50.0,53,38,91,50,3,5,75,4,49.1,45.7,37.4,83.1,495,1351,50.1,54,39,93,51,3,3,81,8,48.1,45.7,36.3,82.1,540,1336
2024-2025 Bundesliga,Wolfsburg,46.1,53,38,91,49,4,5,75,3,47.5,43.4,33.0,76.4,489,1205,53.9,53,43,96,51,2,3,67,2,52.5,50.1,40.5,90.6,549,1348
2024-2025,Alavés,45.3,38,20,58,29,9,11,107,5,42.8,34.1,25.4,59.5,449,1160,54.7,46,28,74,35,11,11,107,5,47.0,38.5,33.3,71.8,573,1323
2024-2025,Athletic Club,48.4,53,40,93,50,3,6,64,3,53.0,48.2,36.7,84.9,682,1579,51.6,28,11,39,25,3,5,83,4,37.8,33.9,22.9,56.7,468,1177
2024-2025,Atlético Madrid,52.6,68,51,119,62,6,7,75,3,64.6,59.3,47.9,107.2,760,1559,47.4,28,17,45,23,5,5,68,0,33.4,29.5,23.9,53.4,581,1543
2024-2025,Barcelona,68.3,99,72,171,92,7,8,63,3,91.5,85.2,67.5,152.7,860,2212,31.7,39,31,70,35,4,4,89,2,41.9,38.8,32.6,71.4,406,780
2024-2025,Betis,52.4,55,37,92,48,7,10,75,4,54.7,46.9,37.5,84.5,679,1486,47.6,49,32,81,45,4,4,102,7,50.6,47.4,38.4,85.9,611,1411
2024-2025,Celta Vigo,53.6,58,40,98,50,8,9,84,6,54.2,47.3,38.4,85.7,709,1659,46.4,55,45,100,52,3,4,88,7,43.4,40.0,33.3,73.3,564,1222
2024-2025,Espanyol,39.8,38,27,65,33,5,5,88,1,34.4,30.5,24.5,55.0,497,1000,60.2,50,39,89,46,4,6,66,2,53.8,49.0,39.6,88.6,838,1821
2024-2025,Getafe,41.8,34,21,55,29,5,5,110,7,36.8,33.0,23.9,56.9,368,981,58.2,39,21,60,31,8,9,101,5,46.2,39.4,31.3,70.7,499,1284
2024-2025,Girona,56.3,43,31,74,39,4,5,76,2,42.5,38.6,31.6,70.2,765,1691,43.7,59,46,105,56,3,6,80,4,50.4,45.7,36.5,82.2,582,1183
2024-2025,Las Palmas,50.7,38,27,65,35,3,4,110,4,36.3,33.2,26.3,59.4,499,1210,49.3,58,43,101,53,5,10,90,7,66.8,59.3,47.5,106.8,684,1470
2024-2025,Leganés,42.6,38,27,65,33,5,7,82,6,36.0,30.6,23.3,53.8,417,1030,57.4,53,34,87,46,7,8,74,1,59.4,53.1,40.9,94.0,754,1675
2024-2025,Mallorca,46.8,34,24,58,30,4,5,81,6,38.8,34.9,26.5,61.3,479,1184,53.2,43,31,74,40,3,3,70,2,46.8,44.5,36.0,80.5,693,1587
2024-2025,Osasuna,46.1,46,28,74,37,9,9,88,0,44.0,37.8,29.8,67.6,567,1221,53.9,51,38,89,44,7,7,81,6,53.7,48.2,40.6,88.9,647,1546
2024-2025,Rayo Vallecano,51.7,38,27,65,38,0,1,96,3,45.4,44.6,36.2,80.9,589,1362,48.3,44,33,77,38,6,8,78,4,49.0,42.7,33.0,75.7,613,1326
2024-2025,Real Madrid,60.4,78,55,133,68,10,14,57,4,75.3,64.5,54.6,119.0,983,1967,39.6,37,27,64,34,3,3,89,6,42.8,40.8,32.0,72.8,648,1168
2024-2025,Real Sociedad,53.8,34,22,56,30,4,4,85,4,42.5,39.3,30.9,70.3,645,1341,46.2,46,32,78,41,5,7,82,0,43.9,38.3,29.0,67.3,538,1141
2024-2025,Sevilla,50.5,39,32,71,37,2,3,98,8,42.7,40.3,30.8,71.1,594,1193,49.5,54,37,91,49,5,6,93,4,47.4,42.7,34.0,76.7,551,1262
2024-2025,Valencia,48.4,43,26,69,38,5,5,86,1,43.2,39.3,30.0,69.3,572,1340,51.6,51,38,89,45,6,9,86,3,51.9,44.9,37.2,82.0,589,1419
2024-2025,Valladolid,42.8,26,15,41,21,5,5,91,5,34.6,30.7,25.7,56.4,476,991,57.2,89,62,151,82,7,7,86,3,67.6,62.4,46.8,109.2,724,1753
2024-2025,Villarreal,47.6,69,51,120,64,5,7,96,4,64.8,59.1,49.7,108.8,693,1522,52.4,50,28,78,43,7,8,99,7,44.4,38.2,28.5,66.7,720,1597
2023-2024,Alavés,41.8,33,28,61,30,3,7,84,1,46.2,40.7,32.4,73.0,550,1260,58.2,44,29,73,36,8,8,102,7,44.7,38.5,29.8,68.3,744,1502
2023-2024,Almería,46.4,42,25,67,40,2,2,93,6,48.7,47.1,34.2,81.4,590,1097,53.6,75,56,131,69,6,9,72,4,61.6,54.5,45.3,99.8,751,1644
2023-2024,Athletic Club,49.8,59,41,100,56,3,5,80,5,52.7,48.7,37.0,85.8,735,1610,50.2,33,27,60,32,1,5,82,3,41.3,37.5,32.0,69.5,521,1298
2023-2024,Atlético Madrid,50.8,68,48,116,63,5,6,89,5,62.4,57.9,47.4,105.2,758,1597,49.2,43,33,76,42,1,2,79,2,39.5,37.9,29.7,67.6,648,1544
2023-2024,Barcelona,64.3,76,55,131,70,6,7,87,2,77.6,72.1,57.4,129.5,964,1925,35.7,44,35,79,42,2,2,98,8,41.6,40.1,30.9,71.0,487,992
2023-2024,Betis,50.4,46,31,77,44,2,3,87,3,43.9,41.7,32.7,74.4,676,1441,49.6,42,23,65,35,7,8,97,5,50.2,44.0,32.6,76.5,649,1457
2023-2024,Cádiz,43.3,25,17,42,22,3,3,107,7,36.0,33.6,25.2,58.9,456,1017,56.7,54,37,91,52,2,2,97,4,52.3,50.7,40.2,90.9,787,1679
2023-2024,Celta Vigo,46.1,45,35,80,42,3,5,66,5,50.7,46.9,38.2,85.1,660,1345,53.9,54,32,86,48,6,8,89,4,54.6,48.4,35.9,84.3,651,1535
2023-2024,Getafe,44.8,42,27,69,36,6,7,135,10,45.7,40.2,27.9,68.0,439,1141,55.2,54,37,91,49,5,7,105,10,53.8,48.3,38.0,86.3,599,1325
2023-2024,Girona,56.9,84,64,148,77,7,8,75,1,70.8,64.6,54.0,118.6,894,1685,43.1,46,30,76,41,5,7,104,5,54.3,48.9,37.7,86.6,610,1277
2023-2024,Granada,45.6,35,27,62,30,5,8,98,4,42.6,36.4,31.1,67.6,512,1044,54.4,77,54,131,72,5,6,92,5,64.2,59.5,43.8,103.2,728,1490
2023-2024,Las Palmas,59.2,33,23,56,30,3,5,84,5,33.2,29.2,23.3,52.5,577,1596,40.8,44,33,77,39,5,9,97,5,56.6,49.7,41.8,91.4,584,1207
2023-2024,Mallorca,45.0,33,27,60,32,1,3,105,4,40.5,38.2,30.8,69.0,498,1174,55.0,43,29,72,39,4,5,53,1,42.9,39.0,28.5,67.5,663,1399
2023-2024,Osasuna,47.5,45,32,77,41,4,5,78,5,40.5,36.6,28.5,65.1,501,1322,52.5,56,44,100,55,1,2,92,6,49.9,48.5,38.3,86.8,646,1427
2023-2024,Rayo Vallecano,49.4,29,12,41,23,6,6,108,5,42.3,37.7,24.6,62.3,506,1335,50.6,46,36,82,45,1,2,105,7,44.6,43.1,36.3,79.4,658,1371
2023-2024,Real Madrid,59.2,85,66,151,83,2,5,69,4,68.8,65.2,52.5,117.7,950,1935,40.8,25,17,42,24,1,1,95,0,35.4,34.7,26.4,61.1,583,1261
2023-2024,Real Sociedad,55.3,48,36,84,44,4,4,98,2,44.9,41.8,30.7,72.5,685,1414,44.7,38,24,62,32,6,7,100,6,41.3,36.0,24.6,60.5,405,941
2023-2024,Sevilla,50.3,46,30,76,44,2,2,108,4,44.9,43.3,31.7,75.0,635,1416,49.7,52,40,92,47,5,5,81,3,55.9,52.1,42.0,94.1,693,1483
2023-2024,Valencia,44.3,39,24,63,31,8,9,64,5,43.1,36.2,27.0,63.2,522,1162,55.7,43,31,74,40,3,6,102,5,47.6,42.9,32.8,75.7,621,1587
2023-2024,Villarreal,49.6,64,47,111,59,5,7,110,8,55.6,50.1,40.5,90.6,654,1558,50.4,64,48,112,58,6,6,91,2,58.7,54.0,40.6,94.6,734,1655
2022-2023,Almería,45.1,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,54.9,64,49,113,60,4,6,93,5,62.5,57.8,49.5,107.4,860,1707
2022-2023,Athletic Club,51.6,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,48.4,40,28,68,37,3,3,97,3,36.9,34.5,26.9,61.4,549,1212
2022-2023,Atlético Madrid,50.6,68,51,119,67,1,1,92,8,61.9,61.1,48.0,109.1,730,1571,49.4,33,22,55,29,4,5,93,6,41.1,37.2,31.3,68.5,729,1634
2022-2023,Barcelona,64.3,69,56,125,69,0,2,84,6,75.5,74.0,60.1,134.1,961,2182,35.7,17,10,27,14,3,3,93,8,33.2,30.8,23.0,53.9,475,955
2022-2023,Betis,50.6,43,26,69,35,8,9,83,15,51.3,44.3,34.6,78.9,621,1272,49.4,40,28,68,37,3,3,99,8,50.0,47.7,37.0,84.7,749,1571
2022-2023,Cádiz,41.9,29,20,49,25,4,5,116,7,41.5,37.7,27.7,65.4,475,969,58.1,53,32,85,44,9,10,100,11,61.6,53.8,38.4,92.3,823,1739
2022-2023,Celta Vigo,50.2,41,31,72,39,2,3,85,6,42.6,40.3,30.8,71.1,704,1403,49.8,52,35,87,47,5,8,112,9,45.4,39.2,30.5,69.7,536,1297
2022-2023,Elche,45.5,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,54.5,65,44,109,58,7,10,83,8,70.0,62.1,48.7,110.9,737,1615
2022-2023,Espanyol,43.1,51,31,82,46,5,5,99,10,48.3,44.4,35.0,79.4,528,1146,56.9,67,47,114,62,5,6,111,8,59.8,55.3,44.6,99.8,748,1634
2022-2023,Getafe,39.9,34,21,55,29,5,8,126,9,36.7,30.4,22.5,53.0,365,1003,60.1,43,29,72,39,4,8,91,7,46.0,39.8,31.0,70.8,688,1519
2022-2023,Girona,51.3,55,41,96,47,8,9,92,3,50.6,43.8,37.5,81.3,725,1378,48.7,55,39,94,49,6,8,91,5,54.9,48.6,38.6,87.2,677,1439
2022-2023,Mallorca,41.1,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,58.9,43,31,74,37,6,7,94,4,46.4,41.0,31.8,72.8,795,1706
2022-2023,Osasuna,48.0,36,30,66,32,4,5,93,7,39.8,35.9,28.4,64.3,545,1356,52.0,40,29,69,39,1,4,81,9,45.7,42.5,34.8,77.3,680,1371
2022-2023,Rayo Vallecano,51.2,41,29,70,37,4,8,90,6,43.9,37.8,30.0,67.8,703,1390,48.8,49,34,83,45,4,5,93,7,50.3,46.6,36.8,83.4,589,1231
2022-2023,Real Madrid,60.9,73,56,129,64,9,12,72,3,75.5,66.1,56.8,122.9,1008,2017,39.1,35,21,56,31,4,5,97,7,38.9,35.0,27.8,62.8,631,1189
2022-2023,Real Sociedad,54.6,47,36,83,45,2,4,90,2,52.9,49.7,39.7,89.4,692,1483,45.4,33,26,59,32,1,2,98,10,33.0,31.5,24.8,56.3,575,1025
2022-2023,Sevilla,52.6,47,31,78,43,4,5,121,13,46.3,42.4,32.0,74.5,558,1513,47.4,51,40,91,49,2,3,95,8,54.2,51.8,42.0,93.7,643,1275
2022-2023,Valencia,52.0,40,23,63,35,5,8,93,8,49.3,43.0,32.5,75.5,786,1472,48.0,43,34,77,41,2,5,127,10,43.5,39.7,32.3,72.0,480,1225
2022-2023,Valladolid,48.7,32,24,56,29,3,4,94,6,38.5,35.4,28.4,63.7,610,1244,51.3,62,46,108,56,6,10,66,2,65.2,57.5,46.7,104.2,723,1486
2022-2023,Villarreal,56.9,57,33,90,53,4,7,91,4,61.6,56.1,43.2,99.3,846,1622,43.1,39,29,68,35,4,4,105,5,49.9,46.7,35.7,82.4,640,1242
2021-2022,Alavés,42.0,29,20,49,23,6,7,93,4,37.3,31.8,25.5,57.3,420,984,58.2,65,48,113,59,6,9,79,4,57.0,50.0,42.0,92.0,656,1568
