Season,Squad,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against
2024-2025 Premier League,Leicester City,33,332,105,31.6,0.09,0.3,17.3,8,2,3,32.6,30.4,0.09,0.4,0.6,77,639,205,32.1,0.12,0.36,16.0,21,3,4,71.9,68.8,0.11,5.1,5.2
2024-2025 Premier League,Liverpool,85,639,215,33.6,0.12,0.35,15.9,11,9,9,82.2,75.2,0.12,2.8,0.8,39,385,136,35.3,0.1,0.28,17.6,12,1,2,38.6,36.9,0.1,0.4,1.1
2024-2025 Premier League,Manchester City,71,603,208,34.5,0.11,0.33,16.9,21,3,4,68.1,64.9,0.11,2.9,3.1,42,351,124,35.3,0.11,0.31,15.4,5,4,4,47.7,44.6,0.13,-5.7,-6.6
2024-2025 Premier League,Manchester Utd,42,524,168,32.1,0.07,0.23,17.4,15,4,4,52.6,49.4,0.1,-10.6,-11.4,52,411,145,35.3,0.12,0.34,16.5,14,3,4,53.8,50.8,0.13,-1.8,-1.8
2024-2025 Premier League,Newcastle Utd,66,519,163,31.4,0.12,0.37,15.9,14,5,6,63.8,59.5,0.12,2.2,1.5,45,471,159,33.8,0.09,0.28,16.7,7,1,2,45.5,44.0,0.1,-0.5,0.0
2024-2025 Premier League,Nott'ham Forest,57,460,162,35.2,0.12,0.33,17.5,15,3,3,45.5,43.2,0.1,11.5,10.8,46,528,162,30.7,0.08,0.27,16.8,11,3,3,48.9,46.5,0.09,-2.9,-3.5
2024-2025 Premier League,Southampton,25,341,106,31.1,0.07,0.24,16.3,7,0,2,32.7,30.9,0.09,-7.7,-5.9,86,672,236,35.1,0.12,0.33,16.3,18,7,9,84.8,77.9,0.12,1.2,1.1
2024-2025 Premier League,Tottenham,61,493,177,35.9,0.12,0.33,16.0,13,3,4,58.8,55.7,0.12,2.2,2.3,61,519,177,34.1,0.11,0.33,15.8,8,3,3,63.3,60.9,0.12,-2.3,-2.9
2024-2025 Premier League,West Ham,43,473,137,29.0,0.08,0.29,16.3,14,3,3,47.0,44.7,0.1,-4.0,-4.7,59,580,183,31.6,0.1,0.31,16.9,18,3,3,59.7,57.4,0.1,-0.7,-1.4
2024-2025 Premier League,Wolves,53,431,155,36.0,0.12,0.34,18.1,18,0,0,43.7,43.7,0.1,9.3,9.3,66,464,159,34.3,0.13,0.37,16.5,19,7,9,58.1,51.0,0.11,7.9,8.0
2024-2025 Serie A,Atalanta,76,538,181,33.6,0.13,0.39,15.0,5,5,7,65.0,59.5,0.11,11.0,11.5,35,403,145,36.0,0.08,0.23,18.3,11,2,2,38.6,37.1,0.1,-3.6,-4.1
2024-2025 Serie A,Bologna,56,505,166,32.9,0.1,0.3,17.5,18,6,7,49.3,43.8,0.09,6.7,6.2,45,317,103,32.5,0.14,0.42,17.3,11,2,3,36.7,34.3,0.11,8.3,8.7
2024-2025 Serie A,Cagliari,38,421,115,27.3,0.08,0.3,16.0,10,3,3,42.7,40.3,0.1,-4.7,-5.3,56,497,147,29.6,0.1,0.34,17.7,17,6,6,55.3,51.1,0.11,0.7,-1.1
2024-2025 Serie A,Como,44,519,176,33.9,0.08,0.25,17.9,17,0,2,45.4,43.9,0.09,-1.4,0.1,52,376,136,36.2,0.12,0.33,17.5,22,7,7,43.0,37.6,0.1,9.0,7.4
2024-2025 Serie A,Empoli,31,367,107,29.2,0.08,0.27,19.1,21,2,3,32.5,30.1,0.08,-1.5,-1.1,58,513,156,30.4,0.11,0.37,17.3,17,1,3,50.1,47.7,0.09,7.9,9.3
2024-2025 Serie A,Fiorentina,55,429,160,37.3,0.11,0.31,18.4,20,6,8,48.9,42.6,0.1,6.1,6.4,40,429,143,33.3,0.09,0.27,17.8,14,1,3,42.8,40.4,0.09,-2.8,-1.4
2024-2025 Serie A,Genoa,35,383,117,30.5,0.09,0.3,17.7,16,0,2,37.2,35.5,0.09,-2.2,-0.5,46,472,150,31.8,0.08,0.27,17.9,15,6,8,47.2,41.1,0.09,-1.2,-1.1
2024-2025 Serie A,Hellas Verona,31,372,95,25.5,0.08,0.31,17.7,12,2,2,33.8,32.3,0.09,-2.8,-3.3,65,501,169,33.7,0.13,0.37,18.4,23,2,4,53.4,50.3,0.1,11.6,12.7
2024-2025 Serie A,Inter,76,554,177,31.9,0.12,0.38,16.6,17,8,9,66.9,60.1,0.11,9.1,7.9,31,385,120,31.2,0.07,0.23,18.1,11,3,4,36.4,33.1,0.09,-5.4,-5.1
2024-2025 Serie A,Juventus,56,509,175,34.4,0.1,0.29,17.3,11,6,6,51.0,46.3,0.09,5.0,3.7,35,394,114,28.9,0.08,0.26,18.0,13,5,5,34.0,30.1,0.08,1.0,-0.1
2024-2025 Serie A,Lazio,60,528,185,35.0,0.1,0.29,17.7,13,6,7,57.2,52.0,0.1,2.8,2.0,47,380,115,30.3,0.11,0.37,17.6,14,4,4,37.7,34.7,0.09,9.3,8.3
2024-2025 Serie A,Lecce,27,450,119,26.4,0.05,0.2,19.3,22,3,4,34.6,31.8,0.07,-7.6,-7.8,55,521,172,33.0,0.09,0.27,17.5,18,8,10,57.1,49.6,0.1,-2.1,-2.6
2024-2025 Serie A,Milan,59,555,185,33.3,0.1,0.3,17.9,8,4,8,63.7,57.5,0.11,-4.7,-2.5,40,429,140,32.6,0.09,0.28,17.9,14,1,2,41.3,39.7,0.1,-1.3,-0.7
2024-2025 Serie A,Monza,27,333,99,29.7,0.07,0.24,18.3,17,3,3,29.9,27.7,0.09,-2.9,-3.7,66,563,179,31.8,0.11,0.36,16.8,19,2,4,54.7,51.6,0.09,11.3,12.4
2024-2025 Serie A,Napoli,56,499,150,30.1,0.1,0.35,16.2,11,4,5,52.9,49.1,0.1,3.1,2.9,25,360,93,25.8,0.07,0.26,19.2,19,1,4,29.6,26.3,0.07,-4.6,-2.3
2024-2025 Serie A,Parma,43,418,140,33.5,0.09,0.26,19.3,22,6,7,43.1,37.6,0.09,-0.1,-0.6,56,537,153,28.5,0.09,0.33,17.1,20,5,5,56.4,52.6,0.1,-0.4,-1.6
2024-2025 Serie A,Roma,55,514,162,31.5,0.09,0.29,17.9,15,8,8,53.0,46.7,0.09,2.0,0.3,34,437,147,33.6,0.07,0.2,18.2,13,4,4,40.9,37.7,0.09,-6.9,-7.7
2024-2025 Serie A,Torino,36,383,123,32.1,0.09,0.28,18.6,12,2,4,34.6,31.6,0.08,1.4,2.4,43,522,173,33.1,0.08,0.23,17.3,9,3,7,50.4,44.9,0.09,-7.4,-4.9
2024-2025 Serie A,Udinese,41,430,137,31.9,0.09,0.28,17.7,15,2,4,38.2,35.0,0.08,2.8,4.0,51,496,157,31.7,0.09,0.28,16.8,12,7,8,52.6,46.5,0.1,-1.6,-2.5
2024-2025 Serie A,Venezia,31,381,120,31.5,0.07,0.23,18.5,25,4,5,35.8,32.0,0.09,-4.8,-5.0,53,556,177,31.8,0.08,0.24,17.2,15,10,11,57.5,48.9,0.09,-4.5,-5.9
2024-2025 Ligue 1,Angers,31,311,91,29.3,0.08,0.29,18.3,13,5,6,36.0,31.3,0.1,-5.0,-5.3,53,478,186,38.9,0.1,0.26,16.9,9,4,5,57.8,53.9,0.12,-4.8,-4.9
2024-2025 Ligue 1,Auxerre,47,375,144,38.4,0.11,0.3,17.5,10,4,5,41.0,37.3,0.1,6.0,5.7,48,445,165,37.1,0.09,0.25,16.5,17,6,8,58.6,52.3,0.12,-10.6,-10.3
2024-2025 Ligue 1,Brest,52,409,151,36.9,0.11,0.3,17.0,7,7,9,45.4,38.3,0.1,6.6,6.7,57,404,132,32.7,0.12,0.37,15.8,8,8,10,57.4,50.0,0.13,-0.4,-1.0
2024-2025 Ligue 1,Le Havre,37,339,97,28.6,0.08,0.29,17.8,14,9,10,41.4,33.4,0.1,-4.4,-5.4,70,482,169,35.1,0.13,0.38,16.4,8,5,6,62.8,58.5,0.13,7.2,6.5
2024-2025 Ligue 1,Lens,40,484,148,30.6,0.07,0.24,16.7,7,5,5,51.8,48.3,0.1,-11.8,-13.3,39,369,133,36.0,0.08,0.23,17.2,12,8,9,45.3,38.3,0.11,-6.3,-7.3
2024-2025 Ligue 1,Lille,52,424,154,36.3,0.11,0.29,16.6,15,7,10,54.7,47.5,0.12,-2.7,-2.5,35,333,122,36.6,0.09,0.25,16.3,10,4,4,42.5,39.4,0.12,-7.5,-8.4
2024-2025 Ligue 1,Lyon,62,434,173,39.9,0.12,0.31,16.2,6,8,10,60.3,52.5,0.12,1.7,1.5,46,447,163,36.5,0.1,0.26,18.1,17,3,3,45.7,43.3,0.1,0.3,-0.3
2024-2025 Ligue 1,Marseille,70,481,185,38.5,0.13,0.34,16.7,15,8,10,63.8,55.8,0.12,6.2,6.2,45,320,129,40.3,0.13,0.33,17.0,11,3,6,45.2,40.9,0.13,-0.2,1.1
2024-2025 Ligue 1,Monaco,63,493,180,36.5,0.12,0.32,15.7,9,6,7,72.8,67.7,0.14,-9.8,-10.7,41,333,125,37.5,0.11,0.3,18.2,5,3,3,34.8,32.7,0.1,6.2,5.3
2024-2025 Ligue 1,Montpellier,23,371,111,29.9,0.05,0.18,18.7,20,3,4,33.5,30.4,0.09,-10.5,-10.4,76,523,185,35.4,0.13,0.37,16.3,15,8,9,63.3,56.1,0.11,12.7,11.9
2024-2025 Ligue 1,Nantes,39,345,119,34.5,0.1,0.29,15.9,4,5,5,39.1,35.3,0.11,-0.1,-1.3,49,419,141,33.7,0.1,0.3,16.2,8,7,8,55.5,49.3,0.12,-6.5,-7.3
2024-2025 Ligue 1,Nice,62,486,183,37.7,0.12,0.31,16.2,14,6,6,61.6,56.9,0.13,0.4,-0.9,40,456,158,34.6,0.08,0.24,17.9,13,2,3,40.2,38.0,0.09,-0.2,0.0
2024-2025 Ligue 1,Paris S-G,89,628,272,43.3,0.13,0.31,16.3,13,6,7,88.9,83.3,0.14,0.1,-0.3,34,309,100,32.4,0.1,0.31,17.6,6,3,3,31.2,29.0,0.1,2.8,2.0
2024-2025 Ligue 1,Reims,32,393,111,28.2,0.08,0.28,17.6,8,1,2,37.4,35.9,0.09,-5.4,-4.9,47,496,174,35.1,0.09,0.25,16.7,9,4,5,57.4,53.5,0.11,-10.4,-10.5
2024-2025 Ligue 1,Rennes,51,423,155,36.6,0.11,0.3,17.3,8,5,8,48.6,42.7,0.1,2.4,3.3,48,370,132,35.7,0.12,0.34,16.6,8,3,6,46.0,41.4,0.11,2.0,3.6
2024-2025 Ligue 1,Saint-Étienne,39,366,115,31.4,0.1,0.31,18.1,8,3,4,36.4,33.2,0.1,2.6,2.8,75,536,194,36.2,0.12,0.32,15.7,12,13,15,74.3,62.3,0.12,0.7,-0.3
2024-2025 Ligue 1,Strasbourg,54,354,140,39.5,0.15,0.37,16.0,10,2,2,49.3,47.7,0.14,4.7,4.3,42,448,160,35.7,0.08,0.21,16.7,9,8,9,56.1,49.3,0.11,-14.1,-15.3
2024-2025 Ligue 1,Toulouse,42,399,145,36.3,0.1,0.27,15.4,7,3,4,49.1,46.0,0.12,-7.1,-7.0,40,347,106,30.5,0.11,0.37,17.6,11,1,2,36.8,35.2,0.1,3.2,3.8
2024-2025 Bundesliga,Augsburg,35,397,114,28.7,0.09,0.3,17.4,10,1,2,34.7,33.1,0.08,0.3,0.9,49,447,151,33.8,0.1,0.29,16.7,13,5,5,48.9,45.0,0.1,0.1,-1.0
2024-2025 Bundesliga,Bayern Munich,96,636,255,40.1,0.14,0.34,16.7,19,9,10,81.7,74.0,0.12,14.3,13.0,32,229,79,34.5,0.14,0.39,17.3,3,1,2,25.5,24.0,0.11,6.5,7.0
2024-2025 Bundesliga,Bochum,32,433,133,30.7,0.07,0.23,17.7,11,1,3,41.8,39.3,0.09,-9.8,-8.3,68,481,148,30.8,0.14,0.44,16.3,16,3,6,63.2,58.2,0.12,4.8,6.8
2024-2025 Bundesliga,Dortmund,69,478,157,32.8,0.13,0.41,16.1,9,5,6,61.2,56.5,0.12,7.8,7.5,50,372,136,36.6,0.12,0.34,17.0,8,4,4,42.8,39.6,0.11,7.2,6.4
2024-2025 Bundesliga,Eint Frankfurt,68,480,172,35.8,0.14,0.38,16.4,13,3,5,65.1,61.4,0.13,2.9,3.6,44,466,160,34.3,0.09,0.27,17.1,8,1,3,48.0,45.7,0.1,-4.0,-2.7
2024-2025 Bundesliga,Freiburg,46,405,132,32.6,0.11,0.35,16.9,16,0,4,44.3,41.1,0.11,1.7,4.9,52,428,146,34.1,0.12,0.34,17.8,13,2,4,42.4,39.4,0.09,9.6,10.6
2024-2025 Bundesliga,Gladbach,53,413,153,37.0,0.12,0.32,16.4,5,4,5,50.6,46.6,0.11,2.4,2.4,55,577,183,31.7,0.08,0.26,17.2,13,7,8,63.4,57.0,0.1,-8.4,-9.0
2024-2025 Bundesliga,Heidenheim,37,398,124,31.2,0.08,0.26,17.3,12,5,5,40.3,36.3,0.09,-3.3,-4.3,64,454,165,36.3,0.13,0.35,17.4,15,6,6,57.6,53.0,0.12,6.4,5.0
2024-2025 Bundesliga,Hoffenheim,46,440,148,33.6,0.1,0.29,17.7,11,3,3,42.6,40.3,0.09,3.4,2.7,65,485,167,34.4,0.13,0.37,16.4,16,3,6,55.8,51.1,0.11,9.2,10.9
2024-2025 Bundesliga,Holstein Kiel,49,368,133,36.1,0.12,0.34,17.8,12,4,5,39.8,35.9,0.1,9.2,9.1,77,548,188,34.3,0.13,0.38,15.7,10,6,7,61.0,55.6,0.1,16.0,15.4
2024-2025 Bundesliga,Leverkusen,70,499,181,36.3,0.13,0.37,16.8,12,3,6,56.9,52.0,0.11,13.1,15.0,39,330,130,39.4,0.11,0.27,17.2,10,4,4,36.2,33.1,0.1,2.8,1.9
2024-2025 Bundesliga,Mainz 05,53,417,142,34.1,0.12,0.35,16.3,11,4,4,50.1,47.0,0.12,2.9,2.0,43,459,145,31.6,0.08,0.27,16.7,10,4,5,48.1,44.6,0.1,-5.1,-5.6
2024-2025 Bundesliga,RB Leipzig,51,405,144,35.6,0.12,0.33,16.7,11,3,4,46.6,43.4,0.11,4.4,4.6,48,497,155,31.2,0.09,0.3,16.2,12,2,3,53.3,51.0,0.11,-5.3,-5.0
2024-2025 Bundesliga,St. Pauli,26,377,109,28.9,0.07,0.23,17.4,14,1,2,35.3,33.7,0.09,-9.3,-8.7,40,375,135,36.0,0.1,0.29,16.1,6,1,5,45.4,41.5,0.11,-5.4,-2.5
2024-2025 Bundesliga,Stuttgart,61,465,172,37.0,0.13,0.34,15.7,9,2,6,62.3,57.7,0.13,-1.3,1.3,52,386,133,34.5,0.13,0.38,17.0,10,2,3,46.9,44.5,0.12,5.1,5.5
2024-2025 Bundesliga,Union Berlin,36,414,120,29.0,0.08,0.28,16.6,7,3,3,37.0,34.7,0.08,-1.0,-1.7,49,410,133,32.4,0.11,0.35,16.9,13,2,6,47.8,43.0,0.11,1.2,4.0
2024-2025 Bundesliga,Werder Bremen,53,424,138,32.5,0.12,0.36,16.0,12,3,5,49.1,45.7,0.11,3.9,4.3,54,467,153,32.8,0.11,0.33,17.6,18,3,3,48.1,45.7,0.1,5.9,5.3
2024-2025 Bundesliga,Wolfsburg,53,432,137,31.7,0.11,0.36,17.3,13,4,5,47.5,43.4,0.1,5.5,5.6,53,470,157,33.4,0.11,0.32,16.5,13,2,3,52.5,50.1,0.11,0.5,0.9
2024-2025,Alavés,38,393,123,31.3,0.07,0.24,17.8,10,9,11,42.8,34.1,0.09,-4.8,-5.1,46,395,121,30.6,0.09,0.29,17.6,17,11,11,47.0,38.5,0.1,-1.0,-3.5
2024-2025,Athletic Club,53,462,148,32.0,0.11,0.34,17.4,8,3,6,53.0,48.2,0.11,0.0,1.8,28,338,108,32.0,0.07,0.23,17.6,9,3,5,37.8,33.9,0.1,-9.8,-8.9
2024-2025,Atlético Madrid,68,463,174,37.6,0.13,0.36,17.0,13,6,7,64.6,59.3,0.13,3.4,2.7,28,387,111,28.7,0.06,0.21,18.6,14,5,5,33.4,29.5,0.08,-5.4,-6.5
2024-2025,Barcelona,99,670,240,35.8,0.14,0.38,17.1,27,7,8,91.5,85.2,0.13,7.5,6.8,39,290,104,35.9,0.12,0.34,17.5,7,4,4,41.9,38.8,0.13,-2.9,-3.8
2024-2025,Betis,55,518,176,34.0,0.09,0.27,18.1,14,7,10,54.7,46.9,0.09,0.3,1.1,49,418,137,32.8,0.11,0.33,17.3,11,4,4,50.6,47.4,0.12,-1.6,-2.4
2024-2025,Celta Vigo,58,442,167,37.8,0.11,0.3,17.9,19,8,9,54.2,47.3,0.11,3.8,2.7,55,399,141,35.3,0.13,0.37,16.8,9,3,4,43.4,40.0,0.1,11.6,12.0
2024-2025,Espanyol,38,351,98,27.9,0.09,0.34,18.4,15,5,5,34.4,30.5,0.09,3.6,2.5,50,561,186,33.2,0.08,0.25,18.0,22,4,6,53.8,49.0,0.09,-3.8,-3.0
2024-2025,Getafe,34,430,122,28.4,0.07,0.24,19.4,17,5,5,36.8,33.0,0.08,-2.8,-4.0,39,362,117,32.3,0.09,0.26,17.9,12,8,9,46.2,39.4,0.11,-7.2,-8.4
2024-2025,Girona,43,397,134,33.8,0.1,0.29,17.7,13,4,5,42.5,38.6,0.1,0.5,0.4,59,450,158,35.1,0.12,0.35,18.1,16,3,6,50.4,45.7,0.1,8.6,10.3
2024-2025,Las Palmas,38,409,134,32.8,0.09,0.26,19.2,21,3,4,36.3,33.2,0.08,1.7,1.8,58,530,173,32.6,0.1,0.31,17.4,18,5,10,66.8,59.3,0.11,-8.8,-6.3
2024-2025,Leganés,38,345,110,31.9,0.1,0.3,20.1,19,5,7,36.0,30.6,0.09,2.0,2.4,53,563,168,29.8,0.08,0.27,17.6,15,7,8,59.4,53.1,0.1,-6.4,-7.1
2024-2025,Mallorca,34,382,107,28.0,0.08,0.28,16.3,7,4,5,38.8,34.9,0.09,-4.8,-4.9,43,565,162,28.7,0.07,0.25,18.5,9,3,3,46.8,44.5,0.08,-3.8,-4.5
2024-2025,Osasuna,46,409,123,30.1,0.09,0.3,16.7,9,9,9,44.0,37.8,0.09,2.0,-0.8,51,460,180,39.1,0.1,0.24,18.1,22,7,7,53.7,48.2,0.11,-2.7,-4.2
2024-2025,Rayo Vallecano,38,514,162,31.5,0.07,0.23,19.3,25,0,1,45.4,44.6,0.09,-7.4,-6.6,44,461,145,31.5,0.08,0.26,17.4,11,6,8,49.0,42.7,0.09,-5.0,-4.7
2024-2025,Real Madrid,78,621,229,36.9,0.11,0.3,18.1,15,10,14,75.3,64.5,0.11,2.7,3.5,37,402,123,30.6,0.08,0.28,18.1,9,3,3,42.8,40.8,0.11,-5.8,-6.8
2024-2025,Real Sociedad,34,385,122,31.7,0.08,0.25,17.5,10,4,4,42.5,39.3,0.1,-8.5,-9.3,46,432,135,31.3,0.09,0.3,18.7,14,5,7,43.9,38.3,0.09,2.1,2.7
2024-2025,Sevilla,39,472,148,31.4,0.08,0.25,18.8,14,2,3,42.7,40.3,0.09,-3.7,-3.3,54,409,142,34.7,0.12,0.35,17.8,15,5,6,47.4,42.7,0.11,6.6,6.3
2024-2025,Valencia,43,382,116,30.4,0.1,0.33,17.2,6,5,5,43.2,39.3,0.11,-0.2,-1.3,51,417,140,33.6,0.11,0.32,17.7,11,6,9,51.9,44.9,0.11,-0.9,0.1
2024-2025,Valladolid,26,331,97,29.3,0.06,0.22,18.0,11,5,5,34.6,30.7,0.09,-8.6,-9.7,89,592,197,33.3,0.14,0.42,17.7,28,7,7,67.6,62.4,0.11,21.4,19.6
2024-2025,Villarreal,69,530,171,32.3,0.12,0.37,16.0,9,5,7,64.8,59.1,0.12,4.2,4.9,50,475,153,32.2,0.09,0.28,18.5,13,7,8,44.4,38.2,0.08,5.6,4.8
2023-2024,Alavés,33,458,136,29.7,0.07,0.22,17.7,15,3,7,46.2,40.7,0.09,-13.2,-10.7,44,444,139,31.3,0.08,0.26,17.9,15,8,8,44.7,38.5,0.09,-0.7,-2.5
2023-2024,Almería,42,478,163,34.1,0.08,0.25,18.8,18,2,2,48.7,47.1,0.1,-6.7,-7.1,75,584,195,33.4,0.12,0.35,16.9,18,6,9,61.6,54.5,0.09,13.4,14.5
2023-2024,Athletic Club,59,458,163,35.6,0.12,0.34,15.9,7,3,5,52.7,48.7,0.11,6.3,7.3,33,405,130,32.1,0.08,0.25,18.3,18,1,5,41.3,37.5,0.09,-8.3,-5.5
2023-2024,Atlético Madrid,68,475,197,41.5,0.13,0.32,16.2,9,5,6,62.4,57.9,0.12,5.6,5.1,43,451,143,31.7,0.09,0.29,17.9,9,1,2,39.5,37.9,0.09,3.5,4.1
2023-2024,Barcelona,76,588,219,37.2,0.12,0.32,16.5,21,6,7,77.6,72.1,0.13,-1.6,-2.1,44,411,139,33.8,0.1,0.3,17.4,8,2,2,41.6,40.1,0.1,2.4,1.9
2023-2024,Betis,46,489,150,30.7,0.09,0.29,17.2,15,2,3,43.9,41.7,0.09,2.1,2.3,42,441,150,34.0,0.08,0.23,18.2,18,7,8,50.2,44.0,0.1,-8.2,-9.0
2023-2024,Cádiz,25,395,120,30.4,0.06,0.18,18.4,21,3,3,36.0,33.6,0.09,-11.0,-11.6,54,508,173,34.1,0.1,0.3,18.3,26,2,2,52.3,50.7,0.1,1.7,1.3
2023-2024,Celta Vigo,45,467,151,32.3,0.09,0.28,17.5,14,3,5,50.7,46.9,0.1,-5.7,-4.9,54,470,157,33.4,0.1,0.31,16.6,13,6,8,54.6,48.4,0.11,-0.6,-0.4
2023-2024,Getafe,42,446,150,33.6,0.08,0.24,18.6,14,6,7,45.7,40.2,0.09,-3.7,-4.2,54,448,167,37.3,0.11,0.29,17.7,15,5,7,53.8,48.3,0.11,0.2,0.7
2023-2024,Girona,84,476,178,37.4,0.16,0.43,16.4,13,7,8,70.8,64.6,0.14,13.2,12.4,46,503,162,32.2,0.08,0.25,17.5,13,5,7,54.3,48.9,0.1,-8.3,-7.9
2023-2024,Granada,35,394,123,31.2,0.08,0.24,17.8,15,5,8,42.6,36.4,0.09,-7.6,-6.4,77,488,198,40.6,0.15,0.36,17.5,20,5,6,64.2,59.5,0.12,12.8,12.5
2023-2024,Las Palmas,33,386,120,31.1,0.08,0.25,20.1,21,3,5,33.2,29.2,0.08,-0.2,0.8,44,433,148,34.2,0.09,0.26,17.4,15,5,9,56.6,49.7,0.12,-12.6,-10.7
2023-2024,Mallorca,33,415,131,31.6,0.08,0.24,16.8,4,1,3,40.5,38.2,0.09,-7.5,-6.2,43,474,143,30.2,0.08,0.27,19.6,30,4,5,42.9,39.0,0.08,0.1,0.0
2023-2024,Osasuna,45,421,124,29.5,0.1,0.33,17.9,14,4,5,40.5,36.6,0.09,4.5,4.4,56,436,150,34.4,0.13,0.37,16.7,15,1,2,49.9,48.5,0.11,6.1,6.5
2023-2024,Rayo Vallecano,29,487,160,32.9,0.05,0.14,20.8,47,6,6,42.3,37.7,0.08,-13.3,-14.7,46,441,149,33.8,0.1,0.3,17.4,12,1,2,44.6,43.1,0.1,1.4,1.9
2023-2024,Real Madrid,85,593,242,40.8,0.14,0.34,17.5,24,2,5,68.8,65.2,0.11,16.2,17.8,25,392,117,29.8,0.06,0.21,17.9,7,1,1,35.4,34.7,0.09,-10.4,-10.7
2023-2024,Real Sociedad,48,457,147,32.2,0.1,0.3,17.8,24,4,4,44.9,41.8,0.09,3.1,2.2,38,388,128,33.0,0.08,0.25,18.0,24,6,7,41.3,36.0,0.1,-3.3,-4.0
2023-2024,Sevilla,46,487,160,32.9,0.09,0.28,17.5,15,2,2,44.9,43.3,0.09,1.1,0.7,52,496,170,34.3,0.09,0.28,17.6,16,5,5,55.9,52.1,0.11,-3.9,-5.1
2023-2024,Valencia,39,368,123,33.4,0.08,0.25,18.7,16,8,9,43.1,36.2,0.1,-4.1,-5.2,43,407,154,37.8,0.1,0.26,17.2,22,3,6,47.6,42.9,0.11,-4.6,-2.9
2023-2024,Villarreal,64,462,163,35.3,0.13,0.36,16.2,8,5,7,55.6,50.1,0.11,8.4,8.9,64,580,208,35.9,0.1,0.28,17.6,21,6,6,58.7,54.0,0.09,5.3,4.0
2022-2023,Almería,49,439,155,35.3,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8,64,537,198,36.9,0.11,0.3,17.4,14,4,6,62.5,57.8,0.11,1.5,2.2
