Season,Squad,Unnamed: 3_level_0 Att_for,Pass Types Live_for,Pass Types Dead_for,Pass Types FK_for,Pass Types TB_for,Pass Types Sw_for,Pass Types Crs_for,Pass Types TI_for,Pass Types CK_for,Corner Kicks In_for,Corner Kicks Out_for,Corner Kicks Str_for,Outcomes Cmp_for,Outcomes Off_for,Outcomes Blocks_for,Pass Types Live_against,Pass Types Dead_against,Pass Types FK_against,Pass Types TB_against,Pass Types Sw_against,Pass Types Crs_against,Pass Types TI_against,Pass Types CK_against,Corner Kicks In_against,Corner Kicks Out_against,Corner Kicks Str_against,Outcomes Cmp_against,Outcomes Off_against,Outcomes Blocks_against
2024-2025 Serie A,Bologna,19336,17378,1895,663,42,138,756,771,191,57,93,0,15681,63,307,12108,1869,578,41,56,421,755,121,45,50,1,10464,51,336
2024-2025 Serie A,Cagliari,15802,13897,1840,481,25,60,758,749,181,38,135,0,12092,65,334,17808,1769,540,62,71,692,690,190,74,85,1,16100,72,261
2024-2025 Serie A,Como,19183,17335,1783,597,52,93,568,726,167,41,70,0,15917,65,358,14221,1795,532,40,132,571,730,146,65,63,1,12785,74,293
2024-2025 Serie A,Empoli,13916,11976,1883,502,34,71,620,786,170,63,60,1,10093,57,312,17913,1983,601,48,93,714,848,194,80,84,1,16105,39,317
2024-2025 Serie A,Fiorentina,17510,15677,1745,600,27,99,581,626,148,66,40,1,14193,88,283,15466,1706,508,33,91,616,680,157,72,54,0,13849,43,276
2024-2025 Serie A,Genoa,15727,13887,1785,514,42,57,663,716,155,58,83,0,12025,55,330,16947,1817,527,38,83,682,766,202,71,73,0,15111,59,346
2024-2025 Serie A,Hellas Verona,13457,11789,1613,403,28,91,562,641,152,68,64,1,9854,55,283,19534,1984,604,48,93,687,814,201,79,91,0,17933,48,311
2024-2025 Serie A,Inter,22592,20929,1573,442,86,132,728,635,221,58,125,1,19412,90,299,13487,1593,492,25,105,574,536,140,57,55,0,12179,38,278
2024-2025 Serie A,Juventus,21231,19605,1574,411,48,101,630,664,190,92,68,0,18259,52,283,13854,1755,505,28,83,679,677,172,89,57,2,12602,39,315
2024-2025 Serie A,Lazio,19521,17715,1760,522,72,118,864,670,229,123,57,0,16400,46,288,14421,1607,449,30,94,655,606,168,74,68,0,13007,34,291
2024-2025 Serie A,Lecce,15087,13201,1834,507,36,84,628,754,165,64,78,0,11490,52,301,17577,1792,486,51,103,775,732,229,87,69,0,15740,81,329
2024-2025 Serie A,Milan,19101,17400,1641,524,90,85,634,544,217,134,18,0,16335,60,248,14811,1613,453,60,122,590,588,159,64,60,0,13716,95,232
2024-2025 Serie A,Monza,17515,15688,1773,575,30,78,656,623,136,41,75,0,14248,54,296,17102,1668,541,47,89,680,650,195,82,84,1,15588,41,281
2024-2025 Serie A,Napoli,20033,18236,1742,487,48,88,681,721,209,137,43,2,16894,55,340,15220,1572,446,26,103,577,593,148,52,65,1,13635,39,255
2024-2025 Serie A,Parma,15805,14017,1757,568,43,75,427,602,168,55,33,1,12509,31,247,18184,1637,412,57,117,856,661,223,82,82,2,16404,119,345
2024-2025 Serie A,Roma,20265,18489,1717,525,50,93,636,687,170,74,65,2,17016,59,287,15720,1566,443,38,75,617,599,152,66,58,0,14165,47,259
2024-2025 Serie A,Torino,17008,15278,1673,443,26,83,675,676,158,95,51,0,13578,57,274,16969,1699,519,53,100,767,678,194,80,66,0,15347,50,269
2024-2025 Serie A,Udinese,16279,14543,1686,465,25,92,679,683,178,64,73,2,12945,50,269,16283,1854,569,53,86,677,730,203,89,68,0,14788,84,320
2024-2025 Serie A,Venezia,15155,13224,1873,526,35,87,529,769,142,60,46,0,11573,58,301,16715,1830,531,46,95,765,760,223,106,81,1,14934,63,354
2024-2025 Ligue 1,Angers,14057,12474,1514,422,53,69,575,594,129,52,54,4,11082,69,256,18893,1500,434,52,113,719,641,160,76,66,0,17341,26,298
2024-2025 Ligue 1,Auxerre,14162,12617,1497,451,34,168,542,584,134,49,65,0,11002,48,287,17456,1642,423,104,89,660,704,202,92,87,1,15891,83,305
2024-2025 Ligue 1,Brest,16021,14404,1575,485,41,133,641,614,142,71,62,0,12678,42,292,15604,1597,453,56,109,639,638,167,74,71,1,14071,59,313
2024-2025 Ligue 1,Le Havre,14115,12577,1488,442,24,82,695,572,131,89,31,0,11125,50,274,17311,1546,413,59,84,687,645,186,84,75,1,15963,44,285
2024-2025 Ligue 1,Lens,18173,16605,1484,396,59,78,706,628,186,87,71,0,14837,84,346,14079,1605,554,37,51,473,602,127,52,36,0,12550,32,307
2024-2025 Ligue 1,Lille,19728,18220,1460,415,42,101,535,602,168,50,70,1,16765,48,308,13118,1471,443,37,97,482,584,142,66,51,0,11769,55,256
2024-2025 Ligue 1,Lyon,19063,17487,1505,416,61,112,598,606,185,79,75,0,16061,71,353,13176,1504,455,57,106,549,566,159,73,63,0,11925,54,265
2024-2025 Ligue 1,Marseille,23240,21718,1469,454,58,75,609,578,177,80,69,0,20427,53,328,11915,1327,423,62,77,385,450,106,45,39,0,10643,92,216
2024-2025 Ligue 1,Monaco,17916,16257,1590,494,88,88,563,622,184,87,70,0,14561,69,288,13223,1636,517,45,121,498,619,118,63,34,0,11573,49,315
2024-2025 Ligue 1,Montpellier,14420,12786,1569,460,45,109,646,575,155,55,75,0,11442,65,276,15960,1486,459,49,66,564,582,174,63,74,0,14766,38,272
2024-2025 Ligue 1,Nantes,13956,12362,1563,437,28,46,611,658,143,67,61,0,10999,31,280,19434,1586,424,28,113,740,685,212,86,96,0,17979,42,337
2024-2025 Ligue 1,Nice,16103,14573,1474,440,88,62,599,556,170,60,72,0,13129,56,299,16268,1564,425,38,67,604,605,180,72,64,1,14744,28,333
2024-2025 Ligue 1,Paris S-G,25781,24296,1431,410,97,175,562,580,216,63,70,1,23156,54,308,10625,1318,343,39,71,386,451,111,55,33,0,9330,73,281
2024-2025 Ligue 1,Reims,14602,13035,1508,432,38,94,611,576,134,56,58,0,11657,59,251,17172,1498,432,67,82,707,565,197,84,73,2,15620,56,295
2024-2025 Ligue 1,Rennes,16913,15272,1593,483,37,120,580,638,170,86,49,0,13914,48,307,14708,1526,468,51,107,510,630,128,53,52,0,13238,89,280
2024-2025 Ligue 1,Saint-Étienne,15954,14389,1519,425,51,48,402,590,129,37,55,0,13001,46,261,16515,1560,457,67,158,692,641,195,85,70,0,15120,58,311
2024-2025 Ligue 1,Strasbourg,17462,15928,1486,485,58,46,496,543,140,64,57,0,14667,48,253,15791,1455,418,56,117,700,588,164,55,81,0,14255,68,312
2024-2025 Ligue 1,Toulouse,14867,13229,1592,463,44,95,580,657,163,93,52,0,11674,46,287,16981,1496,469,42,73,556,577,128,47,51,0,15399,41,273
2024-2025 Bundesliga,Augsburg,14936,13228,1649,415,32,48,578,699,156,63,61,1,11577,59,362,17433,1565,386,62,100,712,667,172,85,49,4,15484,57,345
2024-2025 Bundesliga,Bayern Munich,25733,24287,1390,366,129,125,612,588,220,127,25,1,22755,56,335,10634,1405,345,24,49,334,513,88,48,32,1,9140,44,278
2024-2025 Bundesliga,Bochum,14230,12544,1623,348,40,38,679,711,165,106,53,0,10281,63,368,16058,1675,500,55,88,595,675,185,88,58,6,14057,63,368
2024-2025 Bundesliga,Dortmund,20321,18695,1583,431,67,93,698,659,191,105,51,3,17077,43,320,12657,1460,353,44,74,551,593,134,62,45,0,10934,93,313
2024-2025 Bundesliga,Eint Frankfurt,17138,15585,1496,398,48,64,539,582,168,103,46,0,13925,57,305,15994,1571,377,67,73,677,642,172,67,75,2,14160,99,335
2024-2025 Bundesliga,Freiburg,16460,14973,1426,362,34,56,589,597,132,79,39,0,12892,61,317,16046,1425,356,35,83,604,624,147,80,43,0,14111,43,328
2024-2025 Bundesliga,Gladbach,17507,15877,1565,385,80,69,617,632,158,67,71,0,14148,65,362,16292,1501,378,48,67,750,650,180,89,55,0,14473,57,325
2024-2025 Bundesliga,Heidenheim,14684,12981,1653,413,20,77,581,703,140,69,47,0,11127,50,330,17744,1614,414,69,66,634,711,166,85,63,1,15818,32,382
2024-2025 Bundesliga,Hoffenheim,16506,14841,1595,405,38,65,732,702,157,57,62,3,12827,70,337,15827,1602,437,66,99,626,651,189,74,72,1,14007,41,342
2024-2025 Bundesliga,Holstein Kiel,13961,12298,1619,409,30,58,482,667,120,58,46,1,10537,44,293,16528,1752,432,53,86,852,795,224,115,67,0,14775,62,305
2024-2025 Bundesliga,Leverkusen,21589,19979,1546,409,67,114,735,622,216,115,47,0,18301,64,320,13319,1386,368,39,63,443,533,116,61,45,1,11597,63,255
2024-2025 Bundesliga,Mainz 05,16434,14771,1585,378,43,73,658,716,165,58,74,6,12478,78,379,14482,1703,469,48,58,656,691,173,84,72,0,12368,49,314
2024-2025 Bundesliga,RB Leipzig,18207,16606,1518,394,80,50,563,630,161,61,66,1,14698,83,358,15060,1563,440,50,76,660,633,187,83,69,0,13082,68,394
2024-2025 Bundesliga,St. Pauli,15300,13659,1575,421,31,60,600,692,148,66,55,2,11751,66,303,17842,1595,396,58,86,562,732,154,90,38,0,16017,74,349
2024-2025 Bundesliga,Stuttgart,19767,18113,1592,488,63,72,637,623,180,72,47,3,16513,62,289,13145,1519,402,50,54,531,602,161,89,50,0,11408,82,331
2024-2025 Bundesliga,Union Berlin,13705,12135,1503,353,16,53,608,655,152,66,71,4,9960,67,335,18532,1679,466,47,78,723,717,167,69,61,3,16465,42,352
2024-2025 Bundesliga,Werder Bremen,17550,15860,1618,468,57,87,667,660,161,63,77,1,13999,72,355,16227,1509,375,64,50,593,634,162,84,50,2,14300,72,348
2024-2025 Bundesliga,Wolfsburg,15088,13434,1605,424,46,120,574,644,165,99,63,1,11590,49,336,16046,1617,373,42,72,646,719,178,81,57,6,14240,68,340
2024-2025,Alavés,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368,15935,2139,672,52,139,722,913,177,62,61,1,14251,64,340
2024-2025,Athletic Club,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,16899,1908,528,52,139,592,796,155,54,61,1,14953,84,323
2024-2025,Atlético Madrid,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,17845,1656,460,33,124,656,664,144,41,56,0,16246,37,304
2024-2025,Barcelona,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371,10010,1699,417,62,135,482,636,149,62,57,1,8511,181,317
2024-2025,Betis,19284,17322,1906,613,60,153,627,778,197,82,68,0,15770,56,376,15754,1781,466,51,107,683,756,162,73,62,3,13910,92,339
2024-2025,Celta Vigo,21253,19376,1810,502,89,149,501,782,149,52,62,1,17798,67,365,16682,1688,504,57,102,667,680,159,69,53,1,14946,75,323
2024-2025,Espanyol,13996,12245,1690,484,51,97,619,647,144,35,77,2,10580,61,285,19688,1839,529,49,143,858,759,227,97,95,5,17987,53,350
2024-2025,Getafe,12922,10790,2042,579,23,116,721,927,147,55,69,1,8695,90,262,16088,2111,659,52,111,626,910,147,66,45,1,13966,85,364
2024-2025,Girona,21401,19598,1724,484,39,128,804,706,186,91,67,1,18273,79,338,15144,1630,488,40,84,607,626,166,61,62,2,13798,44,260
2024-2025,Las Palmas,18209,16234,1916,558,49,117,674,782,160,54,72,4,14352,59,321,15927,1828,472,69,118,740,812,198,86,63,3,14104,99,350
2024-2025,Leganés,14840,13035,1721,500,48,91,495,653,113,46,46,0,11207,84,252,18149,2007,568,52,128,879,865,242,101,101,2,16312,47,335
2024-2025,Mallorca,16224,14337,1809,471,44,93,735,757,145,58,73,3,12613,78,292,16782,1843,526,43,136,821,723,241,113,55,3,14980,41,306
2024-2025,Osasuna,16028,14070,1892,487,28,133,819,831,175,64,50,2,12184,66,349,16877,1884,540,89,123,704,784,189,72,78,1,15229,103,324
2024-2025,Rayo Vallecano,17861,15874,1908,436,46,112,769,868,202,107,65,0,13936,79,395,14603,2071,579,55,139,678,882,191,81,80,1,12793,50,379
2024-2025,Real Madrid,24221,22370,1766,549,90,221,578,620,243,113,63,1,21356,85,316,14331,1521,397,40,120,554,533,161,78,49,0,12981,43,293
2024-2025,Real Sociedad,18759,16761,1916,513,33,146,740,832,216,78,95,0,14880,82,369,14418,1912,550,54,115,610,808,179,69,58,3,12635,85,345
2024-2025,Sevilla,18057,16196,1791,473,40,130,612,778,185,109,33,1,14432,70,314,16003,1929,541,62,132,661,828,165,66,63,1,14301,62,329
2024-2025,Valencia,17708,15738,1898,566,38,128,763,770,186,69,74,3,13938,72,395,17048,1837,485,78,139,691,801,190,79,57,2,15307,107,328
2024-2025,Valladolid,15387,13486,1834,544,37,126,671,647,156,81,38,2,12052,67,265,18714,1727,489,62,99,743,751,195,76,80,0,17117,60,353
2024-2025,Villarreal,17825,16035,1713,513,78,124,674,633,183,77,60,2,14532,77,318,18105,1769,495,40,191,782,655,180,70,59,0,16617,42,377
2023-2024,Alavés,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372,18248,1948,519,55,144,686,850,167,64,74,1,16352,60,310
2023-2024,Almería,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320,17353,1942,519,54,171,828,820,220,74,101,3,15460,73,352
2023-2024,Athletic Club,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364,17121,1869,561,40,189,626,744,161,71,54,0,14887,91,352
2023-2024,Atlético Madrid,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343,18152,1806,545,29,110,764,662,194,63,75,0,16440,37,419
2023-2024,Barcelona,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335,12007,1644,489,47,120,574,562,148,66,61,2,10455,117,302
2023-2024,Betis,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381,17017,1810,468,56,106,712,787,192,84,81,2,15171,106,388
2023-2024,Cádiz,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304,17878,1962,628,45,130,758,792,174,63,65,1,15783,65,372
2023-2024,Celta Vigo,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380,19016,1936,499,33,162,746,865,189,52,89,1,16975,53,395
2023-2024,Getafe,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313,16675,2033,695,78,136,640,805,173,60,66,1,14502,141,292
2023-2024,Girona,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314,14841,1700,477,38,124,711,641,161,75,60,1,13335,49,314
2023-2024,Granada,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345,17386,1926,554,61,162,718,824,201,78,77,1,15485,108,365
2023-2024,Las Palmas,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392,13845,1769,473,103,121,694,752,211,89,88,2,11893,164,371
2023-2024,Mallorca,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328,17321,1958,630,34,130,656,832,152,57,46,1,15384,36,277
2023-2024,Osasuna,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383,17116,1899,561,64,147,694,776,175,75,55,0,14977,126,343
2023-2024,Rayo Vallecano,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333,15686,1995,637,51,135,682,787,173,67,69,1,13590,87,360
2023-2024,Real Madrid,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285,15408,1668,435,33,163,680,644,145,62,48,1,14072,38,376
2023-2024,Real Sociedad,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340,13483,2035,651,27,130,523,829,137,43,62,1,11674,98,322
2023-2024,Sevilla,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357,16574,2001,528,62,141,698,843,196,56,69,4,14795,78,340
2023-2024,Valencia,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375,18759,1885,516,52,155,734,850,182,83,62,1,16672,86,344
2023-2024,Villarreal,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335,17341,1729,550,51,194,886,631,200,78,65,2,15642,75,305
2022-2023,Almería,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,17371,1863,501,70,189,851,781,227,80,99,1,15420,158,367
2022-2023,Athletic Club,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,15545,1951,580,41,190,579,789,136,56,50,2,13537,77,358
2022-2023,Atlético Madrid,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,18229,1735,495,40,228,743,650,185,78,68,1,16384,57,352
2022-2023,Barcelona,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340,11850,1788,511,41,155,483,672,111,48,46,1,10316,120,306
2022-2023,Betis,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,16070,1790,455,61,153,756,771,209,71,98,2,14220,104,370
2022-2023,Cádiz,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297,17561,1939,570,39,233,852,778,200,63,82,1,15630,69,346
2022-2023,Celta Vigo,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300,16454,1898,524,49,196,633,849,165,63,78,1,14618,64,353
2022-2023,Elche,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390,17216,1922,563,62,140,753,785,223,77,84,3,15598,100,331
2022-2023,Espanyol,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298,17628,1893,487,47,192,730,810,198,61,94,2,15807,82,336
2022-2023,Getafe,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333,19437,1962,645,48,192,771,819,179,61,75,0,17070,95,355
2022-2023,Girona,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319,16112,1745,501,45,163,753,678,181,70,70,1,14391,64,321
2022-2023,Mallorca,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306,18826,1897,657,48,130,822,738,194,54,59,6,16934,40,323
2022-2023,Osasuna,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345,16063,2027,574,46,175,696,861,192,58,69,4,14139,109,344
2022-2023,Rayo Vallecano,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365,14931,2011,615,30,182,654,804,180,82,63,3,12926,85,379
2022-2023,Real Madrid,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353,14341,1589,436,36,121,541,545,145,62,42,3,13004,56,299
2022-2023,Real Sociedad,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324,13951,2051,691,34,147,570,817,154,51,48,1,12130,91,332
2022-2023,Sevilla,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307,15346,1898,543,49,187,673,774,170,68,62,2,13660,75,277
2022-2023,Valencia,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345,14310,1973,559,51,167,594,837,175,77,73,0,12580,74,347
2022-2023,Valladolid,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365,15392,2003,523,55,141,734,875,211,88,68,2,13635,53,349
2022-2023,Villarreal,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347,13541,1682,508,50,138,708,596,182,67,69,0,12047,108,304
2021-2022,Alavés,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310,17714,2105,567,77,202,789,962,231,50,110,3,15404,89,322
2021-2022,Athletic Club,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332,16909,1974,551,29,332,754,859,161,68,54,1,14696,67,340
2021-2022,Atlético Madrid,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298,16917,1850,529,32,209,601,729,149,67,64,1,14882,36,316
2021-2022,Barcelona,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309,12019,1811,571,39,128,500,644,128,52,52,1,10460,78,301
2021-2022,Betis,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310,14870,1935,530,43,168,764,808,215,96,80,2,13052,129,323
2021-2022,Cádiz,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312,18843,1877,515,50,183,750,806,176,60,76,3,16729,63,337
2021-2022,Celta Vigo,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360,14678,1995,562,22,184,609,925,146,56,57,0,12362,35,394
2021-2022,Elche,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335,16269,1839,547,78,195,767,775,195,74,74,0,14329,104,279
2021-2022,Espanyol,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287,17461,1767,487,56,190,888,716,223,83,84,1,15516,86,313
2021-2022,Getafe,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299,19121,1926,575,58,282,752,846,186,60,87,1,16725,109,365
2021-2022,Granada,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295,16832,1955,504,56,176,824,850,205,60,91,2,14611,69,384
2021-2022,Levante,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311,16649,1884,598,54,205,697,713,185,58,68,3,14699,78,256
2021-2022,Mallorca,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311,16519,1887,590,44,155,738,789,161,69,65,3,14388,57,304
2021-2022,Osasuna,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309,17058,2009,543,50,195,719,867,184,56,71,2,14630,82,261
2021-2022,Rayo Vallecano,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321,15156,2049,591,54,156,659,867,177,77,70,1,12928,54,358
2021-2022,Real Madrid,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313,14707,1715,472,41,171,670,615,153,70,55,0,13258,30,311
2021-2022,Real Sociedad,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352,14226,1967,540,36,160,662,914,174,56,66,2,12311,86,320
2021-2022,Sevilla,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305,13204,1838,516,30,143,647,749,158,66,61,1,11300,53,272
2021-2022,Valencia,13777,11686,2039,664,32,227,765,811,175,73,63,3,9627,52,289,15730,2093,655,50,198,679,896,172,68,66,1,13730,97,331
2021-2022,Villarreal,20401,18435,1875,582,90,166,574,737,200,92,44,2,16679,91,396,13738,1775,533,34,168,749,671,198,76,80,2,11881,123,267
2020-2021,Alavés,14390,12380,1937,595,11,144,645,800,142,42,68,4,10217,73,265,17574,1940,561,22,201,731,865,201,72,62,0,15323,107,305
2020-2021,Athletic Club,17841,15737,2027,561,13,200,811,920,197,65,73,3,13577,77,376,16394,1846,532,21,242,753,768,157,46,70,1,14283,83,335
2020-2021,Atlético Madrid,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302,17189,1820,563,10,211,708,703,160,54,71,0,15160,30,354
2020-2021,Barcelona,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340,13448,1515,426,20,141,514,513,140,43,57,1,11743,48,300
2020-2021,Betis,19679,17720,1894,598,18,163,586,774,184,48,82,2,15816,65,321,15250,1847,548,36,180,654,788,158,64,60,0,13194,125,345
2020-2021,Cádiz,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282,21256,1771,451,31,189,805,809,206,92,61,2,18990,101,349
2020-2021,Celta Vigo,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298,14836,2062,658,21,196,741,924,166,66,55,0,12833,51,365
2020-2021,Eibar,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325,15366,2156,534,38,175,545,1041,141,47,56,2,12572,128,333
2020-2021,Elche,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322,17498,1671,535,28,149,693,692,164,43,64,1,15678,64,308
2020-2021,Getafe,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322,16642,2054,674,22,214,566,869,145,57,53,1,14007,87,356
2020-2021,Granada,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333,17232,2008,584,22,208,764,882,185,56,79,1,15039,53,342
