Season,Squad,Performance GA_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Performance CS%_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Performance GA_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance CS_against,Performance CS%_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against
2024-2025 Premier League,Manchester Utd,54,149,96,65.8,11,9,18,10,26.3,4,3,1,0,25.0,44,172,130,76.7,15,39.5,4,4,0,0,0.0
2024-2025 Premier League,Newcastle Utd,47,161,115,71.4,20,6,12,13,34.2,2,1,1,0,50.0,68,169,102,62.7,7,18.4,6,5,1,0,16.7
2024-2025 Premier League,Nott'ham Forest,46,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0,58,165,108,66.7,8,21.1,3,3,0,0,0.0
2024-2025 Premier League,Southampton,86,245,157,67.8,2,6,30,3,7.9,9,7,2,0,22.2,26,108,81,75.9,16,42.1,2,0,2,0,100.0
2024-2025 Premier League,Tottenham,65,180,119,65.6,11,5,22,6,15.8,3,3,0,0,0.0,64,181,119,66.3,9,23.7,4,3,1,0,25.0
2024-2025 Premier League,West Ham,62,186,127,68.3,11,10,17,7,18.4,3,3,0,0,0.0,46,140,97,69.3,8,21.1,3,3,0,0,0.0
2024-2025 Premier League,Wolves,69,168,100,63.1,12,6,20,8,21.1,9,7,2,0,22.2,54,155,102,65.2,7,18.4,0,0,0,0,
2024-2025 Serie A,Atalanta,37,147,112,76.2,22,8,8,15,39.5,2,2,0,0,0.0,78,188,110,61.2,7,18.4,7,5,2,0,28.6
2024-2025 Serie A,Bologna,47,106,60,57.5,16,14,8,12,31.6,3,2,1,0,33.3,57,173,116,70.5,7,18.4,7,6,1,0,14.3
2024-2025 Serie A,Cagliari,56,153,97,67.3,9,9,20,7,18.4,6,6,0,0,0.0,40,118,80,68.6,15,39.5,3,3,0,0,0.0
2024-2025 Serie A,Como,52,143,91,68.5,13,10,15,7,18.4,7,7,0,0,0.0,49,177,132,72.3,8,21.1,2,0,1,1,100.0
2024-2025 Serie A,Empoli,59,158,99,63.3,6,13,19,6,15.8,3,1,1,1,50.0,33,110,78,71.8,15,39.5,3,2,1,0,33.3
2024-2025 Serie A,Fiorentina,41,146,104,72.6,18,8,11,11,29.7,3,1,2,0,66.7,57,167,111,69.5,8,21.6,8,6,1,1,14.3
2024-2025 Serie A,Genoa,49,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25.0,37,119,82,68.9,13,34.2,2,0,2,0,100.0
2024-2025 Serie A,Hellas Verona,66,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3,34,97,66,67.0,17,44.7,2,2,0,0,0.0
2024-2025 Serie A,Inter,32,124,92,76.6,24,9,4,16,43.2,4,3,1,0,25.0,79,185,109,61.6,3,8.1,9,8,0,1,0.0
2024-2025 Serie A,Juventus,35,119,84,74.8,18,16,4,17,44.7,5,5,0,0,0.0,58,181,125,71.3,7,18.4,6,6,0,0,0.0
2024-2025 Serie A,Lazio,49,119,72,62.2,18,11,9,9,23.7,4,4,0,0,0.0,61,192,131,71.4,6,15.8,7,6,1,0,14.3
2024-2025 Serie A,Lecce,58,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,27,123,95,80.5,18,47.4,4,3,1,0,25.0
2024-2025 Serie A,Milan,43,142,101,70.4,18,9,11,13,34.2,2,1,1,0,50.0,61,193,130,70.5,5,13.2,8,4,4,0,50.0
2024-2025 Serie A,Monza,69,183,115,63.4,3,9,26,3,7.9,4,2,2,0,50.0,28,102,75,75.5,17,44.7,3,3,0,0,0.0
2024-2025 Serie A,Napoli,27,96,69,72.9,24,10,4,19,50.0,4,1,2,1,66.7,59,155,98,64.5,6,15.8,5,4,1,0,20.0
2024-2025 Serie A,Parma,58,158,102,66.5,7,15,16,7,18.4,5,5,0,0,0.0,44,146,103,74.0,11,28.9,7,6,0,1,0.0
2024-2025 Serie A,Roma,35,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0.0,56,170,115,71.8,6,15.8,8,8,0,0,0.0
2024-2025 Serie A,Torino,45,180,133,76.7,10,14,14,10,26.3,7,3,4,0,57.1,39,126,89,70.6,13,34.2,4,2,1,1,33.3
2024-2025 Serie A,Udinese,56,164,113,70.1,12,8,18,9,23.7,8,7,0,1,0.0,41,141,98,72.3,12,31.6,4,2,2,0,50.0
2024-2025 Serie A,Venezia,56,188,134,75.5,5,14,19,6,15.8,11,10,1,0,9.1,32,125,93,77.6,17,44.7,5,4,1,0,20.0
2024-2025 Ligue 1,Angers,53,190,137,74.2,10,6,18,7,20.6,5,4,0,1,0.0,32,97,65,72.2,14,41.2,6,5,1,0,16.7
2024-2025 Ligue 1,Auxerre,51,173,123,74.0,11,9,14,10,29.4,8,6,2,0,25.0,48,149,101,70.5,7,20.6,5,4,1,0,20.0
2024-2025 Ligue 1,Brest,59,141,83,63.8,15,5,14,10,29.4,10,8,1,1,11.1,52,160,106,71.9,7,20.6,9,7,2,0,22.2
2024-2025 Ligue 1,Le Havre,71,175,104,62.3,10,4,20,4,11.8,6,5,1,0,16.7,40,107,69,71.0,9,26.5,10,9,1,0,10.0
2024-2025 Ligue 1,Lens,39,142,102,78.2,15,7,12,13,38.2,9,8,1,0,11.1,42,153,113,75.8,10,29.4,5,5,0,0,0.0
2024-2025 Ligue 1,Lille,36,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0,52,164,109,72.6,5,14.7,10,7,3,0,30.0
2024-2025 Ligue 1,Lyon,46,166,120,74.1,17,6,11,10,29.4,3,3,0,0,0.0,65,183,119,68.9,5,14.7,10,8,2,0,20.0
2024-2025 Ligue 1,Marseille,47,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0,74,195,123,66.2,6,17.6,10,8,2,0,20.0
2024-2025 Ligue 1,Monaco,41,128,87,70.3,18,7,9,11,32.4,3,3,0,0,0.0,63,187,123,69.5,5,14.7,7,6,1,0,14.3
2024-2025 Ligue 1,Montpellier,79,194,117,63.4,4,4,26,1,2.9,9,8,1,0,11.1,23,115,91,82.6,20,58.8,4,3,1,0,25.0
2024-2025 Ligue 1,Nantes,52,148,99,69.6,8,12,14,6,17.6,8,7,0,1,0.0,39,124,85,72.6,8,23.5,5,5,0,0,0.0
2024-2025 Ligue 1,Nice,41,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3,66,189,127,68.3,4,11.8,6,6,0,0,0.0
2024-2025 Ligue 1,Paris S-G,35,103,69,68.9,26,6,2,7,20.6,3,3,0,0,0.0,92,279,189,69.2,1,2.9,7,6,1,0,14.3
2024-2025 Ligue 1,Reims,47,179,131,76.0,8,9,17,7,20.6,5,4,1,0,20.0,33,112,80,71.4,15,44.1,2,1,0,1,0.0
2024-2025 Ligue 1,Rennes,50,138,87,65.9,13,2,19,11,32.4,6,3,3,0,50.0,51,162,109,71.6,7,20.6,8,5,2,1,28.6
2024-2025 Ligue 1,Saint-Étienne,77,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3,39,119,79,69.7,10,29.4,4,3,1,0,25.0
2024-2025 Ligue 1,Strasbourg,44,169,126,78.7,16,9,9,10,29.4,9,8,1,0,11.1,56,142,88,62.0,5,14.7,2,2,0,0,0.0
2024-2025 Ligue 1,Toulouse,43,108,67,61.1,11,9,14,10,29.4,2,1,1,0,50.0,44,148,106,72.3,8,23.5,4,3,0,1,0.0
2024-2025 Bundesliga,Augsburg,51,156,107,70.5,11,10,13,11,32.4,5,5,0,0,0.0,35,116,80,70.7,12,35.3,2,1,1,0,50.0
2024-2025 Bundesliga,Bayern Munich,32,80,48,61.3,25,7,2,16,47.1,2,1,0,1,0.0,99,264,168,65.9,1,2.9,10,9,0,1,0.0
2024-2025 Bundesliga,Bochum,68,153,83,57.5,5,8,21,5,14.7,6,3,2,1,40.0,32,136,101,77.2,13,38.2,3,1,2,0,66.7
2024-2025 Bundesliga,Dortmund,51,140,89,66.4,17,6,11,7,20.6,4,4,0,0,0.0,71,163,93,59.5,5,14.7,6,5,1,0,16.7
2024-2025 Bundesliga,Eint Frankfurt,46,163,117,72.4,17,9,8,9,26.5,3,1,2,0,66.7,68,177,107,63.3,4,11.8,5,3,2,0,40.0
2024-2025 Bundesliga,Freiburg,53,150,96,66.0,16,7,11,11,32.4,4,2,2,0,50.0,49,135,86,63.7,8,23.5,4,0,3,1,100.0
2024-2025 Bundesliga,Gladbach,57,191,135,73.8,13,6,15,7,20.6,8,7,1,0,12.5,55,158,104,67.7,6,17.6,5,4,1,0,20.0
2024-2025 Bundesliga,Heidenheim,64,171,107,66.1,8,5,21,9,26.5,6,6,0,0,0.0,37,129,92,75.2,14,41.2,5,5,0,0,0.0
2024-2025 Bundesliga,Hoffenheim,68,173,105,62.4,7,11,16,4,11.8,6,3,3,0,50.0,46,151,105,71.5,9,26.5,3,3,0,0,0.0
2024-2025 Bundesliga,Holstein Kiel,80,195,117,62.1,6,7,21,2,5.9,7,6,1,0,14.3,49,138,88,67.4,7,20.6,5,4,1,0,20.0
2024-2025 Bundesliga,Leverkusen,43,134,95,70.9,19,12,3,9,26.5,4,4,0,0,0.0,72,187,114,63.1,5,14.7,6,3,3,0,50.0
2024-2025 Bundesliga,Mainz 05,43,150,106,74.0,14,10,10,9,26.5,5,4,1,0,20.0,55,146,93,65.1,8,23.5,4,4,0,0,0.0
2024-2025 Bundesliga,RB Leipzig,48,158,109,70.9,13,12,9,14,41.2,3,2,1,0,33.3,53,148,96,66.2,9,26.5,4,3,1,0,25.0
2024-2025 Bundesliga,St. Pauli,41,140,96,71.4,8,8,18,9,26.5,5,1,4,0,80.0,28,111,84,75.7,17,50.0,2,1,1,0,50.0
2024-2025 Bundesliga,Stuttgart,53,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3,64,178,113,65.2,6,17.6,6,2,4,0,66.7
2024-2025 Bundesliga,Union Berlin,50,139,86,65.5,10,11,13,8,23.5,6,2,4,0,66.7,36,123,87,73.2,13,38.2,3,3,0,0,0.0
2024-2025 Bundesliga,Werder Bremen,57,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0,54,143,88,64.3,9,26.5,5,3,2,0,40.0
2024-2025 Bundesliga,Wolfsburg,54,160,106,67.5,11,10,13,6,17.6,3,2,1,0,33.3,56,142,88,63.4,7,20.6,5,4,1,0,20.0
2024-2025,Alavés,48,132,86,72.0,10,12,16,9,23.7,11,11,0,0,0.0,38,133,94,78.2,13,34.2,11,9,1,1,10.0
2024-2025,Athletic Club,29,113,83,77.0,19,13,6,15,39.5,5,3,2,0,40.0,54,154,98,66.9,9,23.7,6,3,3,0,50.0
2024-2025,Atlético Madrid,30,116,88,78.4,22,10,6,17,44.7,5,5,0,0,0.0,68,180,112,65.6,6,15.8,7,6,0,1,0.0
2024-2025,Barcelona,39,108,69,67.6,28,4,6,13,34.2,4,4,0,0,0.0,102,247,148,61.5,2,5.3,8,7,0,1,0.0
2024-2025,Betis,50,141,92,67.4,16,12,10,7,18.4,4,4,0,0,0.0,57,186,128,73.1,5,13.2,10,7,3,0,30.0
2024-2025,Celta Vigo,57,145,89,62.8,16,7,15,8,21.1,4,3,1,0,25.0,59,176,117,71.0,4,10.5,9,8,1,0,11.1
2024-2025,Espanyol,51,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3,40,103,65,66.0,11,28.9,5,5,0,0,0.0
2024-2025,Getafe,39,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,34,127,93,77.2,16,42.1,5,5,0,0,0.0
2024-2025,Girona,60,164,102,65.2,11,8,19,8,21.1,6,3,3,0,50.0,44,139,95,71.2,11,28.9,5,4,1,0,20.0
2024-2025,Las Palmas,61,182,120,69.2,8,8,22,4,10.5,10,5,4,1,44.4,40,138,99,73.2,11,28.9,4,3,1,0,25.0
2024-2025,Leganés,56,175,122,72.0,9,13,16,11,28.9,8,7,0,1,0.0,39,117,77,70.9,14,36.8,7,5,2,0,28.6
2024-2025,Mallorca,44,165,122,75.2,13,9,16,9,23.7,3,3,0,0,0.0,35,112,77,72.3,14,36.8,5,4,1,0,20.0
2024-2025,Osasuna,52,187,136,75.9,12,16,10,9,23.7,7,7,0,0,0.0,48,132,86,70.5,8,21.1,9,9,0,0,0.0
2024-2025,Rayo Vallecano,45,153,107,74.5,13,13,12,10,26.3,8,6,2,0,25.0,41,163,124,74.8,9,23.7,1,0,1,0,100.0
2024-2025,Real Madrid,38,126,89,72.2,26,6,6,15,39.5,3,3,0,0,0.0,78,242,161,71.9,2,5.3,14,10,3,1,23.1
2024-2025,Real Sociedad,46,142,94,71.1,13,7,18,13,34.2,7,5,2,0,28.6,35,126,92,75.4,19,50.0,4,4,0,0,0.0
2024-2025,Sevilla,55,148,93,66.2,10,11,17,10,26.3,6,5,1,0,16.7,42,151,111,73.5,9,23.7,3,2,1,0,33.3
2024-2025,Valencia,54,148,95,67.6,11,13,14,8,21.1,9,6,2,1,25.0,44,121,78,67.8,10,26.3,5,5,0,0,0.0
2024-2025,Valladolid,90,204,115,59.3,4,4,30,5,13.2,7,7,0,0,0.0,26,102,76,79.4,16,42.1,5,5,0,0,0.0
2024-2025,Villarreal,51,160,110,72.5,20,10,8,7,18.4,8,7,0,1,0.0,71,178,107,62.9,6,15.8,7,5,2,0,28.6
2023-2024,Alavés,46,147,103,74.1,12,10,16,11,28.9,8,8,0,0,0.0,36,142,106,76.8,15,39.5,7,3,3,1,50.0
2023-2024,Almería,75,202,126,65.8,3,12,23,6,15.8,9,6,1,2,14.3,43,165,123,75.2,12,31.6,2,2,0,0,0.0
2023-2024,Athletic Club,37,134,98,73.1,19,11,8,18,47.4,5,1,3,1,75.0,61,167,107,65.3,9,23.7,5,3,1,1,25.0
2023-2024,Atlético Madrid,43,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0.0,70,203,134,68.0,8,21.1,6,5,1,0,16.7
2023-2024,Barcelona,44,141,97,70.2,26,7,5,17,44.7,2,2,0,0,0.0,79,226,149,67.7,2,5.3,7,6,1,0,14.3
2023-2024,Betis,45,158,115,75.9,14,15,9,13,34.2,8,7,1,0,12.5,48,153,106,69.9,8,21.1,3,2,1,0,33.3
2023-2024,Cádiz,55,175,121,69.7,6,15,17,10,26.3,2,2,0,0,0.0,26,123,98,81.3,18,47.4,3,3,0,0,0.0
2023-2024,Celta Vigo,57,164,109,68.9,10,11,17,6,15.8,8,6,1,1,14.3,46,156,109,72.4,13,34.2,5,3,2,0,40.0
2023-2024,Getafe,54,173,118,71.7,10,13,15,10,26.3,7,5,1,1,16.7,42,157,114,77.1,15,39.5,7,6,1,0,14.3
2023-2024,Girona,46,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7,85,186,101,58.1,7,18.4,8,7,1,0,12.5
2023-2024,Granada,79,203,126,63.5,4,9,25,3,7.9,6,5,0,1,0.0,38,129,93,74.4,16,42.1,8,5,1,2,16.7
2023-2024,Las Palmas,47,156,109,73.1,10,10,18,8,21.1,9,5,3,1,37.5,33,125,90,76.0,17,44.7,5,3,2,0,40.0
2023-2024,Mallorca,44,148,104,73.0,8,16,14,10,26.3,5,4,1,0,20.0,33,132,99,75.8,15,39.5,3,1,0,2,0.0
2023-2024,Osasuna,56,152,95,63.8,12,9,17,10,26.3,2,1,1,0,50.0,45,129,83,68.2,10,26.3,5,4,1,0,20.0
2023-2024,Rayo Vallecano,48,151,104,68.9,8,14,16,13,34.2,2,1,1,0,50.0,29,166,137,86.1,19,50.0,6,6,0,0,0.0
2023-2024,Real Madrid,26,118,93,78.8,29,8,1,21,55.3,1,1,0,0,0.0,87,246,159,65.4,2,5.3,5,2,2,1,50.0
2023-2024,Real Sociedad,39,135,96,75.6,16,12,10,15,39.5,7,6,1,0,14.3,51,151,103,68.9,10,26.3,4,4,0,0,0.0
2023-2024,Sevilla,54,175,123,72.0,10,11,17,8,21.1,5,5,0,0,0.0,48,162,116,71.6,10,26.3,2,2,0,0,0.0
2023-2024,Valencia,45,160,114,73.8,13,10,15,13,34.2,6,3,3,0,50.0,40,131,92,75.6,13,34.2,9,8,0,1,0.0
2023-2024,Villarreal,65,214,150,72.4,14,11,13,6,15.8,6,6,0,0,0.0,65,169,104,64.5,4,10.5,7,5,1,1,16.7
2022-2023,Almería,65,203,138,70.0,11,8,19,4,10.5,6,4,1,1,20.0,49,157,108,70.1,10,26.3,3,2,0,1,0.0
2022-2023,Athletic Club,43,123,83,67.5,14,9,15,11,28.9,3,3,0,0,0.0,47,164,116,74.4,16,42.1,7,5,2,0,28.6
2022-2023,Atlético Madrid,33,128,95,77.3,23,8,7,13,34.2,5,4,0,1,0.0,70,196,128,64.8,5,13.2,1,1,0,0,0.0
2022-2023,Barcelona,20,102,85,83.3,28,4,6,26,68.4,3,3,0,0,0.0,70,187,118,62.6,4,10.5,2,0,0,2,
2022-2023,Betis,41,146,106,74.0,17,9,12,13,34.2,3,3,0,0,0.0,46,147,103,74.1,13,34.2,9,8,1,0,11.1
2022-2023,Cádiz,53,202,148,78.2,10,12,16,13,34.2,10,9,1,0,10.0,30,112,83,76.8,17,44.7,5,4,0,1,0.0
2022-2023,Celta Vigo,53,134,80,64.2,11,10,17,10,26.3,8,5,2,1,28.6,43,163,121,74.8,10,26.3,3,2,1,0,33.3
2022-2023,Elche,67,208,140,71.2,5,10,23,4,10.5,10,7,3,0,30.0,30,129,98,79.8,16,42.1,5,4,1,0,20.0
2022-2023,Espanyol,69,183,115,65.0,8,13,17,6,15.8,6,5,1,0,16.7,52,156,105,69.9,4,10.5,5,5,0,0,0.0
2022-2023,Getafe,45,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0,34,123,87,76.4,14,36.8,8,5,2,1,28.6
2022-2023,Girona,55,168,112,70.8,13,10,15,4,10.5,8,6,1,1,14.3,58,169,113,70.4,8,21.1,9,8,1,0,11.1
2022-2023,Mallorca,43,145,101,74.5,14,8,16,13,34.2,7,6,1,0,14.3,37,112,75,70.5,13,34.2,5,4,1,0,20.0
2022-2023,Osasuna,42,148,107,72.3,15,8,15,11,28.9,4,1,1,2,50.0,37,137,101,75.9,15,39.5,5,4,0,1,0.0
2022-2023,Rayo Vallecano,53,144,95,66.0,13,10,15,9,23.7,5,4,0,1,0.0,45,153,109,73.2,10,26.3,8,4,3,1,42.9
2022-2023,Real Madrid,36,136,100,76.5,24,6,8,13,34.2,5,4,1,0,20.0,75,217,142,69.6,5,13.2,12,9,2,1,18.2
2022-2023,Real Sociedad,35,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0,51,177,128,72.3,9,23.7,4,2,2,0,50.0
2022-2023,Sevilla,54,161,109,67.7,13,10,15,9,23.7,3,2,1,0,33.3,47,145,98,70.3,7,18.4,5,4,0,1,0.0
2022-2023,Valencia,45,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0,42,147,105,74.8,12,31.6,8,5,2,1,28.6
2022-2023,Valladolid,63,199,134,71.4,11,7,20,9,23.7,10,6,3,1,33.3,33,141,108,78.7,18,47.4,4,3,1,0,25.0
2022-2023,Villarreal,40,149,110,75.8,19,7,12,12,31.6,4,4,0,0,0.0,59,194,135,71.6,9,23.7,7,4,2,1,33.3
2021-2022,Alavés,65,168,100,64.9,8,7,23,6,15.8,9,6,3,0,33.3,31,118,88,78.8,16,42.1,7,6,1,0,14.3
2021-2022,Athletic Club,36,131,96,74.8,14,13,11,13,34.2,3,3,0,0,0.0,43,157,113,74.5,14,36.8,7,3,4,0,57.1
2021-2022,Atlético Madrid,43,106,65,66.0,21,8,9,12,31.6,8,7,1,0,12.5,65,157,93,61.1,7,18.4,5,4,1,0,20.0
2021-2022,Barcelona,38,123,84,70.7,21,10,7,11,28.9,3,2,1,0,33.3,68,184,115,66.3,8,21.1,7,6,1,0,14.3
2021-2022,Betis,40,132,94,72.0,19,8,11,13,34.2,3,3,0,0,0.0,62,188,128,70.2,11,28.9,6,6,0,0,0.0
2021-2022,Cádiz,51,170,117,76.5,8,15,15,13,34.2,13,11,2,0,15.4,35,124,86,74.2,13,34.2,6,3,3,0,50.0
2021-2022,Celta Vigo,43,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0,43,141,96,71.6,15,39.5,6,3,3,0,50.0
2021-2022,Elche,52,174,121,74.1,11,9,18,8,21.1,9,7,1,1,12.5,40,107,68,63.6,12,31.6,1,1,0,0,0.0
2021-2022,Espanyol,53,169,118,71.0,10,12,16,10,26.3,5,4,0,1,0.0,40,133,94,73.7,10,26.3,5,5,0,0,0.0
2021-2022,Getafe,41,132,91,70.5,8,15,15,14,36.8,4,2,1,1,33.3,33,116,83,74.1,18,47.4,5,3,2,0,40.0
2021-2022,Granada,61,193,132,72.0,8,14,16,8,21.1,9,7,2,0,22.2,44,134,91,69.4,13,34.2,5,3,0,2,0.0
2021-2022,Levante,76,203,126,65.0,8,11,19,7,18.4,6,5,1,0,16.7,51,158,103,72.8,12,31.6,13,8,4,1,33.3
2021-2022,Mallorca,63,152,91,62.5,10,9,19,9,23.7,8,6,2,0,25.0,36,138,104,78.3,15,39.5,7,6,1,0,14.3
2021-2022,Osasuna,51,151,99,68.9,12,11,15,12,31.6,7,4,3,0,42.9,37,122,83,74.6,15,39.5,8,6,2,0,25.0
2021-2022,Rayo Vallecano,50,163,112,73.6,11,9,18,9,23.7,9,7,2,0,22.2,39,137,99,74.5,14,36.8,4,4,0,0,0.0
2021-2022,Real Madrid,31,129,97,78.3,26,8,4,16,42.1,5,3,2,0,40.0,80,254,171,71.7,8,21.1,12,8,3,1,27.3
2021-2022,Real Sociedad,37,127,89,74.8,17,11,10,20,52.6,6,5,1,0,16.7,40,153,112,79.7,11,28.9,10,9,1,0,10.0
2021-2022,Sevilla,30,121,90,76.9,18,16,4,17,44.7,4,2,1,1,33.3,53,142,90,64.1,7,18.4,3,2,1,0,33.3
2021-2022,Valencia,53,163,112,71.8,11,15,12,12,31.6,8,7,1,0,12.5,48,138,92,71.0,8,21.1,9,8,1,0,11.1
2021-2022,Villarreal,37,128,91,74.2,16,11,11,14,36.8,5,4,1,0,20.0,63,170,107,65.9,11,28.9,6,5,1,0,16.7
2020-2021,Alavés,57,142,85,62.0,9,11,18,9,23.7,3,3,0,0,0.0,36,102,65,69.6,13,34.2,8,5,2,1,28.6
2020-2021,Athletic Club,42,111,69,66.7,11,13,14,9,23.7,6,5,1,0,16.7,46,133,89,68.4,12,31.6,5,4,1,0,20.0
2020-2021,Atlético Madrid,25,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7,67,184,118,66.3,7,18.4,7,5,1,1,16.7
2020-2021,Barcelona,38,130,94,74.6,24,7,7,14,36.8,5,5,0,0,0.0,85,238,155,66.0,3,7.9,8,4,3,1,42.9
2020-2021,Betis,50,136,87,69.1,17,10,11,13,34.2,10,8,2,0,20.0,50,156,103,73.1,9,23.7,11,8,3,0,27.3
2020-2021,Cádiz,58,150,91,67.3,11,11,16,10,26.3,10,9,1,0,10.0,36,101,68,68.3,13,34.2,4,4,0,0,0.0
2020-2021,Celta Vigo,57,138,81,63.8,14,11,13,9,23.7,8,7,1,0,12.5,55,140,85,65.7,10,26.3,7,7,0,0,0.0
2020-2021,Eibar,52,135,82,63.7,6,12,20,9,23.7,5,3,1,1,25.0,29,135,102,81.5,14,36.8,9,4,4,1,50.0
2020-2021,Elche,55,163,106,69.9,8,12,18,7,18.4,10,6,3,1,33.3,34,88,55,63.6,13,34.2,3,2,0,1,0.0
2020-2021,Getafe,43,111,70,67.6,9,11,18,14,36.8,8,7,1,0,12.5,28,102,73,75.5,21,55.3,5,3,2,0,40.0
2020-2021,Granada,65,170,101,65.3,13,7,18,9,23.7,12,6,5,1,45.5,47,125,77,64.8,8,21.1,5,3,1,1,25.0
2020-2021,Huesca,53,149,98,67.8,7,13,18,9,23.7,5,5,0,0,0.0,34,133,100,76.7,16,42.1,4,3,0,1,0.0
2020-2021,Levante,57,163,108,66.9,9,14,15,4,10.5,4,3,0,1,0.0,46,131,83,67.2,11,28.9,6,3,3,0,50.0
2020-2021,Osasuna,48,142,94,69.7,11,11,16,11,28.9,8,5,2,1,28.6,37,120,83,73.3,15,39.5,6,5,1,0,16.7
2020-2021,Real Madrid,28,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5,67,170,106,62.4,5,13.2,3,3,0,0,0.0
2020-2021,Real Sociedad,38,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0,59,150,90,66.7,6,15.8,12,9,2,1,18.2
2020-2021,Sevilla,33,120,87,75.8,24,5,9,17,44.7,6,4,2,0,33.3,53,142,89,66.9,7,18.4,7,6,1,0,14.3
2020-2021,Valencia,53,175,121,72.6,10,13,15,7,18.4,8,5,3,0,37.5,50,138,89,69.6,9,23.7,10,8,1,1,11.1
2020-2021,Valladolid,57,161,104,68.3,5,16,17,3,7.9,7,6,0,1,0.0,34,118,83,77.1,14,36.8,8,7,1,0,12.5
