Season,Squad,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against
2024-2025 Premier League,Leicester City,45.4,2881,8066,9845,4048,632,21745,638,264,41.4,304,47.6,12276,30421,576,365,143,500,336,13828,1072,54.6,25340,2098,7128,11349,7106,1214,782,359,45.9,336,43.0,14685,76672,735,534,236,518,392,17421,1736
2024-2025 Premier League,Liverpool,57.7,2422,7285,11575,7274,1315,25896,677,301,44.5,310,45.8,14931,41047,825,558,322,532,350,18113,1910,42.3,20431,3165,8090,8088,4492,779,740,316,42.7,340,45.9,10760,62080,683,407,241,541,302,12509,1074
2024-2025 Premier League,Manchester City,61.3,2092,6503,12076,9753,1348,28099,799,377,47.2,301,37.7,18077,56163,1146,863,404,476,395,21242,1920,38.7,19488,3154,8514,7370,3783,699,523,235,44.9,214,40.9,10841,55784,546,343,164,487,283,12560,904
2024-2025 Premier League,Manchester Utd,53.5,2553,8593,10460,5908,967,24730,621,252,40.6,323,52.0,15116,37992,697,475,230,521,353,16672,1433,46.5,22105,2507,7059,9848,5437,800,775,323,41.7,400,51.6,12263,65968,672,529,184,489,417,14134,1172
2024-2025 Premier League,Newcastle Utd,51.3,2284,7468,9671,6124,1082,23026,657,282,42.9,298,45.4,13016,36065,759,474,263,491,438,15294,1583,48.7,22228,2680,7157,9564,5732,888,687,298,43.4,306,44.5,12457,65304,667,474,223,543,297,14188,1260
2024-2025 Premier League,Nott'ham Forest,41.2,2463,6477,7689,5063,785,18993,581,259,44.6,233,40.1,8768,26563,633,384,187,563,324,10733,1117,58.8,24861,2141,6917,11116,7047,1068,755,327,43.3,343,45.4,14317,84446,966,599,245,588,355,16672,1868
2024-2025 Premier League,Southampton,48.5,3003,8424,9788,4766,688,22774,736,312,42.4,333,45.2,12656,34286,640,460,165,486,355,15394,1118,51.5,23778,2130,6772,9944,7291,1264,661,304,46.0,280,42.4,13724,72045,814,548,300,429,372,16411,1635
2024-2025 Premier League,Tottenham,54.7,2626,8159,10173,6223,1001,24311,812,308,37.9,425,52.3,15073,41758,840,566,249,538,426,16373,1582,45.3,21039,2561,7305,8457,5517,994,693,302,43.6,296,42.7,11514,60259,660,417,220,497,365,12992,1316
2024-2025 Premier League,West Ham,48.4,2942,8352,9852,4896,839,22884,793,347,43.8,360,45.4,11796,29684,632,394,175,492,392,14712,1214,51.6,23805,2423,7191,10213,6620,1094,605,242,40.0,290,47.9,13771,74244,832,510,242,512,364,15670,1610
2024-2025 Premier League,Wolves,48.1,2578,7797,10051,4750,729,22328,731,324,44.3,315,43.1,12486,34365,607,458,146,591,369,14358,1179,51.9,23658,2351,7218,10397,6274,982,778,296,38.0,373,47.9,13159,70747,767,520,234,557,428,15750,1522
2024-2025 Serie A,Atalanta,55.3,2035,6907,11325,7007,1076,25013,645,257,39.8,330,51.2,15076,42064,897,696,254,574,362,17329,1808,44.7,21205,2790,8216,9243,3956,555,573,234,40.8,272,47.5,11137,57758,510,355,115,603,299,13265,976
2024-2025 Serie A,Bologna,58.1,2070,6703,10984,5817,831,23297,555,221,39.8,266,47.9,13684,33468,639,422,167,598,361,15512,1457,41.9,18117,2704,7710,7369,3241,566,611,255,41.7,283,46.3,9049,46842,440,311,141,557,308,10342,869
2024-2025 Serie A,Cagliari,44.9,2531,7637,8203,4166,645,19799,552,228,41.3,274,49.6,10679,25903,506,339,115,585,294,11974,1140,55.1,23820,2217,7184,11262,5576,864,498,211,42.4,238,47.8,14003,76881,756,548,216,621,300,15925,1490
2024-2025 Serie A,Como,54.6,2359,7668,10461,5315,791,23244,622,264,42.4,288,46.3,14108,35128,658,463,202,577,360,15729,1371,45.4,20145,2452,7535,8695,4136,636,653,288,44.1,303,46.4,11073,57995,539,369,132,524,360,12668,1106
2024-2025 Serie A,Empoli,41.7,2279,6509,8088,3861,562,18252,505,212,42.0,238,47.1,8486,20518,428,284,102,594,349,9986,1004,58.3,24163,2469,7992,10874,5490,824,612,234,38.2,309,50.5,13687,70351,588,461,162,582,380,15959,1386
2024-2025 Serie A,Fiorentina,51.0,2419,7306,9857,4479,671,21423,600,270,45.0,254,42.3,12538,32278,620,479,164,535,306,14051,1226,49.0,21017,2165,6702,9865,4642,739,549,240,43.7,248,45.2,12226,66938,675,429,148,530,283,13680,1265
2024-2025 Serie A,Genoa,45.6,2523,7477,8829,3958,644,20078,505,187,37.0,260,51.5,10006,25471,470,343,112,593,289,11902,967,54.4,23029,2327,7364,10399,5459,832,650,283,43.5,283,43.5,13102,65300,609,484,166,587,389,14943,1359
2024-2025 Serie A,Hellas Verona,38.7,2055,5973,8025,3869,532,17657,508,228,44.9,233,45.9,8757,22203,449,338,100,533,254,9765,998,61.3,25434,2078,7310,12632,5689,799,665,281,42.3,311,46.8,14985,78285,665,502,158,567,361,17750,1582
2024-2025 Serie A,Inter,59.4,2510,7834,12203,6361,1048,26206,407,158,38.8,199,48.9,16253,40921,694,566,155,423,242,19251,1717,40.6,18906,2505,6651,8467,3974,604,492,213,43.3,239,48.6,10804,58866,631,416,153,521,266,12057,1058
2024-2025 Serie A,Juventus,57.2,2320,7729,11766,5913,856,25196,658,309,47.0,300,45.6,15347,45140,810,558,216,568,293,18089,1548,42.8,19571,2513,6795,8487,4493,608,525,208,39.6,263,50.1,10828,59104,540,459,134,486,343,12460,1087
2024-2025 Serie A,Lazio,55.1,2262,6760,11033,5654,928,23193,628,296,47.1,266,42.4,13530,39821,774,587,189,469,310,16281,1580,44.9,19987,2599,7206,8767,4204,661,546,250,45.8,251,46.0,11670,63272,548,381,124,437,269,12863,1124
2024-2025 Serie A,Lecce,43.8,2594,7211,8380,4085,605,19441,547,237,43.3,248,45.3,9704,25490,519,349,121,572,290,11350,1062,56.2,23576,2146,6501,11073,6205,899,644,283,43.9,301,46.7,13689,70792,654,510,165,594,326,15603,1668
2024-2025 Serie A,Milan,53.9,2115,7299,10263,5518,966,22841,721,343,47.6,309,42.9,14001,44096,915,648,269,513,288,16145,1572,46.1,20310,2550,7151,8891,4491,679,527,234,44.4,246,46.7,11742,65088,618,452,150,469,306,13610,1216
2024-2025 Serie A,Monza,48.5,2852,8271,9181,4056,480,21335,507,220,43.4,227,44.8,12954,31645,533,413,89,510,334,14106,1081,51.5,22691,1877,5883,11026,5982,904,554,229,41.3,272,49.1,12838,66921,699,542,186,545,290,15414,1581
2024-2025 Serie A,Napoli,54.6,2258,7471,11310,5295,869,23887,611,244,39.9,286,46.8,13244,35365,739,443,207,473,326,16735,1530,45.4,20770,2464,6906,9530,4543,584,519,211,40.7,258,49.7,11837,63353,537,445,103,499,277,13488,1132
2024-2025 Serie A,Parma,44.2,2706,7204,8455,4468,655,19896,587,249,42.4,276,47.0,11305,29684,578,416,168,548,297,12339,1049,55.8,23755,2179,7107,10907,5980,943,561,242,43.1,242,43.1,14164,77691,822,573,209,524,281,16290,1752
2024-2025 Serie A,Roma,53.9,2375,7151,11355,5819,861,24118,563,210,37.3,266,47.2,14077,36058,691,579,162,545,283,16857,1488,46.1,21195,2530,7476,9356,4564,677,487,215,44.1,224,46.0,11917,65549,668,479,161,538,327,14024,1266
2024-2025 Serie A,Torino,47.5,2400,6911,9482,4475,605,20693,452,169,37.4,236,52.2,12098,31118,529,389,107,490,272,13424,1103,52.5,22649,2383,7542,9869,5453,868,499,205,41.1,232,46.5,13393,67768,722,478,177,532,236,15221,1332
2024-2025 Serie A,Udinese,47.2,2410,6993,9142,4451,694,20347,623,281,45.1,294,47.2,11222,29910,566,424,127,558,295,12776,1140,52.8,22212,2520,7711,9803,4905,788,578,229,39.6,279,48.3,12421,64424,582,419,159,536,283,14666,1273
2024-2025 Serie A,Venezia,45.1,2614,7044,8341,4288,633,19445,601,248,41.3,290,48.3,10476,28256,507,383,124,621,398,11442,1057,54.9,22914,2219,7116,10168,5872,922,654,286,43.7,286,43.7,12980,66635,719,506,191,627,319,14815,1376
2024-2025 Ligue 1,Angers,41.2,2146,6594,7732,3813,512,17913,613,249,40.6,331,54.0,9398,26951,502,365,98,493,297,10991,943,58.8,24043,1747,5934,11764,6568,921,649,313,48.2,294,45.3,14633,79121,784,623,185,469,330,17198,1756
2024-2025 Ligue 1,Auxerre,42.5,2265,6744,7753,3877,614,18183,622,258,41.5,324,52.1,10101,24986,484,350,137,452,346,10927,1078,57.5,22989,1832,6490,11361,5341,772,649,290,44.7,316,48.7,13114,70683,645,441,159,508,341,15775,1510
2024-2025 Ligue 1,Brest,48.4,2240,6822,8962,4265,644,19875,490,209,42.7,245,50.0,10454,26772,470,348,117,509,246,12586,1084,51.6,21061,2098,6857,9665,4731,767,615,275,44.7,308,50.1,11648,59666,559,389,140,565,348,13948,1507
2024-2025 Ligue 1,Le Havre,43.1,2197,6737,7822,3637,581,17965,512,233,45.5,236,46.1,9506,26445,538,347,93,448,311,11013,1033,56.9,22664,1913,5983,11021,5860,832,605,258,42.6,304,50.2,13247,67565,633,469,140,535,317,15850,1632
2024-2025 Ligue 1,Lens,54.1,1929,6346,10186,5833,848,22162,582,249,42.8,297,51.0,12325,30074,570,479,122,576,341,14727,1440,45.9,19947,2360,6777,8799,4591,684,633,280,44.2,299,47.2,10605,55338,585,454,167,551,307,12410,1085
2024-2025 Ligue 1,Lille,57.6,1932,6099,11352,5991,854,23268,598,283,47.3,288,48.2,13642,37395,669,512,158,513,300,16614,1603,42.4,18455,2383,7264,7928,3473,601,594,243,40.9,311,52.4,10360,51946,503,318,147,485,315,11670,935
2024-2025 Ligue 1,Lyon,56.4,2155,6644,10377,5810,999,22626,546,238,43.6,277,50.7,13430,36807,709,483,201,456,281,15904,1600,43.6,18656,2259,6330,8014,4506,734,626,285,45.5,310,49.5,9503,52123,624,391,171,454,266,11808,1119
2024-2025 Ligue 1,Marseille,63.3,1928,6930,13580,6271,850,26592,607,278,45.8,300,49.4,16260,39382,664,499,197,471,313,20224,1703,36.7,16997,2207,6352,7403,3418,527,510,198,38.8,274,53.7,8945,45661,436,277,155,442,278,10556,867
2024-2025 Ligue 1,Monaco,55.0,1745,5633,10914,5558,969,21876,613,266,43.4,300,48.9,12485,34414,670,534,187,601,341,14447,1629,45.0,19030,2336,6789,8295,4152,588,666,285,42.8,339,50.9,9441,50276,549,389,133,578,331,11475,1198
2024-2025 Ligue 1,Montpellier,45.3,2072,6036,8263,4032,540,18129,609,262,43.0,302,49.6,9615,27149,529,362,138,478,296,11348,1030,54.7,21377,1891,5927,10462,5175,876,640,298,46.6,310,48.4,12486,64650,632,471,173,519,321,14631,1451
2024-2025 Ligue 1,Nantes,40.4,2137,6120,8089,3839,644,17869,525,227,43.2,278,53.0,9492,23741,502,344,141,485,286,10932,1044,59.6,24836,1972,6721,12086,6215,872,603,244,40.5,321,53.2,14536,73671,715,482,175,500,324,17820,1709
2024-2025 Ligue 1,Nice,47.5,2171,6488,9270,4693,843,20200,687,295,42.9,346,50.4,10937,32981,701,413,171,540,315,13013,1312,52.5,21769,2318,6781,10019,5194,738,568,237,41.7,297,52.3,12118,60988,618,468,149,499,336,14620,1305
2024-2025 Ligue 1,Paris S-G,68.0,1991,6704,14734,8262,1211,29495,802,364,45.4,393,49.0,18244,49950,936,702,347,488,329,23027,2114,32.0,15926,2513,6411,6303,3420,561,638,282,44.2,325,50.9,8255,43399,467,318,125,510,294,9268,868
2024-2025 Ligue 1,Reims,44.1,2437,6983,7699,4213,649,18661,629,279,44.4,312,49.6,9968,30711,586,420,139,576,304,11542,1140,55.9,22485,1994,6180,10380,6116,936,575,266,46.3,285,49.6,12935,67208,663,521,187,497,273,15499,1620
2024-2025 Ligue 1,Rennes,50.9,1999,6281,9624,4970,763,20680,643,270,42.0,327,50.9,11438,31644,663,429,186,508,344,13788,1421,49.1,20140,2247,6943,9019,4349,697,543,214,39.4,296,54.5,11095,55664,575,365,162,499,300,13134,1136
2024-2025 Ligue 1,Saint-Étienne,47.1,2437,6917,8493,4607,600,19844,558,239,42.8,294,52.7,10318,26053,529,334,138,550,309,12920,1254,52.9,21882,1767,6492,10179,5407,980,627,298,47.5,296,47.2,12700,64548,714,481,235,532,285,15019,1453
2024-2025 Ligue 1,Strasbourg,50.1,2567,8555,9120,3825,614,21305,629,282,44.8,304,48.3,12112,29750,563,365,170,514,263,14530,1191,49.9,20748,2028,6897,9204,4819,823,489,202,41.3,257,52.6,11921,59250,537,395,164,494,280,14145,1349
2024-2025 Ligue 1,Toulouse,45.0,1884,6030,8440,4363,789,18602,616,277,45.0,306,49.7,10414,26397,543,369,155,527,311,11568,1201,55.0,22354,2367,7535,10508,4524,615,651,290,44.5,318,48.8,12597,64349,589,403,128,548,287,15275,1320
2024-2025 Bundesliga,Augsburg,44.3,2215,6126,8404,4701,681,19034,555,228,41.1,280,50.5,10166,23696,450,356,97,587,297,11478,1149,55.7,22943,2360,7467,10398,5239,816,469,197,42.0,233,49.7,12814,62501,604,405,140,479,231,15364,1429
2024-2025 Bundesliga,Bayern Munich,67.9,1651,6130,14825,8664,1212,29425,791,383,48.4,354,44.8,18048,45625,831,683,265,495,264,22614,2125,32.1,16085,2998,7592,6086,2581,425,476,200,42.0,250,52.5,7861,36733,286,200,81,453,256,9050,664
2024-2025 Bundesliga,Bochum,45.5,2240,6257,8021,4198,683,18308,421,167,39.7,239,56.8,9051,19107,378,292,89,524,235,10164,1077,54.5,22119,2332,7245,9965,5100,898,619,266,43.0,306,49.4,11590,58190,599,420,182,526,294,13929,1435
2024-2025 Bundesliga,Dortmund,58.9,2170,6972,11525,5921,916,24208,747,341,45.6,334,44.7,14567,36951,701,522,219,502,307,16922,1555,41.1,18251,2382,6828,7494,4124,694,539,231,42.9,261,48.4,9340,47128,473,355,138,498,262,10851,1045
2024-2025 Bundesliga,Eint Frankfurt,49.7,2574,7332,9549,4619,871,21310,609,293,48.1,272,44.7,12239,29809,585,428,188,561,262,13804,1337,50.3,21445,2319,6565,9663,5361,799,544,228,41.9,280,51.5,11276,56986,547,422,143,447,286,14035,1273
2024-2025 Bundesliga,Freiburg,48.7,2220,6656,9166,4504,722,20174,486,215,44.2,237,48.8,10294,26564,442,319,119,456,259,12683,1120,51.3,21416,2280,7469,9517,4592,727,478,222,46.4,235,49.2,12223,56939,471,354,120,539,276,13965,1167
2024-2025 Bundesliga,Gladbach,49.6,2921,8283,9361,4035,702,21514,469,206,43.9,231,49.3,11672,29577,530,360,131,420,269,14002,1104,50.4,21784,2032,5968,9969,6055,1000,514,233,45.3,240,46.7,11945,60720,607,463,171,501,264,14355,1509
2024-2025 Bundesliga,Heidenheim,43.5,2427,7356,7915,3789,619,18831,532,232,43.6,250,47.0,10014,26117,516,347,94,537,240,11035,959,56.5,23335,1995,6152,11630,5773,847,607,264,43.5,294,48.4,13152,67306,643,489,154,523,320,15686,1610
2024-2025 Bundesliga,Hoffenheim,48.7,2338,6644,9219,4904,762,20588,505,234,46.3,238,47.1,10884,25062,481,391,124,451,293,12717,1208,51.3,21736,2361,6905,9596,5414,898,556,242,43.5,269,48.4,11712,57227,529,428,143,550,301,13877,1336
2024-2025 Bundesliga,Holstein Kiel,43.6,2860,7924,7386,3022,572,18167,424,184,43.4,200,47.2,8483,19640,359,261,81,504,242,10453,860,56.4,22214,1790,5535,10403,6454,987,589,253,43.0,277,47.0,12764,60246,549,409,172,548,264,14660,1558
2024-2025 Bundesliga,Leverkusen,59.2,1888,5876,12171,7188,918,25092,584,254,43.5,293,50.2,13865,35710,696,496,181,458,253,18137,1678,40.8,18556,2562,7087,7890,3728,560,384,173,45.1,184,47.9,10192,49152,403,333,99,438,211,11490,972
2024-2025 Bundesliga,Mainz 05,50.4,2193,6705,9124,5015,782,20671,496,214,43.1,252,50.8,10562,22087,466,334,119,593,295,12386,1272,49.6,20500,2395,7086,8870,4721,774,491,212,43.2,236,48.1,10118,47298,436,329,132,534,328,12192,1107
2024-2025 Bundesliga,RB Leipzig,52.2,2257,6793,10962,4856,757,22392,580,261,45.0,260,44.8,11429,27778,516,392,136,510,312,14621,1346,47.8,20820,2272,6842,9156,4982,889,574,267,46.5,258,44.9,10832,52648,530,354,154,510,285,12947,1256
2024-2025 Bundesliga,St. Pauli,44.2,2257,6816,8232,4244,648,19139,429,179,41.7,201,46.9,9105,22922,418,326,122,476,262,11611,1057,55.8,23319,2172,6856,12047,4560,704,554,245,44.2,266,48.0,12880,63001,484,352,117,554,271,15848,1374
2024-2025 Bundesliga,Stuttgart,57.2,2241,6719,11421,5572,945,23539,566,264,46.6,272,48.1,13416,32190,545,434,170,499,312,16334,1478,42.8,18607,2476,6977,7887,3903,669,515,222,43.1,254,49.3,9866,48935,443,320,128,464,223,11303,1014
2024-2025 Bundesliga,Union Berlin,40.0,2167,6285,7721,3997,688,17831,420,172,41.0,214,51.0,8875,20269,390,252,107,472,286,9874,1032,60.0,24274,2285,6987,12081,5341,764,553,237,42.9,270,48.8,13550,66402,595,435,123,486,267,16348,1484
2024-2025 Bundesliga,Werder Bremen,50.0,2477,7701,9226,4721,818,21488,477,195,40.9,240,50.3,12439,27735,495,347,126,493,256,13899,1343,50.1,21849,2259,6824,10158,5066,781,563,245,43.5,276,49.0,11625,56447,540,396,157,499,275,14179,1323
2024-2025 Bundesliga,Wolfsburg,46.1,2295,6603,8190,4491,725,19116,514,209,40.7,268,52.1,10180,23417,489,338,131,504,215,11456,1196,53.9,21657,2121,6793,9608,5447,789,580,294,50.7,246,42.4,11549,57655,549,414,145,493,245,14111,1340
2024-2025,Alavés,45.3,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,22946,449,346,90,598,307,10419,1148,54.7,22689,2367,7584,10446,4876,659,810,378,46.7,348,43.0,11958,63721,573,440,137,645,389,14127,1309
2024-2025,Athletic Club,48.4,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,32773,682,444,188,597,401,13522,1561,51.6,23225,2765,9110,10141,4156,588,633,283,44.7,296,46.8,12464,60243,468,345,111,608,281,14809,1168
2024-2025,Atlético Madrid,52.6,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,41305,760,579,167,541,275,17707,1553,47.4,23851,2405,6916,11439,5686,619,694,308,44.4,319,46.0,13506,67569,581,479,100,577,300,16092,1533
2024-2025,Barcelona,68.3,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,49435,860,667,238,579,316,22187,2201,31.7,16221,2896,7293,6081,3011,566,572,249,43.5,271,47.4,7646,39978,406,246,147,545,267,8434,769
2024-2025,Betis,52.4,2253,7466,10545,6088,921,23862,722,312,43.2,344,47.6,13910,36269,679,532,228,676,378,15627,1468,47.6,22048,2459,7355,9895,5002,750,702,302,43.0,342,48.7,11838,60140,611,421,165,564,303,13770,1394
2024-2025,Celta Vigo,53.6,2232,7618,12133,5574,831,25114,628,254,40.4,312,49.7,15010,39392,709,500,218,558,296,17691,1649,46.4,22435,2437,7311,10538,4807,676,638,290,45.5,286,44.8,12857,65278,564,463,144,527,269,14814,1209
2024-2025,Espanyol,39.8,2655,7408,7625,3582,548,18401,546,221,40.5,266,48.7,9361,28280,497,359,109,561,241,10490,991,60.2,25692,1881,6559,12682,6675,1016,686,300,43.7,310,45.2,15118,83083,838,604,195,585,330,17827,1808
2024-2025,Getafe,41.8,1770,5183,7998,4646,675,17600,631,265,42.0,312,49.4,7825,19034,368,311,105,719,357,8611,966,58.2,22942,2431,8144,10481,4497,630,740,332,44.9,333,45.0,11645,58255,499,343,123,641,312,13820,1269
2024-2025,Girona,56.3,2516,7829,11533,5912,795,25083,634,291,45.9,276,43.5,15275,44108,765,553,180,522,312,18040,1684,43.7,20788,2333,7034,8948,5006,779,620,265,42.7,292,47.1,11640,59568,582,402,202,476,277,13689,1174
2024-2025,Las Palmas,50.7,2561,7809,10353,4511,669,22493,571,239,41.9,288,50.4,11365,28603,499,346,113,547,275,14222,1197,49.3,22205,2110,6608,10200,5612,931,654,285,43.6,307,46.9,11832,64867,684,471,197,638,312,13983,1457
2024-2025,Leganés,42.6,2448,7029,8720,3764,482,19305,627,302,48.2,263,41.9,9782,24033,417,364,105,575,314,11128,1023,57.4,24252,1859,6747,11160,6562,957,683,304,44.5,295,43.2,13277,70117,754,561,191,609,338,16152,1661
2024-2025,Mallorca,46.8,2598,7168,9299,4391,635,20644,583,255,43.7,260,44.6,10945,26760,479,409,85,567,377,12481,1169,53.2,22970,2030,6645,10519,6025,901,549,243,44.3,257,46.8,12758,66974,693,462,189,577,327,14846,1572
2024-2025,Osasuna,46.1,2263,6318,8904,5007,737,20027,592,260,43.9,279,47.1,10439,27022,567,424,134,532,293,12053,1204,53.9,23180,2310,7397,10374,5622,821,671,307,45.8,311,46.3,12868,68588,647,491,168,675,303,15079,1535
2024-2025,Rayo Vallecano,51.7,2557,7799,9339,5455,711,22371,647,286,44.2,304,47.0,12068,29156,589,431,143,630,327,13833,1346,48.3,21249,2413,7416,9160,4906,774,740,355,48.0,309,41.8,10729,60783,613,434,161,630,318,12661,1318
2024-2025,Real Madrid,60.4,2392,7662,12794,8048,1181,28238,878,412,46.9,384,43.7,17893,50356,983,696,364,528,290,21223,1953,39.6,19910,2621,7172,8356,4578,643,521,222,42.6,264,50.7,11509,60630,648,470,160,476,322,12876,1155
2024-2025,Real Sociedad,53.8,2275,7208,10770,5243,747,23023,659,295,44.8,307,46.6,12533,34084,645,417,163,603,297,14716,1325,46.2,20816,2394,7200,8796,5046,752,643,271,42.1,308,47.9,10345,51781,538,384,168,618,341,12516,1128
2024-2025,Sevilla,50.5,2404,8057,9800,4813,669,22462,720,339,47.1,320,44.4,11147,29786,594,397,161,624,331,14288,1186,49.5,22206,2259,7100,10193,5095,670,637,251,39.4,312,49.0,12283,61270,551,423,139,527,336,14188,1249
2024-2025,Valencia,48.4,2290,7206,9840,5033,653,21871,625,236,37.8,321,51.4,11347,30877,572,414,122,535,340,13802,1328,51.6,23232,2269,7471,10614,5323,743,633,252,39.8,321,50.7,12610,64537,589,414,156,581,326,15181,1403
2024-2025,Valladolid,42.8,2681,8158,8153,3393,523,19502,624,289,46.3,266,42.6,9680,27524,476,316,120,513,268,11933,976,57.2,24328,1805,5842,11908,6783,982,616,290,47.1,276,44.8,14005,73671,724,592,199,547,320,16996,1741
2024-2025,Villarreal,47.6,2612,7831,9120,5352,983,22105,627,279,44.5,278,44.3,12034,34540,693,503,202,560,289,14383,1510,52.4,23983,2415,7431,10422,6344,822,689,292,42.4,336,48.8,14128,70607,720,563,183,519,313,16496,1586
2023-2024,Alavés,41.8,2162,6122,7564,4706,764,18172,625,310,49.6,254,40.6,8574,25494,550,364,138,572,299,9972,1252,58.2,24410,2398,7446,11388,5787,818,698,339,48.6,290,41.5,13762,75816,744,542,187,663,288,16187,1487
2023-2024,Almería,46.4,2654,7711,9323,4094,614,20900,667,299,44.8,314,47.1,11128,30444,590,424,132,550,269,12660,1082,53.6,23390,2099,6542,10880,6169,1003,641,302,47.1,280,43.7,13182,69802,751,563,204,518,353,15316,1620
2023-2024,Athletic Club,49.8,1965,6376,10617,6083,901,22839,743,338,45.5,349,47.0,12487,34507,735,528,193,571,366,14367,1596,50.2,23484,2691,8965,10228,4515,674,707,330,46.7,305,43.1,12385,62315,521,413,127,636,276,14757,1281
