Season,Squad,Starts Mn/Start_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against
2024-2025 Ligue 1,Auxerre,83,155,16,151,1.24,48,51,-3,41.0,58.6,-17.6,158,20,148,1.5
2024-2025 Ligue 1,Brest,82,147,20,152,1.47,52,59,-7,45.4,57.4,-12.0,150,19,155,1.38
2024-2025 Ligue 1,Le Havre,82,147,19,159,1.0,40,71,-31,41.4,62.8,-21.4,153,20,153,1.88
2024-2025 Ligue 1,Lens,81,158,19,146,1.53,42,39,3,51.8,45.3,6.5,140,19,165,1.26
2024-2025 Ligue 1,Lille,82,156,20,149,1.76,52,36,16,54.7,42.5,12.2,152,19,152,0.97
2024-2025 Ligue 1,Lyon,83,143,18,163,1.68,65,46,19,60.3,45.7,14.6,156,17,146,1.15
2024-2025 Ligue 1,Marseille,81,147,21,158,1.91,74,47,27,63.8,45.2,18.6,143,18,161,0.94
2024-2025 Ligue 1,Monaco,82,153,19,152,1.79,63,41,22,72.8,34.8,38.0,140,19,166,1.0
2024-2025 Ligue 1,Montpellier,81,151,23,147,0.47,23,79,-56,33.5,63.3,-29.9,153,18,153,2.41
2024-2025 Ligue 1,Nantes,83,155,15,151,1.06,39,52,-13,39.1,55.5,-16.4,136,20,169,1.59
2024-2025 Ligue 1,Nice,83,158,17,148,1.76,66,41,25,61.6,40.2,21.4,150,21,154,0.97
2024-2025 Ligue 1,Paris S-G,81,144,24,156,2.47,92,35,57,88.9,31.2,57.7,153,18,153,0.35
2024-2025 Ligue 1,Reims,82,148,20,160,0.97,33,47,-14,37.4,57.4,-19.9,145,19,159,1.76
2024-2025 Ligue 1,Rennes,82,148,20,158,1.21,51,50,1,48.6,46.0,2.6,149,19,153,1.74
2024-2025 Ligue 1,Saint-Étienne,82,142,20,163,0.88,39,77,-38,36.4,74.3,-37.9,154,20,149,1.94
2024-2025 Ligue 1,Strasbourg,84,131,16,177,1.68,56,44,12,49.3,56.1,-6.9,142,18,163,1.06
2024-2025 Ligue 1,Toulouse,83,140,17,165,1.24,44,43,1,49.1,36.8,12.4,155,19,149,1.5
2024-2025 Bundesliga,Augsburg,80,157,23,147,1.26,35,51,-16,34.7,48.9,-14.2,158,21,145,1.44
2024-2025 Bundesliga,Bayern Munich,82,150,21,155,2.41,99,32,67,81.7,25.5,56.2,153,20,152,0.38
2024-2025 Bundesliga,Bochum,81,154,20,152,0.74,33,67,-34,41.8,63.2,-21.3,158,20,144,2.06
2024-2025 Bundesliga,Dortmund,81,154,20,147,1.68,71,51,20,61.2,42.8,18.4,156,18,149,1.15
2024-2025 Bundesliga,Eint Frankfurt,81,162,20,144,1.76,68,46,22,65.1,48.0,17.1,153,21,150,0.97
2024-2025 Bundesliga,Freiburg,82,157,18,149,1.62,49,53,-4,44.3,42.4,1.8,158,21,145,1.18
2024-2025 Bundesliga,Gladbach,83,165,16,141,1.32,55,57,-2,50.6,63.4,-12.7,153,21,152,1.5
2024-2025 Bundesliga,Heidenheim,80,162,23,144,0.85,37,64,-27,40.3,57.6,-17.4,160,21,145,2.0
2024-2025 Bundesliga,Hoffenheim,81,151,22,153,0.94,46,68,-22,42.6,55.8,-13.1,158,20,146,1.74
2024-2025 Bundesliga,Holstein Kiel,79,162,24,143,0.74,49,80,-31,39.8,61.0,-21.1,158,20,146,2.06
2024-2025 Bundesliga,Leverkusen,83,136,19,165,2.03,72,43,29,56.9,36.2,20.6,164,18,141,0.62
2024-2025 Bundesliga,Mainz 05,82,145,18,160,1.53,55,43,12,50.1,48.1,2.0,156,23,147,1.18
2024-2025 Bundesliga,RB Leipzig,81,158,20,142,1.5,53,48,5,46.6,53.3,-6.8,145,17,158,1.15
2024-2025 Bundesliga,St. Pauli,84,143,16,163,0.94,28,41,-13,35.3,45.4,-10.1,152,20,153,1.82
2024-2025 Bundesliga,Stuttgart,81,161,19,142,1.47,64,53,11,62.3,46.9,15.4,152,19,154,1.29
2024-2025 Bundesliga,Union Berlin,80,168,22,137,1.18,35,51,-16,37.0,47.8,-10.7,156,19,148,1.53
2024-2025 Bundesliga,Werder Bremen,83,156,17,145,1.5,54,57,-3,49.1,48.1,1.0,157,21,149,1.24
2024-2025 Bundesliga,Wolfsburg,82,155,19,150,1.26,56,54,2,47.5,52.5,-5.1,149,20,155,1.44
2024-2025,Alavés,82,161,21,275,1.11,38,48,-10,42.8,47.0,-4.2,178,24,251,1.58
2024-2025,Athletic Club,80,189,23,253,1.84,54,29,25,53.0,37.8,15.2,177,21,240,0.82
2024-2025,Atlético Madrid,78,188,27,242,2.0,68,30,38,64.6,33.4,31.2,173,20,257,0.74
2024-2025,Barcelona,80,180,22,254,2.32,102,39,63,91.5,41.9,49.5,180,22,246,0.58
2024-2025,Betis,80,179,22,230,1.58,57,50,7,54.7,50.6,4.1,181,21,246,1.11
2024-2025,Celta Vigo,79,189,23,265,1.45,59,57,2,54.2,43.4,10.9,180,23,250,1.37
2024-2025,Espanyol,81,180,21,270,1.11,40,51,-11,34.4,53.8,-19.4,174,21,256,1.66
2024-2025,Getafe,81,164,21,247,1.11,34,39,-5,36.8,46.2,-9.4,175,21,251,1.66
2024-2025,Girona,81,172,22,249,1.08,44,60,-16,42.5,50.4,-8.0,176,20,248,1.71
2024-2025,Las Palmas,80,189,21,246,0.84,40,61,-21,36.3,66.8,-30.5,178,21,252,1.95
2024-2025,Leganés,81,167,21,250,1.05,39,56,-17,36.0,59.4,-23.4,174,24,257,1.61
2024-2025,Mallorca,82,179,18,260,1.26,35,44,-9,38.8,46.8,-8.1,171,21,252,1.5
2024-2025,Osasuna,82,183,18,256,1.37,48,52,-4,44.0,53.7,-9.6,172,22,263,1.21
2024-2025,Rayo Vallecano,80,188,22,256,1.37,41,45,-4,45.4,49.0,-3.5,172,22,253,1.29
2024-2025,Real Madrid,83,144,18,213,2.21,78,38,40,75.3,42.8,32.5,181,20,244,0.63
2024-2025,Real Sociedad,79,181,25,268,1.21,35,46,-11,42.5,43.9,-1.5,170,21,251,1.61
2024-2025,Sevilla,82,174,18,266,1.08,42,55,-13,42.7,47.4,-4.7,183,20,243,1.63
2024-2025,Valencia,82,179,19,264,1.21,44,54,-10,43.2,51.9,-8.6,180,22,248,1.45
2024-2025,Valladolid,79,177,25,264,0.42,26,90,-64,34.6,67.6,-33.0,182,21,248,2.47
2024-2025,Villarreal,81,177,21,179,1.84,71,51,20,64.8,44.4,20.4,183,23,251,0.89
2023-2024,Alavés,82,187,18,258,1.21,36,46,-10,46.2,44.7,1.5,178,22,237,1.53
2023-2024,Almería,81,176,22,257,0.55,43,75,-32,48.7,61.6,-12.9,181,22,237,2.13
2023-2024,Athletic Club,80,188,22,255,1.79,61,37,24,52.7,41.3,11.4,167,23,244,0.92
2023-2024,Atlético Madrid,78,183,26,198,2.0,70,43,27,62.4,39.5,23.0,174,20,235,0.89
2023-2024,Barcelona,81,161,23,230,2.24,79,44,35,77.6,41.6,35.9,174,21,243,0.58
2023-2024,Betis,80,164,24,237,1.5,48,45,3,43.9,50.2,-6.3,177,20,236,1.11
2023-2024,Cádiz,80,186,21,257,0.87,26,55,-29,36.0,52.3,-16.3,181,20,236,1.74
2023-2024,Celta Vigo,82,167,19,277,1.08,46,57,-11,50.7,54.6,-3.8,179,22,238,1.63
2023-2024,Getafe,80,171,22,195,1.13,42,54,-12,45.7,53.8,-8.1,177,19,236,1.53
2023-2024,Girona,83,167,19,221,2.13,85,46,39,70.8,54.3,16.5,180,21,237,0.71
2023-2024,Granada,82,180,19,244,0.55,38,79,-41,42.6,64.2,-21.6,174,22,238,2.21
2023-2024,Las Palmas,81,177,20,266,1.05,33,47,-14,33.2,56.6,-23.5,183,22,238,1.68
2023-2024,Mallorca,80,186,22,263,1.05,33,44,-11,40.5,42.9,-2.5,169,20,254,1.53
2023-2024,Osasuna,82,182,19,211,1.18,45,56,-11,40.5,49.9,-9.4,170,21,244,1.58
2023-2024,Rayo Vallecano,81,186,21,255,1.0,29,48,-19,42.3,44.6,-2.3,178,21,241,1.63
2023-2024,Real Madrid,83,164,18,192,2.5,87,26,61,68.8,35.4,33.4,177,23,238,0.29
2023-2024,Real Sociedad,80,178,23,271,1.58,51,39,12,44.9,41.3,3.6,175,20,237,1.11
2023-2024,Sevilla,82,168,20,274,1.08,48,54,-6,44.9,55.9,-11.0,175,18,237,1.63
2023-2024,Valencia,81,179,20,229,1.29,40,45,-5,43.1,47.6,-4.5,181,22,237,1.45
2023-2024,Villarreal,80,178,22,186,1.39,65,65,0,55.6,58.7,-3.2,178,21,233,1.32
2022-2023,Almería,81,187,21,254,1.08,49,65,-16,45.5,62.5,-17.0,173,22,244,1.71
2022-2023,Athletic Club,81,182,19,248,1.34,47,43,4,54.2,36.9,17.3,178,22,232,1.42
2022-2023,Atlético Madrid,81,168,22,201,2.03,70,33,37,61.9,41.1,20.8,176,21,244,0.76
2022-2023,Barcelona,81,168,23,227,2.32,70,20,50,75.5,33.2,42.3,179,23,244,0.58
2022-2023,Betis,81,165,21,254,1.58,46,41,5,51.3,50.0,1.3,174,21,244,1.18
2022-2023,Cádiz,79,183,24,244,1.11,30,53,-23,41.5,61.6,-20.1,169,20,254,1.58
2022-2023,Celta Vigo,81,161,22,266,1.13,43,53,-10,42.6,45.4,-2.8,174,22,241,1.61
2022-2023,Elche,79,177,24,242,0.66,30,67,-37,37.5,70.0,-32.6,179,22,225,2.08
2022-2023,Espanyol,81,169,21,238,0.97,52,69,-17,48.3,59.8,-11.5,171,19,250,1.68
2022-2023,Getafe,82,165,20,269,1.11,34,45,-11,36.7,46.0,-9.4,169,23,255,1.58
2022-2023,Girona,81,179,21,228,1.29,58,55,3,50.6,54.9,-4.3,168,21,262,1.45
2022-2023,Mallorca,82,165,19,280,1.32,37,43,-6,35.2,46.4,-11.2,174,20,233,1.47
2022-2023,Osasuna,81,183,20,198,1.39,37,42,-5,39.8,45.7,-5.9,175,21,242,1.39
2022-2023,Rayo Vallecano,82,183,18,267,1.29,45,53,-8,43.9,50.3,-6.4,168,21,255,1.45
2022-2023,Real Madrid,83,151,18,248,2.05,75,36,39,75.5,38.9,36.6,178,20,233,0.79
2022-2023,Real Sociedad,81,178,22,267,1.87,51,35,16,52.9,33.0,19.8,170,23,238,0.92
2022-2023,Sevilla,78,177,26,236,1.29,47,54,-7,46.3,54.2,-7.9,177,21,245,1.45
2022-2023,Valencia,81,176,22,271,1.11,42,45,-3,49.3,43.5,5.8,179,24,238,1.66
2022-2023,Valladolid,78,189,27,225,1.05,33,63,-30,38.5,65.2,-26.6,173,21,231,1.76
2022-2023,Villarreal,81,172,21,204,1.68,59,40,19,61.6,49.9,11.8,174,20,257,1.13
2021-2022,Alavés,82,167,20,277,0.82,31,65,-34,37.3,57.0,-19.7,180,20,234,2.0
2021-2022,Athletic Club,81,180,21,209,1.45,43,36,7,49.6,38.4,11.3,168,20,255,1.21
2021-2022,Atlético Madrid,79,170,26,159,1.87,65,43,22,54.4,33.4,21.1,171,20,249,0.92
2021-2022,Barcelona,82,159,20,264,1.92,68,38,30,63.4,34.4,29.0,175,22,249,0.82
2021-2022,Betis,82,161,21,266,1.71,62,40,22,53.5,43.4,10.1,172,23,245,1.08
2021-2022,Cádiz,81,172,22,270,1.03,35,51,-16,39.5,48.3,-8.7,166,20,251,1.58
2021-2022,Celta Vigo,82,155,21,222,1.21,43,43,0,43.1,45.7,-2.6,178,20,241,1.53
2021-2022,Elche,80,179,22,255,1.11,40,52,-12,33.7,59.1,-25.4,179,20,241,1.66
2021-2022,Espanyol,81,181,21,269,1.11,40,53,-13,36.7,51.2,-14.5,169,21,252,1.58
2021-2022,Getafe,83,153,19,251,1.03,33,41,-8,29.3,38.6,-9.3,168,19,252,1.58
2021-2022,Granada,80,175,22,243,1.0,44,61,-17,39.0,61.2,-22.2,178,20,231,1.63
2021-2022,Levante,81,180,21,261,0.92,51,76,-25,55.1,55.0,0.1,177,19,245,1.79
2021-2022,Mallorca,82,178,20,273,1.03,36,63,-27,38.8,49.3,-10.5,175,23,246,1.74
2021-2022,Osasuna,83,175,17,269,1.24,37,51,-14,36.7,46.3,-9.6,170,21,243,1.47
2021-2022,Rayo Vallecano,81,178,20,224,1.11,39,50,-11,42.8,48.4,-5.6,170,21,245,1.66
2021-2022,Real Madrid,83,163,19,248,2.26,80,31,49,71.7,43.9,27.8,177,22,246,0.53
2021-2022,Real Sociedad,81,179,19,237,1.63,40,37,3,51.5,38.7,12.8,166,19,262,1.08
2021-2022,Sevilla,79,179,25,262,1.84,53,30,23,42.4,36.9,5.4,165,22,255,0.74
2021-2022,Valencia,81,179,20,246,1.26,48,53,-5,39.0,47.7,-8.7,170,22,243,1.34
2021-2022,Villarreal,81,183,21,234,1.55,63,37,26,64.2,44.8,19.4,172,21,254,1.16
2020-2021,Alavés,82,163,20,254,1.0,36,57,-21,42.6,49.9,-7.3,163,20,241,1.71
2020-2021,Athletic Club,81,177,22,242,1.21,46,42,4,42.8,37.5,5.3,163,21,240,1.45
2020-2021,Atlético Madrid,82,148,23,231,2.26,67,25,42,52.8,37.1,15.7,157,20,251,0.53
2020-2021,Barcelona,82,158,22,260,2.08,85,38,47,73.5,40.8,32.7,166,23,249,0.74
2020-2021,Betis,82,155,21,276,1.61,50,50,0,49.1,46.8,2.3,165,23,246,1.13
2020-2021,Cádiz,80,180,23,262,1.16,36,58,-22,34.7,55.4,-20.7,166,22,246,1.55
2020-2021,Celta Vigo,83,137,20,238,1.39,55,57,-2,50.4,51.0,-0.6,158,24,250,1.32
2020-2021,Eibar,82,149,21,266,0.79,29,52,-23,45.2,45.7,-0.5,160,20,243,1.89
2020-2021,Elche,82,152,21,298,0.95,34,55,-21,29.9,60.9,-31.0,160,21,251,1.74
2020-2021,Getafe,83,141,19,228,1.0,28,43,-15,34.4,40.3,-5.9,158,21,258,1.71
2020-2021,Granada,80,176,24,222,1.21,47,65,-18,41.1,56.2,-15.0,159,22,258,1.61
2020-2021,Huesca,82,171,21,215,0.89,34,53,-19,38.7,48.1,-9.4,172,20,238,1.76
2020-2021,Levante,81,184,20,219,1.08,46,57,-11,40.4,53.5,-13.1,164,19,246,1.55
2020-2021,Osasuna,81,173,20,247,1.16,37,48,-11,38.7,47.8,-9.0,167,20,246,1.55
2020-2021,Real Madrid,82,137,23,217,2.21,67,28,39,61.5,37.6,23.9,164,21,250,0.55
2020-2021,Real Sociedad,81,177,21,235,1.63,59,38,21,60.7,39.2,21.5,163,24,243,1.08
2020-2021,Sevilla,81,184,20,266,2.03,53,33,20,54.4,34.8,19.6,161,21,237,0.84
2020-2021,Valencia,83,150,19,283,1.13,50,53,-3,42.6,52.2,-9.6,166,20,243,1.53
2020-2021,Valladolid,81,170,21,246,0.82,34,57,-23,40.1,52.9,-12.8,157,20,251,1.76
2020-2021,Villarreal,82,165,20,238,1.53,60,44,16,56.4,42.5,13.9,158,21,256,1.13
2019-2020,Alavés,83,133,22,187,1.03,34,59,-25,39.3,57.8,-18.5,127,21,179,1.74
2019-2020,Athletic Club,83,130,21,189,1.34,41,38,3,41.5,48.8,-7.3,131,21,187,1.34
2019-2020,Atlético Madrid,82,130,23,187,1.84,51,27,24,56.8,32.5,24.4,131,21,186,0.74
2019-2020,Barcelona,83,123,22,183,2.16,86,38,48,66.3,38.3,28.0,132,24,186,0.66
2019-2020,Betis,83,132,20,182,1.08,48,60,-12,51.0,54.8,-3.7,133,21,177,1.63
2019-2020,Celta Vigo,83,130,20,187,0.97,37,49,-12,39.2,45.3,-6.1,130,21,191,1.61
2019-2020,Eibar,84,128,19,185,1.11,39,56,-17,42.0,53.0,-11.0,124,20,192,1.66
2019-2020,Espanyol,83,130,19,189,0.66,27,58,-31,38.6,51.0,-12.4,127,19,193,2.08
2019-2020,Getafe,84,128,19,175,1.42,43,37,6,41.6,41.4,0.2,128,21,185,1.26
2019-2020,Granada,82,133,24,174,1.47,52,45,7,44.9,42.6,2.3,126,23,193,1.32
2019-2020,Leganés,82,130,25,190,0.95,30,51,-21,39.9,42.8,-2.9,132,21,182,1.74
2019-2020,Levante,84,134,19,187,1.29,47,53,-6,48.1,62.9,-14.8,127,19,189,1.53
2019-2020,Mallorca,83,132,22,185,0.87,40,65,-25,41.1,63.5,-22.4,133,22,184,1.97
2019-2020,Osasuna,83,129,20,185,1.37,46,54,-8,49.4,49.4,0.1,128,20,184,1.29
2019-2020,Real Madrid,85,120,18,198,2.29,70,25,45,67.9,33.3,34.6,133,23,185,0.47
2019-2020,Real Sociedad,83,126,22,195,1.47,56,48,8,48.9,43.0,5.8,130,19,187,1.32
2019-2020,Sevilla,83,133,23,187,1.84,54,34,20,53.2,36.1,17.1,131,24,191,0.82
2019-2020,Valencia,83,132,22,187,1.39,46,53,-7,43.3,56.0,-12.7,128,19,187,1.32
2019-2020,Valladolid,83,126,22,179,1.11,32,43,-11,36.6,54.5,-18.0,126,21,180,1.5
2019-2020,Villarreal,84,132,20,188,1.58,63,49,14,63.6,46.3,17.3,134,21,181,1.26
2018-2019,Alavés,85,113,17,153,1.32,39,50,-11,41.1,53.2,-12.1,111,23,155,1.39
2018-2019,Athletic Club,85,113,19,153,1.39,41,45,-4,43.4,45.7,-2.3,110,20,154,1.24
2018-2019,Atlético Madrid,83,105,26,160,2.0,55,29,26,47.3,41.9,5.4,112,21,154,0.74
2018-2019,Barcelona,84,112,21,154,2.29,90,36,54,75.8,45.3,30.5,112,21,154,0.47
2018-2019,Betis,84,113,21,153,1.32,44,52,-8,47.1,49.4,-2.4,114,20,152,1.47
2018-2019,Celta Vigo,85,110,18,156,1.08,53,62,-9,46.5,60.9,-14.4,113,20,153,1.63
2018-2019,Eibar,85,111,19,154,1.24,46,50,-4,54.8,45.9,9.0,112,19,154,1.39
2018-2019,Espanyol,85,114,18,152,1.39,48,50,-2,48.9,53.8,-4.9,114,22,152,1.32
2018-2019,Getafe,85,114,18,152,1.55,48,35,13,46.2,43.6,2.6,107,21,158,1.08
2018-2019,Girona,85,113,19,153,0.97,37,53,-16,43.5,52.7,-9.2,113,20,152,1.76
2018-2019,Huesca,84,111,23,155,0.87,43,65,-22,50.8,60.2,-9.4,112,22,154,1.82
2018-2019,Leganés,85,112,17,154,1.18,37,43,-6,40.6,41.2,-0.6,110,22,156,1.5
2018-2019,Levante,84,113,20,152,1.16,59,66,-7,53.9,76.2,-22.3,110,23,156,1.55
2018-2019,Rayo Vallecano,84,111,20,155,0.84,41,70,-29,48.7,60.0,-11.3,112,21,154,1.95
2018-2019,Real Madrid,84,112,21,154,1.79,63,46,17,66.7,47.1,19.6,112,19,153,1.08
2018-2019,Real Sociedad,84,110,20,156,1.32,45,46,-1,49.7,48.6,1.1,111,21,155,1.39
2018-2019,Sevilla,84,111,22,155,1.55,62,47,15,66.6,45.4,21.3,109,21,157,1.24
2018-2019,Valencia,84,108,23,158,1.61,51,35,16,60.7,42.9,17.8,112,21,154,0.97
2018-2019,Valladolid,85,113,18,152,1.08,32,51,-19,41.1,58.5,-17.5,113,20,153,1.63
2018-2019,Villarreal,85,113,19,152,1.16,49,52,-3,53.9,55.0,-1.1,113,20,153,1.47
2017-2018,Alavés,85,111,20,154,1.24,40,50,-10,38.5,55.9,-17.4,106,23,160,1.71
2017-2018,Athletic Club,85,106,22,160,1.13,41,49,-8,49.7,50.3,-0.6,106,23,160,1.53
2017-2018,Atlético Madrid,83,110,24,156,2.08,58,22,36,50.2,35.8,14.4,106,23,160,0.66
2017-2018,Barcelona,84,111,21,155,2.45,99,29,70,83.5,41.9,41.6,111,21,155,0.32
2017-2018,Betis,84,113,21,153,1.58,60,61,-1,46.0,49.0,-3.1,114,21,151,1.26
2017-2018,Celta Vigo,85,109,19,157,1.29,59,60,-1,55.0,55.3,-0.3,110,21,156,1.45
2017-2018,Eibar,84,113,20,153,1.34,44,50,-6,40.9,44.4,-3.5,110,23,156,1.42
2017-2018,Espanyol,84,105,25,161,1.29,36,42,-6,41.1,52.3,-11.1,113,19,153,1.37
2017-2018,Getafe,84,113,19,153,1.45,42,33,9,48.2,39.7,8.5,112,23,152,1.29
2017-2018,Girona,85,106,19,159,1.34,50,59,-9,50.6,50.4,0.2,109,22,154,1.42
2017-2018,La Coruña,84,113,22,150,0.76,38,76,-38,51.6,58.7,-7.1,110,22,156,1.95
2017-2018,Las Palmas,84,106,24,160,0.58,24,74,-50,38.5,70.5,-32.0,114,21,151,2.24
2017-2018,Leganés,84,109,23,157,1.13,34,51,-17,39.9,47.6,-7.6,111,19,155,1.68
2017-2018,Levante,83,112,25,151,1.21,44,58,-14,44.7,63.6,-18.8,108,21,158,1.45
2017-2018,Málaga,83,113,23,152,0.53,24,61,-37,38.4,59.4,-21.0,108,20,157,2.34
2017-2018,Real Madrid,85,105,20,161,2.0,94,44,50,85.4,43.2,42.2,112,23,154,0.74
2017-2018,Real Sociedad,85,108,20,158,1.29,66,59,7,53.7,50.5,3.1,111,21,154,1.53
2017-2018,Sevilla,84,114,22,152,1.53,49,58,-9,59.5,54.4,5.2,111,22,154,1.29
2017-2018,Valencia,85,107,18,159,1.92,65,38,27,56.0,48.3,7.7,107,22,159,0.89
2017-2018,Villarreal,84,112,22,153,1.61,57,50,7,53.3,53.4,-0.1,107,22,159,1.21
2024-2025-femenino,Athletic Club,82,132,20,116,1.7,40,32,8,34.5,32.0,2.4,119,19,127,1.2
2024-2025-femenino,Atlético Madrid,82,131,20,85,1.93,49,23,26,41.4,28.3,13.0,133,20,129,0.73
2024-2025-femenino,Barcelona,79,148,25,127,2.8,128,16,112,109.0,12.7,96.4,142,21,109,0.2
2024-2025-femenino,Dep La Coruña,82,138,18,104,0.9,27,48,-21,25.2,50.9,-25.7,128,21,126,1.8
2024-2025-femenino,Eibar,83,117,18,117,1.27,24,41,-17,22.2,43.9,-21.7,134,21,118,1.47
2024-2025-femenino,Espanyol,82,134,18,138,1.07,29,50,-21,27.1,48.8,-21.7,135,22,117,1.57
2024-2025-femenino,Granada,83,128,18,132,1.5,42,45,-3,35.5,42.6,-7.0,136,21,111,1.4
2024-2025-femenino,Levante,84,113,17,100,1.03,30,45,-15,27.6,48.1,-20.5,137,19,120,1.73
2024-2025-femenino,Levante Planas,82,124,20,111,0.93,24,45,-21,34.6,32.7,1.9,126,23,130,1.73
2024-2025-femenino,Madrid CFF,83,125,18,85,1.1,37,62,-25,34.1,41.5,-7.4,131,20,120,1.7
2024-2025-femenino,Real Betis,82,135,20,95,0.77,24,67,-43,22.8,56.5,-33.6,136,23,120,2.07
