Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Tackles Tkl_for,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Att_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 16_level_0 Tkl+Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Tackles Tkl_against,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Att_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 16_level_0 Tkl+Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,Season
Como,38,38.0,663,412,301,260,102,303,591,51.3,288,348,91,257,279,942,788,19,38,38.0,648,385,260,287,101,288,552,52.2,264,453,139,314,325,973,757,28,2024-2025 Serie A
Empoli,34,38.0,689,396,314,293,82,309,543,56.9,234,396,136,260,323,1012,1072,21,34,38.0,587,373,271,250,66,238,450,52.9,212,355,110,245,255,842,918,17,2024-2025 Serie A
Fiorentina,34,38.0,531,311,267,195,69,248,488,50.8,240,353,123,230,269,800,911,17,34,38.0,560,306,260,222,78,254,524,48.5,270,349,111,238,233,793,770,27,2024-2025 Serie A
Genoa,37,38.0,672,385,281,287,104,283,566,50.0,283,422,126,296,308,980,938,15,37,38.0,549,326,230,255,64,260,447,58.2,187,367,98,269,284,833,854,22,2024-2025 Serie A
Hellas Verona,32,38.0,672,434,326,271,75,311,592,52.5,281,393,123,270,329,1001,987,23,32,38.0,487,263,242,179,66,233,461,50.5,228,337,101,236,221,708,734,18,2024-2025 Serie A
Inter,26,38.0,505,278,215,198,92,239,452,52.9,213,356,126,230,223,728,676,11,26,38.0,441,263,193,184,64,199,357,55.7,158,392,144,248,253,694,887,19,2024-2025 Serie A
Juventus,29,38.0,606,353,273,245,88,263,471,55.8,208,404,139,265,215,821,723,27,29,38.0,593,359,265,239,89,300,609,49.3,309,383,144,239,298,891,797,21,2024-2025 Serie A
Lazio,27,38.0,520,319,234,224,62,251,501,50.1,250,313,90,223,295,815,718,23,27,38.0,576,332,263,225,88,266,562,47.3,296,356,134,222,272,848,985,24,2024-2025 Serie A
Lecce,31,38.0,627,372,315,250,62,301,584,51.5,283,407,144,263,285,912,1042,26,31,38.0,538,327,226,229,83,248,485,51.1,237,375,106,269,292,830,807,23,2024-2025 Serie A
Milan,35,38.0,552,349,249,222,81,246,480,51.3,234,292,95,197,234,786,691,21,35,38.0,597,339,309,224,64,309,652,47.4,343,364,160,204,291,888,803,23,2024-2025 Serie A
Monza,36,38.0,562,315,304,202,56,272,501,54.3,229,382,157,225,305,867,874,38,36,38.0,561,336,206,257,98,227,447,50.8,220,312,77,235,225,786,768,11,2024-2025 Serie A
Napoli,27,38.0,535,323,237,238,60,258,469,55.0,211,317,100,217,270,805,813,11,27,38.0,612,366,300,238,74,286,530,54.0,244,446,160,286,330,942,845,26,2024-2025 Serie A
Parma,32,38.0,523,293,267,201,55,242,484,50.0,242,434,153,281,279,802,977,21,32,38.0,573,354,293,216,64,276,525,52.6,249,330,112,218,279,852,739,13,2024-2025 Serie A
Roma,28,38.0,551,328,233,236,82,224,439,51.0,215,329,110,219,282,833,746,16,28,38.0,549,328,278,202,69,266,476,55.9,210,398,150,248,261,810,838,19,2024-2025 Serie A
Torino,31,38.0,468,261,217,181,70,232,437,53.1,205,338,133,205,278,746,882,21,31,38.0,508,293,219,218,71,236,405,58.3,169,334,115,219,289,797,887,22,2024-2025 Serie A
Udinese,31,38.0,562,346,276,217,69,279,508,54.9,229,396,139,257,302,864,909,27,31,38.0,589,350,275,238,76,294,575,51.1,281,326,109,217,270,859,887,15,2024-2025 Serie A
Venezia,36,38.0,605,361,319,202,84,286,572,50.0,286,439,145,294,279,884,921,25,36,38.0,688,420,284,296,108,290,538,53.9,248,361,104,257,304,992,823,22,2024-2025 Serie A
Angers,30,34.0,624,392,340,202,82,294,607,48.4,313,365,116,249,336,960,903,20,30,34.0,628,389,241,275,112,331,580,57.1,249,315,87,228,251,879,674,22,2024-2025 Ligue 1
Auxerre,29,34.0,657,403,330,232,95,316,606,52.1,290,394,125,269,350,1007,944,17,29,34.0,670,414,293,257,120,324,582,55.7,258,355,91,264,279,949,702,17,2024-2025 Ligue 1
Brest,30,34.0,656,426,291,255,110,308,583,52.8,275,363,105,258,316,972,869,14,30,34.0,491,294,223,204,64,245,454,54.0,209,347,88,259,300,791,808,22,2024-2025 Ligue 1
Le Havre,31,34.0,621,387,326,212,83,304,562,54.1,258,362,131,231,324,945,987,24,31,34.0,547,314,213,239,95,236,469,50.3,233,301,83,218,249,796,788,20,2024-2025 Ligue 1
Lens,33,34.0,606,365,264,233,109,299,579,51.6,280,387,101,286,321,927,705,19,33,34.0,638,361,296,247,95,297,546,54.4,249,443,144,299,361,999,942,17,2024-2025 Ligue 1
Lille,27,34.0,626,356,241,273,112,311,554,56.1,243,302,74,228,271,897,637,22,27,34.0,588,364,300,229,59,288,571,50.4,283,388,113,275,374,962,777,25,2024-2025 Ligue 1
Lyon,31,34.0,576,340,257,230,89,310,595,52.1,285,346,113,233,282,858,695,25,31,34.0,558,345,303,181,74,277,515,53.8,238,429,115,314,319,877,864,10,2024-2025 Ligue 1
Marseille,32,34.0,552,358,244,229,79,274,472,58.1,198,272,70,202,280,832,523,31,32,34.0,613,372,270,245,98,300,578,51.9,278,404,128,276,335,948,784,27,2024-2025 Ligue 1
Monaco,28,34.0,670,429,281,287,102,339,624,54.3,285,350,70,280,357,1027,667,18,28,34.0,641,389,306,257,78,300,566,53.0,266,391,130,261,368,1009,892,30,2024-2025 Ligue 1
Montpellier,35,34.0,631,389,302,264,65,310,608,51.0,298,368,123,245,273,904,733,25,35,34.0,598,366,263,230,105,302,564,53.5,262,326,103,223,280,878,858,21,2024-2025 Ligue 1
Nantes,30,34.0,645,376,338,224,83,321,565,56.8,244,402,116,286,283,928,1007,10,30,34.0,564,350,299,191,74,278,505,55.0,227,316,92,224,221,785,857,18,2024-2025 Ligue 1
Nice,31,34.0,633,399,297,242,94,297,534,55.6,237,417,127,290,365,998,784,32,31,34.0,661,449,285,288,88,346,641,54.0,295,390,121,269,312,973,774,19,2024-2025 Ligue 1
Paris S-G,28,34.0,619,386,242,266,111,325,607,53.5,282,360,103,257,265,884,493,19,28,34.0,722,454,419,233,70,393,757,51.9,364,420,142,278,338,1060,740,28,2024-2025 Ligue 1
Reims,34,34.0,558,359,313,174,71,285,551,51.7,266,392,145,247,289,847,958,20,34,34.0,616,371,283,233,100,312,591,52.8,279,332,122,210,270,886,823,9,2024-2025 Ligue 1
Rennes,35,34.0,596,363,282,234,80,296,510,58.0,214,350,96,254,337,933,739,14,35,34.0,671,411,333,241,97,327,597,54.8,270,376,111,265,356,1027,774,18,2024-2025 Ligue 1
Saint-Étienne,32,34.0,581,382,291,216,74,296,594,49.8,298,404,135,269,328,909,854,26,32,34.0,603,402,302,199,102,294,533,55.2,239,340,104,236,317,920,634,15,2024-2025 Ligue 1
Strasbourg,30,34.0,537,335,256,213,68,257,459,56.0,202,376,111,265,282,819,899,17,30,34.0,567,366,247,217,103,304,586,51.9,282,324,90,234,312,879,612,25,2024-2025 Ligue 1
Toulouse,27,34.0,605,364,264,253,88,318,608,52.3,290,341,103,238,281,886,775,15,27,34.0,617,398,283,273,61,306,583,52.5,277,354,100,254,298,915,869,25,2024-2025 Ligue 1
Augsburg,29,34.0,464,300,198,202,64,233,430,54.2,197,417,121,296,341,805,971,16,29,34.0,577,357,254,250,73,280,508,55.1,228,418,97,321,270,847,857,17,2024-2025 Bundesliga
Bayern Munich,29,34.0,506,300,166,233,107,250,450,55.6,200,318,52,266,232,738,518,23,29,34.0,618,353,335,210,73,354,737,48.0,383,473,163,310,404,1022,942,30,2024-2025 Bundesliga
Bochum,27,34.0,600,360,318,207,75,306,572,53.5,266,475,142,333,294,894,906,23,27,34.0,474,308,211,203,60,239,406,58.9,167,430,125,305,300,774,1068,17,2024-2025 Bundesliga
Dortmund,28,34.0,523,319,232,196,95,261,492,53.0,231,375,100,275,249,772,726,18,28,34.0,641,374,348,235,58,334,675,49.5,341,429,146,283,312,953,908,25,2024-2025 Bundesliga
Eint Frankfurt,26,34.0,566,341,267,219,80,280,508,55.1,228,425,128,297,287,853,994,26,26,34.0,534,323,268,185,81,272,565,48.1,293,408,125,283,264,798,793,27,2024-2025 Bundesliga
Freiburg,26,34.0,511,317,225,222,64,235,457,51.4,222,400,112,288,276,787,811,21,26,34.0,496,298,205,211,80,237,452,52.4,215,397,122,275,260,756,916,18,2024-2025 Bundesliga
Gladbach,26,34.0,504,284,278,177,49,240,473,50.7,233,445,166,279,317,821,1067,23,26,34.0,500,303,203,222,75,231,437,52.9,206,436,112,324,302,802,787,25,2024-2025 Bundesliga
Heidenheim,27,34.0,614,356,322,235,57,294,558,52.7,264,435,109,326,312,926,952,15,27,34.0,490,303,189,231,70,250,482,51.9,232,397,99,298,243,733,813,19,2024-2025 Bundesliga
Hoffenheim,35,34.0,570,336,266,236,68,269,511,52.6,242,450,139,311,291,861,922,22,35,34.0,531,321,230,232,69,238,472,50.4,234,405,115,290,273,804,1051,13,2024-2025 Bundesliga
Holstein Kiel,27,34.0,541,328,292,174,75,277,530,52.3,253,409,155,254,294,835,1126,22,27,34.0,442,258,154,180,108,200,384,52.1,184,359,90,269,237,679,753,23,2024-2025 Bundesliga
Leverkusen,23,34.0,395,259,153,163,79,184,357,51.5,173,302,77,225,234,629,676,26,23,34.0,546,313,310,183,53,293,547,53.6,254,417,145,272,352,898,933,18,2024-2025 Bundesliga
Mainz 05,25,34.0,564,325,234,247,83,236,448,52.7,212,419,128,291,352,916,947,22,25,34.0,547,349,263,212,72,252,466,54.1,214,435,119,316,303,850,1046,23,2024-2025 Bundesliga
RB Leipzig,29,34.0,543,333,248,222,73,258,525,49.1,267,500,156,344,268,811,990,29,29,34.0,572,329,249,241,82,260,521,49.9,261,443,111,332,298,870,869,21,2024-2025 Bundesliga
St. Pauli,28,34.0,537,315,256,217,64,266,511,52.1,245,391,87,304,257,794,915,21,28,34.0,463,275,214,196,53,201,380,52.9,179,380,125,255,244,707,908,28,2024-2025 Bundesliga
Stuttgart,29,34.0,477,282,197,199,81,254,476,53.4,222,401,104,297,298,775,777,20,29,34.0,584,347,298,231,55,272,536,50.7,264,379,125,254,303,887,887,14,2024-2025 Bundesliga
Union Berlin,28,34.0,537,318,266,223,48,270,507,53.3,237,409,110,299,312,849,1046,13,28,34.0,500,289,230,200,70,214,386,55.4,172,394,104,290,250,750,940,21,2024-2025 Bundesliga
Werder Bremen,23,34.0,551,321,245,240,66,276,521,53.0,245,454,144,310,315,866,851,27,23,34.0,496,306,218,202,76,240,435,55.2,195,440,122,318,317,813,873,18,2024-2025 Bundesliga
Wolfsburg,27,34.0,491,301,257,175,59,246,540,45.6,294,435,133,302,312,803,977,19,27,34.0,483,289,241,163,79,268,477,56.2,209,420,118,302,309,792,828,29,2024-2025 Bundesliga
