Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,SCA SCA_for,SCA SCA90_for,SCA Types PassLive_for,SCA Types PassDead_for,SCA Types TO_for,SCA Types Sh_for,SCA Types Fld_for,SCA Types Def_for,GCA GCA_for,GCA GCA90_for,GCA Types PassLive_for,GCA Types PassDead_for,GCA Types TO_for,GCA Types Sh_for,GCA Types Fld_for,GCA Types Def_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,SCA SCA_against,SCA SCA90_against,SCA Types PassLive_against,SCA Types PassDead_against,SCA Types TO_against,SCA Types Sh_against,SCA Types Fld_against,SCA Types Def_against,GCA GCA_against,GCA GCA90_against,GCA Types PassLive_against,GCA Types PassDead_against,GCA Types TO_against,GCA Types Sh_against,GCA Types Fld_against,GCA Types Def_against,Season
Fiorentina,34,38.0,799,21.03,579,59,51,50,45,15,100,2.63,65,8,9,10,8,0,34,38.0,767,20.19,562,60,45,43,44,13,65,1.71,51,2,6,3,2,1,2024-2025 Serie A
Genoa,37,38.0,657,17.29,455,80,22,45,44,11,61,1.61,45,7,1,6,2,0,37,38.0,853,22.45,642,79,39,46,41,6,79,2.08,60,5,4,7,3,0,2024-2025 Serie A
Hellas Verona,32,38.0,640,16.84,459,66,31,40,31,13,48,1.26,29,5,3,6,3,2,32,38.0,900,23.68,659,71,52,57,49,12,106,2.79,78,6,7,12,1,2,2024-2025 Serie A
Inter,26,38.0,1028,27.06,781,97,31,62,42,15,133,3.5,99,10,5,10,8,1,26,38.0,710,18.69,544,49,40,44,23,10,56,1.47,37,2,6,8,2,1,2024-2025 Serie A
Juventus,29,38.0,908,23.89,690,60,55,58,31,14,94,2.47,69,5,8,7,3,2,29,38.0,681,17.92,481,72,25,54,32,17,56,1.47,42,3,0,5,6,0,2024-2025 Serie A
Lazio,27,38.0,954,25.11,712,67,49,76,32,18,103,2.71,76,4,7,10,5,1,27,38.0,683,17.97,510,67,29,37,29,11,78,2.05,63,4,2,5,3,1,2024-2025 Serie A
Lecce,31,38.0,777,20.45,547,77,38,45,50,20,47,1.24,36,3,1,4,3,0,31,38.0,932,24.53,662,87,48,77,44,14,98,2.58,62,4,6,11,12,3,2024-2025 Serie A
Milan,35,38.0,1011,26.61,749,70,72,62,39,19,107,2.82,69,7,6,14,8,3,35,38.0,776,20.42,578,63,51,38,28,18,71,1.87,50,6,3,6,5,1,2024-2025 Serie A
Monza,36,38.0,588,15.47,437,56,25,34,31,5,43,1.13,32,3,1,6,0,1,36,38.0,1020,26.84,748,92,53,59,57,11,124,3.26,91,10,9,7,6,1,2024-2025 Serie A
Napoli,27,38.0,882,23.21,672,70,39,61,28,12,100,2.63,75,4,7,6,7,1,27,38.0,643,16.92,491,47,27,31,36,11,43,1.13,35,0,2,3,2,1,2024-2025 Serie A
Parma,32,38.0,749,19.71,542,61,49,37,45,15,73,1.92,47,6,7,6,5,2,32,38.0,986,25.95,772,68,40,60,34,12,97,2.55,72,5,2,11,7,0,2024-2025 Serie A
Roma,28,38.0,934,24.58,695,81,34,67,47,10,95,2.5,67,3,4,11,8,2,28,38.0,757,19.92,563,64,43,45,35,7,53,1.39,33,6,2,7,5,0,2024-2025 Serie A
Torino,31,38.0,663,17.45,500,52,24,48,29,10,58,1.53,38,6,4,5,4,1,31,38.0,926,24.37,688,79,35,71,31,22,75,1.97,50,6,5,7,5,2,2024-2025 Serie A
Udinese,31,38.0,757,19.92,557,67,31,52,31,19,61,1.61,33,4,5,14,3,2,31,38.0,867,22.82,628,81,31,77,35,15,85,2.24,57,4,2,14,8,0,2024-2025 Serie A
Venezia,36,38.0,685,18.03,491,67,37,36,45,9,49,1.29,26,5,3,8,7,0,36,38.0,987,25.97,701,99,51,65,49,22,93,2.45,57,10,3,9,10,4,2024-2025 Serie A
Angers,30,34.0,546,16.06,389,49,25,33,29,21,55,1.62,34,4,3,4,8,2,30,34.0,865,25.44,654,65,50,51,26,19,96,2.82,67,9,5,10,5,0,2024-2025 Ligue 1
Auxerre,29,34.0,688,20.24,512,58,35,38,25,20,87,2.56,52,10,8,7,9,1,29,34.0,812,23.88,592,74,49,44,42,11,87,2.56,63,5,8,5,6,0,2024-2025 Ligue 1
Brest,30,34.0,730,21.47,498,81,25,48,55,23,85,2.5,51,6,4,13,8,3,30,34.0,726,21.35,530,81,22,48,32,13,97,2.85,75,6,3,8,5,0,2024-2025 Ligue 1
Le Havre,31,34.0,588,17.29,386,57,32,45,53,15,62,1.82,38,3,4,8,8,1,31,34.0,848,24.94,619,65,42,68,34,20,119,3.5,87,3,8,10,6,5,2024-2025 Ligue 1
Lens,33,34.0,859,25.26,647,70,42,66,22,12,65,1.91,47,2,5,8,2,1,33,34.0,662,19.47,487,50,36,40,36,13,67,1.97,42,4,4,7,8,2,2024-2025 Ligue 1
Lille,27,34.0,769,22.62,582,62,33,52,31,9,84,2.47,51,4,4,14,9,2,27,34.0,578,17.0,419,46,37,32,23,21,60,1.76,42,3,2,7,4,2,2024-2025 Ligue 1
Lyon,31,34.0,802,23.59,637,52,34,51,24,4,114,3.35,90,2,7,9,6,0,31,34.0,790,23.24,564,62,58,48,45,13,79,2.32,52,5,9,7,5,1,2024-2025 Ligue 1
Marseille,32,34.0,878,25.82,648,71,55,64,25,15,129,3.79,99,3,8,8,7,4,32,34.0,537,15.79,376,50,30,31,32,18,81,2.38,55,4,8,5,7,2,2024-2025 Ligue 1
Monaco,28,34.0,868,25.53,658,67,38,56,31,18,106,3.12,77,7,4,11,5,2,28,34.0,586,17.24,450,41,34,29,19,13,68,2.0,48,3,5,8,3,1,2024-2025 Ligue 1
Montpellier,35,34.0,614,18.06,429,57,32,34,44,18,39,1.15,23,4,5,3,4,0,35,34.0,931,27.38,667,82,51,65,39,27,132,3.88,92,6,12,12,6,4,2024-2025 Ligue 1
Nantes,30,34.0,616,18.12,441,59,43,37,23,13,64,1.88,46,1,8,6,3,0,30,34.0,771,22.68,583,65,29,47,40,7,87,2.56,66,3,2,7,9,0,2024-2025 Ligue 1
Nice,31,34.0,861,25.32,626,63,53,61,38,20,105,3.09,74,8,6,8,8,1,31,34.0,814,23.94,601,74,32,52,36,19,73,2.15,59,3,3,5,3,0,2024-2025 Ligue 1
Paris S-G,28,34.0,1153,33.91,921,59,64,59,27,23,158,4.65,124,4,11,10,6,3,28,34.0,537,15.79,383,49,36,36,21,12,56,1.65,35,6,5,5,5,0,2024-2025 Ligue 1
Reims,34,34.0,689,20.26,505,53,39,50,27,15,57,1.68,43,3,4,7,0,0,34,34.0,877,25.79,659,69,49,61,26,13,81,2.38,53,7,5,11,5,0,2024-2025 Ligue 1
Rennes,35,34.0,757,22.26,559,72,36,46,29,15,83,2.44,57,5,6,8,5,2,35,34.0,663,19.5,506,53,29,40,19,16,86,2.53,65,4,6,6,3,2,2024-2025 Ligue 1
Saint-Étienne,32,34.0,628,18.47,465,44,45,39,24,11,65,1.91,47,3,6,5,4,0,32,34.0,934,27.47,662,77,50,81,41,23,120,3.53,79,5,8,14,11,3,2024-2025 Ligue 1
Strasbourg,30,34.0,622,18.29,456,50,41,34,25,16,93,2.74,71,6,3,6,5,2,30,34.0,812,23.88,636,52,30,46,29,19,67,1.97,44,2,2,9,7,3,2024-2025 Ligue 1
Toulouse,27,34.0,699,20.56,484,80,36,43,41,15,78,2.29,56,6,5,4,6,1,27,34.0,624,18.35,455,49,44,37,33,6,73,2.15,56,3,6,3,5,0,2024-2025 Ligue 1
Augsburg,29,34.0,704,20.71,505,80,34,43,37,5,63,1.85,42,7,5,5,3,1,29,34.0,795,23.38,600,62,37,54,34,8,83,2.44,57,6,4,12,4,0,2024-2025 Bundesliga
Bayern Munich,29,34.0,1168,34.35,902,64,91,63,37,11,161,4.74,108,6,19,16,9,3,29,34.0,397,11.68,286,39,19,22,20,11,55,1.62,35,6,3,5,4,2,2024-2025 Bundesliga
Bochum,27,34.0,739,21.74,535,83,24,50,33,14,53,1.56,30,5,5,8,3,2,27,34.0,848,24.94,601,88,49,54,46,10,118,3.47,80,11,8,8,8,3,2024-2025 Bundesliga
Dortmund,28,34.0,857,25.21,628,58,72,58,26,15,123,3.62,88,4,13,8,5,5,28,34.0,660,19.41,506,43,29,33,35,14,85,2.5,66,4,4,3,5,3,2024-2025 Bundesliga
Eint Frankfurt,26,34.0,849,24.97,594,65,57,77,36,20,115,3.38,67,8,17,13,5,5,26,34.0,815,23.97,600,76,39,59,33,8,75,2.21,50,7,5,10,3,0,2024-2025 Bundesliga
Freiburg,26,34.0,714,21.0,501,63,38,57,44,11,84,2.47,60,7,3,9,4,1,26,34.0,753,22.15,543,63,40,52,32,23,93,2.74,57,6,12,11,5,2,2024-2025 Bundesliga
Gladbach,26,34.0,736,21.65,542,73,27,50,29,15,93,2.74,73,7,3,5,4,1,26,34.0,1020,30.0,760,84,46,78,42,10,91,2.68,53,7,7,16,6,2,2024-2025 Bundesliga
Heidenheim,27,34.0,713,20.97,489,77,43,47,49,8,60,1.76,32,8,4,9,6,1,27,34.0,832,24.47,626,69,53,42,36,6,120,3.53,93,5,5,10,7,0,2024-2025 Bundesliga
Hoffenheim,35,34.0,790,23.24,585,74,39,50,35,7,81,2.38,55,8,6,7,4,1,35,34.0,858,25.24,621,66,52,69,37,13,120,3.53,88,8,9,9,5,1,2024-2025 Bundesliga
Holstein Kiel,27,34.0,652,19.18,459,74,21,49,40,9,81,2.38,49,8,5,10,6,3,27,34.0,1002,29.47,716,97,49,75,55,10,124,3.65,86,7,8,12,9,2,2024-2025 Bundesliga
Leverkusen,23,34.0,910,26.76,673,72,55,67,32,11,124,3.65,90,8,8,13,4,1,23,34.0,579,17.03,412,57,28,37,32,13,66,1.94,40,3,7,7,6,3,2024-2025 Bundesliga
Mainz 05,25,34.0,736,21.65,557,67,30,42,30,10,93,2.74,75,2,0,9,6,1,25,34.0,807,23.74,567,89,21,83,36,11,72,2.12,44,9,2,10,6,1,2024-2025 Bundesliga
RB Leipzig,29,34.0,721,21.21,542,59,39,36,34,11,85,2.5,60,4,4,11,5,1,29,34.0,887,26.09,627,79,52,74,41,14,85,2.5,59,4,6,10,3,3,2024-2025 Bundesliga
St. Pauli,28,34.0,662,19.47,448,72,36,49,43,14,45,1.32,29,2,7,5,1,1,28,34.0,691,20.32,505,66,40,38,33,9,69,2.03,45,5,10,5,2,2,2024-2025 Bundesliga
Stuttgart,29,34.0,841,24.74,648,52,40,68,24,9,104,3.06,72,5,9,12,4,2,29,34.0,671,19.74,475,73,38,40,37,8,80,2.35,49,8,6,13,3,1,2024-2025 Bundesliga
Union Berlin,28,34.0,709,20.85,485,96,28,51,41,8,62,1.82,37,8,4,7,5,1,28,34.0,737,21.68,556,67,34,35,35,10,90,2.65,65,4,6,6,5,4,2024-2025 Bundesliga
Werder Bremen,23,34.0,772,22.71,584,64,26,49,39,10,94,2.76,75,4,1,6,6,2,23,34.0,828,24.35,607,72,55,51,35,8,98,2.88,74,3,8,4,6,3,2024-2025 Bundesliga
Wolfsburg,27,34.0,754,22.18,528,80,35,54,45,12,95,2.79,57,11,5,11,9,2,27,34.0,847,24.91,597,83,54,64,35,14,92,2.71,58,9,8,13,2,2,2024-2025 Bundesliga
