Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Goals GA_for,Goals PKA_for,Goals FK_for,Goals CK_for,Goals OG_for,Expected PSxG_for,Expected PSxG/SoT_for,Expected PSxG+/-_for,Expected /90_for,Launched Cmp_for,Launched Att_for,Launched Cmp%_for,Passes Att (GK)_for,Passes Thr_for,Passes Launch%_for,Passes AvgLen_for,Goal Kicks Att_for,Goal Kicks Launch%_for,Goal Kicks AvgLen_for,Crosses Opp_for,Crosses Stp_for,Crosses Stp%_for,Sweeper #OPA_for,Sweeper #OPA/90_for,Sweeper AvgDist_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Goals GA_against,Goals PKA_against,Goals FK_against,Goals CK_against,Goals OG_against,Expected PSxG_against,Expected PSxG/SoT_against,Expected PSxG+/-_against,Expected /90_against,Launched Cmp_against,Launched Att_against,Launched Cmp%_against,Passes Att (GK)_against,Passes Thr_against,Passes Launch%_against,Passes AvgLen_against,Goal Kicks Att_against,Goal Kicks Launch%_against,Goal Kicks AvgLen_against,Crosses Opp_against,Crosses Stp_against,Crosses Stp%_against,Sweeper #OPA_against,Sweeper #OPA/90_against,Sweeper AvgDist_against,Season
Leicester City,3,38.0,80,3,0,5,3,74.6,0.35,-2.4,-0.06,181,688,26.3,1183,178,44.9,32.0,325,48.3,36.0,599,36,6.0,36,0.95,20.7,3,38.0,33,2,0,3,0,33.6,0.3,0.6,0.02,124,336,36.9,1008,150,25.0,30.1,227,37.0,33.4,469,35,7.5,47,1.24,14.4,2024-2025 Premier League
Liverpool,3,38.0,41,1,0,3,2,42.2,0.3,3.2,0.08,102,325,31.4,1108,179,24.6,26.6,239,21.8,24.5,370,17,4.6,58,1.53,16.0,3,38.0,86,9,0,8,1,78.3,0.32,-6.7,-0.18,181,551,32.8,1073,173,37.7,35.1,347,42.1,34.4,610,36,5.9,44,1.16,12.7,2024-2025 Premier League
Manchester City,2,38.0,44,4,1,4,2,46.3,0.35,4.3,0.11,112,269,41.6,1191,163,19.5,26.7,190,19.5,24.0,357,19,5.3,61,1.61,14.3,2,38.0,72,3,1,6,1,69.2,0.32,-1.8,-0.05,191,559,34.2,1199,158,36.4,33.8,295,41.7,35.6,484,36,7.4,30,0.79,12.2,2024-2025 Premier League
Manchester Utd,2,38.0,54,3,1,10,2,54.1,0.34,2.1,0.05,131,502,26.1,1206,148,32.0,30.3,247,47.0,36.4,455,26,5.7,30,0.79,11.8,2,38.0,44,4,2,6,2,43.3,0.24,1.3,0.04,139,496,28.0,1094,145,34.1,33.3,257,47.9,38.6,509,36,7.1,59,1.55,14.6,2024-2025 Premier League
Newcastle Utd,2,38.0,47,1,0,4,2,47.7,0.29,2.7,0.07,90,337,26.7,863,246,22.7,25.2,251,56.2,43.6,486,49,10.1,75,1.97,15.3,2,38.0,68,5,0,5,2,65.3,0.36,-0.7,-0.02,268,777,34.5,1175,160,51.3,40.1,310,56.1,42.1,535,44,8.2,44,1.16,12.8,2024-2025 Premier League
Nott'ham Forest,1,38.0,46,3,1,5,0,49.1,0.29,3.1,0.08,244,698,35.0,662,83,73.7,44.7,323,65.0,47.0,710,19,2.7,12,0.32,8.7,1,38.0,58,3,0,10,1,53.6,0.32,-3.4,-0.09,86,335,25.7,1012,184,26.8,30.3,261,24.5,26.1,492,36,7.3,51,1.34,14.2,2024-2025 Premier League
Southampton,3,38.0,86,7,0,12,0,83.8,0.32,-2.2,-0.06,235,707,33.2,1224,172,44.7,29.5,297,53.9,41.9,587,35,6.0,27,0.71,6.5,3,38.0,26,0,0,2,1,29.8,0.27,4.8,0.13,103,356,28.9,989,129,30.2,32.1,176,32.4,29.8,443,35,7.9,37,0.97,15.4,2024-2025 Premier League
Tottenham,4,38.0,65,3,0,8,4,66.6,0.36,5.6,0.15,59,195,30.3,1047,192,16.6,27.2,272,7.7,16.3,520,49,9.4,45,1.18,11.1,4,38.0,64,3,1,9,3,57.8,0.31,-3.2,-0.08,214,616,34.7,1007,149,45.3,37.6,271,59.0,44.4,576,34,5.9,28,0.74,12.1,2024-2025 Premier League
West Ham,2,38.0,62,3,1,8,3,57.9,0.3,-1.1,-0.03,212,610,34.8,1167,174,37.4,35.5,311,55.9,41.9,614,25,4.1,42,1.11,13.1,2,38.0,46,3,1,5,3,43.7,0.3,0.7,0.02,164,494,33.2,1101,146,36.4,34.1,239,38.9,33.2,454,35,7.7,39,1.03,14.1,2024-2025 Premier League
Wolves,4,38.0,69,7,2,11,3,59.7,0.32,-6.3,-0.17,153,532,28.8,1020,156,41.5,14.0,244,44.7,37.0,562,40,7.1,57,1.5,,4,38.0,54,0,1,5,1,45.1,0.29,-7.9,-0.21,140,421,33.3,1085,170,30.9,32.9,260,33.1,30.6,428,28,6.5,52,1.37,15.4,2024-2025 Premier League
Atalanta,3,38.0,37,2,0,4,2,41.1,0.29,6.1,0.16,133,413,32.2,980,193,27.6,32.3,233,61.4,47.5,363,21,5.8,56,1.47,14.5,3,38.0,78,5,0,7,2,68.3,0.34,-7.7,-0.2,245,697,35.2,1354,110,41.9,37.2,333,38.7,34.8,605,30,5.0,28,0.74,13.0,2024-2025 Serie A
Bologna,2,38.0,47,2,0,3,2,40.3,0.37,-4.7,-0.12,171,467,36.6,1386,158,28.6,31.6,187,37.4,35.6,312,29,9.3,32,0.84,13.0,2,38.0,57,6,0,3,1,49.3,0.25,-6.7,-0.18,272,767,35.5,1280,139,47.3,38.9,320,50.6,39.8,606,30,5.0,42,1.11,15.6,2024-2025 Serie A
Cagliari,4,38.0,56,6,0,10,0,54.8,0.33,-1.2,-0.03,232,597,38.9,999,165,42.9,35.5,336,50.0,40.7,540,28,5.2,36,0.95,11.8,4,38.0,40,3,2,5,2,39.2,0.32,1.2,0.03,130,444,29.3,1026,122,33.2,34.0,271,38.0,33.9,587,24,4.1,32,0.84,12.8,2024-2025 Serie A
Como,3,38.0,52,7,0,7,0,44.6,0.27,-7.4,-0.19,150,405,37.0,1164,163,32.0,28.6,205,16.1,21.3,433,29,6.7,65,1.71,12.9,3,38.0,49,0,0,4,5,49.3,0.28,5.3,0.14,145,485,29.9,1122,179,33.5,34.4,302,36.1,34.4,431,26,6.0,38,1.0,14.8,2024-2025 Serie A
Empoli,3,38.0,59,1,0,7,1,50.1,0.31,-7.9,-0.21,199,654,30.4,944,125,58.3,41.8,328,31.7,28.6,556,37,6.7,20,0.53,12.6,3,38.0,33,2,0,4,2,27.8,0.23,-3.2,-0.09,196,537,36.5,1230,159,34.0,34.8,269,44.2,37.3,474,26,5.5,46,1.21,14.4,2024-2025 Serie A
Fiorentina,2,38.0,41,1,0,3,1,40.7,0.27,0.7,0.02,226,515,43.9,923,143,40.8,35.8,293,47.1,39.2,498,14,2.8,31,0.84,14.5,2,38.0,57,6,2,7,2,55.1,0.3,0.1,0.0,165,452,36.5,1075,176,31.5,33.7,263,43.0,37.7,457,28,6.1,49,1.32,15.5,2024-2025 Serie A
Genoa,4,38.0,49,6,0,5,3,49.8,0.28,3.8,0.1,190,506,37.5,960,142,37.2,42.3,314,47.5,39.7,527,24,4.6,17,0.45,3.3,4,38.0,37,0,0,6,2,37.1,0.3,2.1,0.05,181,520,34.8,1197,132,35.3,34.2,247,39.7,34.6,488,30,6.1,41,1.08,14.3,2024-2025 Serie A
Hellas Verona,2,38.0,66,2,0,6,1,53.8,0.31,-11.2,-0.29,217,761,28.5,793,93,60.9,55.4,313,88.8,59.3,544,32,5.9,26,0.68,20.3,2,38.0,34,2,1,3,3,30.5,0.31,-0.5,-0.01,125,333,37.5,1042,171,24.4,31.1,293,27.0,29.9,445,41,9.2,41,1.08,13.2,2024-2025 Serie A
Inter,2,38.0,32,3,0,3,1,35.8,0.26,4.8,0.13,114,277,41.2,1364,151,17.7,28.6,202,17.8,25.4,437,17,3.9,17,0.46,15.8,2,38.0,79,8,1,12,3,65.9,0.32,-10.1,-0.27,179,553,32.4,981,148,40.2,37.6,308,51.6,40.3,575,33,5.7,26,0.7,11.5,2024-2025 Serie A
Juventus,2,38.0,35,5,0,6,0,31.8,0.23,-3.2,-0.09,139,377,36.9,939,156,31.1,29.4,237,35.9,32.2,519,32,6.2,33,0.87,14.0,2,38.0,58,6,0,3,2,54.1,0.27,-1.9,-0.05,199,531,37.5,1087,147,38.3,36.2,305,37.7,33.3,483,31,6.4,26,0.68,12.4,2024-2025 Serie A
Lazio,2,38.0,49,4,0,4,2,39.4,0.31,-7.6,-0.2,188,498,37.8,1196,132,35.4,33.3,252,29.8,28.4,496,49,9.9,54,1.42,14.5,2,38.0,61,6,0,7,1,65.5,0.32,5.5,0.14,184,441,41.7,1033,146,31.1,33.2,286,42.0,36.2,672,26,3.9,33,0.87,12.7,2024-2025 Serie A
Lecce,1,38.0,58,8,3,5,3,53.8,0.26,-1.2,-0.03,220,656,33.5,883,120,59.7,39.1,312,41.3,32.3,590,29,4.9,19,0.5,11.0,1,38.0,27,3,1,3,0,33.4,0.24,6.4,0.17,147,427,34.4,961,156,30.5,32.7,280,47.9,39.0,504,31,6.2,42,1.11,15.5,2024-2025 Serie A
Milan,2,38.0,43,1,1,3,3,39.0,0.27,-1.0,-0.03,123,319,38.6,1334,182,18.4,27.8,275,26.5,31.0,462,27,5.8,71,1.87,18.7,2,38.0,61,4,1,5,2,62.0,0.29,3.0,0.08,160,448,35.7,964,180,33.5,34.4,314,39.8,35.3,478,24,5.0,27,0.71,11.7,2024-2025 Serie A
Monza,3,38.0,69,2,2,10,3,59.8,0.31,-6.2,-0.16,217,557,39.0,1069,157,42.5,33.7,333,30.9,28.3,534,26,4.9,33,0.87,13.3,3,38.0,28,3,0,2,1,27.1,0.24,0.1,0.0,163,434,37.6,1002,125,35.0,34.8,216,38.4,34.4,502,37,7.4,43,1.13,14.0,2024-2025 Serie A
Napoli,3,38.0,27,1,1,0,2,29.1,0.28,4.1,0.11,102,251,40.6,1103,131,17.0,31.7,260,24.6,29.6,438,25,5.7,50,1.32,13.7,3,38.0,59,4,1,5,3,51.4,0.31,-4.6,-0.12,179,616,29.1,1094,115,43.3,38.0,288,49.3,38.8,519,40,7.7,47,1.27,12.3,2024-2025 Serie A
Parma,2,38.0,58,5,3,6,2,54.2,0.32,-1.8,-0.05,207,697,29.7,1237,190,44.4,33.9,322,46.0,40.0,643,67,10.4,40,1.08,16.3,2,38.0,44,6,0,8,1,40.8,0.25,-2.2,-0.06,121,349,34.7,959,182,26.5,30.9,260,36.5,34.0,326,21,6.4,39,1.03,14.4,2024-2025 Serie A
Roma,1,38.0,35,4,0,4,1,42.5,0.26,8.5,0.22,124,413,30.0,1195,170,25.1,30.6,263,43.0,37.3,495,30,6.1,33,0.87,13.7,1,38.0,56,8,2,8,1,51.7,0.27,-3.3,-0.09,166,488,34.0,1110,173,35.9,34.5,279,32.3,32.1,498,27,5.4,35,0.92,13.6,2024-2025 Serie A
Torino,2,38.0,45,3,1,7,2,53.7,0.27,10.7,0.28,231,714,32.4,1342,196,41.0,37.6,313,52.4,46.2,597,37,6.2,51,1.34,13.7,2,38.0,39,2,0,4,3,36.3,0.28,0.3,0.01,181,489,37.0,1128,164,36.4,35.0,232,33.6,31.4,519,35,6.7,39,1.03,14.5,2024-2025 Serie A
Udinese,3,38.0,56,7,3,8,5,52.3,0.29,1.3,0.03,167,447,37.4,1021,108,34.3,30.2,266,36.5,31.7,528,19,3.6,36,0.95,14.1,3,38.0,41,2,1,9,0,43.0,0.29,2.0,0.05,115,470,24.5,1149,177,32.0,34.7,273,37.4,33.7,531,39,7.3,35,0.92,12.7,2024-2025 Serie A
Venezia,3,38.0,56,10,0,8,3,57.0,0.26,4.0,0.1,135,520,26.0,1014,158,41.9,31.0,342,27.8,27.3,589,31,5.3,21,0.55,9.4,3,38.0,32,4,2,4,1,36.0,0.26,5.0,0.13,232,563,41.2,1052,132,43.1,38.0,247,44.5,37.4,401,24,6.0,32,0.84,14.2,2024-2025 Serie A
Angers,2,34.0,53,4,0,7,0,65.9,0.34,12.9,0.38,146,446,32.7,762,184,39.0,35.8,283,52.7,42.1,551,49,8.9,22,0.65,10.7,2,34.0,32,5,2,4,1,32.8,0.29,1.8,0.05,88,221,39.8,831,161,20.8,28.4,201,23.9,27.2,460,39,8.5,29,0.85,13.4,2024-2025 Ligue 1
Auxerre,2,34.0,51,6,0,7,3,59.3,0.31,11.3,0.33,221,680,32.5,944,178,54.6,42.0,244,67.6,49.8,556,31,5.6,42,1.24,14.6,2,34.0,48,4,2,6,1,46.1,0.29,-0.9,-0.03,95,250,38.0,777,155,23.9,28.5,232,27.6,30.7,426,23,5.4,44,1.29,15.3,2024-2025 Ligue 1
Brest,2,34.0,59,8,1,5,2,49.0,0.3,-8.0,-0.23,224,542,41.3,944,141,41.9,36.0,242,60.3,46.2,489,34,7.0,56,1.65,16.2,2,34.0,52,7,0,8,0,50.0,0.27,-2.0,-0.06,136,316,43.0,936,186,24.5,30.1,253,34.4,32.9,504,32,6.3,30,0.88,13.8,2024-2025 Ligue 1
Le Havre,2,34.0,71,5,1,8,1,72.9,0.4,2.9,0.09,135,334,40.4,817,147,31.0,32.4,238,34.0,31.1,546,33,6.0,15,0.44,10.5,2,34.0,40,9,1,6,3,39.4,0.3,2.4,0.07,104,310,33.5,790,128,28.4,31.3,229,37.6,33.4,548,31,5.7,35,1.03,13.9,2024-2025 Ligue 1
Lens,3,34.0,39,8,2,4,0,48.1,0.29,9.1,0.27,142,340,41.8,852,162,31.7,32.3,201,34.8,31.0,381,41,10.8,34,1.0,11.6,3,34.0,42,5,0,6,2,45.9,0.28,5.9,0.17,181,555,32.6,1040,125,43.6,36.7,246,41.5,34.0,580,33,5.7,48,1.41,15.8,2024-2025 Ligue 1
Lille,1,34.0,36,4,0,6,1,42.2,0.32,7.2,0.21,112,288,38.9,874,144,28.4,29.6,206,19.4,24.5,373,21,5.6,24,0.71,13.9,1,34.0,52,7,1,6,0,60.0,0.33,8.0,0.23,135,470,28.7,1012,144,35.8,34.6,218,49.5,37.9,437,30,6.9,30,0.88,13.5,2024-2025 Ligue 1
Lyon,2,34.0,46,3,1,6,0,49.2,0.29,3.2,0.09,102,314,32.5,848,185,29.7,27.5,218,28.4,28.9,422,26,6.2,29,0.85,7.0,2,34.0,65,8,0,6,3,64.6,0.32,2.6,0.08,146,369,39.6,813,149,33.5,33.9,226,42.9,35.2,465,28,6.0,25,0.74,13.2,2024-2025 Ligue 1
Marseille,1,34.0,47,3,1,4,2,47.5,0.33,2.5,0.07,92,202,45.5,1023,133,16.1,24.4,179,20.7,22.5,309,28,9.1,59,1.74,18.3,1,34.0,74,8,1,3,4,72.0,0.33,2.0,0.06,117,433,27.0,850,136,38.5,36.2,241,44.0,35.6,464,35,7.5,36,1.06,14.3,2024-2025 Ligue 1
Monaco,2,34.0,41,3,1,3,0,38.3,0.29,-2.7,-0.08,77,269,28.6,737,146,27.1,30.5,216,31.9,31.9,379,30,7.9,38,1.12,14.0,2,34.0,63,6,0,7,0,67.2,0.33,4.2,0.12,180,490,36.7,857,167,39.9,36.4,285,51.9,38.5,459,37,8.1,41,1.21,14.4,2024-2025 Ligue 1
Montpellier,2,34.0,79,8,0,5,3,66.2,0.3,-9.8,-0.29,197,496,39.7,840,134,45.1,36.2,271,43.2,35.4,463,28,6.0,29,0.85,14.3,2,34.0,23,3,1,2,0,30.3,0.24,7.3,0.22,107,295,36.3,773,166,28.3,31.1,215,35.3,30.8,491,38,7.7,26,0.76,12.4,2024-2025 Ligue 1
Nantes,3,34.0,52,7,0,4,3,50.8,0.31,1.8,0.05,151,463,32.6,809,139,39.9,35.8,240,58.3,41.5,588,33,5.6,15,0.44,11.0,3,34.0,39,5,0,3,0,40.0,0.29,1.0,0.03,94,269,34.9,904,141,22.1,28.1,193,35.8,30.8,471,26,5.5,33,0.97,14.3,2024-2025 Ligue 1
Nice,1,34.0,41,2,0,4,1,43.0,0.26,3.0,0.09,112,272,41.2,877,173,24.5,28.6,233,24.5,25.3,470,39,8.3,33,0.97,12.8,1,34.0,66,6,0,6,4,64.9,0.33,2.9,0.08,183,502,36.5,1034,149,37.6,34.5,256,44.1,35.7,446,27,6.1,44,1.29,15.7,2024-2025 Ligue 1
Paris S-G,3,34.0,35,3,1,6,1,30.4,0.28,-3.6,-0.11,74,188,39.4,818,140,17.8,29.1,156,26.9,26.4,298,16,5.4,34,1.0,18.0,3,34.0,92,6,1,5,3,99.4,0.35,10.4,0.31,215,546,39.4,849,124,47.3,39.7,287,50.2,36.8,436,19,4.4,20,0.59,11.8,2024-2025 Ligue 1
Reims,1,34.0,47,4,1,8,0,61.6,0.33,14.6,0.43,154,477,32.3,928,153,36.6,33.3,285,48.1,37.3,554,31,5.6,42,1.24,14.6,1,34.0,33,1,0,5,1,28.9,0.26,-3.1,-0.09,118,344,34.3,828,162,31.5,32.4,237,35.0,32.4,478,28,5.9,37,1.09,15.2,2024-2025 Ligue 1
Rennes,3,34.0,50,3,1,6,2,46.2,0.31,-1.8,-0.05,119,361,33.0,970,132,29.3,32.7,219,35.2,31.5,402,23,5.7,37,1.09,15.7,3,34.0,51,5,1,5,0,53.3,0.3,2.3,0.07,147,456,32.2,992,147,35.8,34.7,215,47.0,36.0,458,23,5.0,31,0.91,13.8,2024-2025 Ligue 1
Saint-Étienne,1,34.0,77,13,0,4,2,73.5,0.3,-1.5,-0.04,131,486,27.0,919,145,41.0,34.7,264,41.3,33.6,510,24,4.7,33,0.97,14.0,1,34.0,39,3,1,6,0,33.3,0.26,-5.7,-0.17,122,308,39.6,843,140,28.7,31.1,197,33.5,32.8,287,29,10.1,30,0.88,14.1,2024-2025 Ligue 1
Strasbourg,2,34.0,44,8,0,3,2,52.5,0.27,10.5,0.31,123,383,32.1,1434,148,22.2,27.4,240,27.1,26.3,539,43,8.0,50,1.47,15.2,2,34.0,56,2,0,9,2,53.2,0.38,-0.8,-0.02,138,345,40.0,975,140,28.6,31.2,194,34.0,31.9,394,25,6.3,43,1.26,14.3,2024-2025 Ligue 1
Toulouse,3,34.0,43,1,1,5,3,34.6,0.31,-5.4,-0.16,98,351,27.9,718,97,34.3,34.1,233,45.1,35.4,439,10,2.3,37,1.09,12.1,3,34.0,44,3,0,2,2,50.0,0.33,8.0,0.23,104,413,25.2,1010,161,30.6,32.2,243,42.8,35.6,465,37,8.0,47,1.38,14.6,2024-2025 Ligue 1
Augsburg,2,34.0,51,5,1,5,2,50.2,0.3,1.2,0.03,212,561,37.8,966,123,40.4,34.9,295,58.0,44.7,554,21,3.8,44,1.29,14.7,2,34.0,35,1,0,4,0,32.1,0.26,-2.9,-0.08,150,410,36.6,1110,150,27.8,31.2,272,37.1,35.7,446,20,4.5,36,1.06,13.9,2024-2025 Bundesliga
Bayern Munich,4,34.0,32,1,0,4,0,29.3,0.37,-2.7,-0.08,130,306,42.5,1192,123,23.0,27.7,150,21.3,26.5,267,12,4.5,70,2.06,19.6,4,34.0,99,9,2,7,3,98.9,0.35,2.9,0.08,263,701,37.5,1105,139,51.6,40.7,328,39.9,33.1,499,28,5.6,11,0.32,9.0,2024-2025 Bundesliga
Bochum,2,34.0,68,3,3,7,0,60.8,0.37,-7.2,-0.21,347,816,42.5,1061,94,55.0,37.6,299,77.6,52.1,467,18,3.9,51,1.5,15.8,2,34.0,32,1,0,4,0,42.4,0.3,10.4,0.31,155,448,34.6,1022,149,35.8,34.6,249,32.9,31.4,509,37,7.3,43,1.26,14.1,2024-2025 Bundesliga
Dortmund,2,34.0,51,4,0,5,1,51.4,0.35,1.4,0.04,120,369,32.5,1101,129,26.4,34.8,220,35.5,30.6,444,23,5.2,49,1.44,14.8,2,34.0,71,5,1,7,2,58.4,0.34,-10.6,-0.31,191,512,37.3,960,144,39.6,36.1,276,47.8,38.7,549,40,7.3,42,1.24,13.0,2024-2025 Bundesliga
Eint Frankfurt,2,34.0,46,1,0,10,2,49.2,0.3,5.2,0.15,129,428,30.1,966,157,36.2,29.9,269,29.0,28.1,531,40,7.5,46,1.35,13.6,2,34.0,68,3,2,9,0,68.5,0.37,0.5,0.01,201,534,37.6,1108,152,37.2,35.2,280,43.6,37.0,428,25,5.8,41,1.21,16.0,2024-2025 Bundesliga
Freiburg,2,34.0,53,2,1,6,1,48.5,0.31,-3.5,-0.1,213,580,36.7,1213,138,36.9,37.1,249,53.0,42.4,481,40,8.3,37,1.09,13.4,2,34.0,49,0,2,7,3,49.6,0.36,3.6,0.1,178,428,41.6,1176,173,27.7,30.8,215,47.4,38.2,445,27,6.1,19,0.56,11.6,2024-2025 Bundesliga
Gladbach,4,34.0,57,7,1,8,2,59.6,0.29,4.6,0.13,195,473,41.2,1217,158,31.1,32.7,300,31.7,28.8,594,35,5.9,28,0.82,15.1,4,34.0,55,4,0,9,2,57.0,0.34,4.0,0.12,125,360,34.7,922,138,30.8,32.1,204,37.3,32.3,481,26,5.4,40,1.18,14.7,2024-2025 Bundesliga
Heidenheim,2,34.0,64,6,0,7,0,59.7,0.33,-4.3,-0.13,162,462,35.1,1066,160,32.6,33.8,301,38.2,37.5,478,22,4.6,21,0.62,12.0,2,34.0,37,5,1,4,0,41.3,0.29,4.3,0.13,161,432,37.3,983,135,33.4,33.3,252,41.3,35.6,461,26,5.6,51,1.5,15.9,2024-2025 Bundesliga
Hoffenheim,2,34.0,68,3,1,9,3,64.4,0.36,-0.6,-0.02,208,575,36.2,1022,143,45.4,38.7,230,48.3,38.7,491,21,4.3,35,1.03,12.8,2,34.0,46,3,1,4,0,44.6,0.28,-1.4,-0.04,202,479,42.2,1016,147,37.3,35.4,246,40.7,34.9,561,26,4.6,33,0.97,13.9,2024-2025 Bundesliga
Holstein Kiel,2,34.0,80,6,3,6,3,65.8,0.31,-11.2,-0.33,214,577,37.1,1073,171,36.7,30.3,309,59.2,45.3,668,42,6.3,23,0.68,9.3,2,34.0,49,4,1,5,0,45.9,0.32,-3.1,-0.09,144,403,35.7,908,136,33.4,34.0,220,45.5,39.6,396,31,7.8,55,1.62,16.3,2024-2025 Bundesliga
Leverkusen,2,34.0,43,4,1,2,4,39.4,0.27,0.4,0.01,135,338,39.9,833,126,31.9,31.5,222,32.4,29.6,348,14,4.0,45,1.32,17.3,2,34.0,72,3,1,10,2,60.7,0.3,-9.3,-0.27,176,533,33.0,1042,123,40.1,36.4,262,43.9,36.3,595,19,3.2,30,0.88,12.5,2024-2025 Bundesliga
Mainz 05,2,34.0,43,4,2,9,0,47.1,0.29,4.1,0.12,188,610,30.8,991,139,49.2,38.7,249,49.0,41.7,547,47,8.6,66,1.94,14.0,2,34.0,55,4,2,1,2,51.8,0.35,-1.2,-0.04,220,633,34.8,1124,117,44.7,38.2,284,46.1,37.4,497,24,4.8,50,1.47,14.5,2024-2025 Bundesliga
