Squad,Unnamed: 1_level_0 # Pl_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance GA_for,Performance GA90_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Performance CS%_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Unnamed: 1_level_0 # Pl_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance GA_against,Performance GA90_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance W_against,Performance D_against,Performance L_against,Performance CS_against,Performance CS%_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against,Season
Empoli,3,38,38,3420,38.0,59,1.55,158,99,63.3,6,13,19,6,15.8,3,1,1,1,50.0,3,38,38,3420,38.0,33,0.87,110,78,71.8,19,13,6,15,39.5,3,2,1,0,33.3,2024-2025 Serie A
Fiorentina,2,37,37,3330,38.0,41,1.11,146,104,72.6,18,8,11,11,29.7,3,1,2,0,66.7,2,37,37,3330,38.0,57,1.54,167,111,69.5,11,8,18,8,21.6,8,6,1,1,14.3,2024-2025 Serie A
Genoa,4,38,38,3420,38.0,49,1.29,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25.0,4,38,38,3420,38.0,37,0.97,119,82,68.9,15,13,10,13,34.2,2,0,2,0,100.0,2024-2025 Serie A
Hellas Verona,2,38,38,3420,38.0,66,1.74,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3,2,38,38,3420,38.0,34,0.89,97,66,67.0,21,7,10,17,44.7,2,2,0,0,0.0,2024-2025 Serie A
Inter,2,37,37,3330,38.0,32,0.86,124,92,76.6,24,9,4,16,43.2,4,3,1,0,25.0,2,37,37,3330,38.0,79,2.14,185,109,61.6,4,9,24,3,8.1,9,8,0,1,0.0,2024-2025 Serie A
Juventus,2,38,38,3420,38.0,35,0.92,119,84,74.8,18,16,4,17,44.7,5,5,0,0,0.0,2,38,38,3420,38.0,58,1.53,181,125,71.3,4,16,18,7,18.4,6,6,0,0,0.0,2024-2025 Serie A
Lazio,2,38,38,3420,38.0,49,1.29,119,72,62.2,18,11,9,9,23.7,4,4,0,0,0.0,2,38,38,3420,38.0,61,1.61,192,131,71.4,9,11,18,6,15.8,7,6,1,0,14.3,2024-2025 Serie A
Lecce,1,38,38,3420,38.0,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,1,38,38,3420,38.0,27,0.71,123,95,80.5,20,10,8,18,47.4,4,3,1,0,25.0,2024-2025 Serie A
Milan,2,38,38,3420,38.0,43,1.13,142,101,70.4,18,9,11,13,34.2,2,1,1,0,50.0,2,38,38,3420,38.0,61,1.61,193,130,70.5,11,9,18,5,13.2,8,4,4,0,50.0,2024-2025 Serie A
Monza,3,38,38,3420,38.0,69,1.82,183,115,63.4,3,9,26,3,7.9,4,2,2,0,50.0,3,38,38,3420,38.0,28,0.74,102,75,75.5,26,9,3,17,44.7,3,3,0,0,0.0,2024-2025 Serie A
Napoli,3,38,38,3420,38.0,27,0.71,96,69,72.9,24,10,4,19,50.0,4,1,2,1,66.7,3,38,38,3330,38.0,59,1.59,155,98,64.5,4,10,24,6,15.8,5,4,1,0,20.0,2024-2025 Serie A
Parma,2,38,38,3330,38.0,58,1.57,158,102,66.5,7,15,16,7,18.4,5,5,0,0,0.0,2,38,38,3420,38.0,44,1.16,146,103,74.0,16,15,7,11,28.9,7,6,0,1,0.0,2024-2025 Serie A
Roma,1,38,38,3420,38.0,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0.0,1,38,38,3420,38.0,56,1.47,170,115,71.8,9,9,20,6,15.8,8,8,0,0,0.0,2024-2025 Serie A
Torino,2,38,38,3420,38.0,45,1.18,180,133,76.7,10,14,14,10,26.3,7,3,4,0,57.1,2,38,38,3420,38.0,39,1.03,126,89,70.6,14,14,10,13,34.2,4,2,1,1,33.3,2024-2025 Serie A
Udinese,3,38,38,3420,38.0,56,1.47,164,113,70.1,12,8,18,9,23.7,8,7,0,1,0.0,3,38,38,3420,38.0,41,1.08,141,98,72.3,18,8,12,12,31.6,4,2,2,0,50.0,2024-2025 Serie A
Venezia,3,38,38,3420,38.0,56,1.47,188,134,75.5,5,14,19,6,15.8,11,10,1,0,9.1,3,38,38,3420,38.0,32,0.84,125,93,77.6,19,14,5,17,44.7,5,4,1,0,20.0,2024-2025 Serie A
Angers,2,34,34,3060,34.0,53,1.56,190,137,74.2,10,6,18,7,20.6,5,4,0,1,0.0,2,34,34,3060,34.0,32,0.94,97,65,72.2,18,6,10,14,41.2,6,5,1,0,16.7,2024-2025 Ligue 1
Auxerre,2,34,34,3060,34.0,51,1.5,173,123,74.0,11,9,14,10,29.4,8,6,2,0,25.0,2,34,34,3060,34.0,48,1.41,149,101,70.5,14,9,11,7,20.6,5,4,1,0,20.0,2024-2025 Ligue 1
Brest,2,34,34,3060,34.0,59,1.74,141,83,63.8,15,5,14,10,29.4,10,8,1,1,11.1,2,34,34,3060,34.0,52,1.53,160,106,71.9,14,5,15,7,20.6,9,7,2,0,22.2,2024-2025 Ligue 1
Le Havre,2,34,34,3060,34.0,71,2.09,175,104,62.3,10,4,20,4,11.8,6,5,1,0,16.7,2,34,34,3060,34.0,40,1.18,107,69,71.0,20,4,10,9,26.5,10,9,1,0,10.0,2024-2025 Ligue 1
Lens,3,34,34,3060,34.0,39,1.15,142,102,78.2,15,7,12,13,38.2,9,8,1,0,11.1,3,34,34,3060,34.0,42,1.24,153,113,75.8,12,7,15,10,29.4,5,5,0,0,0.0,2024-2025 Ligue 1
Lille,1,34,34,3060,34.0,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0,1,34,34,3060,34.0,52,1.53,164,109,72.6,8,9,17,5,14.7,10,7,3,0,30.0,2024-2025 Ligue 1
Lyon,2,34,34,3060,34.0,46,1.35,166,120,74.1,17,6,11,10,29.4,3,3,0,0,0.0,2,34,34,3060,34.0,65,1.91,183,119,68.9,11,6,17,5,14.7,10,8,2,0,20.0,2024-2025 Ligue 1
Marseille,1,34,34,3060,34.0,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0,1,34,34,3060,34.0,74,2.18,195,123,66.2,9,5,20,6,17.6,10,8,2,0,20.0,2024-2025 Ligue 1
Monaco,2,34,34,3060,34.0,41,1.21,128,87,70.3,18,7,9,11,32.4,3,3,0,0,0.0,2,34,34,3060,34.0,63,1.85,187,123,69.5,9,7,18,5,14.7,7,6,1,0,14.3,2024-2025 Ligue 1
Montpellier,2,34,34,3060,34.0,79,2.32,194,117,63.4,4,4,26,1,2.9,9,8,1,0,11.1,2,34,34,3060,34.0,23,0.68,115,91,82.6,26,4,4,20,58.8,4,3,1,0,25.0,2024-2025 Ligue 1
Nantes,3,34,34,3060,34.0,52,1.53,148,99,69.6,8,12,14,6,17.6,8,7,0,1,0.0,3,34,34,3060,34.0,39,1.15,124,85,72.6,14,12,8,8,23.5,5,5,0,0,0.0,2024-2025 Ligue 1
Nice,1,34,34,3060,34.0,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3,1,34,34,3060,34.0,66,1.94,189,127,68.3,8,9,17,4,11.8,6,6,0,0,0.0,2024-2025 Ligue 1
Paris S-G,3,34,34,3060,34.0,35,1.03,103,69,68.9,26,6,2,7,20.6,3,3,0,0,0.0,3,34,34,3060,34.0,92,2.71,279,189,69.2,2,6,26,1,2.9,7,6,1,0,14.3,2024-2025 Ligue 1
Reims,1,34,34,3060,34.0,47,1.38,179,131,76.0,8,9,17,7,20.6,5,4,1,0,20.0,1,34,34,3060,34.0,33,0.97,112,80,71.4,17,9,8,15,44.1,2,1,0,1,0.0,2024-2025 Ligue 1
Rennes,3,34,34,3060,34.0,50,1.47,138,87,65.9,13,2,19,11,32.4,6,3,3,0,50.0,3,34,34,3060,34.0,51,1.5,162,109,71.6,19,2,13,7,20.6,8,5,2,1,28.6,2024-2025 Ligue 1
Saint-Étienne,1,34,34,3060,34.0,77,2.26,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3,1,34,34,3060,34.0,39,1.15,119,79,69.7,20,6,8,10,29.4,4,3,1,0,25.0,2024-2025 Ligue 1
Strasbourg,2,34,34,3060,34.0,44,1.29,169,126,78.7,16,9,9,10,29.4,9,8,1,0,11.1,2,34,34,3060,34.0,56,1.65,142,88,62.0,9,9,16,5,14.7,2,2,0,0,0.0,2024-2025 Ligue 1
Toulouse,3,34,34,3060,34.0,43,1.26,108,67,61.1,11,9,14,10,29.4,2,1,1,0,50.0,3,34,34,3060,34.0,44,1.29,148,106,72.3,14,9,11,8,23.5,4,3,0,1,0.0,2024-2025 Ligue 1
Augsburg,2,34,34,3060,34.0,51,1.5,156,107,70.5,11,10,13,11,32.4,5,5,0,0,0.0,2,34,34,3056,34.0,35,1.03,116,80,70.7,13,10,11,12,35.3,2,1,1,0,50.0,2024-2025 Bundesliga
Bayern Munich,4,34,34,3060,34.0,32,0.94,80,48,61.3,25,7,2,16,47.1,2,1,0,1,0.0,4,34,34,3060,34.0,99,2.91,264,168,65.9,2,7,25,1,2.9,10,9,0,1,0.0,2024-2025 Bundesliga
Bochum,2,34,34,3060,34.0,68,2.0,153,83,57.5,5,8,21,5,14.7,6,3,2,1,40.0,2,34,34,3060,34.0,32,0.94,136,101,77.2,21,8,5,13,38.2,3,1,2,0,66.7,2024-2025 Bundesliga
Dortmund,2,34,34,3060,34.0,51,1.5,140,89,66.4,17,6,11,7,20.6,4,4,0,0,0.0,2,34,34,3060,34.0,71,2.09,163,93,59.5,11,6,17,5,14.7,6,5,1,0,16.7,2024-2025 Bundesliga
Eint Frankfurt,2,34,34,3060,34.0,46,1.35,163,117,72.4,17,9,8,9,26.5,3,1,2,0,66.7,2,34,34,3060,34.0,68,2.0,177,107,63.3,8,9,17,4,11.8,5,3,2,0,40.0,2024-2025 Bundesliga
Freiburg,2,34,34,3060,34.0,53,1.56,150,96,66.0,16,7,11,11,32.4,4,2,2,0,50.0,2,34,34,3060,34.0,49,1.44,135,86,63.7,11,7,16,8,23.5,4,0,3,1,100.0,2024-2025 Bundesliga
Gladbach,4,34,34,3056,34.0,57,1.68,191,135,73.8,13,6,15,7,20.6,8,7,1,0,12.5,4,34,34,3060,34.0,55,1.62,158,104,67.7,15,6,13,6,17.6,5,4,1,0,20.0,2024-2025 Bundesliga
Heidenheim,2,34,34,3060,34.0,64,1.88,171,107,66.1,8,5,21,9,26.5,6,6,0,0,0.0,2,34,34,3060,34.0,37,1.09,129,92,75.2,21,5,8,14,41.2,5,5,0,0,0.0,2024-2025 Bundesliga
Hoffenheim,2,34,34,3060,34.0,68,2.0,173,105,62.4,7,11,16,4,11.8,6,3,3,0,50.0,2,34,34,3060,34.0,46,1.35,151,105,71.5,16,11,7,9,26.5,3,3,0,0,0.0,2024-2025 Bundesliga
Holstein Kiel,2,34,34,3060,34.0,80,2.35,195,117,62.1,6,7,21,2,5.9,7,6,1,0,14.3,2,34,34,3060,34.0,49,1.44,138,88,67.4,21,7,6,7,20.6,5,4,1,0,20.0,2024-2025 Bundesliga
Leverkusen,2,34,34,3060,34.0,43,1.26,134,95,70.9,19,12,3,9,26.5,4,4,0,0,0.0,2,34,34,3060,34.0,72,2.12,187,114,63.1,3,12,19,5,14.7,6,3,3,0,50.0,2024-2025 Bundesliga
Mainz 05,2,34,34,3060,34.0,43,1.26,150,106,74.0,14,10,10,9,26.5,5,4,1,0,20.0,2,34,34,3060,34.0,55,1.62,146,93,65.1,10,10,14,8,23.5,4,4,0,0,0.0,2024-2025 Bundesliga
RB Leipzig,2,34,34,3060,34.0,48,1.41,158,109,70.9,13,12,9,14,41.2,3,2,1,0,33.3,2,34,34,3060,34.0,53,1.56,148,96,66.2,9,12,13,9,26.5,4,3,1,0,25.0,2024-2025 Bundesliga
St. Pauli,2,34,34,3060,34.0,41,1.21,140,96,71.4,8,8,18,9,26.5,5,1,4,0,80.0,2,34,34,3060,34.0,28,0.82,111,84,75.7,18,8,8,17,50.0,2,1,1,0,50.0,2024-2025 Bundesliga
Stuttgart,1,34,34,3060,34.0,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3,1,34,34,3060,34.0,64,1.88,178,113,65.2,12,8,14,6,17.6,6,2,4,0,66.7,2024-2025 Bundesliga
Union Berlin,2,34,34,3060,34.0,50,1.47,139,86,65.5,10,11,13,8,23.5,6,2,4,0,66.7,2,34,34,3060,34.0,36,1.06,123,87,73.2,13,11,10,13,38.2,3,3,0,0,0.0,2024-2025 Bundesliga
Werder Bremen,1,34,34,3060,34.0,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0,1,34,34,3060,34.0,54,1.59,143,88,64.3,11,9,14,9,26.5,5,3,2,0,40.0,2024-2025 Bundesliga
Wolfsburg,2,34,34,3060,34.0,54,1.59,160,106,67.5,11,10,13,6,17.6,3,2,1,0,33.3,2,34,34,3060,34.0,56,1.65,142,88,63.4,13,10,11,7,20.6,5,4,1,0,20.0,2024-2025 Bundesliga
