Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Playing Time MP_for,Playing Time Min_for,Playing Time Mn/MP_for,Playing Time Min%_for,Playing Time 90s_for,Starts Starts_for,Starts Mn/Start_for,Starts Compl_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success +/-90_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Team Success (xG) xG+/-90_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Playing Time MP_against,Playing Time Min_against,Playing Time Mn/MP_against,Playing Time Min%_against,Playing Time 90s_against,Starts Starts_against,Starts Mn/Start_against,Starts Compl_against,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against,Team Success onG_against,Team Success onGA_against,Team Success +/-_against,Team Success +/-90_against,Team Success (xG) onxG_against,Team Success (xG) onxGA_against,Team Success (xG) xG+/-_against,Team Success (xG) xG+/-90_against,Season
Liverpool,24,27.2,38,3420,90,100,38.0,418,82,252.0,165,20,177,2.21,86,41,45,1.18,82.2,38.6,43.6,1.15,24,26.1,38,3420,90,100,38.0,418,82,257.0,160,20,179,0.55,41,86,-45,-1.18,38.6,82.2,-43.6,-1.15,2024-2025 Premier League
Manchester City,30,26.8,38,3420,90,100,38.0,418,85,286.0,131,16,207,1.87,72,44,28,0.74,68.1,47.7,20.4,0.54,30,26.2,38,3420,90,100,38.0,418,85,255.0,161,18,180,0.92,44,72,-28,-0.74,47.7,68.1,-20.4,-0.54,2024-2025 Premier League
Manchester Utd,31,25.5,38,3420,90,100,38.0,418,81,256.0,161,23,180,1.11,44,54,-10,-0.26,52.6,53.8,-1.3,-0.03,31,26.4,38,3420,90,100,38.0,418,81,256.0,159,17,183,1.66,54,44,10,0.26,53.8,52.6,1.3,0.03,2024-2025 Premier League
Newcastle Utd,24,27.4,38,3420,90,100,38.0,418,83,254.0,163,18,179,1.74,68,47,21,0.55,63.8,45.5,18.3,0.48,24,26.3,38,3420,90,100,38.0,418,83,254.0,161,19,180,1.11,47,68,-21,-0.55,45.5,63.8,-18.3,-0.48,2024-2025 Premier League
Nott'ham Forest,23,26.1,38,3420,90,100,38.0,418,83,249.0,167,18,174,1.71,58,46,12,0.32,45.5,48.9,-3.4,-0.09,23,26.2,38,3420,90,100,38.0,418,83,255.0,162,20,180,1.08,46,58,-12,-0.32,48.9,45.5,3.4,0.09,2024-2025 Premier League
Southampton,36,25.2,38,3420,90,100,38.0,418,80,237.0,180,22,162,0.32,26,86,-60,-1.58,32.7,84.8,-52.1,-1.37,36,26.2,38,3420,90,100,38.0,418,80,249.0,168,19,172,2.53,86,26,60,1.58,84.8,32.7,52.1,1.37,2024-2025 Premier League
Tottenham,31,25.0,38,3420,90,100,38.0,418,82,261.0,158,22,183,1.0,64,65,-1,-0.03,58.8,63.3,-4.5,-0.12,31,26.2,38,3420,90,100,38.0,418,82,259.0,158,18,184,1.87,65,64,1,0.03,63.3,58.8,4.5,0.12,2024-2025 Premier League
West Ham,27,28.1,38,3420,90,100,38.0,418,81,243.0,172,22,170,1.13,46,62,-16,-0.42,47.0,59.7,-12.7,-0.33,27,26.1,38,3420,90,100,38.0,418,81,256.0,162,18,180,1.61,62,46,16,0.42,59.7,47.0,12.7,0.33,2024-2025 Premier League
Wolves,32,26.9,38,3420,90,100,38.0,418,83,250.0,167,18,174,1.11,54,69,-15,-0.39,43.7,58.1,-14.5,-0.38,32,26.2,38,3420,90,100,38.0,418,83,249.0,166,20,176,1.74,69,54,15,0.39,58.1,43.7,14.5,0.38,2024-2025 Premier League
Atalanta,32,27.1,38,3420,90,100,38.0,418,79,233.0,185,24,250,1.95,78,37,41,1.08,65.0,38.6,26.4,0.69,32,26.2,38,3420,90,100,38.0,418,79,242.0,175,22,289,0.84,37,78,-41,-1.08,38.6,65.0,-26.4,-0.69,2024-2025 Serie A
Bologna,30,26.4,38,3420,90,100,38.0,418,80,230.0,185,21,335,1.63,57,47,10,0.26,49.3,36.7,12.6,0.33,30,26.3,38,3420,90,100,38.0,418,80,240.0,178,21,286,1.0,47,57,-10,-0.26,36.7,49.3,-12.6,-0.33,2024-2025 Serie A
Cagliari,28,26.6,38,3420,90,100,38.0,418,80,233.0,182,22,307,0.95,40,56,-16,-0.42,42.7,55.3,-12.6,-0.33,28,26.4,38,3420,90,100,38.0,418,80,235.0,181,21,284,1.82,56,40,16,0.42,55.3,42.7,12.6,0.33,2024-2025 Serie A
Como,38,26.3,38,3420,90,100,38.0,418,81,229.0,187,18,308,1.29,49,52,-3,-0.08,45.4,43.0,2.4,0.06,38,26.3,38,3420,90,100,38.0,418,81,233.0,183,23,286,1.45,52,49,3,0.08,43.0,45.4,-2.4,-0.06,2024-2025 Serie A
Empoli,34,25.4,38,3420,90,100,38.0,418,82,245.0,169,19,292,0.82,33,59,-26,-0.68,32.5,50.1,-17.6,-0.46,34,26.5,38,3420,90,100,38.0,418,82,240.0,175,23,306,1.84,59,33,26,0.68,50.1,32.5,17.6,0.46,2024-2025 Serie A
Fiorentina,34,26.3,37,3419,92,100,38.0,407,82,236.0,172,20,253,1.68,57,41,16,0.42,48.9,42.8,6.1,0.16,34,26.3,37,3419,92,100,38.0,407,82,236.0,168,22,283,1.11,41,57,-16,-0.42,42.8,48.9,-6.1,-0.16,2024-2025 Serie A
Genoa,37,26.2,38,3420,90,100,38.0,418,81,249.0,170,22,319,1.13,37,49,-12,-0.32,37.2,47.2,-10.0,-0.26,37,26.3,38,3420,90,100,38.0,418,81,243.0,175,21,292,1.53,49,37,12,0.32,47.2,37.2,10.0,0.26,2024-2025 Serie A
Hellas Verona,32,25.1,38,3420,90,100,38.0,418,80,231.0,180,23,368,0.97,34,66,-32,-0.84,33.8,53.4,-19.6,-0.51,32,26.2,38,3420,90,100,38.0,418,80,237.0,180,20,277,1.84,66,34,32,0.84,53.4,33.8,19.6,0.51,2024-2025 Serie A
Inter,26,29.4,37,3419,92,100,38.0,407,80,225.0,183,22,273,2.19,79,32,47,1.24,66.9,36.4,30.5,0.8,26,26.2,37,3419,92,100,38.0,407,80,236.0,168,21,280,0.57,32,79,-47,-1.24,36.4,66.9,-30.5,-0.8,2024-2025 Serie A
Juventus,29,24.6,38,3420,90,100,38.0,418,82,255.0,164,20,203,1.84,58,35,23,0.61,51.0,34.0,16.9,0.45,29,26.4,38,3420,90,100,38.0,418,82,240.0,180,21,287,0.74,35,58,-23,-0.61,34.0,51.0,-16.9,-0.45,2024-2025 Serie A
Lazio,27,27.1,38,3420,90,100,38.0,418,80,239.0,174,22,244,1.71,61,49,12,0.32,57.2,37.7,19.5,0.51,27,26.2,38,3420,90,100,38.0,418,80,233.0,176,21,293,1.0,49,61,-12,-0.32,37.7,57.2,-19.5,-0.51,2024-2025 Serie A
Lecce,31,26.1,38,3420,90,100,38.0,418,80,245.0,168,24,339,0.89,27,58,-31,-0.82,34.6,57.1,-22.5,-0.59,31,26.4,38,3420,90,100,38.0,418,80,236.0,179,22,284,1.84,58,27,31,0.82,57.1,34.6,22.5,0.59,2024-2025 Serie A
Milan,35,25.6,38,3420,90,100,38.0,418,81,249.0,166,22,282,1.66,61,43,18,0.47,63.7,41.3,22.4,0.59,35,26.4,38,3420,90,100,38.0,418,81,237.0,180,19,289,1.11,43,61,-18,-0.47,41.3,63.7,-22.4,-0.59,2024-2025 Serie A
Monza,36,26.8,38,3420,90,100,38.0,418,81,243.0,172,20,310,0.47,28,69,-41,-1.08,29.9,54.7,-24.8,-0.65,36,26.2,38,3420,90,100,38.0,418,81,244.0,175,21,298,2.29,69,28,41,1.08,54.7,29.9,24.8,0.65,2024-2025 Serie A
Napoli,27,28.6,38,3420,90,100,38.0,418,85,260.0,158,14,269,2.16,59,27,32,0.84,52.9,29.6,23.3,0.61,27,26.0,38,3420,90,100,38.0,418,85,241.0,176,20,298,0.58,27,59,-32,-0.84,29.6,52.9,-23.3,-0.61,2024-2025 Serie A
Parma,32,23.8,38,3420,90,100,38.0,418,78,234.0,185,26,284,0.95,44,58,-14,-0.37,43.1,56.4,-13.3,-0.35,32,26.4,38,3420,90,100,38.0,418,78,245.0,170,20,296,1.66,58,44,14,0.37,56.4,43.1,13.3,0.35,2024-2025 Serie A
Roma,28,26.5,38,3420,90,100,38.0,418,81,247.0,171,21,317,1.82,56,35,21,0.55,53.0,40.9,12.1,0.32,28,26.3,38,3420,90,100,38.0,418,81,239.0,175,24,294,0.95,35,56,-21,-0.55,40.9,53.0,-12.1,-0.32,2024-2025 Serie A
Torino,31,26.7,38,3420,90,100,38.0,418,80,236.0,179,21,253,1.16,39,45,-6,-0.16,34.6,50.4,-15.8,-0.42,31,26.3,38,3420,90,100,38.0,418,80,251.0,167,20,303,1.47,45,39,6,0.16,50.4,34.6,15.8,0.42,2024-2025 Serie A
Udinese,31,26.4,38,3420,90,100,38.0,418,80,232.0,181,21,278,1.16,41,56,-15,-0.39,38.2,52.6,-14.4,-0.38,31,26.5,38,3420,90,100,38.0,418,80,236.0,180,20,280,1.63,56,41,15,0.39,52.6,38.2,14.4,0.38,2024-2025 Serie A
Venezia,36,25.4,38,3420,90,100,38.0,418,81,232.0,187,19,317,0.76,32,56,-24,-0.63,35.8,57.5,-21.7,-0.57,36,26.4,38,3420,90,100,38.0,418,81,239.0,177,20,296,1.87,56,32,24,0.63,57.5,35.8,21.7,0.57,2024-2025 Serie A
Angers,30,27.5,34,3060,90,100,34.0,374,81,216.0,157,20,148,1.06,32,53,-21,-0.62,36.0,57.8,-21.8,-0.64,30,25.9,34,3060,90,100,34.0,374,81,218.0,151,20,155,1.76,53,32,21,0.62,57.8,36.0,21.8,0.64,2024-2025 Ligue 1
Auxerre,29,25.9,34,3060,90,100,34.0,374,83,215.0,155,16,151,1.24,48,51,-3,-0.09,41.0,58.6,-17.6,-0.52,29,25.9,34,3060,90,100,34.0,374,83,214.0,158,20,148,1.5,51,48,3,0.09,58.6,41.0,17.6,0.52,2024-2025 Ligue 1
Brest,30,28.2,34,3060,90,100,34.0,374,82,226.0,147,20,152,1.47,52,59,-7,-0.21,45.4,57.4,-12.0,-0.35,30,25.7,34,3060,90,100,34.0,374,82,225.0,150,19,155,1.38,59,52,7,0.21,57.4,45.4,12.0,0.35,2024-2025 Ligue 1
Le Havre,31,26.9,34,3060,90,100,34.0,374,82,224.0,147,19,159,1.0,40,71,-31,-0.91,41.4,62.8,-21.4,-0.63,31,25.9,34,3060,90,100,34.0,374,82,217.0,153,20,153,1.88,71,40,31,0.91,62.8,41.4,21.4,0.63,2024-2025 Ligue 1
Lens,33,27.1,34,3060,90,100,34.0,374,81,214.0,158,19,146,1.53,42,39,3,0.09,51.8,45.3,6.5,0.19,33,25.9,34,3060,90,100,34.0,374,81,233.0,140,19,165,1.26,39,42,-3,-0.09,45.3,51.8,-6.5,-0.19,2024-2025 Ligue 1
Lille,27,26.1,34,3060,90,100,34.0,374,82,218.0,156,20,149,1.76,52,36,16,0.47,54.7,42.5,12.2,0.36,27,25.9,34,3060,90,100,34.0,374,82,216.0,152,19,152,0.97,36,52,-16,-0.47,42.5,54.7,-12.2,-0.36,2024-2025 Ligue 1
Lyon,31,27.4,34,3060,90,100,34.0,374,83,232.0,143,18,163,1.68,65,46,19,0.56,60.3,45.7,14.6,0.43,31,25.7,34,3060,90,100,34.0,374,83,217.0,156,17,146,1.15,46,65,-19,-0.56,45.7,60.3,-14.6,-0.43,2024-2025 Ligue 1
Marseille,32,26.7,34,3060,90,100,34.0,374,81,225.0,147,21,158,1.91,74,47,27,0.79,63.8,45.2,18.6,0.55,32,25.9,34,3060,90,100,34.0,374,81,229.0,143,18,161,0.94,47,74,-27,-0.79,45.2,63.8,-18.6,-0.55,2024-2025 Ligue 1
Monaco,28,24.4,34,3060,90,100,34.0,374,82,219.0,153,19,152,1.79,63,41,22,0.65,72.8,34.8,38.0,1.12,28,26.1,34,3060,90,100,34.0,374,82,231.0,140,19,166,1.0,41,63,-22,-0.65,34.8,72.8,-38.0,-1.12,2024-2025 Ligue 1
Montpellier,35,26.1,34,3060,90,100,34.0,374,81,219.0,151,23,147,0.47,23,79,-56,-1.65,33.5,63.3,-29.9,-0.88,35,25.7,34,3060,90,100,34.0,374,81,221.0,153,18,153,2.41,79,23,56,1.65,63.3,33.5,29.9,0.88,2024-2025 Ligue 1
Nantes,30,26.7,34,3060,90,100,34.0,374,83,219.0,155,15,151,1.06,39,52,-13,-0.38,39.1,55.5,-16.4,-0.48,30,25.6,34,3060,90,100,34.0,374,83,236.0,136,20,169,1.59,52,39,13,0.38,55.5,39.1,16.4,0.48,2024-2025 Ligue 1
Nice,31,26.4,34,3060,90,100,34.0,374,83,213.0,158,17,148,1.76,66,41,25,0.74,61.6,40.2,21.4,0.63,31,25.8,34,3060,90,100,34.0,374,83,221.0,150,21,154,0.97,41,66,-25,-0.74,40.2,61.6,-21.4,-0.63,2024-2025 Ligue 1
Paris S-G,28,23.6,34,3060,90,100,34.0,374,81,230.0,144,24,156,2.47,92,35,57,1.68,88.9,31.2,57.7,1.7,28,25.8,34,3060,90,100,34.0,374,81,220.0,153,18,153,0.35,35,92,-57,-1.68,31.2,88.9,-57.7,-1.7,2024-2025 Ligue 1
Reims,34,24.5,34,3060,90,100,34.0,374,82,223.0,148,20,160,0.97,33,47,-14,-0.41,37.4,57.4,-19.9,-0.59,34,25.9,34,3060,90,100,34.0,374,82,226.0,145,19,159,1.76,47,33,14,0.41,57.4,37.4,19.9,0.59,2024-2025 Ligue 1
Rennes,35,25.1,34,3060,90,100,34.0,374,82,224.0,148,20,158,1.21,51,50,1,0.03,48.6,46.0,2.6,0.08,35,25.8,34,3060,90,100,34.0,374,82,224.0,149,19,153,1.74,50,51,-1,-0.03,46.0,48.6,-2.6,-0.08,2024-2025 Ligue 1
Saint-Étienne,32,25.9,34,3060,90,100,34.0,374,82,229.0,142,20,163,0.88,39,77,-38,-1.12,36.4,74.3,-37.9,-1.12,32,25.8,34,3060,90,100,34.0,374,82,222.0,154,20,149,1.94,77,39,38,1.12,74.3,36.4,37.9,1.12,2024-2025 Ligue 1
Strasbourg,30,21.4,34,3060,90,100,34.0,374,84,242.0,131,16,177,1.68,56,44,12,0.35,49.3,56.1,-6.9,-0.2,30,25.9,34,3060,90,100,34.0,374,84,231.0,142,18,163,1.06,44,56,-12,-0.35,56.1,49.3,6.9,0.2,2024-2025 Ligue 1
Toulouse,27,25.2,34,3060,90,100,34.0,374,83,231.0,140,17,165,1.24,44,43,1,0.03,49.1,36.8,12.4,0.36,27,25.8,34,3060,90,100,34.0,374,83,218.0,155,19,149,1.5,43,44,-1,-0.03,36.8,49.1,-12.4,-0.36,2024-2025 Ligue 1
Augsburg,29,26.8,34,3060,90,100,34.0,374,80,213.0,157,23,147,1.26,35,51,-16,-0.47,34.7,48.9,-14.2,-0.42,29,26.6,34,3060,90,100,34.0,374,80,216.0,158,21,145,1.44,51,35,16,0.47,48.9,34.7,14.2,0.42,2024-2025 Bundesliga
Bayern Munich,29,27.7,34,3060,90,100,34.0,374,82,224.0,150,21,155,2.41,99,32,67,1.97,81.7,25.5,56.2,1.65,29,26.5,34,3060,90,100,34.0,374,82,220.0,153,20,152,0.38,32,99,-67,-1.97,25.5,81.7,-56.2,-1.65,2024-2025 Bundesliga
Bochum,27,28.0,34,3060,90,100,34.0,374,81,218.0,154,20,152,0.74,33,67,-34,-1.0,41.8,63.2,-21.3,-0.63,27,26.5,34,3060,90,100,34.0,374,81,215.0,158,20,144,2.06,67,33,34,1.0,63.2,41.8,21.3,0.63,2024-2025 Bundesliga
Dortmund,28,26.6,34,3060,90,100,34.0,374,81,216.0,154,20,147,1.68,71,51,20,0.59,61.2,42.8,18.4,0.54,28,26.7,34,3060,90,100,34.0,374,81,216.0,156,18,149,1.15,51,71,-20,-0.59,42.8,61.2,-18.4,-0.54,2024-2025 Bundesliga
Eint Frankfurt,26,24.9,34,3060,90,100,34.0,374,81,211.0,162,20,144,1.76,68,46,22,0.65,65.1,48.0,17.1,0.5,26,26.7,34,3060,90,100,34.0,374,81,219.0,153,21,150,0.97,46,68,-22,-0.65,48.0,65.1,-17.1,-0.5,2024-2025 Bundesliga
Freiburg,26,27.1,34,3060,90,100,34.0,374,82,216.0,157,18,149,1.62,49,53,-4,-0.12,44.3,42.4,1.8,0.05,26,26.5,34,3060,90,100,34.0,374,82,215.0,158,21,145,1.18,53,49,4,0.12,42.4,44.3,-1.8,-0.05,2024-2025 Bundesliga
Gladbach,26,26.5,34,3060,90,100,34.0,374,83,207.0,165,16,141,1.32,55,57,-2,-0.06,50.6,63.4,-12.7,-0.37,26,26.7,34,3060,90,100,34.0,374,83,221.0,153,21,152,1.5,57,55,2,0.06,63.4,50.6,12.7,0.37,2024-2025 Bundesliga
Heidenheim,27,26.8,34,3060,90,100,34.0,374,80,213.0,162,23,144,0.85,37,64,-27,-0.79,40.3,57.6,-17.4,-0.51,27,26.6,34,3060,90,100,34.0,374,80,214.0,160,21,145,2.0,64,37,27,0.79,57.6,40.3,17.4,0.51,2024-2025 Bundesliga
Hoffenheim,35,26.5,34,3060,90,100,34.0,374,81,221.0,151,22,153,0.94,46,68,-22,-0.65,42.6,55.8,-13.1,-0.39,35,26.7,34,3060,90,100,34.0,374,81,215.0,158,20,146,1.74,68,46,22,0.65,55.8,42.6,13.1,0.39,2024-2025 Bundesliga
Holstein Kiel,27,25.6,34,3060,90,100,34.0,374,79,210.0,162,24,143,0.74,49,80,-31,-0.91,39.8,61.0,-21.1,-0.62,27,26.5,34,3060,90,100,34.0,374,79,215.0,158,20,146,2.06,80,49,31,0.91,61.0,39.8,21.1,0.62,2024-2025 Bundesliga
Leverkusen,23,27.0,34,3060,90,100,34.0,374,83,239.0,136,19,165,2.03,72,43,29,0.85,56.9,36.2,20.6,0.61,23,26.4,34,3060,90,100,34.0,374,83,212.0,164,18,141,0.62,43,72,-29,-0.85,36.2,56.9,-20.6,-0.61,2024-2025 Bundesliga
Mainz 05,25,27.4,34,3060,90,100,34.0,374,82,229.0,145,18,160,1.53,55,43,12,0.35,50.1,48.1,2.0,0.06,25,26.5,34,3060,90,100,34.0,374,82,214.0,156,23,147,1.18,43,55,-12,-0.35,48.1,50.1,-2.0,-0.06,2024-2025 Bundesliga
RB Leipzig,29,25.3,34,3060,90,100,34.0,374,81,212.0,158,20,142,1.5,53,48,5,0.15,46.6,53.3,-6.8,-0.2,29,26.4,34,3060,90,100,34.0,374,81,228.0,145,17,158,1.15,48,53,-5,-0.15,53.3,46.6,6.8,0.2,2024-2025 Bundesliga
St. Pauli,28,26.9,34,3060,90,100,34.0,374,84,229.0,143,16,163,0.94,28,41,-13,-0.38,35.3,45.4,-10.1,-0.3,28,26.5,34,3060,90,100,34.0,374,84,221.0,152,20,153,1.82,41,28,13,0.38,45.4,35.3,10.1,0.3,2024-2025 Bundesliga
Stuttgart,29,24.9,34,3060,90,100,34.0,374,81,210.0,161,19,142,1.47,64,53,11,0.32,62.3,46.9,15.4,0.45,29,26.6,34,3060,90,100,34.0,374,81,216.0,152,19,154,1.29,53,64,-11,-0.32,46.9,62.3,-15.4,-0.45,2024-2025 Bundesliga
Union Berlin,28,27.2,34,3060,90,100,34.0,374,80,207.0,168,22,137,1.18,35,51,-16,-0.47,37.0,47.8,-10.7,-0.32,28,26.5,34,3060,90,100,34.0,374,80,216.0,156,19,148,1.53,51,35,16,0.47,47.8,37.0,10.7,0.32,2024-2025 Bundesliga
Werder Bremen,23,27.5,34,3060,90,100,34.0,374,83,215.0,156,17,145,1.5,54,57,-3,-0.09,49.1,48.1,1.0,0.03,23,26.3,34,3060,90,100,34.0,374,83,213.0,157,21,149,1.24,57,54,3,0.09,48.1,49.1,-1.0,-0.03,2024-2025 Bundesliga
Wolfsburg,27,25.2,34,3060,90,100,34.0,374,82,220.0,155,19,150,1.26,56,54,2,0.06,47.5,52.5,-5.1,-0.15,27,26.8,34,3060,90,100,34.0,374,82,224.0,149,20,155,1.44,54,56,-2,-0.06,52.5,47.5,5.1,0.15,2024-2025 Bundesliga
Alavés,29,26.6,38,3420,90,100,38.0,418,82,254.0,161,21,275,1.11,38,48,-10,-0.26,42.8,47.0,-4.2,-0.11,29,26.9,38,3420,90,100,38.0,418,82,238.0,178,24,251,1.58,48,38,10,0.26,47.0,42.8,4.2,0.11,2024-2025
Athletic Club,31,26.9,38,3420,90,100,38.0,418,80,226.0,189,23,253,1.84,54,29,25,0.66,53.0,37.8,15.2,0.4,31,26.6,38,3420,90,100,38.0,418,80,240.0,177,21,240,0.82,29,54,-25,-0.66,37.8,53.0,-15.2,-0.4,2024-2025
Atlético Madrid,24,28.4,38,3420,90,100,38.0,418,78,228.0,188,27,242,2.0,68,30,38,1.0,64.6,33.4,31.2,0.82,24,26.8,38,3420,90,100,38.0,418,78,246.0,173,20,257,0.74,30,68,-38,-1.0,33.4,64.6,-31.2,-0.82,2024-2025
Barcelona,28,24.7,38,3420,90,100,38.0,418,80,237.0,180,22,254,2.32,102,39,63,1.66,91.5,41.9,49.5,1.3,28,26.8,38,3420,90,100,38.0,418,80,238.0,180,22,246,0.58,39,102,-63,-1.66,41.9,91.5,-49.5,-1.3,2024-2025
Betis,36,27.5,38,3420,90,100,38.0,418,80,237.0,179,22,230,1.58,57,50,7,0.18,54.7,50.6,4.1,0.11,36,27.0,38,3420,90,100,38.0,418,80,231.0,181,21,246,1.11,50,57,-7,-0.18,50.6,54.7,-4.1,-0.11,2024-2025
Celta Vigo,30,26.9,38,3420,90,100,38.0,418,79,227.0,189,23,265,1.45,59,57,2,0.05,54.2,43.4,10.9,0.29,30,26.7,38,3420,90,100,38.0,418,79,232.0,180,23,250,1.37,57,59,-2,-0.05,43.4,54.2,-10.9,-0.29,2024-2025
Espanyol,27,25.2,38,3420,90,100,38.0,418,81,238.0,180,21,270,1.11,40,51,-11,-0.29,34.4,53.8,-19.4,-0.51,27,27.0,38,3420,90,100,38.0,418,81,245.0,174,21,256,1.66,51,40,11,0.29,53.8,34.4,19.4,0.51,2024-2025
Getafe,30,27.7,38,3420,90,100,38.0,418,81,251.0,164,21,247,1.11,34,39,-5,-0.13,36.8,46.2,-9.4,-0.25,30,27.0,38,3420,90,100,38.0,418,81,240.0,175,21,251,1.66,39,34,5,0.13,46.2,36.8,9.4,0.25,2024-2025
Girona,30,27.5,38,3420,90,100,38.0,418,81,245.0,172,22,249,1.08,44,60,-16,-0.42,42.5,50.4,-8.0,-0.21,30,26.9,38,3420,90,100,38.0,418,81,240.0,176,20,248,1.71,60,44,16,0.42,50.4,42.5,8.0,0.21,2024-2025
Las Palmas,34,26.8,38,3420,90,100,38.0,418,80,226.0,189,21,246,0.84,40,61,-21,-0.55,36.3,66.8,-30.5,-0.8,34,26.8,38,3420,90,100,38.0,418,80,234.0,178,21,252,1.95,61,40,21,0.55,66.8,36.3,30.5,0.8,2024-2025
Leganés,26,27.8,38,3420,90,100,38.0,418,81,247.0,167,21,250,1.05,39,56,-17,-0.45,36.0,59.4,-23.4,-0.62,26,26.8,38,3420,90,100,38.0,418,81,243.0,174,24,257,1.61,56,39,17,0.45,59.4,36.0,23.4,0.62,2024-2025
