Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Unnamed: 3_level_0 90s_for,Touches Touches_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries TotDist_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Poss_against,Unnamed: 3_level_0 90s_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Touches Live_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against,Season
Inter,26,59.4,38.0,26215,2510,7834,12203,6361,1048,26206,407,158,38.8,199,48.9,16253,81857,40921,694,566,155,423,242,19251,1717,26,40.6,38.0,18906,2505,6651,8467,3974,604,18902,492,213,43.3,239,48.6,10804,58866,29151,631,416,153,521,266,12057,1058,2024-2025 Serie A
Juventus,29,57.2,38.0,25202,2320,7729,11766,5913,856,25196,658,309,47.0,300,45.6,15347,86896,45140,810,558,216,568,293,18089,1548,29,42.8,38.0,19571,2513,6795,8487,4493,608,19566,525,208,39.6,263,50.1,10828,59104,29297,540,459,134,486,343,12460,1087,2024-2025 Serie A
Lazio,27,55.1,38.0,23200,2262,6760,11033,5654,928,23193,628,296,47.1,266,42.4,13530,76731,39821,774,587,189,469,310,16281,1580,27,44.9,38.0,19987,2599,7206,8767,4204,661,19983,546,250,45.8,251,46.0,11670,63272,31920,548,381,124,437,269,12863,1124,2024-2025 Serie A
Lecce,31,43.8,38.0,19445,2594,7211,8380,4085,605,19441,547,237,43.3,248,45.3,9704,52572,25490,519,349,121,572,290,11350,1062,31,56.2,38.0,23576,2146,6501,11073,6205,899,23566,644,283,43.9,301,46.7,13689,70792,35907,654,510,165,594,326,15603,1668,2024-2025 Serie A
Milan,35,53.9,38.0,22849,2115,7299,10263,5518,966,22841,721,343,47.6,309,42.9,14001,80439,44096,915,648,269,513,288,16145,1572,35,46.1,38.0,20310,2550,7151,8891,4491,679,20308,527,234,44.4,246,46.7,11742,65088,33379,618,452,150,469,306,13610,1216,2024-2025 Serie A
Monza,36,48.5,38.0,21338,2852,8271,9181,4056,480,21335,507,220,43.4,227,44.8,12954,65264,31645,533,413,89,510,334,14106,1081,36,51.5,38.0,22691,1877,5883,11026,5982,904,22687,554,229,41.3,272,49.1,12838,66921,34494,699,542,186,545,290,15414,1581,2024-2025 Serie A
Napoli,27,54.6,38.0,23892,2258,7471,11310,5295,869,23887,611,244,39.9,286,46.8,13244,69492,35365,739,443,207,473,326,16735,1530,27,45.4,38.0,20770,2464,6906,9530,4543,584,20766,519,211,40.7,258,49.7,11837,63353,30835,537,445,103,499,277,13488,1132,2024-2025 Serie A
Parma,32,44.2,38.0,19903,2706,7204,8455,4468,655,19896,587,249,42.4,276,47.0,11305,58058,29684,578,416,168,548,297,12339,1049,32,55.8,38.0,23755,2179,7107,10907,5980,943,23750,561,242,43.1,242,43.1,14164,77691,43161,822,573,209,524,281,16290,1752,2024-2025 Serie A
Roma,28,53.9,38.0,24126,2375,7151,11355,5819,861,24118,563,210,37.3,266,47.2,14077,72568,36058,691,579,162,545,283,16857,1488,28,46.1,38.0,21195,2530,7476,9356,4564,677,21191,487,215,44.1,224,46.0,11917,65549,33211,668,479,161,538,327,14024,1266,2024-2025 Serie A
Torino,31,47.5,38.0,20697,2400,6911,9482,4475,605,20693,452,169,37.4,236,52.2,12098,62802,31118,529,389,107,490,272,13424,1103,31,52.5,38.0,22649,2383,7542,9869,5453,868,22642,499,205,41.1,232,46.5,13393,67768,33178,722,478,177,532,236,15221,1332,2024-2025 Serie A
Udinese,31,47.2,38.0,20351,2410,6993,9142,4451,694,20347,623,281,45.1,294,47.2,11222,61191,29910,566,424,127,558,295,12776,1140,31,52.8,38.0,22212,2520,7711,9803,4905,788,22204,578,229,39.6,279,48.3,12421,64424,31794,582,419,159,536,283,14666,1273,2024-2025 Serie A
Venezia,36,45.1,38.0,19451,2614,7044,8341,4288,633,19445,601,248,41.3,290,48.3,10476,56455,28256,507,383,124,621,398,11442,1057,36,54.9,38.0,22914,2219,7116,10168,5872,922,22903,654,286,43.7,286,43.7,12980,66635,32620,719,506,191,627,319,14815,1376,2024-2025 Serie A
Angers,30,41.2,34.0,17919,2146,6594,7732,3813,512,17913,613,249,40.6,331,54.0,9398,51759,26951,502,365,98,493,297,10991,943,30,58.8,34.0,24043,1747,5934,11764,6568,921,24038,649,313,48.2,294,45.3,14633,79121,42638,784,623,185,469,330,17198,1756,2024-2025 Ligue 1
Auxerre,29,42.5,34.0,18188,2265,6744,7753,3877,614,18183,622,258,41.5,324,52.1,10101,51428,24986,484,350,137,452,346,10927,1078,29,57.5,34.0,22989,1832,6490,11361,5341,772,22981,649,290,44.7,316,48.7,13114,70683,38531,645,441,159,508,341,15775,1510,2024-2025 Ligue 1
Brest,30,48.4,34.0,19884,2240,6822,8962,4265,644,19875,490,209,42.7,245,50.0,10454,55353,26772,470,348,117,509,246,12586,1084,30,51.6,34.0,21061,2098,6857,9665,4731,767,21051,615,275,44.7,308,50.1,11648,59666,32094,559,389,140,565,348,13948,1507,2024-2025 Ligue 1
Le Havre,31,43.1,34.0,17975,2197,6737,7822,3637,581,17965,512,233,45.5,236,46.1,9506,52339,26445,538,347,93,448,311,11013,1033,31,56.9,34.0,22664,1913,5983,11021,5860,832,22658,605,258,42.6,304,50.2,13247,67565,35670,633,469,140,535,317,15850,1632,2024-2025 Ligue 1
Lens,33,54.1,34.0,22167,1929,6346,10186,5833,848,22162,582,249,42.8,297,51.0,12325,60837,30074,570,479,122,576,341,14727,1440,33,45.9,34.0,19947,2360,6777,8799,4591,684,19938,633,280,44.2,299,47.2,10605,55338,28614,585,454,167,551,307,12410,1085,2024-2025 Ligue 1
Lille,27,57.6,34.0,23278,1932,6099,11352,5991,854,23268,598,283,47.3,288,48.2,13642,71203,37395,669,512,158,513,300,16614,1603,27,42.4,34.0,18455,2383,7264,7928,3473,601,18451,594,243,40.9,311,52.4,10360,51946,26115,503,318,147,485,315,11670,935,2024-2025 Ligue 1
Lyon,31,56.4,34.0,22636,2155,6644,10377,5810,999,22626,546,238,43.6,277,50.7,13430,67925,36807,709,483,201,456,281,15904,1600,31,43.6,34.0,18656,2259,6330,8014,4506,734,18653,626,285,45.5,310,49.5,9503,52123,27283,624,391,171,454,266,11808,1119,2024-2025 Ligue 1
Marseille,32,63.3,34.0,26602,1928,6930,13580,6271,850,26592,607,278,45.8,300,49.4,16260,75565,39382,664,499,197,471,313,20224,1703,32,36.7,34.0,16997,2207,6352,7403,3418,527,16991,510,198,38.8,274,53.7,8945,45661,22546,436,277,155,442,278,10556,867,2024-2025 Ligue 1
Monaco,28,55.0,34.0,21883,1745,5633,10914,5558,969,21876,613,266,43.4,300,48.9,12485,65950,34414,670,534,187,601,341,14447,1629,28,45.0,34.0,19030,2336,6789,8295,4152,588,19027,666,285,42.8,339,50.9,9441,50276,25261,549,389,133,578,331,11475,1198,2024-2025 Ligue 1
Montpellier,35,45.3,34.0,18133,2072,6036,8263,4032,540,18129,609,262,43.0,302,49.6,9615,54614,27149,529,362,138,478,296,11348,1030,35,54.7,34.0,21377,1891,5927,10462,5175,876,21368,640,298,46.6,310,48.4,12486,64650,34613,632,471,173,519,321,14631,1451,2024-2025 Ligue 1
Nantes,30,40.4,34.0,17874,2137,6120,8089,3839,644,17869,525,227,43.2,278,53.0,9492,48016,23741,502,344,141,485,286,10932,1044,30,59.6,34.0,24836,1972,6721,12086,6215,872,24828,603,244,40.5,321,53.2,14536,73671,38972,715,482,175,500,324,17820,1709,2024-2025 Ligue 1
Nice,31,47.5,34.0,20206,2171,6488,9270,4693,843,20200,687,295,42.9,346,50.4,10937,58506,32981,701,413,171,540,315,13013,1312,31,52.5,34.0,21769,2318,6781,10019,5194,738,21766,568,237,41.7,297,52.3,12118,60988,30830,618,468,149,499,336,14620,1305,2024-2025 Ligue 1
Paris S-G,28,68.0,34.0,29502,1991,6704,14734,8262,1211,29495,802,364,45.4,393,49.0,18244,92964,49950,936,702,347,488,329,23027,2114,28,32.0,34.0,15926,2513,6411,6303,3420,561,15923,638,282,44.2,325,50.9,8255,43399,20700,467,318,125,510,294,9268,868,2024-2025 Ligue 1
Reims,34,44.1,34.0,18663,2437,6983,7699,4213,649,18661,629,279,44.4,312,49.6,9968,59074,30711,586,420,139,576,304,11542,1140,34,55.9,34.0,22485,1994,6180,10380,6116,936,22480,575,266,46.3,285,49.6,12935,67208,36523,663,521,187,497,273,15499,1620,2024-2025 Ligue 1
Rennes,35,50.9,34.0,20688,1999,6281,9624,4970,763,20680,643,270,42.0,327,50.9,11438,61463,31644,663,429,186,508,344,13788,1421,35,49.1,34.0,20140,2247,6943,9019,4349,697,20134,543,214,39.4,296,54.5,11095,55664,28097,575,365,162,499,300,13134,1136,2024-2025 Ligue 1
Saint-Étienne,32,47.1,34.0,19848,2437,6917,8493,4607,600,19844,558,239,42.8,294,52.7,10318,51180,26053,529,334,138,550,309,12920,1254,32,52.9,34.0,21882,1767,6492,10179,5407,980,21867,627,298,47.5,296,47.2,12700,64548,34226,714,481,235,532,285,15019,1453,2024-2025 Ligue 1
Strasbourg,30,50.1,34.0,21307,2567,8555,9120,3825,614,21305,629,282,44.8,304,48.3,12112,56806,29750,563,365,170,514,263,14530,1191,30,49.9,34.0,20748,2028,6897,9204,4819,823,20739,489,202,41.3,257,52.6,11921,59250,27519,537,395,164,494,280,14145,1349,2024-2025 Ligue 1
Toulouse,27,45.0,34.0,18606,1884,6030,8440,4363,789,18602,616,277,45.0,306,49.7,10414,51124,26397,543,369,155,527,311,11568,1201,27,55.0,34.0,22354,2367,7535,10508,4524,615,22352,651,290,44.5,318,48.8,12597,64349,31370,589,403,128,548,287,15275,1320,2024-2025 Ligue 1
Augsburg,29,44.3,34.0,19036,2215,6126,8404,4701,681,19034,555,228,41.1,280,50.5,10166,48245,23696,450,356,97,587,297,11478,1149,29,55.7,34.0,22943,2360,7467,10398,5239,816,22938,469,197,42.0,233,49.7,12814,62501,31296,604,405,140,479,231,15364,1429,2024-2025 Bundesliga
Bayern Munich,29,67.9,34.0,29435,1651,6130,14825,8664,1212,29425,791,383,48.4,354,44.8,18048,90011,45625,831,683,265,495,264,22614,2125,29,32.1,34.0,16085,2998,7592,6086,2581,425,16083,476,200,42.0,250,52.5,7861,36733,16041,286,200,81,453,256,9050,664,2024-2025 Bundesliga
Bochum,27,45.5,34.0,18311,2240,6257,8021,4198,683,18308,421,167,39.7,239,56.8,9051,42773,19107,378,292,89,524,235,10164,1077,27,54.5,34.0,22119,2332,7245,9965,5100,898,22113,619,266,43.0,306,49.4,11590,58190,29503,599,420,182,526,294,13929,1435,2024-2025 Bundesliga
Dortmund,28,58.9,34.0,24214,2170,6972,11525,5921,916,24208,747,341,45.6,334,44.7,14567,72244,36951,701,522,219,502,307,16922,1555,28,41.1,34.0,18251,2382,6828,7494,4124,694,18247,539,231,42.9,261,48.4,9340,47128,23088,473,355,138,498,262,10851,1045,2024-2025 Bundesliga
Eint Frankfurt,26,49.7,34.0,21315,2574,7332,9549,4619,871,21310,609,293,48.1,272,44.7,12239,59330,29809,585,428,188,561,262,13804,1337,26,50.3,34.0,21445,2319,6565,9663,5361,799,21442,544,228,41.9,280,51.5,11276,56986,28875,547,422,143,447,286,14035,1273,2024-2025 Bundesliga
Freiburg,26,48.7,34.0,20178,2220,6656,9166,4504,722,20174,486,215,44.2,237,48.8,10294,54032,26564,442,319,119,456,259,12683,1120,26,51.3,34.0,21416,2280,7469,9517,4592,727,21412,478,222,46.4,235,49.2,12223,56939,27259,471,354,120,539,276,13965,1167,2024-2025 Bundesliga
Gladbach,26,49.6,34.0,21519,2921,8283,9361,4035,702,21514,469,206,43.9,231,49.3,11672,58507,29577,530,360,131,420,269,14002,1104,26,50.4,34.0,21784,2032,5968,9969,6055,1000,21776,514,233,45.3,240,46.7,11945,60720,30982,607,463,171,501,264,14355,1509,2024-2025 Bundesliga
Heidenheim,27,43.5,34.0,18836,2427,7356,7915,3789,619,18831,532,232,43.6,250,47.0,10014,52086,26117,516,347,94,537,240,11035,959,27,56.5,34.0,23335,1995,6152,11630,5773,847,23329,607,264,43.5,294,48.4,13152,67306,34543,643,489,154,523,320,15686,1610,2024-2025 Bundesliga
Hoffenheim,35,48.7,34.0,20591,2338,6644,9219,4904,762,20588,505,234,46.3,238,47.1,10884,51798,25062,481,391,124,451,293,12717,1208,35,51.3,34.0,21736,2361,6905,9596,5414,898,21730,556,242,43.5,269,48.4,11712,57227,27547,529,428,143,550,301,13877,1336,2024-2025 Bundesliga
Holstein Kiel,27,43.6,34.0,18172,2860,7924,7386,3022,572,18167,424,184,43.4,200,47.2,8483,41193,19640,359,261,81,504,242,10453,860,27,56.4,34.0,22214,1790,5535,10403,6454,987,22207,589,253,43.0,277,47.0,12764,60246,29565,549,409,172,548,264,14660,1558,2024-2025 Bundesliga
Leverkusen,23,59.2,34.0,25098,1888,5876,12171,7188,918,25092,584,254,43.5,293,50.2,13865,67255,35710,696,496,181,458,253,18137,1678,23,40.8,34.0,18556,2562,7087,7890,3728,560,18552,384,173,45.1,184,47.9,10192,49152,23558,403,333,99,438,211,11490,972,2024-2025 Bundesliga
Mainz 05,25,50.4,34.0,20675,2193,6705,9124,5015,782,20671,496,214,43.1,252,50.8,10562,48693,22087,466,334,119,593,295,12386,1272,25,49.6,34.0,20500,2395,7086,8870,4721,774,20495,491,212,43.2,236,48.1,10118,47298,22409,436,329,132,534,328,12192,1107,2024-2025 Bundesliga
RB Leipzig,29,52.2,34.0,22396,2257,6793,10962,4856,757,22392,580,261,45.0,260,44.8,11429,54894,27778,516,392,136,510,312,14621,1346,29,47.8,34.0,20820,2272,6842,9156,4982,889,20817,574,267,46.5,258,44.9,10832,52648,25250,530,354,154,510,285,12947,1256,2024-2025 Bundesliga
St. Pauli,28,44.2,34.0,19141,2257,6816,8232,4244,648,19139,429,179,41.7,201,46.9,9105,45927,22922,418,326,122,476,262,11611,1057,28,55.8,34.0,23319,2172,6856,12047,4560,704,23314,554,245,44.2,266,48.0,12880,63001,31468,484,352,117,554,271,15848,1374,2024-2025 Bundesliga
Stuttgart,29,57.2,34.0,23545,2241,6719,11421,5572,945,23539,566,264,46.6,272,48.1,13416,68876,32190,545,434,170,499,312,16334,1478,29,42.8,34.0,18607,2476,6977,7887,3903,669,18604,515,222,43.1,254,49.3,9866,48935,22980,443,320,128,464,223,11303,1014,2024-2025 Bundesliga
Union Berlin,28,40.0,34.0,17834,2167,6285,7721,3997,688,17831,420,172,41.0,214,51.0,8875,42427,20269,390,252,107,472,286,9874,1032,28,60.0,34.0,24274,2285,6987,12081,5341,764,24268,553,237,42.9,270,48.8,13550,66402,33786,595,435,123,486,267,16348,1484,2024-2025 Bundesliga
Werder Bremen,23,50.0,34.0,21493,2477,7701,9226,4721,818,21488,477,195,40.9,240,50.3,12439,58079,27735,495,347,126,493,256,13899,1343,23,50.1,34.0,21849,2259,6824,10158,5066,781,21846,563,245,43.5,276,49.0,11625,56447,27051,540,396,157,499,275,14179,1323,2024-2025 Bundesliga
Wolfsburg,27,46.1,34.0,19121,2295,6603,8190,4491,725,19116,514,209,40.7,268,52.1,10180,49144,23417,489,338,131,504,215,11456,1196,27,53.9,34.0,21657,2121,6793,9608,5447,789,21654,580,294,50.7,246,42.4,11549,57655,29055,549,414,145,493,245,14111,1340,2024-2025 Bundesliga
Alavés,29,45.3,38.0,19070,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,45578,22946,449,346,90,598,307,10419,1148,29,54.7,38.0,22689,2367,7584,10446,4876,659,22678,810,378,46.7,348,43.0,11958,63721,33531,573,440,137,645,389,14127,1309,2024-2025
Athletic Club,31,48.4,38.0,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,682,444,188,597,401,13522,1561,31,51.6,38.0,23225,2765,9110,10141,4156,588,23220,633,283,44.7,296,46.8,12464,60243,29674,468,345,111,608,281,14809,1168,2024-2025
Atlético Madrid,24,52.6,38.0,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,760,579,167,541,275,17707,1553,24,47.4,38.0,23851,2405,6916,11439,5686,619,23846,694,308,44.4,319,46.0,13506,67569,34768,581,479,100,577,300,16092,1533,2024-2025
Barcelona,28,68.3,38.0,29805,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,92092,49435,860,667,238,579,316,22187,2201,28,31.7,38.0,16221,2896,7293,6081,3011,566,16217,572,249,43.5,271,47.4,7646,39978,19702,406,246,147,545,267,8434,769,2024-2025
Betis,36,52.4,38.0,23872,2253,7466,10545,6088,921,23862,722,312,43.2,344,47.6,13910,69976,36269,679,532,228,676,378,15627,1468,36,47.6,38.0,22048,2459,7355,9895,5002,750,22044,702,302,43.0,342,48.7,11838,60140,30507,611,421,165,564,303,13770,1394,2024-2025
Celta Vigo,30,53.6,38.0,25123,2232,7618,12133,5574,831,25114,628,254,40.4,312,49.7,15010,75647,39392,709,500,218,558,296,17691,1649,30,46.4,38.0,22435,2437,7311,10538,4807,676,22431,638,290,45.5,286,44.8,12857,65278,31170,564,463,144,527,269,14814,1209,2024-2025
