Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Tackles Tkl_for,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Att_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 16_level_0 Tkl+Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Tackles Tkl_against,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Att_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 16_level_0 Tkl+Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,Season
Como,38,38.0,663,412,301,260,102,303,591,51.3,288,348,91,257,279,942,788,19,38,38.0,648,385,260,287,101,288,552,52.2,264,453,139,314,325,973,757,28,2024-2025 Serie A
Empoli,34,38.0,689,396,314,293,82,309,543,56.9,234,396,136,260,323,1012,1072,21,34,38.0,587,373,271,250,66,238,450,52.9,212,355,110,245,255,842,918,17,2024-2025 Serie A
Fiorentina,34,38.0,531,311,267,195,69,248,488,50.8,240,353,123,230,269,800,911,17,34,38.0,560,306,260,222,78,254,524,48.5,270,349,111,238,233,793,770,27,2024-2025 Serie A
Genoa,37,38.0,672,385,281,287,104,283,566,50.0,283,422,126,296,308,980,938,15,37,38.0,549,326,230,255,64,260,447,58.2,187,367,98,269,284,833,854,22,2024-2025 Serie A
Hellas Verona,32,38.0,672,434,326,271,75,311,592,52.5,281,393,123,270,329,1001,987,23,32,38.0,487,263,242,179,66,233,461,50.5,228,337,101,236,221,708,734,18,2024-2025 Serie A
Inter,26,38.0,505,278,215,198,92,239,452,52.9,213,356,126,230,223,728,676,11,26,38.0,441,263,193,184,64,199,357,55.7,158,392,144,248,253,694,887,19,2024-2025 Serie A
Juventus,29,38.0,606,353,273,245,88,263,471,55.8,208,404,139,265,215,821,723,27,29,38.0,593,359,265,239,89,300,609,49.3,309,383,144,239,298,891,797,21,2024-2025 Serie A
Lazio,27,38.0,520,319,234,224,62,251,501,50.1,250,313,90,223,295,815,718,23,27,38.0,576,332,263,225,88,266,562,47.3,296,356,134,222,272,848,985,24,2024-2025 Serie A
Lecce,31,38.0,627,372,315,250,62,301,584,51.5,283,407,144,263,285,912,1042,26,31,38.0,538,327,226,229,83,248,485,51.1,237,375,106,269,292,830,807,23,2024-2025 Serie A
Milan,35,38.0,552,349,249,222,81,246,480,51.3,234,292,95,197,234,786,691,21,35,38.0,597,339,309,224,64,309,652,47.4,343,364,160,204,291,888,803,23,2024-2025 Serie A
Monza,36,38.0,562,315,304,202,56,272,501,54.3,229,382,157,225,305,867,874,38,36,38.0,561,336,206,257,98,227,447,50.8,220,312,77,235,225,786,768,11,2024-2025 Serie A
Napoli,27,38.0,535,323,237,238,60,258,469,55.0,211,317,100,217,270,805,813,11,27,38.0,612,366,300,238,74,286,530,54.0,244,446,160,286,330,942,845,26,2024-2025 Serie A
Parma,32,38.0,523,293,267,201,55,242,484,50.0,242,434,153,281,279,802,977,21,32,38.0,573,354,293,216,64,276,525,52.6,249,330,112,218,279,852,739,13,2024-2025 Serie A
Roma,28,38.0,551,328,233,236,82,224,439,51.0,215,329,110,219,282,833,746,16,28,38.0,549,328,278,202,69,266,476,55.9,210,398,150,248,261,810,838,19,2024-2025 Serie A
Torino,31,38.0,468,261,217,181,70,232,437,53.1,205,338,133,205,278,746,882,21,31,38.0,508,293,219,218,71,236,405,58.3,169,334,115,219,289,797,887,22,2024-2025 Serie A
Udinese,31,38.0,562,346,276,217,69,279,508,54.9,229,396,139,257,302,864,909,27,31,38.0,589,350,275,238,76,294,575,51.1,281,326,109,217,270,859,887,15,2024-2025 Serie A
Venezia,36,38.0,605,361,319,202,84,286,572,50.0,286,439,145,294,279,884,921,25,36,38.0,688,420,284,296,108,290,538,53.9,248,361,104,257,304,992,823,22,2024-2025 Serie A
Angers,30,34.0,624,392,340,202,82,294,607,48.4,313,365,116,249,336,960,903,20,30,34.0,628,389,241,275,112,331,580,57.1,249,315,87,228,251,879,674,22,2024-2025 Ligue 1
Auxerre,29,34.0,657,403,330,232,95,316,606,52.1,290,394,125,269,350,1007,944,17,29,34.0,670,414,293,257,120,324,582,55.7,258,355,91,264,279,949,702,17,2024-2025 Ligue 1
Brest,30,34.0,656,426,291,255,110,308,583,52.8,275,363,105,258,316,972,869,14,30,34.0,491,294,223,204,64,245,454,54.0,209,347,88,259,300,791,808,22,2024-2025 Ligue 1
Le Havre,31,34.0,621,387,326,212,83,304,562,54.1,258,362,131,231,324,945,987,24,31,34.0,547,314,213,239,95,236,469,50.3,233,301,83,218,249,796,788,20,2024-2025 Ligue 1
Lens,33,34.0,606,365,264,233,109,299,579,51.6,280,387,101,286,321,927,705,19,33,34.0,638,361,296,247,95,297,546,54.4,249,443,144,299,361,999,942,17,2024-2025 Ligue 1
Lille,27,34.0,626,356,241,273,112,311,554,56.1,243,302,74,228,271,897,637,22,27,34.0,588,364,300,229,59,288,571,50.4,283,388,113,275,374,962,777,25,2024-2025 Ligue 1
Lyon,31,34.0,576,340,257,230,89,310,595,52.1,285,346,113,233,282,858,695,25,31,34.0,558,345,303,181,74,277,515,53.8,238,429,115,314,319,877,864,10,2024-2025 Ligue 1
Marseille,32,34.0,552,358,244,229,79,274,472,58.1,198,272,70,202,280,832,523,31,32,34.0,613,372,270,245,98,300,578,51.9,278,404,128,276,335,948,784,27,2024-2025 Ligue 1
Monaco,28,34.0,670,429,281,287,102,339,624,54.3,285,350,70,280,357,1027,667,18,28,34.0,641,389,306,257,78,300,566,53.0,266,391,130,261,368,1009,892,30,2024-2025 Ligue 1
Montpellier,35,34.0,631,389,302,264,65,310,608,51.0,298,368,123,245,273,904,733,25,35,34.0,598,366,263,230,105,302,564,53.5,262,326,103,223,280,878,858,21,2024-2025 Ligue 1
Nantes,30,34.0,645,376,338,224,83,321,565,56.8,244,402,116,286,283,928,1007,10,30,34.0,564,350,299,191,74,278,505,55.0,227,316,92,224,221,785,857,18,2024-2025 Ligue 1
Nice,31,34.0,633,399,297,242,94,297,534,55.6,237,417,127,290,365,998,784,32,31,34.0,661,449,285,288,88,346,641,54.0,295,390,121,269,312,973,774,19,2024-2025 Ligue 1
Paris S-G,28,34.0,619,386,242,266,111,325,607,53.5,282,360,103,257,265,884,493,19,28,34.0,722,454,419,233,70,393,757,51.9,364,420,142,278,338,1060,740,28,2024-2025 Ligue 1
Reims,34,34.0,558,359,313,174,71,285,551,51.7,266,392,145,247,289,847,958,20,34,34.0,616,371,283,233,100,312,591,52.8,279,332,122,210,270,886,823,9,2024-2025 Ligue 1
Rennes,35,34.0,596,363,282,234,80,296,510,58.0,214,350,96,254,337,933,739,14,35,34.0,671,411,333,241,97,327,597,54.8,270,376,111,265,356,1027,774,18,2024-2025 Ligue 1
Saint-Étienne,32,34.0,581,382,291,216,74,296,594,49.8,298,404,135,269,328,909,854,26,32,34.0,603,402,302,199,102,294,533,55.2,239,340,104,236,317,920,634,15,2024-2025 Ligue 1
Strasbourg,30,34.0,537,335,256,213,68,257,459,56.0,202,376,111,265,282,819,899,17,30,34.0,567,366,247,217,103,304,586,51.9,282,324,90,234,312,879,612,25,2024-2025 Ligue 1
Toulouse,27,34.0,605,364,264,253,88,318,608,52.3,290,341,103,238,281,886,775,15,27,34.0,617,398,283,273,61,306,583,52.5,277,354,100,254,298,915,869,25,2024-2025 Ligue 1
Augsburg,29,34.0,464,300,198,202,64,233,430,54.2,197,417,121,296,341,805,971,16,29,34.0,577,357,254,250,73,280,508,55.1,228,418,97,321,270,847,857,17,2024-2025 Bundesliga
Bayern Munich,29,34.0,506,300,166,233,107,250,450,55.6,200,318,52,266,232,738,518,23,29,34.0,618,353,335,210,73,354,737,48.0,383,473,163,310,404,1022,942,30,2024-2025 Bundesliga
Bochum,27,34.0,600,360,318,207,75,306,572,53.5,266,475,142,333,294,894,906,23,27,34.0,474,308,211,203,60,239,406,58.9,167,430,125,305,300,774,1068,17,2024-2025 Bundesliga
Dortmund,28,34.0,523,319,232,196,95,261,492,53.0,231,375,100,275,249,772,726,18,28,34.0,641,374,348,235,58,334,675,49.5,341,429,146,283,312,953,908,25,2024-2025 Bundesliga
Eint Frankfurt,26,34.0,566,341,267,219,80,280,508,55.1,228,425,128,297,287,853,994,26,26,34.0,534,323,268,185,81,272,565,48.1,293,408,125,283,264,798,793,27,2024-2025 Bundesliga
Freiburg,26,34.0,511,317,225,222,64,235,457,51.4,222,400,112,288,276,787,811,21,26,34.0,496,298,205,211,80,237,452,52.4,215,397,122,275,260,756,916,18,2024-2025 Bundesliga
Gladbach,26,34.0,504,284,278,177,49,240,473,50.7,233,445,166,279,317,821,1067,23,26,34.0,500,303,203,222,75,231,437,52.9,206,436,112,324,302,802,787,25,2024-2025 Bundesliga
Heidenheim,27,34.0,614,356,322,235,57,294,558,52.7,264,435,109,326,312,926,952,15,27,34.0,490,303,189,231,70,250,482,51.9,232,397,99,298,243,733,813,19,2024-2025 Bundesliga
Hoffenheim,35,34.0,570,336,266,236,68,269,511,52.6,242,450,139,311,291,861,922,22,35,34.0,531,321,230,232,69,238,472,50.4,234,405,115,290,273,804,1051,13,2024-2025 Bundesliga
Holstein Kiel,27,34.0,541,328,292,174,75,277,530,52.3,253,409,155,254,294,835,1126,22,27,34.0,442,258,154,180,108,200,384,52.1,184,359,90,269,237,679,753,23,2024-2025 Bundesliga
Leverkusen,23,34.0,395,259,153,163,79,184,357,51.5,173,302,77,225,234,629,676,26,23,34.0,546,313,310,183,53,293,547,53.6,254,417,145,272,352,898,933,18,2024-2025 Bundesliga
Mainz 05,25,34.0,564,325,234,247,83,236,448,52.7,212,419,128,291,352,916,947,22,25,34.0,547,349,263,212,72,252,466,54.1,214,435,119,316,303,850,1046,23,2024-2025 Bundesliga
RB Leipzig,29,34.0,543,333,248,222,73,258,525,49.1,267,500,156,344,268,811,990,29,29,34.0,572,329,249,241,82,260,521,49.9,261,443,111,332,298,870,869,21,2024-2025 Bundesliga
St. Pauli,28,34.0,537,315,256,217,64,266,511,52.1,245,391,87,304,257,794,915,21,28,34.0,463,275,214,196,53,201,380,52.9,179,380,125,255,244,707,908,28,2024-2025 Bundesliga
Stuttgart,29,34.0,477,282,197,199,81,254,476,53.4,222,401,104,297,298,775,777,20,29,34.0,584,347,298,231,55,272,536,50.7,264,379,125,254,303,887,887,14,2024-2025 Bundesliga
Union Berlin,28,34.0,537,318,266,223,48,270,507,53.3,237,409,110,299,312,849,1046,13,28,34.0,500,289,230,200,70,214,386,55.4,172,394,104,290,250,750,940,21,2024-2025 Bundesliga
Werder Bremen,23,34.0,551,321,245,240,66,276,521,53.0,245,454,144,310,315,866,851,27,23,34.0,496,306,218,202,76,240,435,55.2,195,440,122,318,317,813,873,18,2024-2025 Bundesliga
Wolfsburg,27,34.0,491,301,257,175,59,246,540,45.6,294,435,133,302,312,803,977,19,27,34.0,483,289,241,163,79,268,477,56.2,209,420,118,302,309,792,828,29,2024-2025 Bundesliga
Alavés,29,38.0,737,459,346,307,84,348,726,47.9,378,382,96,286,309,1046,918,10,29,38.0,552,328,258,224,70,245,430,57.0,185,380,89,291,287,839,1123,16,2024-2025
Athletic Club,31,38.0,577,345,240,252,85,296,579,51.1,283,353,72,281,344,921,911,25,31,38.0,789,471,428,289,72,388,716,54.2,328,348,112,236,361,1150,951,24,2024-2025
Atlético Madrid,24,38.0,619,375,305,238,76,319,627,50.9,308,358,97,261,260,879,818,25,24,38.0,579,365,276,206,97,305,581,52.5,276,437,110,327,369,948,969,35,2024-2025
Barcelona,28,38.0,538,332,186,245,107,271,520,52.1,249,329,60,269,227,765,601,14,28,38.0,691,405,378,245,68,375,830,45.2,455,497,175,322,381,1072,1016,38,2024-2025
Betis,36,38.0,645,397,271,273,101,342,644,53.1,302,406,113,293,356,1001,910,19,36,38.0,722,459,362,285,75,344,656,52.4,312,458,132,326,332,1054,866,19,2024-2025
Celta Vigo,30,38.0,555,340,258,217,80,286,576,49.7,290,345,91,254,282,837,828,30,30,38.0,608,382,307,234,67,312,566,55.1,254,454,122,332,390,998,740,17,2024-2025
Espanyol,27,38.0,640,397,380,210,50,310,610,50.8,300,435,155,280,315,955,1131,21,27,38.0,507,309,234,209,64,266,487,54.6,221,346,97,249,292,799,773,20,2024-2025
Getafe,30,38.0,645,393,287,278,80,333,665,50.1,332,411,84,327,276,921,1065,15,30,38.0,669,391,357,248,64,312,577,54.1,265,351,127,224,282,951,1230,22,2024-2025
Girona,30,38.0,569,348,268,219,82,292,557,52.4,265,327,104,223,279,848,722,34,30,38.0,588,348,291,199,98,276,567,48.7,291,381,108,273,277,865,911,15,2024-2025
Las Palmas,34,38.0,619,370,308,253,58,307,592,51.9,285,434,139,295,321,940,971,28,34,38.0,563,360,253,230,80,288,527,54.6,239,353,100,253,307,870,974,19,2024-2025
Leganés,26,38.0,633,384,301,250,82,295,599,49.2,304,436,157,279,332,965,1201,18,26,38.0,577,351,247,253,77,263,565,46.5,302,291,80,211,279,856,768,20,2024-2025
Mallorca,28,38.0,584,361,305,211,68,257,500,51.4,243,389,153,236,326,910,1161,17,28,38.0,637,402,269,287,81,260,515,50.5,255,338,87,251,272,909,947,16,2024-2025
Osasuna,25,38.0,614,365,296,239,79,311,618,50.3,307,388,102,286,266,880,918,16,25,38.0,572,385,297,206,69,279,539,51.8,260,377,104,273,250,822,981,18,2024-2025
Rayo Vallecano,26,38.0,626,396,328,218,80,309,664,46.5,355,443,128,315,334,960,973,22,26,38.0,631,398,284,263,84,304,590,51.5,286,465,128,337,314,945,1004,24,2024-2025
Real Madrid,30,38.0,586,359,294,209,83,264,486,54.3,222,353,105,248,331,917,633,19,30,38.0,674,408,401,183,90,384,796,48.2,412,454,171,283,333,1007,824,24,2024-2025
Real Sociedad,31,38.0,649,401,309,244,96,308,579,53.2,271,428,120,308,283,932,913,21,31,38.0,604,377,306,219,79,307,602,51.0,295,401,99,302,292,896,1003,14,2024-2025
Sevilla,35,38.0,648,390,321,240,87,312,563,55.4,251,368,88,280,367,1015,931,17,35,38.0,651,375,306,260,85,320,659,48.6,339,385,110,275,283,934,890,22,2024-2025
Valencia,32,38.0,647,415,340,228,79,321,573,56.0,252,366,96,270,302,949,953,19,32,38.0,661,388,292,291,78,321,557,57.6,236,409,96,313,293,954,902,19,2024-2025
Valladolid,38,38.0,596,357,342,204,50,276,566,48.8,290,450,160,290,311,907,944,29,38,38.0,534,329,189,251,94,266,555,47.9,289,303,84,219,211,745,731,16,2024-2025
Villarreal,31,38.0,649,396,333,236,80,336,628,53.5,292,426,131,295,281,930,922,21,31,38.0,567,349,283,189,95,278,557,49.9,279,399,120,279,297,864,821,22,2024-2025
Alavés,30,38.0,578,347,284,227,67,290,629,46.1,339,363,117,246,279,857,810,5,30,38.0,553,340,279,216,58,254,564,45.0,310,393,115,278,233,786,802,14,2023-2024
Almería,35,38.0,633,372,354,222,57,280,582,48.1,302,430,134,296,313,946,856,19,35,38.0,583,364,249,236,98,314,613,51.2,299,357,103,254,280,863,676,15,2023-2024
Athletic Club,27,38.0,581,362,217,264,100,305,635,48.0,330,419,106,313,278,859,631,4,27,38.0,715,428,371,284,60,349,687,50.8,338,411,119,292,370,1085,843,27,2023-2024
Atlético Madrid,27,38.0,654,399,308,263,83,327,671,48.7,344,460,114,346,256,910,793,8,27,38.0,530,318,257,182,91,227,524,43.3,297,407,104,303,298,828,735,17,2023-2024
Barcelona,29,38.0,571,363,271,223,77,243,523,46.5,280,363,97,266,257,828,573,17,29,38.0,643,392,333,227,83,338,722,46.8,384,450,159,291,318,961,770,10,2023-2024
Betis,35,38.0,692,440,305,300,87,358,683,52.4,325,422,101,321,345,1037,801,9,35,38.0,756,464,337,343,76,329,715,46.0,386,484,144,340,314,1070,693,13,2023-2024
Cádiz,34,38.0,671,398,338,264,69,341,728,46.8,387,443,123,320,298,969,786,13,34,38.0,606,370,281,253,72,263,493,53.3,230,341,89,252,243,849,795,7,2023-2024
Celta Vigo,31,38.0,627,382,302,243,82,308,662,46.5,354,434,116,318,297,924,832,9,31,38.0,627,382,309,254,64,291,586,49.7,295,444,125,319,335,962,721,8,2023-2024
Getafe,33,38.0,608,364,269,251,88,291,577,50.4,286,342,103,239,307,915,730,6,33,38.0,540,348,267,228,45,260,499,52.1,239,382,113,269,261,801,855,17,2023-2024
Girona,25,38.0,544,340,264,222,58,274,521,52.6,247,378,124,254,257,801,661,21,25,38.0,673,423,315,235,123,297,650,45.7,353,374,104,270,301,974,630,10,2023-2024
Granada,40,38.0,637,374,336,237,64,289,623,46.4,334,404,110,294,280,917,779,26,40,38.0,601,344,270,262,69,296,599,49.4,303,390,106,284,290,891,729,11,2023-2024
Las Palmas,29,38.0,662,397,328,263,71,305,633,48.2,328,416,98,318,281,943,761,14,29,38.0,673,415,301,301,71,308,624,49.4,316,426,99,327,335,1008,656,7,2023-2024
Mallorca,25,38.0,686,388,347,281,58,340,657,51.8,317,369,131,238,365,1051,785,10,25,38.0,532,318,237,231,64,219,470,46.6,251,375,108,267,295,827,814,10,2023-2024
Osasuna,29,38.0,525,311,247,201,77,243,517,47.0,274,400,108,292,263,788,756,16,29,38.0,530,339,286,187,57,247,484,51.0,237,411,101,310,291,821,903,9,2023-2024
Rayo Vallecano,26,38.0,630,372,279,282,69,270,608,44.4,338,410,105,305,308,938,796,12,26,38.0,679,408,314,284,81,306,589,52.0,283,388,119,269,285,964,759,17,2023-2024
Real Madrid,27,38.0,557,368,252,214,91,225,461,48.8,236,401,104,297,296,853,552,14,27,38.0,705,389,393,221,91,393,794,49.5,401,402,146,256,296,1001,689,16,2023-2024
Real Sociedad,31,38.0,650,405,271,285,94,283,552,51.3,269,405,118,287,253,903,693,15,31,38.0,635,368,305,268,62,284,605,46.9,321,402,112,290,278,913,803,9,2023-2024
Sevilla,35,38.0,697,463,380,237,80,335,626,53.5,291,395,123,272,313,1010,772,9,35,38.0,558,347,247,240,71,278,570,48.8,292,367,88,279,236,794,895,10,2023-2024
Valencia,29,38.0,657,379,335,250,72,309,618,50.0,309,392,105,287,324,981,842,9,29,38.0,612,379,293,231,88,294,570,51.6,276,406,87,319,269,881,646,10,2023-2024
Villarreal,32,38.0,576,348,288,212,76,260,532,48.9,272,386,130,256,304,880,789,12,32,38.0,685,436,331,258,96,329,680,48.4,351,422,126,296,346,1031,584,11,2023-2024
Almería,29,38.0,557,322,292,202,63,280,623,44.9,343,435,122,313,322,879,855,13,29,38.0,591,369,274,233,84,310,606,51.2,296,373,108,265,249,840,553,14,2022-2023
Athletic Club,26,38.0,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14,26,38.0,656,416,374,212,70,305,652,46.8,347,449,147,302,384,1040,839,17,2022-2023
Atlético Madrid,27,38.0,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9,27,38.0,539,317,271,181,87,262,584,44.9,322,445,134,311,368,907,663,14,2022-2023
Barcelona,29,38.0,522,324,211,216,95,227,498,45.6,271,353,82,271,253,775,439,17,29,38.0,647,385,332,250,65,321,717,44.8,396,423,139,284,369,1016,746,17,2022-2023
Betis,30,38.0,665,421,373,238,54,338,701,48.2,363,411,112,299,364,1029,857,7,30,38.0,664,417,303,268,93,311,676,46.0,365,437,95,342,324,988,584,9,2022-2023
Cádiz,38,38.0,623,410,358,205,60,320,671,47.7,351,425,128,297,270,893,853,13,38,38.0,603,374,255,249,99,249,495,50.3,246,347,87,260,242,845,727,10,2022-2023
Celta Vigo,26,38.0,664,413,319,269,76,295,676,43.6,381,393,84,309,368,1032,666,5,26,38.0,593,356,314,204,75,295,618,47.7,323,369,121,248,394,987,681,9,2022-2023
Elche,32,38.0,633,363,367,212,54,280,603,46.4,323,413,131,282,323,956,766,13,32,38.0,656,402,293,265,98,311,653,47.6,342,418,97,321,288,944,698,9,2022-2023
Espanyol,33,38.0,652,379,330,239,83,301,600,50.2,299,416,134,282,338,990,788,9,33,38.0,505,326,239,220,46,260,517,50.3,257,328,100,228,238,743,822,10,2022-2023
Getafe,25,38.0,541,339,282,199,60,285,619,46.0,334,404,113,291,320,861,794,10,25,38.0,457,290,211,190,56,189,406,46.6,217,378,95,283,300,757,723,14,2022-2023
Girona,29,38.0,551,321,271,213,67,244,532,45.9,288,379,111,268,266,817,662,20,29,38.0,641,415,289,265,87,311,652,47.7,341,359,78,281,304,945,659,10,2022-2023
Mallorca,31,38.0,583,344,318,213,52,283,581,48.7,298,402,146,256,318,901,859,7,31,38.0,500,296,202,217,81,198,491,40.3,293,333,82,251,231,731,621,8,2022-2023
Osasuna,26,38.0,534,328,256,196,82,266,588,45.2,322,392,97,295,315,849,749,10,26,38.0,563,332,318,195,50,247,560,44.1,313,381,93,288,311,874,797,7,2022-2023
Rayo Vallecano,28,38.0,636,393,262,276,98,281,664,42.3,383,428,92,336,309,945,680,11,28,38.0,664,391,317,278,69,290,586,49.5,296,416,133,283,345,1009,810,10,2022-2023
Real Madrid,26,38.0,542,353,242,212,88,259,565,45.8,306,365,105,260,296,838,469,5,26,38.0,676,407,377,218,81,379,854,44.4,475,492,175,317,331,1007,678,8,2022-2023
Real Sociedad,30,38.0,660,395,304,254,102,285,613,46.5,328,399,103,296,271,931,624,13,30,38.0,661,403,341,237,83,293,600,48.8,307,402,110,292,325,986,613,15,2022-2023
Sevilla,35,38.0,587,367,261,230,96,281,591,47.5,310,361,127,234,339,926,633,9,35,38.0,569,353,273,206,90,257,526,48.9,269,358,96,262,271,840,769,13,2022-2023
Valencia,28,38.0,678,428,340,254,84,311,645,48.2,334,370,75,295,288,966,643,21,28,38.0,645,382,354,219,72,307,659,46.6,352,418,133,285,294,939,834,15,2022-2023
Valladolid,36,38.0,671,396,334,251,86,296,628,47.1,332,432,149,283,345,1016,767,8,36,38.0,634,389,309,232,93,318,627,50.7,309,409,97,312,264,898,662,5,2022-2023
