Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Unnamed: 3_level_0 Att_for,Pass Types Live_for,Pass Types Dead_for,Pass Types FK_for,Pass Types TB_for,Pass Types Sw_for,Pass Types Crs_for,Pass Types TI_for,Pass Types CK_for,Corner Kicks In_for,Corner Kicks Out_for,Corner Kicks Str_for,Outcomes Cmp_for,Outcomes Off_for,Outcomes Blocks_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Unnamed: 3_level_0 Att_against,Pass Types Live_against,Pass Types Dead_against,Pass Types FK_against,Pass Types TB_against,Pass Types Sw_against,Pass Types Crs_against,Pass Types TI_against,Pass Types CK_against,Corner Kicks In_against,Corner Kicks Out_against,Corner Kicks Str_against,Outcomes Cmp_against,Outcomes Off_against,Outcomes Blocks_against,Season
Leicester City,32,38.0,17486,15728,1695,449,52,47,621,664,139,86,29,4,13945,63,319,32,38.0,21079,19351,1667,453,60,133,751,686,230,130,48,1,17576,61,363,2024-2025 Premier League
Liverpool,24,38.0,21758,19998,1700,448,69,128,729,682,252,145,72,1,18303,60,330,24,38.0,15957,14217,1644,465,66,73,500,569,139,81,21,5,12622,96,312,2024-2025 Premier League
Manchester City,30,38.0,24443,22822,1576,449,86,90,659,603,253,127,37,4,21531,45,341,30,38.0,15459,14002,1372,323,67,92,455,521,123,80,19,8,12668,85,273,2024-2025 Premier League
Manchester Utd,31,38.0,20415,18750,1596,414,94,107,630,646,197,96,45,11,16837,69,355,31,38.0,17770,16138,1575,451,61,73,598,605,180,114,29,4,14277,57,323,2024-2025 Premier League
Newcastle Utd,24,38.0,18898,17088,1739,482,78,94,705,704,217,118,27,17,15416,71,351,24,38.0,17858,16153,1662,449,71,73,651,595,202,100,51,1,14333,43,344,2024-2025 Premier League
Nott'ham Forest,23,38.0,14366,12658,1617,436,59,62,621,615,159,71,76,0,10822,91,282,23,38.0,20627,18867,1724,473,45,87,886,653,241,156,48,1,16965,36,328,2024-2025 Premier League
Southampton,36,38.0,18561,16979,1533,468,43,60,548,493,152,102,33,0,15530,49,272,36,38.0,19683,18108,1526,474,73,70,758,570,242,151,40,4,16575,49,287,2024-2025 Premier League
Tottenham,31,38.0,19960,18013,1884,561,54,70,752,705,243,108,66,0,16513,63,437,31,38.0,16529,14781,1661,490,63,100,697,593,206,121,47,2,13104,87,350,2024-2025 Premier League
West Ham,27,38.0,18363,16678,1612,437,53,133,613,612,152,82,57,1,14820,73,343,27,38.0,19489,17708,1726,494,79,79,811,701,208,108,44,7,15814,55,324,2024-2025 Premier League
Wolves,32,38.0,17884,16133,1689,495,55,122,568,696,147,98,31,3,14472,62,328,32,38.0,19341,17527,1738,510,62,78,714,659,217,133,43,0,15875,76,353,2024-2025 Premier League
Atalanta,32,38.0,20998,19273,1671,455,48,117,778,714,194,85,75,1,17454,54,326,32,38.0,16956,15197,1709,474,63,51,458,664,124,59,39,1,13516,50,298,2024-2025 Serie A
Bologna,30,38.0,19336,17378,1895,663,42,138,756,771,191,57,93,0,15681,63,307,30,38.0,14028,12108,1869,578,41,56,421,755,121,45,50,1,10464,51,336,2024-2025 Serie A
Cagliari,28,38.0,15802,13897,1840,481,25,60,758,749,181,38,135,0,12092,65,334,28,38.0,19649,17808,1769,540,62,71,692,690,190,74,85,1,16100,72,261,2024-2025 Serie A
Como,38,38.0,19183,17335,1783,597,52,93,568,726,167,41,70,0,15917,65,358,38,38.0,16090,14221,1795,532,40,132,571,730,146,65,63,1,12785,74,293,2024-2025 Serie A
Empoli,34,38.0,13916,11976,1883,502,34,71,620,786,170,63,60,1,10093,57,312,34,38.0,19935,17913,1983,601,48,93,714,848,194,80,84,1,16105,39,317,2024-2025 Serie A
Fiorentina,34,38.0,17510,15677,1745,600,27,99,581,626,148,66,40,1,14193,88,283,34,38.0,17215,15466,1706,508,33,91,616,680,157,72,54,0,13849,43,276,2024-2025 Serie A
Genoa,37,38.0,15727,13887,1785,514,42,57,663,716,155,58,83,0,12025,55,330,37,38.0,18823,16947,1817,527,38,83,682,766,202,71,73,0,15111,59,346,2024-2025 Serie A
Hellas Verona,32,38.0,13457,11789,1613,403,28,91,562,641,152,68,64,1,9854,55,283,32,38.0,21566,19534,1984,604,48,93,687,814,201,79,91,0,17933,48,311,2024-2025 Serie A
Inter,26,38.0,22592,20929,1573,442,86,132,728,635,221,58,125,1,19412,90,299,26,38.0,15118,13487,1593,492,25,105,574,536,140,57,55,0,12179,38,278,2024-2025 Serie A
Juventus,29,38.0,21231,19605,1574,411,48,101,630,664,190,92,68,0,18259,52,283,29,38.0,15648,13854,1755,505,28,83,679,677,172,89,57,2,12602,39,315,2024-2025 Serie A
Lazio,27,38.0,19521,17715,1760,522,72,118,864,670,229,123,57,0,16400,46,288,27,38.0,16062,14421,1607,449,30,94,655,606,168,74,68,0,13007,34,291,2024-2025 Serie A
Lecce,31,38.0,15087,13201,1834,507,36,84,628,754,165,64,78,0,11490,52,301,31,38.0,19450,17577,1792,486,51,103,775,732,229,87,69,0,15740,81,329,2024-2025 Serie A
Milan,35,38.0,19101,17400,1641,524,90,85,634,544,217,134,18,0,16335,60,248,35,38.0,16519,14811,1613,453,60,122,590,588,159,64,60,0,13716,95,232,2024-2025 Serie A
Monza,36,38.0,17515,15688,1773,575,30,78,656,623,136,41,75,0,14248,54,296,36,38.0,18811,17102,1668,541,47,89,680,650,195,82,84,1,15588,41,281,2024-2025 Serie A
Napoli,27,38.0,20033,18236,1742,487,48,88,681,721,209,137,43,2,16894,55,340,27,38.0,16831,15220,1572,446,26,103,577,593,148,52,65,1,13635,39,255,2024-2025 Serie A
Parma,32,38.0,15805,14017,1757,568,43,75,427,602,168,55,33,1,12509,31,247,32,38.0,19940,18184,1637,412,57,117,856,661,223,82,82,2,16404,119,345,2024-2025 Serie A
Roma,28,38.0,20265,18489,1717,525,50,93,636,687,170,74,65,2,17016,59,287,28,38.0,17333,15720,1566,443,38,75,617,599,152,66,58,0,14165,47,259,2024-2025 Serie A
Torino,31,38.0,17008,15278,1673,443,26,83,675,676,158,95,51,0,13578,57,274,31,38.0,18718,16969,1699,519,53,100,767,678,194,80,66,0,15347,50,269,2024-2025 Serie A
Udinese,31,38.0,16279,14543,1686,465,25,92,679,683,178,64,73,2,12945,50,269,31,38.0,18221,16283,1854,569,53,86,677,730,203,89,68,0,14788,84,320,2024-2025 Serie A
Venezia,36,38.0,15155,13224,1873,526,35,87,529,769,142,60,46,0,11573,58,301,36,38.0,18608,16715,1830,531,46,95,765,760,223,106,81,1,14934,63,354,2024-2025 Serie A
Angers,30,34.0,14057,12474,1514,422,53,69,575,594,129,52,54,4,11082,69,256,30,34.0,20419,18893,1500,434,52,113,719,641,160,76,66,0,17341,26,298,2024-2025 Ligue 1
Auxerre,29,34.0,14162,12617,1497,451,34,168,542,584,134,49,65,0,11002,48,287,29,34.0,19181,17456,1642,423,104,89,660,704,202,92,87,1,15891,83,305,2024-2025 Ligue 1
Brest,30,34.0,16021,14404,1575,485,41,133,641,614,142,71,62,0,12678,42,292,30,34.0,17260,15604,1597,453,56,109,639,638,167,74,71,1,14071,59,313,2024-2025 Ligue 1
Le Havre,31,34.0,14115,12577,1488,442,24,82,695,572,131,89,31,0,11125,50,274,31,34.0,18901,17311,1546,413,59,84,687,645,186,84,75,1,15963,44,285,2024-2025 Ligue 1
Lens,33,34.0,18173,16605,1484,396,59,78,706,628,186,87,71,0,14837,84,346,33,34.0,15716,14079,1605,554,37,51,473,602,127,52,36,0,12550,32,307,2024-2025 Ligue 1
Lille,27,34.0,19728,18220,1460,415,42,101,535,602,168,50,70,1,16765,48,308,27,34.0,14644,13118,1471,443,37,97,482,584,142,66,51,0,11769,55,256,2024-2025 Ligue 1
Lyon,31,34.0,19063,17487,1505,416,61,112,598,606,185,79,75,0,16061,71,353,31,34.0,14734,13176,1504,455,57,106,549,566,159,73,63,0,11925,54,265,2024-2025 Ligue 1
Marseille,32,34.0,23240,21718,1469,454,58,75,609,578,177,80,69,0,20427,53,328,32,34.0,13334,11915,1327,423,62,77,385,450,106,45,39,0,10643,92,216,2024-2025 Ligue 1
Monaco,28,34.0,17916,16257,1590,494,88,88,563,622,184,87,70,0,14561,69,288,28,34.0,14908,13223,1636,517,45,121,498,619,118,63,34,0,11573,49,315,2024-2025 Ligue 1
Montpellier,35,34.0,14420,12786,1569,460,45,109,646,575,155,55,75,0,11442,65,276,35,34.0,17484,15960,1486,459,49,66,564,582,174,63,74,0,14766,38,272,2024-2025 Ligue 1
Nantes,30,34.0,13956,12362,1563,437,28,46,611,658,143,67,61,0,10999,31,280,30,34.0,21062,19434,1586,424,28,113,740,685,212,86,96,0,17979,42,337,2024-2025 Ligue 1
Nice,31,34.0,16103,14573,1474,440,88,62,599,556,170,60,72,0,13129,56,299,31,34.0,17860,16268,1564,425,38,67,604,605,180,72,64,1,14744,28,333,2024-2025 Ligue 1
Paris S-G,28,34.0,25781,24296,1431,410,97,175,562,580,216,63,70,1,23156,54,308,28,34.0,12016,10625,1318,343,39,71,386,451,111,55,33,0,9330,73,281,2024-2025 Ligue 1
Reims,34,34.0,14602,13035,1508,432,38,94,611,576,134,56,58,0,11657,59,251,34,34.0,18726,17172,1498,432,67,82,707,565,197,84,73,2,15620,56,295,2024-2025 Ligue 1
Rennes,35,34.0,16913,15272,1593,483,37,120,580,638,170,86,49,0,13914,48,307,35,34.0,16323,14708,1526,468,51,107,510,630,128,53,52,0,13238,89,280,2024-2025 Ligue 1
Saint-Étienne,32,34.0,15954,14389,1519,425,51,48,402,590,129,37,55,0,13001,46,261,32,34.0,18133,16515,1560,457,67,158,692,641,195,85,70,0,15120,58,311,2024-2025 Ligue 1
Strasbourg,30,34.0,17462,15928,1486,485,58,46,496,543,140,64,57,0,14667,48,253,30,34.0,17314,15791,1455,418,56,117,700,588,164,55,81,0,14255,68,312,2024-2025 Ligue 1
Toulouse,27,34.0,14867,13229,1592,463,44,95,580,657,163,93,52,0,11674,46,287,27,34.0,18518,16981,1496,469,42,73,556,577,128,47,51,0,15399,41,273,2024-2025 Ligue 1
Augsburg,29,34.0,14936,13228,1649,415,32,48,578,699,156,63,61,1,11577,59,362,29,34.0,19055,17433,1565,386,62,100,712,667,172,85,49,4,15484,57,345,2024-2025 Bundesliga
Bayern Munich,29,34.0,25733,24287,1390,366,129,125,612,588,220,127,25,1,22755,56,335,29,34.0,12083,10634,1405,345,24,49,334,513,88,48,32,1,9140,44,278,2024-2025 Bundesliga
Bochum,27,34.0,14230,12544,1623,348,40,38,679,711,165,106,53,0,10281,63,368,27,34.0,17796,16058,1675,500,55,88,595,675,185,88,58,6,14057,63,368,2024-2025 Bundesliga
Dortmund,28,34.0,20321,18695,1583,431,67,93,698,659,191,105,51,3,17077,43,320,28,34.0,14210,12657,1460,353,44,74,551,593,134,62,45,0,10934,93,313,2024-2025 Bundesliga
Eint Frankfurt,26,34.0,17138,15585,1496,398,48,64,539,582,168,103,46,0,13925,57,305,26,34.0,17664,15994,1571,377,67,73,677,642,172,67,75,2,14160,99,335,2024-2025 Bundesliga
Freiburg,26,34.0,16460,14973,1426,362,34,56,589,597,132,79,39,0,12892,61,317,26,34.0,17514,16046,1425,356,35,83,604,624,147,80,43,0,14111,43,328,2024-2025 Bundesliga
Gladbach,26,34.0,17507,15877,1565,385,80,69,617,632,158,67,71,0,14148,65,362,26,34.0,17850,16292,1501,378,48,67,750,650,180,89,55,0,14473,57,325,2024-2025 Bundesliga
Heidenheim,27,34.0,14684,12981,1653,413,20,77,581,703,140,69,47,0,11127,50,330,27,34.0,19390,17744,1614,414,69,66,634,711,166,85,63,1,15818,32,382,2024-2025 Bundesliga
Hoffenheim,35,34.0,16506,14841,1595,405,38,65,732,702,157,57,62,3,12827,70,337,35,34.0,17470,15827,1602,437,66,99,626,651,189,74,72,1,14007,41,342,2024-2025 Bundesliga
Holstein Kiel,27,34.0,13961,12298,1619,409,30,58,482,667,120,58,46,1,10537,44,293,27,34.0,18342,16528,1752,432,53,86,852,795,224,115,67,0,14775,62,305,2024-2025 Bundesliga
Leverkusen,23,34.0,21589,19979,1546,409,67,114,735,622,216,115,47,0,18301,64,320,23,34.0,14768,13319,1386,368,39,63,443,533,116,61,45,1,11597,63,255,2024-2025 Bundesliga
Mainz 05,25,34.0,16434,14771,1585,378,43,73,658,716,165,58,74,6,12478,78,379,25,34.0,16234,14482,1703,469,48,58,656,691,173,84,72,0,12368,49,314,2024-2025 Bundesliga
RB Leipzig,29,34.0,18207,16606,1518,394,80,50,563,630,161,61,66,1,14698,83,358,29,34.0,16691,15060,1563,440,50,76,660,633,187,83,69,0,13082,68,394,2024-2025 Bundesliga
St. Pauli,28,34.0,15300,13659,1575,421,31,60,600,692,148,66,55,2,11751,66,303,28,34.0,19511,17842,1595,396,58,86,562,732,154,90,38,0,16017,74,349,2024-2025 Bundesliga
Stuttgart,29,34.0,19767,18113,1592,488,63,72,637,623,180,72,47,3,16513,62,289,29,34.0,14746,13145,1519,402,50,54,531,602,161,89,50,0,11408,82,331,2024-2025 Bundesliga
Union Berlin,28,34.0,13705,12135,1503,353,16,53,608,655,152,66,71,4,9960,67,335,28,34.0,20253,18532,1679,466,47,78,723,717,167,69,61,3,16465,42,352,2024-2025 Bundesliga
Werder Bremen,23,34.0,17550,15860,1618,468,57,87,667,660,161,63,77,1,13999,72,355,23,34.0,17808,16227,1509,375,64,50,593,634,162,84,50,2,14300,72,348,2024-2025 Bundesliga
Wolfsburg,27,34.0,15088,13434,1605,424,46,120,574,644,165,99,63,1,11590,49,336,27,34.0,17731,16046,1617,373,42,72,646,719,178,81,57,6,14240,68,340,2024-2025 Bundesliga
Alavés,29,38.0,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368,29,38.0,18138,15935,2139,672,52,139,722,913,177,62,61,1,14251,64,340,2024-2025
Athletic Club,31,38.0,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,31,38.0,18891,16899,1908,528,52,139,592,796,155,54,61,1,14953,84,323,2024-2025
Atlético Madrid,24,38.0,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,24,38.0,19538,17845,1656,460,33,124,656,664,144,41,56,0,16246,37,304,2024-2025
Barcelona,28,38.0,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371,28,38.0,11890,10010,1699,417,62,135,482,636,149,62,57,1,8511,181,317,2024-2025
Betis,36,38.0,19284,17322,1906,613,60,153,627,778,197,82,68,0,15770,56,376,36,38.0,17627,15754,1781,466,51,107,683,756,162,73,62,3,13910,92,339,2024-2025
Celta Vigo,30,38.0,21253,19376,1810,502,89,149,501,782,149,52,62,1,17798,67,365,30,38.0,18445,16682,1688,504,57,102,667,680,159,69,53,1,14946,75,323,2024-2025
Espanyol,27,38.0,13996,12245,1690,484,51,97,619,647,144,35,77,2,10580,61,285,27,38.0,21580,19688,1839,529,49,143,858,759,227,97,95,5,17987,53,350,2024-2025
Getafe,30,38.0,12922,10790,2042,579,23,116,721,927,147,55,69,1,8695,90,262,30,38.0,18284,16088,2111,659,52,111,626,910,147,66,45,1,13966,85,364,2024-2025
Girona,30,38.0,21401,19598,1724,484,39,128,804,706,186,91,67,1,18273,79,338,30,38.0,16818,15144,1630,488,40,84,607,626,166,61,62,2,13798,44,260,2024-2025
Las Palmas,34,38.0,18209,16234,1916,558,49,117,674,782,160,54,72,4,14352,59,321,34,38.0,17854,15927,1828,472,69,118,740,812,198,86,63,3,14104,99,350,2024-2025
Leganés,26,38.0,14840,13035,1721,500,48,91,495,653,113,46,46,0,11207,84,252,26,38.0,20203,18149,2007,568,52,128,879,865,242,101,101,2,16312,47,335,2024-2025
Mallorca,28,38.0,16224,14337,1809,471,44,93,735,757,145,58,73,3,12613,78,292,28,38.0,18666,16782,1843,526,43,136,821,723,241,113,55,3,14980,41,306,2024-2025
Osasuna,25,38.0,16028,14070,1892,487,28,133,819,831,175,64,50,2,12184,66,349,25,38.0,18864,16877,1884,540,89,123,704,784,189,72,78,1,15229,103,324,2024-2025
Rayo Vallecano,26,38.0,17861,15874,1908,436,46,112,769,868,202,107,65,0,13936,79,395,26,38.0,16724,14603,2071,579,55,139,678,882,191,81,80,1,12793,50,379,2024-2025
Real Madrid,30,38.0,24221,22370,1766,549,90,221,578,620,243,113,63,1,21356,85,316,30,38.0,15895,14331,1521,397,40,120,554,533,161,78,49,0,12981,43,293,2024-2025
Real Sociedad,31,38.0,18759,16761,1916,513,33,146,740,832,216,78,95,0,14880,82,369,31,38.0,16415,14418,1912,550,54,115,610,808,179,69,58,3,12635,85,345,2024-2025
Sevilla,35,38.0,18057,16196,1791,473,40,130,612,778,185,109,33,1,14432,70,314,35,38.0,17994,16003,1929,541,62,132,661,828,165,66,63,1,14301,62,329,2024-2025
Valencia,32,38.0,17708,15738,1898,566,38,128,763,770,186,69,74,3,13938,72,395,32,38.0,18992,17048,1837,485,78,139,691,801,190,79,57,2,15307,107,328,2024-2025
Valladolid,38,38.0,15387,13486,1834,544,37,126,671,647,156,81,38,2,12052,67,265,38,38.0,20501,18714,1727,489,62,99,743,751,195,76,80,0,17117,60,353,2024-2025
Villarreal,31,38.0,17825,16035,1713,513,78,124,674,633,183,77,60,2,14532,77,318,31,38.0,19916,18105,1769,495,40,191,782,655,180,70,59,0,16617,42,377,2024-2025
Alavés,30,38.0,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372,30,38.0,20256,18248,1948,519,55,144,686,850,167,64,74,1,16352,60,310,2023-2024
Almería,35,38.0,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320,35,38.0,19368,17353,1942,519,54,171,828,820,220,74,101,3,15460,73,352,2023-2024
Athletic Club,27,38.0,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364,27,38.0,19081,17121,1869,561,40,189,626,744,161,71,54,0,14887,91,352,2023-2024
Atlético Madrid,27,38.0,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343,27,38.0,19995,18152,1806,545,29,110,764,662,194,63,75,0,16440,37,419,2023-2024
Barcelona,29,38.0,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335,29,38.0,13768,12007,1644,489,47,120,574,562,148,66,61,2,10455,117,302,2023-2024
Betis,35,38.0,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381,35,38.0,18933,17017,1810,468,56,106,712,787,192,84,81,2,15171,106,388,2023-2024
Cádiz,34,38.0,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304,34,38.0,19905,17878,1962,628,45,130,758,792,174,63,65,1,15783,65,372,2023-2024
Celta Vigo,31,38.0,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380,31,38.0,21005,19016,1936,499,33,162,746,865,189,52,89,1,16975,53,395,2023-2024
Getafe,33,38.0,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313,33,38.0,18849,16675,2033,695,78,136,640,805,173,60,66,1,14502,141,292,2023-2024
Girona,25,38.0,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314,25,38.0,16590,14841,1700,477,38,124,711,641,161,75,60,1,13335,49,314,2023-2024
Granada,40,38.0,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345,40,38.0,19420,17386,1926,554,61,162,718,824,201,78,77,1,15485,108,365,2023-2024
Las Palmas,29,38.0,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392,29,38.0,15778,13845,1769,473,103,121,694,752,211,89,88,2,11893,164,371,2023-2024
Mallorca,25,38.0,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328,25,38.0,19315,17321,1958,630,34,130,656,832,152,57,46,1,15384,36,277,2023-2024
Osasuna,29,38.0,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383,29,38.0,19141,17116,1899,561,64,147,694,776,175,75,55,0,14977,126,343,2023-2024
Rayo Vallecano,26,38.0,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333,26,38.0,17768,15686,1995,637,51,135,682,787,173,67,69,1,13590,87,360,2023-2024
Real Madrid,27,38.0,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285,27,38.0,17114,15408,1668,435,33,163,680,644,145,62,48,1,14072,38,376,2023-2024
Real Sociedad,31,38.0,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340,31,38.0,15616,13483,2035,651,27,130,523,829,137,43,62,1,11674,98,322,2023-2024
Sevilla,35,38.0,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357,35,38.0,18653,16574,2001,528,62,141,698,843,196,56,69,4,14795,78,340,2023-2024
Valencia,29,38.0,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375,29,38.0,20730,18759,1885,516,52,155,734,850,182,83,62,1,16672,86,344,2023-2024
Villarreal,32,38.0,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335,32,38.0,19145,17341,1729,550,51,194,886,631,200,78,65,2,15642,75,305,2023-2024
Almería,29,38.0,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,29,38.0,19392,17371,1863,501,70,189,851,781,227,80,99,1,15420,158,367,2022-2023
Athletic Club,26,38.0,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,26,38.0,17573,15545,1951,580,41,190,579,789,136,56,50,2,13537,77,358,2022-2023
Atlético Madrid,27,38.0,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,27,38.0,20021,18229,1735,495,40,228,743,650,185,78,68,1,16384,57,352,2022-2023
Barcelona,29,38.0,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340,29,38.0,13758,11850,1788,511,41,155,483,672,111,48,46,1,10316,120,306,2022-2023
Betis,30,38.0,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,30,38.0,17964,16070,1790,455,61,153,756,771,209,71,98,2,14220,104,370,2022-2023
Cádiz,38,38.0,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297,38,38.0,19569,17561,1939,570,39,233,852,778,200,63,82,1,15630,69,346,2022-2023
Celta Vigo,26,38.0,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300,26,38.0,18416,16454,1898,524,49,196,633,849,165,63,78,1,14618,64,353,2022-2023
Elche,32,38.0,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390,32,38.0,19238,17216,1922,563,62,140,753,785,223,77,84,3,15598,100,331,2022-2023
Espanyol,33,38.0,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298,33,38.0,19603,17628,1893,487,47,192,730,810,198,61,94,2,15807,82,336,2022-2023
Getafe,25,38.0,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333,25,38.0,21494,19437,1962,645,48,192,771,819,179,61,75,0,17070,95,355,2022-2023
Girona,29,38.0,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319,29,38.0,17921,16112,1745,501,45,163,753,678,181,70,70,1,14391,64,321,2022-2023
Mallorca,31,38.0,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306,31,38.0,20763,18826,1897,657,48,130,822,738,194,54,59,6,16934,40,323,2022-2023
Osasuna,26,38.0,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345,26,38.0,18199,16063,2027,574,46,175,696,861,192,58,69,4,14139,109,344,2022-2023
Rayo Vallecano,28,38.0,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365,28,38.0,17027,14931,2011,615,30,182,654,804,180,82,63,3,12926,85,379,2022-2023
Real Madrid,26,38.0,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353,26,38.0,15986,14341,1589,436,36,121,541,545,145,62,42,3,13004,56,299,2022-2023
Real Sociedad,30,38.0,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324,30,38.0,16093,13951,2051,691,34,147,570,817,154,51,48,1,12130,91,332,2022-2023
Sevilla,35,38.0,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307,35,38.0,17319,15346,1898,543,49,187,673,774,170,68,62,2,13660,75,277,2022-2023
Valencia,28,38.0,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345,28,38.0,16357,14310,1973,559,51,167,594,837,175,77,73,0,12580,74,347,2022-2023
Valladolid,36,38.0,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365,36,38.0,17448,15392,2003,523,55,141,734,875,211,88,68,2,13635,53,349,2022-2023
Villarreal,32,38.0,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347,32,38.0,15331,13541,1682,508,50,138,708,596,182,67,69,0,12047,108,304,2022-2023
Alavés,33,38.0,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310,33,38.0,19908,17714,2105,567,77,202,789,962,231,50,110,3,15404,89,322,2021-2022
