Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Unnamed: 3_level_0 Poss_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Per 90 Minutes Gls_for,Per 90 Minutes Ast_for,Per 90 Minutes G+A_for,Per 90 Minutes G-PK_for,Per 90 Minutes G+A-PK_for,Per 90 Minutes xG_for,Per 90 Minutes xAG_for,Per 90 Minutes xG+xAG_for,Per 90 Minutes npxG_for,Per 90 Minutes npxG+xAG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Unnamed: 3_level_0 Poss_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against,Per 90 Minutes Gls_against,Per 90 Minutes Ast_against,Per 90 Minutes G+A_against,Per 90 Minutes G-PK_against,Per 90 Minutes G+A-PK_against,Per 90 Minutes xG_against,Per 90 Minutes xAG_against,Per 90 Minutes xG+xAG_against,Per 90 Minutes npxG_against,Per 90 Minutes npxG+xAG_against,Season
Leicester City,32,26.6,45.4,38,418,3420,38.0,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082,0.87,0.66,1.53,0.82,1.47,0.86,0.66,1.52,0.8,1.46,32,26.3,54.6,38,418,3420,38.0,77,57,134,74,3,4,58,2,71.9,68.8,52.2,121.0,735,1755,2.03,1.5,3.53,1.95,3.45,1.89,1.37,3.27,1.81,3.19,2024-2025 Premier League
Liverpool,24,27.2,57.7,38,418,3420,38.0,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,825,1924,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6,24,26.1,42.3,38,418,3420,38.0,39,28,67,38,1,2,84,2,38.6,36.9,29.4,66.2,683,1091,1.03,0.74,1.76,1.0,1.74,1.02,0.77,1.79,0.97,1.74,2024-2025 Premier League
Manchester City,30,26.8,61.3,38,418,3420,38.0,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944,1.87,1.34,3.21,1.79,3.13,1.79,1.43,3.22,1.71,3.13,30,26.2,38.7,38,418,3420,38.0,42,32,74,38,4,4,88,2,47.7,44.6,37.2,81.7,546,912,1.11,0.84,1.95,1.0,1.84,1.26,0.98,2.23,1.17,2.15,2024-2025 Premier League
Manchester Utd,31,25.5,53.5,38,418,3420,38.0,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448,1.11,0.76,1.87,1.0,1.76,1.38,1.04,2.43,1.3,2.35,31,26.4,46.5,38,418,3420,38.0,52,36,88,49,3,4,71,3,53.8,50.8,38.4,89.2,672,1184,1.37,0.95,2.32,1.29,2.24,1.42,1.01,2.43,1.34,2.35,2024-2025 Premier League
Newcastle Utd,24,27.4,51.3,38,418,3420,38.0,66,50,116,61,5,6,68,1,63.8,59.5,46.0,105.5,759,1595,1.74,1.32,3.05,1.61,2.92,1.68,1.21,2.89,1.57,2.78,24,26.3,48.7,38,418,3420,38.0,45,41,86,44,1,2,97,3,45.5,44.0,35.9,79.9,667,1273,1.18,1.08,2.26,1.16,2.24,1.2,0.94,2.14,1.16,2.1,2024-2025 Premier League
Nott'ham Forest,23,26.1,41.2,38,418,3420,38.0,57,42,99,54,3,3,90,2,45.5,43.2,33.0,76.2,633,1125,1.5,1.11,2.61,1.42,2.53,1.2,0.87,2.07,1.14,2.0,23,26.2,58.8,38,418,3420,38.0,46,35,81,43,3,3,104,2,48.9,46.5,35.2,81.7,966,1886,1.21,0.92,2.13,1.13,2.05,1.29,0.93,2.21,1.22,2.15,2024-2025 Premier League
Southampton,36,25.2,48.5,38,418,3420,38.0,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,36,26.2,51.5,38,418,3420,38.0,86,61,147,79,7,9,54,1,84.8,77.9,63.0,140.9,814,1647,2.26,1.61,3.87,2.08,3.68,2.23,1.66,3.89,2.05,3.71,2024-2025 Premier League
Tottenham,31,25.0,54.7,38,418,3420,38.0,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593,1.61,1.24,2.84,1.53,2.76,1.55,1.17,2.72,1.47,2.63,31,26.2,45.3,38,418,3420,38.0,61,43,104,58,3,3,85,3,63.3,60.9,46.3,107.2,660,1330,1.61,1.13,2.74,1.53,2.66,1.67,1.22,2.88,1.6,2.82,2024-2025 Premier League
West Ham,27,28.1,48.4,38,418,3420,38.0,43,29,72,40,3,3,82,3,47.0,44.7,33.9,78.6,632,1222,1.13,0.76,1.89,1.05,1.82,1.24,0.89,2.13,1.18,2.07,27,26.1,51.6,38,418,3420,38.0,59,45,104,56,3,3,56,1,59.7,57.4,47.6,105.0,832,1622,1.55,1.18,2.74,1.47,2.66,1.57,1.25,2.82,1.51,2.76,2024-2025 Premier League
Wolves,32,26.9,48.1,38,418,3420,38.0,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185,1.39,1.11,2.5,1.39,2.5,1.15,0.93,2.08,1.15,2.08,32,26.2,51.9,38,418,3420,38.0,66,47,113,59,7,9,85,3,58.1,51.0,41.5,92.5,767,1534,1.74,1.24,2.97,1.55,2.79,1.53,1.09,2.62,1.34,2.44,2024-2025 Premier League
Atalanta,32,27.1,55.3,38,418,3420,38.0,76,54,130,71,5,7,67,1,65.0,59.5,46.9,106.4,897,1824,2.0,1.42,3.42,1.87,3.29,1.71,1.23,2.94,1.57,2.8,32,26.2,44.7,38,418,3420,38.0,35,26,61,33,2,2,51,2,38.6,37.1,27.5,64.6,510,988,0.92,0.68,1.61,0.87,1.55,1.01,0.72,1.74,0.98,1.7,2024-2025 Serie A
Bologna,30,26.4,58.1,38,418,3420,38.0,56,43,99,50,6,7,61,4,49.3,43.8,35.2,79.0,639,1468,1.47,1.13,2.61,1.32,2.45,1.3,0.93,2.22,1.15,2.08,30,26.3,41.9,38,418,3420,38.0,45,32,77,43,2,3,95,3,36.7,34.3,25.4,59.7,440,876,1.18,0.84,2.03,1.13,1.97,0.96,0.67,1.63,0.9,1.57,2024-2025 Serie A
Cagliari,28,26.6,44.9,38,418,3420,38.0,38,31,69,35,3,3,68,3,42.7,40.3,32.0,72.4,506,1150,1.0,0.82,1.82,0.92,1.74,1.12,0.84,1.97,1.06,1.9,28,26.4,55.1,38,418,3420,38.0,56,40,96,50,6,6,61,5,55.3,51.1,40.2,91.3,756,1504,1.47,1.05,2.53,1.32,2.37,1.46,1.06,2.51,1.34,2.4,2024-2025 Serie A
Como,38,26.3,54.6,38,418,3420,38.0,44,39,83,44,0,2,87,7,45.4,43.9,36.6,80.5,658,1377,1.16,1.03,2.18,1.16,2.18,1.2,0.96,2.16,1.16,2.12,38,26.3,45.4,38,418,3420,38.0,52,35,87,45,7,7,95,5,43.0,37.6,28.9,66.5,539,1116,1.37,0.92,2.29,1.18,2.11,1.13,0.76,1.89,0.99,1.75,2024-2025 Serie A
Empoli,34,25.4,41.7,38,418,3420,38.0,31,21,52,29,2,3,68,5,32.5,30.1,22.9,53.1,428,1013,0.82,0.55,1.37,0.76,1.32,0.86,0.6,1.46,0.79,1.4,34,26.5,58.3,38,418,3420,38.0,58,48,106,57,1,3,58,3,50.1,47.7,37.2,84.9,588,1402,1.53,1.26,2.79,1.5,2.76,1.32,0.98,2.3,1.26,2.23,2024-2025 Serie A
Fiorentina,34,26.3,51.0,37,407,3419,38.0,55,37,92,49,6,8,81,3,48.9,42.6,35.1,77.7,620,1240,1.45,0.97,2.42,1.29,2.26,1.29,0.92,2.21,1.12,2.04,34,26.3,49.0,37,407,3419,38.0,40,29,69,39,1,3,92,7,42.8,40.4,30.5,70.9,675,1277,1.05,0.76,1.82,1.03,1.79,1.13,0.8,1.93,1.06,1.87,2024-2025 Serie A
Genoa,37,26.2,45.6,38,418,3420,38.0,35,27,62,35,0,2,71,1,37.2,35.5,26.8,62.3,470,980,0.92,0.71,1.63,0.92,1.63,0.98,0.71,1.68,0.93,1.64,37,26.3,54.4,38,418,3420,38.0,46,31,77,40,6,8,75,2,47.2,41.1,33.9,75.0,609,1375,1.21,0.82,2.03,1.05,1.87,1.24,0.89,2.13,1.08,1.97,2024-2025 Serie A
Hellas Verona,32,25.1,38.7,38,418,3420,38.0,31,20,51,29,2,2,98,9,33.8,32.3,24.8,57.1,449,1011,0.82,0.53,1.34,0.76,1.29,0.89,0.65,1.54,0.85,1.5,32,26.2,61.3,38,418,3420,38.0,65,48,113,63,2,4,53,2,53.4,50.3,39.1,89.5,665,1593,1.71,1.26,2.97,1.66,2.92,1.41,1.03,2.44,1.32,2.35,2024-2025 Serie A
Inter,26,29.4,59.4,37,407,3419,38.0,76,57,133,68,8,9,56,1,66.9,60.1,48.3,108.5,694,1730,2.0,1.5,3.5,1.79,3.29,1.76,1.27,3.03,1.58,2.85,26,26.2,40.6,37,407,3419,38.0,31,20,51,28,3,4,51,4,36.4,33.1,25.5,58.6,631,1064,0.82,0.53,1.34,0.74,1.26,0.96,0.67,1.63,0.87,1.54,2024-2025 Serie A
Juventus,29,24.6,57.2,38,418,3420,38.0,56,40,96,50,6,6,67,3,51.0,46.3,35.9,82.2,810,1561,1.47,1.05,2.53,1.32,2.37,1.34,0.94,2.29,1.22,2.16,29,26.4,42.8,38,418,3420,38.0,35,22,57,30,5,5,73,2,34.0,30.1,21.4,51.5,540,1097,0.92,0.58,1.5,0.79,1.37,0.9,0.56,1.46,0.79,1.36,2024-2025 Serie A
Lazio,27,27.1,55.1,38,418,3420,38.0,60,43,103,54,6,7,93,7,57.2,52.0,38.5,90.4,774,1588,1.58,1.13,2.71,1.42,2.55,1.51,1.01,2.52,1.37,2.38,27,26.2,44.9,38,418,3420,38.0,47,34,81,43,4,4,116,14,37.7,34.7,28.2,62.8,548,1133,1.24,0.89,2.13,1.13,2.03,0.99,0.74,1.73,0.91,1.65,2024-2025 Serie A
Lecce,31,26.1,43.8,38,418,3420,38.0,27,21,48,24,3,4,61,7,34.6,31.8,24.5,56.3,519,1071,0.71,0.55,1.26,0.63,1.18,0.91,0.65,1.56,0.84,1.48,31,26.4,56.2,38,418,3420,38.0,55,37,92,47,8,10,81,5,57.1,49.6,37.8,87.4,654,1685,1.45,0.97,2.42,1.24,2.21,1.5,1.0,2.5,1.31,2.3,2024-2025 Serie A
Milan,35,25.6,53.9,38,418,3420,38.0,59,43,102,55,4,8,70,6,63.7,57.5,46.8,104.4,915,1589,1.55,1.13,2.68,1.45,2.58,1.68,1.23,2.91,1.51,2.75,35,26.4,46.1,38,418,3420,38.0,40,35,75,39,1,2,75,3,41.3,39.7,33.5,73.2,618,1228,1.05,0.92,1.97,1.03,1.95,1.09,0.88,1.97,1.05,1.93,2024-2025 Serie A
Monza,36,26.8,48.5,38,418,3420,38.0,27,18,45,24,3,3,90,3,29.9,27.7,20.9,48.6,533,1096,0.71,0.47,1.18,0.63,1.11,0.79,0.55,1.34,0.73,1.28,36,26.2,51.5,38,418,3420,38.0,66,54,120,64,2,4,63,2,54.7,51.6,41.7,93.4,699,1599,1.74,1.42,3.16,1.68,3.11,1.44,1.1,2.54,1.36,2.46,2024-2025 Serie A
Napoli,27,28.6,54.6,38,418,3420,38.0,56,42,98,52,4,5,47,0,52.9,49.1,39.1,88.2,739,1546,1.47,1.11,2.58,1.37,2.47,1.39,1.03,2.42,1.29,2.32,27,26.0,45.4,38,418,3420,38.0,25,18,43,24,1,4,72,1,29.6,26.3,21.7,48.0,537,1142,0.66,0.47,1.13,0.63,1.11,0.78,0.57,1.35,0.69,1.26,2024-2025 Serie A
Parma,32,23.8,44.2,38,418,3420,38.0,43,31,74,37,6,7,78,6,43.1,37.6,29.3,66.9,578,1059,1.13,0.82,1.95,0.97,1.79,1.13,0.77,1.9,0.99,1.76,32,26.4,55.8,38,418,3420,38.0,56,42,98,51,5,5,80,3,56.4,52.6,41.7,94.3,822,1761,1.47,1.11,2.58,1.34,2.45,1.49,1.1,2.58,1.38,2.48,2024-2025 Serie A
Roma,28,26.5,53.9,38,418,3420,38.0,55,35,90,47,8,8,66,1,53.0,46.7,35.0,81.7,691,1501,1.45,0.92,2.37,1.24,2.16,1.39,0.92,2.32,1.23,2.15,28,26.3,46.1,38,418,3420,38.0,34,21,55,30,4,4,87,6,40.9,37.7,26.7,64.4,668,1278,0.89,0.55,1.45,0.79,1.34,1.08,0.7,1.78,0.99,1.7,2024-2025 Serie A
Torino,31,26.7,47.5,38,418,3420,38.0,36,21,57,34,2,4,80,3,34.6,31.6,22.5,54.0,529,1113,0.95,0.55,1.5,0.89,1.45,0.91,0.59,1.5,0.83,1.42,31,26.3,52.5,38,418,3420,38.0,43,30,73,40,3,7,63,1,50.4,44.9,34.7,79.7,722,1346,1.13,0.79,1.92,1.05,1.84,1.33,0.91,2.24,1.18,2.1,2024-2025 Serie A
Udinese,31,26.4,47.2,38,418,3420,38.0,41,28,69,39,2,4,88,5,38.2,35.0,27.2,62.1,566,1160,1.08,0.74,1.82,1.03,1.76,1.01,0.71,1.72,0.92,1.64,31,26.5,52.8,38,418,3420,38.0,51,30,81,44,7,8,61,5,52.6,46.5,35.6,82.1,582,1282,1.34,0.79,2.13,1.16,1.95,1.39,0.94,2.32,1.22,2.16,2024-2025 Serie A
Venezia,36,25.4,45.1,38,418,3420,38.0,31,16,47,27,4,5,75,2,35.8,32.0,22.2,54.2,507,1066,0.82,0.42,1.24,0.71,1.13,0.94,0.58,1.53,0.84,1.43,36,26.4,54.9,38,418,3420,38.0,53,35,88,43,10,11,70,2,57.5,48.9,39.3,88.2,719,1397,1.39,0.92,2.32,1.13,2.05,1.51,1.03,2.55,1.29,2.32,2024-2025 Serie A
Angers,30,27.5,41.2,34,374,3060,34.0,31,17,48,26,5,6,49,2,36.0,31.3,23.5,54.7,502,953,0.91,0.5,1.41,0.76,1.26,1.06,0.69,1.75,0.92,1.61,30,25.9,58.8,34,374,3060,34.0,53,40,93,49,4,5,79,7,57.8,53.9,42.2,96.0,784,1776,1.56,1.18,2.74,1.44,2.62,1.7,1.24,2.94,1.58,2.82,2024-2025 Ligue 1
Auxerre,29,25.9,42.5,34,374,3060,34.0,47,35,82,43,4,5,68,4,41.0,37.3,32.0,69.3,484,1084,1.38,1.03,2.41,1.26,2.29,1.21,0.94,2.15,1.1,2.04,29,25.9,57.5,34,374,3060,34.0,48,36,84,42,6,8,50,4,58.6,52.3,43.9,96.3,645,1522,1.41,1.06,2.47,1.24,2.29,1.72,1.29,3.02,1.54,2.83,2024-2025 Ligue 1
Brest,30,28.2,48.4,34,374,3060,34.0,52,32,84,45,7,9,69,3,45.4,38.3,29.4,67.8,470,1096,1.53,0.94,2.47,1.32,2.26,1.33,0.87,2.2,1.13,1.99,30,25.7,51.6,34,374,3060,34.0,57,39,96,49,8,10,63,2,57.4,50.0,38.5,88.5,559,1521,1.68,1.15,2.82,1.44,2.59,1.69,1.13,2.82,1.47,2.6,2024-2025 Ligue 1
Le Havre,31,26.9,43.1,34,374,3060,34.0,37,21,58,28,9,10,56,4,41.4,33.4,24.4,57.8,538,1051,1.09,0.62,1.71,0.82,1.44,1.22,0.72,1.94,0.98,1.7,31,25.9,56.9,34,374,3060,34.0,70,50,120,65,5,6,68,6,62.8,58.5,45.3,103.8,633,1639,2.06,1.47,3.53,1.91,3.38,1.85,1.33,3.18,1.72,3.05,2024-2025 Ligue 1
Lens,33,27.1,54.1,34,374,3060,34.0,40,26,66,35,5,5,86,8,51.8,48.3,36.2,84.4,570,1451,1.18,0.76,1.94,1.03,1.79,1.52,1.06,2.59,1.42,2.48,33,25.9,45.9,34,374,3060,34.0,39,25,64,31,8,9,62,2,45.3,38.3,29.7,68.0,585,1095,1.15,0.74,1.88,0.91,1.65,1.33,0.87,2.2,1.13,2.0,2024-2025 Ligue 1
Lille,27,26.1,57.6,34,374,3060,34.0,52,29,81,45,7,10,77,2,54.7,47.5,35.1,82.6,669,1616,1.53,0.85,2.38,1.32,2.18,1.61,1.03,2.64,1.4,2.43,27,25.9,42.4,34,374,3060,34.0,35,23,58,31,4,4,63,8,42.5,39.4,29.0,68.4,503,945,1.03,0.68,1.71,0.91,1.59,1.25,0.85,2.1,1.16,2.01,2024-2025 Ligue 1
Lyon,31,27.4,56.4,34,374,3060,34.0,62,46,108,54,8,10,60,0,60.3,52.5,44.4,96.9,709,1615,1.82,1.35,3.18,1.59,2.94,1.77,1.31,3.08,1.54,2.85,31,25.7,43.6,34,374,3060,34.0,46,32,78,43,3,3,71,3,45.7,43.3,33.0,76.4,624,1135,1.35,0.94,2.29,1.26,2.21,1.34,0.97,2.32,1.27,2.25,2024-2025 Ligue 1
Marseille,32,26.7,63.3,34,374,3060,34.0,70,49,119,62,8,10,64,6,63.8,55.8,44.6,100.5,664,1714,2.06,1.44,3.5,1.82,3.26,1.88,1.31,3.19,1.64,2.96,32,25.9,36.7,34,374,3060,34.0,45,35,80,42,3,6,61,3,45.2,40.9,31.5,72.4,436,872,1.32,1.03,2.35,1.24,2.26,1.33,0.93,2.26,1.2,2.13,2024-2025 Ligue 1
Monaco,28,24.4,55.0,34,374,3060,34.0,63,49,112,57,6,7,60,4,72.8,67.7,55.3,123.0,670,1638,1.85,1.44,3.29,1.68,3.12,2.14,1.63,3.77,1.99,3.62,28,26.1,45.0,34,374,3060,34.0,41,30,71,38,3,3,70,3,34.8,32.7,26.4,59.1,549,1218,1.21,0.88,2.09,1.12,2.0,1.02,0.78,1.8,0.96,1.74,2024-2025 Ligue 1
Montpellier,35,26.1,45.3,34,374,3060,34.0,23,13,36,20,3,4,87,7,33.5,30.4,23.0,53.4,529,1039,0.68,0.38,1.06,0.59,0.97,0.98,0.68,1.66,0.89,1.57,35,25.7,54.7,34,374,3060,34.0,76,58,134,68,8,9,70,2,63.3,56.1,44.1,100.2,632,1461,2.24,1.71,3.94,2.0,3.71,1.86,1.3,3.16,1.65,2.95,2024-2025 Ligue 1
Nantes,30,26.7,40.4,34,374,3060,34.0,39,27,66,34,5,5,71,4,39.1,35.3,27.8,63.1,502,1053,1.15,0.79,1.94,1.0,1.79,1.15,0.82,1.97,1.04,1.86,30,25.6,59.6,34,374,3060,34.0,49,33,82,42,7,8,55,5,55.5,49.3,39.3,88.7,715,1728,1.44,0.97,2.41,1.24,2.21,1.63,1.16,2.79,1.45,2.61,2024-2025 Ligue 1
Nice,31,26.4,47.5,34,374,3060,34.0,62,43,105,56,6,6,59,5,61.6,56.9,42.9,99.8,701,1320,1.82,1.26,3.09,1.65,2.91,1.81,1.26,3.07,1.67,2.93,31,25.8,52.5,34,374,3060,34.0,40,30,70,38,2,3,72,4,40.2,38.0,31.2,69.2,618,1314,1.18,0.88,2.06,1.12,2.0,1.18,0.92,2.1,1.12,2.04,2024-2025 Ligue 1
Paris S-G,28,23.6,68.0,34,374,3060,34.0,89,69,158,83,6,7,37,0,88.9,83.3,70.8,154.1,936,2123,2.62,2.03,4.65,2.44,4.47,2.61,2.08,4.7,2.45,4.53,28,25.8,32.0,34,374,3060,34.0,34,22,56,31,3,3,61,2,31.2,29.0,22.7,51.6,467,874,1.0,0.65,1.65,0.91,1.56,0.92,0.67,1.58,0.85,1.52,2024-2025 Ligue 1
Reims,34,24.5,44.1,34,374,3060,34.0,32,19,51,31,1,2,66,6,37.4,35.9,26.5,62.3,586,1156,0.94,0.56,1.5,0.91,1.47,1.1,0.78,1.88,1.06,1.83,34,25.9,55.9,34,374,3060,34.0,47,32,79,43,4,5,49,3,57.4,53.5,40.5,94.1,663,1636,1.38,0.94,2.32,1.26,2.21,1.69,1.19,2.88,1.57,2.77,2024-2025 Ligue 1
Rennes,35,25.1,50.9,34,374,3060,34.0,51,32,83,46,5,8,67,2,48.6,42.7,29.6,72.4,663,1440,1.5,0.94,2.44,1.35,2.29,1.43,0.87,2.3,1.26,2.13,35,25.8,49.1,34,374,3060,34.0,48,37,85,45,3,6,68,6,46.0,41.4,33.7,75.2,575,1144,1.41,1.09,2.5,1.32,2.41,1.35,0.99,2.35,1.22,2.21,2024-2025 Ligue 1
Saint-Étienne,32,25.9,47.1,34,374,3060,34.0,39,28,67,36,3,4,65,3,36.4,33.2,24.6,57.8,529,1262,1.15,0.82,1.97,1.06,1.88,1.07,0.72,1.79,0.98,1.7,32,25.8,52.9,34,374,3060,34.0,75,41,116,62,13,15,55,1,74.3,62.3,47.2,109.5,714,1467,2.21,1.21,3.41,1.82,3.03,2.18,1.39,3.57,1.83,3.22,2024-2025 Ligue 1
Strasbourg,30,21.4,50.1,34,374,3060,34.0,54,43,97,52,2,2,71,3,49.3,47.7,38.5,86.2,563,1204,1.59,1.26,2.85,1.53,2.79,1.45,1.13,2.58,1.4,2.53,30,25.9,49.9,34,374,3060,34.0,42,21,63,34,8,9,72,2,56.1,49.3,39.1,88.3,537,1361,1.24,0.62,1.85,1.0,1.62,1.65,1.15,2.8,1.45,2.6,2024-2025 Ligue 1
Toulouse,27,25.2,45.0,34,374,3060,34.0,42,34,76,39,3,4,54,3,49.1,46.0,34.7,80.6,543,1219,1.24,1.0,2.24,1.15,2.15,1.45,1.02,2.46,1.35,2.37,27,25.8,55.0,34,374,3060,34.0,40,28,68,39,1,2,77,3,36.8,35.2,26.0,61.2,589,1326,1.18,0.82,2.0,1.15,1.97,1.08,0.77,1.85,1.03,1.8,2024-2025 Ligue 1
