Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Aerial Duels Won%_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won_against,Aerial Duels Lost_against,Aerial Duels Won%_against,Season
Granada,32,38.0,105,4,1,477,466,62,691,326,343,2,9,2,1867,602,743,44.8,32,38.0,101,9,6,498,453,69,824,307,280,7,5,1,2067,743,602,55.2,2021-2022
Levante,31,38.0,109,6,2,550,403,77,624,377,305,6,6,0,2054,441,492,47.3,31,38.0,104,5,3,434,526,78,697,327,384,6,13,0,2051,492,441,52.7,2021-2022
Mallorca,33,38.0,114,7,4,554,535,67,597,344,332,6,8,4,2007,651,703,48.1,33,38.0,114,6,4,561,520,57,738,306,351,4,7,3,2011,703,651,51.9,2021-2022
Osasuna,29,38.0,84,2,1,498,391,66,864,368,331,3,7,2,2118,808,743,52.1,29,38.0,73,1,0,414,475,82,719,353,326,5,8,0,2104,743,808,47.9,2021-2022
Rayo Vallecano,28,38.0,101,3,1,537,511,83,862,365,359,4,9,1,2110,652,655,49.9,28,38.0,110,3,0,540,508,54,659,343,391,6,4,1,2151,655,652,50.1,2021-2022
Real Madrid,31,38.0,76,0,0,394,474,106,611,334,345,10,5,0,1941,397,319,55.4,31,38.0,82,3,1,501,370,30,670,342,346,5,12,0,1742,319,397,44.6,2021-2022
Real Sociedad,32,38.0,77,4,1,491,465,76,638,348,339,8,6,0,2012,678,597,53.2,32,38.0,95,2,2,493,465,86,662,339,415,5,11,0,1954,597,678,46.8,2021-2022
Sevilla,33,38.0,97,4,2,462,462,80,787,270,302,3,4,0,2064,595,561,51.5,33,38.0,98,4,2,497,441,53,647,348,353,1,3,2,1879,561,595,48.5,2021-2022
Valencia,34,38.0,134,8,6,641,586,52,765,339,364,8,8,3,2079,564,599,48.5,34,38.0,133,7,4,603,616,97,679,286,335,5,9,3,2076,599,564,51.5,2021-2022
Villarreal,29,38.0,81,1,1,472,459,91,574,329,312,3,5,1,1946,491,437,52.9,29,38.0,98,3,2,483,456,123,749,387,380,5,6,1,1929,437,491,47.1,2021-2022
Alavés,30,38.0,96,8,5,513,487,73,645,428,292,5,3,0,1737,831,602,58.0,30,38.0,80,3,1,514,477,107,731,342,278,3,8,1,1922,602,831,42.0,2020-2021
Athletic Club,27,38.0,82,3,1,483,477,77,811,344,269,5,6,1,1836,656,601,52.2,27,38.0,80,5,4,503,452,83,753,484,303,5,5,3,1861,601,656,47.8,2020-2021
Atlético Madrid,25,38.0,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4,25,38.0,59,3,0,486,455,30,708,454,315,3,7,2,1939,482,530,47.6,2020-2021
Barcelona,25,38.0,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5,25,38.0,76,6,2,546,333,48,514,517,320,5,8,5,1846,317,395,44.5,2020-2021
Betis,25,38.0,93,8,4,521,483,65,586,452,314,9,10,3,1938,613,628,49.4,25,38.0,83,2,0,507,492,125,654,364,336,6,11,0,1936,628,613,50.6,2020-2021
Cádiz,34,38.0,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7,34,38.0,87,4,4,509,399,101,805,302,300,5,4,3,1929,753,687,52.3,2020-2021
Celta Vigo,30,38.0,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7,30,38.0,102,6,4,529,607,51,741,489,288,6,7,0,1988,669,609,52.3,2020-2021
Eibar,30,38.0,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8,30,38.0,66,2,1,417,461,128,545,406,319,5,9,0,1962,917,908,50.2,2020-2021
Elche,30,38.0,99,3,2,527,456,51,672,386,335,1,10,1,1811,488,539,47.5,30,38.0,79,2,1,496,506,64,693,406,347,6,3,1,1977,539,488,52.5,2020-2021
Getafe,31,38.0,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47.0,31,38.0,106,6,5,549,589,87,566,390,313,6,5,1,1948,946,840,53.0,2020-2021
Granada,34,38.0,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2,34,38.0,104,6,3,493,501,53,764,359,313,10,5,0,1862,851,675,55.8,2020-2021
Huesca,27,38.0,69,2,1,528,518,101,824,437,322,2,5,2,1876,580,598,49.2,27,38.0,64,2,1,554,496,74,691,323,309,3,4,2,1870,598,580,50.8,2020-2021
Levante,29,38.0,68,1,0,509,397,69,697,432,283,5,4,2,2023,455,522,46.6,29,38.0,87,7,2,430,483,99,683,433,334,2,6,1,1964,522,455,53.4,2020-2021
Osasuna,28,38.0,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3,28,38.0,65,0,0,439,507,96,800,338,309,6,6,1,2115,806,996,44.7,2020-2021
Real Madrid,30,38.0,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,53.8,30,38.0,87,3,1,493,384,39,637,380,295,4,3,3,1748,381,444,46.2,2020-2021
Real Sociedad,30,38.0,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,49.8,30,38.0,91,6,2,495,532,89,533,379,311,4,12,1,1875,669,663,50.2,2020-2021
Sevilla,26,38.0,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,53.5,26,38.0,109,1,0,510,458,34,680,407,306,4,7,1,1769,534,615,46.5,2020-2021
Valencia,30,38.0,82,5,3,459,525,90,613,392,277,6,8,2,1832,602,575,51.1,30,38.0,99,5,2,560,433,73,858,391,295,4,10,2,1941,575,602,48.9,2020-2021
Valladolid,32,38.0,93,4,0,510,510,75,744,431,321,8,7,0,1922,628,818,43.4,32,38.0,96,2,0,543,474,70,775,368,314,4,8,0,1948,818,628,56.6,2020-2021
Villarreal,29,38.0,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,49.6,29,38.0,78,4,2,496,424,76,777,416,324,7,13,3,1917,496,489,50.4,2020-2021
Alavés,32,38.0,111,7,3,621,432,61,562,392,346,5,15,0,1766,905,712,56.0,32,38.0,87,3,2,472,573,92,695,329,347,7,6,0,1939,712,905,44.0,2019-2020
Athletic Club,26,38.0,90,2,0,522,436,84,754,373,324,4,7,2,1911,912,683,57.2,26,38.0,89,0,0,475,491,71,737,327,313,6,10,1,1861,683,912,42.8,2019-2020
Atlético Madrid,30,38.0,93,3,2,513,479,116,574,412,406,6,4,3,1950,827,723,53.4,30,38.0,113,4,1,506,474,34,728,384,355,3,8,1,1869,723,827,46.6,2019-2020
Barcelona,28,38.0,92,6,3,416,529,83,417,342,323,3,7,0,1874,455,364,55.6,28,38.0,89,4,2,563,387,68,560,525,361,4,6,2,1824,364,455,44.4,2019-2020
Betis,27,38.0,108,9,3,473,577,84,624,302,299,6,11,1,1709,579,558,50.9,27,38.0,111,5,3,610,430,125,708,364,374,8,8,0,1723,558,579,49.1,2019-2020
Celta Vigo,30,38.0,104,6,3,473,527,70,636,396,357,6,5,0,1905,650,659,49.7,30,38.0,119,5,2,571,444,66,783,384,348,3,9,0,1982,659,650,50.3,2019-2020
Eibar,26,38.0,92,3,2,538,411,73,870,430,338,5,6,1,2039,974,1091,47.2,26,38.0,70,2,2,451,475,121,630,342,331,4,10,1,1931,1091,974,52.8,2019-2020
Espanyol,31,38.0,107,9,6,581,469,65,710,360,364,1,7,2,1927,755,814,48.1,31,38.0,75,6,3,510,539,71,646,367,305,3,4,2,1924,814,755,51.9,2019-2020
Getafe,30,38.0,135,5,2,706,495,106,833,367,341,4,6,2,1947,914,1024,47.2,30,38.0,122,11,4,537,656,143,505,384,292,6,7,1,1948,1024,914,52.8,2019-2020
Granada,27,38.0,109,1,1,590,497,70,670,383,349,3,5,0,1764,748,849,46.8,27,38.0,116,7,3,544,562,75,724,333,302,5,5,2,1837,849,748,53.2,2019-2020
Leganés,29,38.0,127,4,2,591,500,75,771,418,357,4,7,1,1821,778,865,47.4,29,38.0,105,5,2,541,550,68,636,332,339,6,5,0,1846,865,778,52.6,2019-2020
Levante,29,38.0,79,5,4,468,460,81,697,331,288,5,7,2,1913,504,555,47.6,29,38.0,96,1,1,495,440,86,854,321,349,5,5,2,1969,555,504,52.4,2019-2020
Mallorca,32,38.0,93,5,4,509,526,58,682,376,338,8,16,1,1867,634,729,46.5,32,38.0,118,4,4,565,465,54,737,383,393,12,10,1,1962,729,634,53.5,2019-2020
Osasuna,31,38.0,110,6,3,551,410,80,755,417,361,2,5,0,2056,874,869,50.1,31,38.0,83,4,2,453,515,120,666,406,316,3,8,0,2071,869,874,49.9,2019-2020
Real Madrid,26,38.0,82,4,3,487,474,84,776,381,355,11,2,0,2047,521,411,55.9,26,38.0,87,1,0,509,456,64,621,374,352,2,11,1,1851,411,521,44.1,2019-2020
Real Sociedad,27,38.0,79,2,2,501,489,78,719,320,321,2,9,1,1892,815,710,53.4,27,38.0,101,7,5,528,458,95,590,409,359,5,5,2,1880,710,815,46.6,2019-2020
Sevilla,26,38.0,97,1,1,522,480,92,880,346,344,4,4,1,2069,746,695,51.8,26,38.0,100,5,2,516,486,66,606,430,380,2,7,1,1883,695,746,48.2,2019-2020
Valencia,28,38.0,80,8,3,416,543,100,677,360,311,6,9,1,1778,553,601,47.9,28,38.0,90,4,3,568,386,57,826,372,288,5,8,1,1914,601,553,52.1,2019-2020
Valladolid,30,38.0,84,0,0,484,530,81,645,390,327,6,8,0,1964,618,764,44.7,30,38.0,95,4,2,575,450,46,781,300,331,5,6,1,1958,764,618,55.3,2019-2020
Villarreal,25,38.0,78,1,0,483,422,71,619,339,323,10,9,2,1894,536,622,46.3,25,38.0,84,5,4,456,449,90,838,369,337,7,11,1,1921,622,536,53.7,2019-2020
Alavés,26,38.0,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,49.3,26,38.0,93,2,0,525,528,91,800,364,330,3,3,0,2010,890,864,50.7,2018-2019
Athletic Club,27,38.0,120,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,56.1,27,38.0,106,2,2,522,554,79,654,355,402,4,7,2,1965,723,923,43.9,2018-2019
Atlético Madrid,29,38.0,103,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,53.5,29,38.0,95,3,2,477,448,21,692,436,383,3,4,2,2037,586,675,46.5,2018-2019
Barcelona,30,38.0,77,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,55.2,30,38.0,102,5,3,572,379,68,578,545,435,1,9,2,1963,365,449,44.8,2018-2019
Betis,25,38.0,89,1,0,435,548,79,590,361,378,5,5,0,1804,463,467,49.8,25,38.0,123,7,4,585,418,101,594,424,392,4,7,1,1852,467,463,50.2,2018-2019
Celta Vigo,28,38.0,84,6,5,458,484,90,659,382,377,3,7,1,1904,663,611,52.0,28,38.0,89,2,1,515,436,78,745,361,379,7,7,1,1905,611,663,48.0,2018-2019
Eibar,25,38.0,82,2,1,521,390,92,1057,368,424,5,4,1,2272,996,1018,49.5,25,38.0,76,2,1,428,482,162,518,474,393,3,8,0,2105,1018,996,50.5,2018-2019
Espanyol,25,38.0,92,2,2,531,510,84,544,408,394,3,8,2,1935,591,582,50.4,25,38.0,111,6,5,540,504,78,822,420,382,6,4,5,1978,582,591,49.6,2018-2019
Getafe,26,38.0,111,7,4,642,501,102,638,453,358,4,7,2,2029,836,948,46.9,26,38.0,109,5,3,529,588,117,594,342,389,4,6,1,2076,948,836,53.1,2018-2019
Girona,26,38.0,83,4,2,537,527,60,743,432,367,3,8,2,1974,749,756,49.8,26,38.0,116,7,3,551,509,74,747,407,366,7,6,0,2036,756,749,50.2,2018-2019
Huesca,30,38.0,114,3,1,579,442,94,771,440,452,5,9,3,2029,740,762,49.3,30,38.0,86,4,3,466,553,109,692,374,399,8,7,0,2043,762,740,50.7,2018-2019
Leganés,29,38.0,106,4,2,542,398,75,744,432,382,3,4,1,1942,914,721,55.9,29,38.0,90,3,1,428,515,58,737,351,342,3,5,1,1896,721,914,44.1,2018-2019
Levante,26,38.0,112,7,5,501,487,85,674,422,372,6,9,2,1969,469,571,45.1,26,38.0,92,7,3,511,474,72,747,397,480,7,7,3,2046,571,469,54.9,2018-2019
Rayo Vallecano,29,38.0,106,8,5,567,455,71,783,433,422,5,11,1,1996,535,587,47.7,29,38.0,73,3,1,481,536,140,722,371,491,9,5,1,2047,587,535,52.3,2018-2019
Real Madrid,27,38.0,83,6,4,446,545,112,762,373,395,8,8,0,1957,479,434,52.5,27,38.0,93,3,3,568,417,91,533,449,397,5,9,2,1929,434,479,47.5,2018-2019
Real Sociedad,30,38.0,82,4,2,492,544,92,627,425,344,7,3,2,2021,699,651,51.8,30,38.0,107,3,2,570,463,73,743,390,478,3,10,1,2060,651,699,48.2,2018-2019
Sevilla,27,38.0,118,6,4,536,462,111,812,365,408,5,7,0,2050,651,724,47.3,27,38.0,99,3,2,494,513,93,662,444,396,4,6,2,1912,724,651,52.7,2018-2019
Valencia,25,38.0,90,3,2,463,514,75,715,418,384,6,8,2,2016,596,621,49.0,25,38.0,113,4,4,540,432,70,781,448,377,4,7,1,2026,621,596,51.0,2018-2019
Valladolid,28,38.0,92,0,0,521,521,96,804,387,441,6,9,1,1967,595,854,41.1,28,38.0,106,5,5,561,490,65,801,395,347,6,7,1,2050,854,595,58.9,2018-2019
Villarreal,26,38.0,118,3,3,518,412,95,618,390,413,3,5,3,1914,613,629,49.4,26,38.0,84,2,0,443,495,87,820,439,359,4,6,2,1948,629,613,50.6,2018-2019
