Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Goals GA_for,Goals PKA_for,Goals FK_for,Goals CK_for,Goals OG_for,Expected PSxG_for,Expected PSxG/SoT_for,Expected PSxG+/-_for,Expected /90_for,Launched Cmp_for,Launched Att_for,Launched Cmp%_for,Passes Att (GK)_for,Passes Thr_for,Passes Launch%_for,Passes AvgLen_for,Goal Kicks Att_for,Goal Kicks Launch%_for,Goal Kicks AvgLen_for,Crosses Opp_for,Crosses Stp_for,Crosses Stp%_for,Sweeper #OPA_for,Sweeper #OPA/90_for,Sweeper AvgDist_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Goals GA_against,Goals PKA_against,Goals FK_against,Goals CK_against,Goals OG_against,Expected PSxG_against,Expected PSxG/SoT_against,Expected PSxG+/-_against,Expected /90_against,Launched Cmp_against,Launched Att_against,Launched Cmp%_against,Passes Att (GK)_against,Passes Thr_against,Passes Launch%_against,Passes AvgLen_against,Goal Kicks Att_against,Goal Kicks Launch%_against,Goal Kicks AvgLen_against,Crosses Opp_against,Crosses Stp_against,Crosses Stp%_against,Sweeper #OPA_against,Sweeper #OPA/90_against,Sweeper AvgDist_against,Season
Leganés,2,38.0,56,7,1,10,3,59.1,0.31,6.1,0.16,237,885,26.8,868,132,64.4,47.2,363,89.8,64.7,709,56,7.9,53,1.39,14.5,2,38.0,39,5,1,3,1,38.5,0.28,0.5,0.01,148,402,36.8,895,189,31.8,32.8,255,45.9,39.9,382,26,6.8,55,1.45,16.4,2024-2025
Mallorca,2,38.0,44,3,0,4,1,47.4,0.28,4.4,0.11,239,614,38.9,925,144,49.0,36.4,355,45.4,38.1,638,23,3.6,27,0.71,12.9,2,38.0,35,4,0,5,1,37.4,0.3,3.4,0.09,131,416,31.5,801,162,33.6,35.3,280,52.5,41.8,580,39,6.7,44,1.16,14.5,2024-2025
Osasuna,2,38.0,52,7,1,4,1,57.4,0.28,6.4,0.17,296,649,45.6,978,143,44.9,37.6,309,68.0,48.3,538,33,6.1,86,2.26,19.7,2,38.0,48,9,2,6,2,41.2,0.27,-4.8,-0.13,128,413,31.0,885,167,31.4,33.0,285,47.4,40.5,615,26,4.2,34,0.89,14.2,2024-2025
Rayo Vallecano,2,38.0,45,6,0,6,1,45.7,0.26,1.7,0.04,203,640,31.7,1032,150,47.2,38.2,319,48.0,40.6,532,37,7.0,39,1.03,14.4,2,38.0,41,0,1,6,3,37.3,0.23,-0.7,-0.02,176,543,32.4,960,173,39.8,37.4,340,47.4,40.4,595,31,5.2,41,1.08,13.4,2024-2025
Real Madrid,3,38.0,38,3,0,7,1,35.9,0.28,-1.1,-0.03,84,258,32.6,960,205,19.9,28.2,279,24.0,29.3,416,19,4.6,27,0.71,10.7,3,38.0,78,10,2,8,0,67.5,0.24,-10.5,-0.28,174,521,33.4,810,149,44.1,39.5,315,52.1,42.1,437,25,5.7,52,1.37,15.3,2024-2025
Real Sociedad,2,38.0,46,5,0,5,0,41.5,0.26,-4.5,-0.12,187,493,37.9,1072,122,31.8,32.6,271,56.1,44.8,467,30,6.4,43,1.13,14.4,2,38.0,35,4,1,3,1,33.0,0.24,-1.0,-0.03,209,636,32.9,965,118,48.5,39.8,302,55.6,44.6,552,30,5.4,38,1.0,15.0,2024-2025
Sevilla,2,38.0,55,5,3,4,1,48.1,0.29,-5.9,-0.15,155,587,26.4,1061,146,43.4,34.3,264,47.7,39.4,513,27,5.3,43,1.13,16.5,2,38.0,42,2,0,4,3,42.7,0.27,3.7,0.1,148,478,31.0,927,147,34.1,33.9,315,51.4,42.7,488,29,5.9,57,1.5,15.9,2024-2025
Valencia,2,38.0,54,6,0,4,3,50.5,0.3,-0.5,-0.01,156,521,29.9,925,159,39.4,40.5,286,54.9,43.2,523,36,6.9,54,1.42,25.7,2,38.0,44,5,0,6,1,43.2,0.34,0.2,0.01,194,495,39.2,967,149,37.5,36.1,280,47.1,39.9,579,46,7.9,50,1.32,13.6,2024-2025
Valladolid,3,38.0,90,7,2,5,1,74.5,0.35,-14.5,-0.38,202,550,36.7,1042,167,35.6,33.8,360,49.7,41.0,580,39,6.7,38,1.0,10.4,3,38.0,26,5,2,2,0,27.9,0.24,1.9,0.05,143,404,35.4,838,166,33.2,34.0,229,55.0,45.1,531,31,5.8,52,1.37,15.9,2024-2025
Villarreal,2,38.0,51,7,2,6,1,44.4,0.25,-5.6,-0.15,122,339,36.0,834,207,29.4,28.2,296,31.8,30.8,579,34,5.9,36,0.95,11.9,2,38.0,71,5,0,6,2,64.5,0.34,-4.5,-0.12,218,497,43.9,968,155,35.2,35.1,332,47.0,39.7,506,32,6.3,53,1.4,15.0,2024-2025
Alavés,2,38.0,46,8,0,4,2,44.8,0.25,0.8,0.02,315,778,40.5,886,125,62.2,41.7,335,67.8,48.4,530,29,5.5,37,0.97,15.2,2,38.0,36,3,0,5,3,43.1,0.26,10.1,0.27,193,497,38.8,1023,203,32.7,33.2,338,47.9,40.8,584,38,6.5,29,0.76,12.4,2023-2024
Almería,3,38.0,75,6,0,8,0,70.3,0.32,-4.7,-0.12,181,615,29.4,1115,180,39.5,24.1,330,53.0,41.7,629,29,4.6,47,1.24,22.7,3,38.0,43,2,0,1,1,46.2,0.28,4.2,0.11,204,568,35.9,992,158,39.7,35.2,302,57.6,44.6,503,35,7.0,43,1.13,15.0,2023-2024
Athletic Club,2,38.0,37,1,0,2,4,40.4,0.28,7.4,0.2,238,728,32.7,1050,164,48.0,32.4,272,82.4,59.3,491,33,6.7,49,1.29,15.3,2,38.0,61,3,0,6,2,59.7,0.34,0.7,0.02,216,576,37.5,1189,170,34.4,33.3,306,54.6,43.4,651,32,4.9,45,1.18,15.0,2023-2024
Atlético Madrid,1,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,725,180,27.2,31.5,298,46.6,39.0,579,36,6.2,22,0.58,11.8,1,38.0,70,5,0,4,2,65.7,0.3,-2.3,-0.06,194,535,36.3,1020,160,38.5,36.1,297,47.8,40.8,476,34,7.1,42,1.11,14.0,2023-2024
Barcelona,2,38.0,44,2,0,1,0,41.6,0.28,-2.4,-0.06,113,216,52.3,1076,161,14.7,26.3,255,22.7,27.9,450,15,3.3,36,0.95,15.6,2,38.0,79,6,2,9,3,73.1,0.3,-2.9,-0.08,251,737,34.1,960,152,53.2,41.0,328,68.9,50.2,515,36,7.0,45,1.19,14.2,2023-2024
Betis,3,38.0,45,7,3,3,3,47.5,0.26,5.5,0.15,180,510,35.3,1022,167,35.2,30.6,279,53.8,42.6,541,38,7.0,42,1.11,12.6,3,38.0,48,2,1,5,2,40.5,0.25,-5.5,-0.15,199,532,37.4,1055,152,37.5,33.8,279,48.7,40.4,483,31,6.4,33,0.87,12.9,2023-2024
Cádiz,2,38.0,55,2,0,6,1,51.7,0.3,-2.3,-0.06,364,910,40.0,991,123,62.8,49.3,342,84.2,60.7,617,60,9.7,45,1.18,7.0,2,38.0,26,3,1,4,1,32.8,0.25,7.8,0.21,203,523,38.8,871,179,41.2,37.5,304,53.9,42.2,602,41,6.8,47,1.24,15.3,2023-2024
Celta Vigo,2,38.0,57,6,0,7,3,56.0,0.31,2.0,0.05,176,494,35.6,811,182,38.3,35.5,312,58.7,45.4,556,28,5.0,36,0.95,13.3,2,38.0,46,3,0,3,1,50.4,0.3,5.4,0.14,202,559,36.1,958,141,41.0,36.4,299,55.5,42.8,504,29,5.8,59,1.55,15.9,2023-2024
Getafe,2,38.0,54,5,0,7,0,55.2,0.29,1.2,0.03,341,915,37.3,977,124,66.6,39.2,322,82.0,56.2,463,18,3.9,62,1.63,10.7,2,38.0,42,6,0,6,0,48.1,0.27,6.1,0.16,193,611,31.6,1204,194,38.0,34.9,280,55.0,44.3,559,38,6.8,31,0.82,13.5,2023-2024
Girona,1,38.0,46,5,0,8,0,51.0,0.28,5.0,0.13,155,420,36.9,1074,178,27.1,30.0,312,41.3,37.9,534,41,7.7,33,0.87,13.2,1,38.0,85,7,0,7,1,73.2,0.37,-10.8,-0.28,234,555,42.2,921,146,41.8,37.2,299,56.9,44.6,525,32,6.1,45,1.18,15.2,2023-2024
Granada,4,38.0,79,5,0,12,2,70.2,0.33,-6.8,-0.18,231,626,36.9,1096,185,40.1,35.7,293,63.8,47.9,536,33,6.2,52,1.37,17.3,4,38.0,38,5,0,1,3,37.5,0.25,2.5,0.07,220,610,36.1,1057,154,41.9,36.9,271,61.6,46.6,508,34,6.7,42,1.11,14.4,2023-2024
Las Palmas,2,38.0,47,5,0,5,3,51.2,0.29,7.2,0.19,146,473,30.9,1733,204,23.3,27.3,265,26.4,27.1,545,30,5.5,100,2.63,17.8,2,38.0,33,3,1,4,0,37.2,0.26,4.2,0.11,231,627,36.8,1046,154,45.4,37.3,263,57.8,45.9,429,23,5.4,68,1.79,17.6,2023-2024
Mallorca,3,38.0,44,4,1,4,1,43.6,0.26,0.6,0.02,333,824,40.4,981,128,61.0,33.0,332,68.1,51.3,520,34,6.5,29,0.76,7.0,3,38.0,33,1,0,10,0,34.1,0.25,1.1,0.03,211,611,34.5,955,162,45.3,38.3,273,65.2,47.4,589,44,7.5,52,1.37,14.5,2023-2024
Osasuna,2,38.0,56,1,0,8,0,51.8,0.33,-4.2,-0.11,329,771,42.7,1071,119,55.2,42.5,308,58.4,43.4,537,30,5.6,58,1.53,24.8,2,38.0,45,4,0,7,0,42.5,0.3,-2.5,-0.07,175,538,32.5,1024,189,37.1,35.1,304,52.0,42.5,641,28,4.4,52,1.37,15.7,2023-2024
Rayo Vallecano,2,38.0,48,1,1,5,2,47.8,0.31,1.8,0.05,170,613,27.7,915,176,46.3,39.4,320,59.1,47.8,534,23,4.3,40,1.05,14.6,2,38.0,29,6,1,3,0,43.4,0.23,14.4,0.38,245,640,38.3,1122,148,40.6,35.8,332,55.4,45.1,526,29,5.5,45,1.18,15.4,2023-2024
Real Madrid,3,38.0,26,1,0,2,1,34.4,0.29,9.4,0.25,79,210,37.6,952,177,17.1,25.2,291,16.2,24.3,487,35,7.2,38,1.0,12.2,3,38.0,87,2,0,9,2,73.2,0.29,-11.8,-0.31,181,508,35.6,928,189,36.1,35.0,322,53.7,43.3,468,21,4.5,28,0.74,12.5,2023-2024
Real Sociedad,2,38.0,39,6,0,5,1,40.8,0.27,2.8,0.07,192,465,41.3,1099,116,31.8,37.0,199,58.3,45.6,410,19,4.6,58,1.53,20.1,2,38.0,51,4,2,7,3,49.5,0.32,1.5,0.04,269,777,34.6,1090,107,52.2,40.9,331,62.8,47.1,519,30,5.8,30,0.79,13.8,2023-2024
Sevilla,3,38.0,54,5,1,4,2,53.4,0.28,1.4,0.04,224,613,36.5,920,182,43.8,39.4,288,72.9,53.4,520,31,6.0,32,0.84,13.5,3,38.0,48,2,0,10,2,51.1,0.31,5.1,0.13,170,501,33.9,871,168,36.9,35.3,348,51.7,42.1,727,28,3.9,38,1.0,13.8,2023-2024
Valencia,3,38.0,45,3,1,7,2,51.4,0.29,8.4,0.22,191,696,27.4,883,148,58.2,29.1,275,66.2,49.9,561,46,8.2,32,0.84,8.3,3,38.0,40,8,0,1,1,42.4,0.27,3.4,0.09,236,535,44.1,1101,147,35.0,34.5,260,57.7,46.1,441,33,7.5,58,1.53,15.4,2023-2024
Villarreal,2,38.0,65,6,1,9,1,61.7,0.27,-2.3,-0.06,150,378,39.7,1015,190,26.8,30.2,354,29.9,29.8,688,35,5.1,36,0.95,5.3,2,38.0,65,5,0,8,1,61.0,0.33,-3.0,-0.08,195,551,35.4,1005,136,41.0,36.2,246,56.5,44.0,478,27,5.6,52,1.37,15.2,2023-2024
Almería,3,38.0,65,4,1,5,1,63.4,0.29,-0.6,-0.01,204,572,35.7,990,220,39.2,36.9,356,51.7,42.6,642,40,6.2,28,0.74,12.4,3,38.0,49,2,1,11,0,43.2,0.27,-5.8,-0.15,187,493,37.9,931,166,36.8,35.4,267,56.2,45.0,453,36,7.9,50,1.32,16.4,2022-2023
Athletic Club,2,38.0,43,3,1,1,3,37.2,0.29,-2.8,-0.07,171,452,37.8,925,187,30.9,30.5,264,62.9,48.3,451,29,6.4,50,1.32,15.4,2,38.0,47,5,1,2,1,52.0,0.28,6.0,0.16,271,721,37.6,1128,211,44.9,37.7,363,59.0,46.8,703,44,6.3,43,1.13,13.5,2022-2023
Atlético Madrid,3,38.0,33,4,1,5,0,36.3,0.26,3.3,0.09,166,525,31.6,812,165,39.8,34.1,334,60.5,46.3,575,48,8.3,26,0.68,9.2,3,38.0,70,1,0,8,2,62.5,0.32,-5.5,-0.14,199,468,42.5,1002,189,33.1,34.2,298,45.6,40.7,497,32,6.4,66,1.74,15.6,2022-2023
Barcelona,2,38.0,20,3,0,2,3,25.1,0.22,8.1,0.21,169,338,50.0,1216,190,22.3,25.2,223,30.0,32.5,375,18,4.8,43,1.13,16.5,2,38.0,70,0,0,4,1,63.6,0.34,-5.4,-0.14,287,724,39.6,923,149,52.2,41.2,387,62.5,47.0,561,26,4.6,50,1.32,15.5,2022-2023
Betis,2,38.0,41,3,1,7,1,44.0,0.29,4.0,0.1,229,635,36.1,956,149,44.0,39.6,315,67.9,49.1,582,22,3.8,43,1.13,12.1,2,38.0,46,8,1,5,3,48.6,0.27,5.6,0.15,186,449,41.4,944,160,33.3,33.5,271,49.8,42.6,400,17,4.3,37,0.97,16.7,2022-2023
Cádiz,2,38.0,53,9,1,7,0,53.4,0.22,0.4,0.01,270,829,32.6,916,150,59.1,46.4,322,89.4,64.2,651,44,6.8,30,0.79,13.6,2,38.0,30,4,0,1,1,32.7,0.26,3.7,0.1,219,518,42.3,948,194,36.7,34.5,323,52.6,42.6,519,39,7.5,55,1.45,15.3,2022-2023
Celta Vigo,2,38.0,53,5,1,10,1,42.9,0.27,-9.1,-0.24,184,506,36.4,934,171,37.5,35.3,289,54.0,43.9,509,22,4.3,39,1.03,18.1,2,38.0,43,2,0,3,2,42.7,0.25,1.7,0.04,208,523,39.8,950,142,37.8,36.3,279,58.8,45.2,559,29,5.2,26,0.68,12.5,2022-2023
Elche,2,38.0,67,7,0,6,2,71.9,0.31,6.9,0.18,195,442,44.1,819,175,33.8,34.9,318,51.9,40.9,600,22,3.7,21,0.55,14.0,2,38.0,30,4,0,7,0,33.4,0.23,3.4,0.09,202,487,41.5,898,133,34.7,34.0,284,61.6,46.4,581,26,4.5,29,0.76,13.1,2022-2023
Espanyol,4,38.0,69,5,1,9,2,54.5,0.27,-12.5,-0.33,305,659,46.3,865,122,49.7,36.2,347,66.0,48.0,557,27,4.8,46,1.21,13.8,4,38.0,52,5,0,9,1,50.2,0.29,-0.8,-0.02,199,501,39.7,937,195,35.9,35.2,310,53.2,42.2,542,38,7.0,33,0.87,13.4,2022-2023
Getafe,1,38.0,45,4,0,7,2,45.5,0.23,2.5,0.07,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,1.21,15.0,1,38.0,34,5,2,2,0,36.4,0.25,2.4,0.06,217,582,37.3,1110,169,39.1,36.2,250,59.2,46.4,512,32,6.3,51,1.34,16.6,2022-2023
Girona,2,38.0,55,6,2,5,0,62.0,0.33,7.0,0.18,169,464,36.4,1075,192,28.4,28.7,329,48.3,41.9,597,43,7.2,59,1.55,16.9,2,38.0,58,8,0,3,3,51.2,0.25,-3.8,-0.1,219,563,38.9,925,133,41.3,36.9,292,62.0,47.7,568,27,4.8,37,0.97,14.8,2022-2023
Mallorca,3,38.0,43,6,0,3,0,41.5,0.24,-1.5,-0.04,351,841,41.7,950,130,61.9,35.2,338,74.9,54.0,657,35,5.3,21,0.55,17.4,3,38.0,37,4,0,7,1,32.3,0.25,-3.7,-0.1,156,454,34.4,857,183,34.1,33.8,235,68.9,50.0,486,32,6.6,37,0.97,13.9,2022-2023
Osasuna,2,38.0,42,1,1,3,2,39.1,0.26,-0.9,-0.02,342,789,43.3,1084,145,53.4,41.1,315,66.7,50.8,534,30,5.6,57,1.5,16.3,2,38.0,37,4,0,4,1,36.6,0.24,0.6,0.02,197,564,34.9,1096,178,35.7,34.4,325,53.2,43.6,649,45,6.9,49,1.29,15.1,2022-2023
Rayo Vallecano,2,38.0,53,4,0,11,4,45.9,0.3,-3.1,-0.08,154,545,28.3,834,204,44.5,30.3,310,56.1,46.5,512,24,4.7,54,1.42,17.0,2,38.0,45,4,2,4,4,38.0,0.21,-3.0,-0.08,253,634,39.9,1048,159,41.1,37.5,329,61.7,47.8,622,26,4.2,51,1.34,17.6,2022-2023
Real Madrid,2,38.0,36,4,0,2,1,34.2,0.22,-0.8,-0.02,97,241,40.2,1108,230,17.7,27.7,253,17.8,25.0,420,33,7.9,51,1.34,15.4,2,38.0,75,9,3,9,2,67.6,0.27,-5.4,-0.14,237,594,39.9,864,152,42.8,38.1,351,63.8,48.2,448,27,6.0,21,0.55,12.2,2022-2023
Real Sociedad,1,38.0,35,1,1,3,2,32.8,0.24,-0.2,0.0,244,572,42.7,1062,138,40.9,35.9,244,56.6,46.2,453,18,4.0,47,1.24,15.9,1,38.0,51,2,1,4,4,53.4,0.29,6.4,0.17,221,736,30.0,1144,158,46.7,39.4,301,67.1,49.9,422,29,6.9,40,1.05,16.1,2022-2023
Sevilla,2,38.0,54,2,1,5,3,49.5,0.3,-1.5,-0.04,218,629,34.7,1143,136,38.0,30.9,307,63.5,49.3,524,32,6.1,49,1.29,17.4,2,38.0,47,4,0,7,0,43.2,0.28,-3.8,-0.1,202,590,34.2,991,176,40.7,36.3,327,57.2,44.2,649,28,4.3,39,1.03,13.8,2022-2023
Valencia,1,38.0,45,2,0,7,2,42.9,0.28,-0.1,0.0,177,522,33.9,806,142,42.7,35.1,276,64.5,48.1,457,35,7.7,47,1.24,16.3,1,38.0,42,5,1,3,2,46.9,0.28,6.9,0.18,217,594,36.5,951,159,44.0,37.7,323,54.5,44.8,701,42,6.0,35,0.92,12.8,2022-2023
Valladolid,3,38.0,63,6,1,0,1,62.6,0.28,0.6,0.02,192,553,34.7,963,170,38.3,25.7,358,51.4,41.9,563,20,3.6,33,0.87,33.0,3,38.0,33,3,0,4,1,34.2,0.22,2.2,0.06,250,605,41.3,902,152,43.6,37.8,323,65.6,49.9,527,18,3.4,45,1.18,17.1,2022-2023
Villarreal,3,38.0,40,4,0,4,1,43.7,0.27,4.7,0.12,114,330,34.5,1159,191,21.7,22.8,293,26.6,29.1,548,37,6.8,45,1.18,13.3,3,38.0,59,4,1,5,2,60.0,0.29,3.0,0.08,233,548,42.5,850,148,42.9,37.8,300,61.0,47.4,394,22,5.6,41,1.08,14.9,2022-2023
Alavés,3,38.0,65,6,0,10,0,58.5,0.3,-6.5,-0.17,369,783,47.1,808,96,64.6,53.3,351,74.4,50.9,619,26,4.2,48,1.26,17.6,3,38.0,31,6,0,6,2,32.0,0.22,3.0,0.08,221,604,36.6,1038,176,43.4,36.9,277,55.2,42.2,585,31,5.3,48,1.26,16.2,2021-2022
Athletic Club,2,38.0,36,3,0,2,1,36.9,0.26,1.9,0.05,158,402,39.3,748,201,35.4,33.8,269,50.9,41.7,577,30,5.2,41,1.08,15.2,2,38.0,43,3,1,7,3,47.5,0.26,7.5,0.2,320,765,41.8,1144,172,48.8,39.8,322,64.3,48.4,622,26,4.2,56,1.47,15.9,2021-2022
Atlético Madrid,1,38.0,43,7,2,4,3,32.3,0.23,-7.7,-0.2,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,0.76,13.8,1,38.0,65,4,0,7,2,59.5,0.36,-3.5,-0.09,213,542,39.3,927,139,39.7,36.1,341,51.0,42.6,552,25,4.5,28,0.74,14.1,2021-2022
Barcelona,2,38.0,38,2,1,7,0,34.1,0.26,-3.9,-0.1,147,289,50.9,1167,165,18.8,26.9,240,29.2,32.3,384,15,3.9,38,1.0,15.3,2,38.0,68,6,0,5,0,61.0,0.3,-7.0,-0.18,291,728,40.0,975,131,51.7,39.8,362,61.9,45.1,626,25,4.0,37,0.97,14.2,2021-2022
Betis,2,38.0,40,3,0,3,2,39.1,0.27,1.1,0.03,201,547,36.7,962,157,41.4,33.1,275,54.2,43.9,592,24,4.1,41,1.08,15.7,2,38.0,62,6,2,5,2,53.1,0.26,-6.9,-0.18,226,537,42.1,902,158,42.5,36.5,284,54.2,43.2,424,14,3.3,43,1.13,15.8,2021-2022
Cádiz,1,38.0,51,11,0,10,0,52.8,0.24,1.8,0.05,272,792,34.3,840,119,63.3,46.0,313,83.1,60.2,586,42,7.2,28,0.74,12.1,1,38.0,35,3,1,2,0,40.2,0.29,5.2,0.14,235,501,46.9,893,184,36.7,33.8,308,56.2,44.9,687,47,6.8,61,1.61,15.0,2021-2022
Celta Vigo,1,38.0,43,4,0,1,2,43.3,0.27,2.3,0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3,1,38.0,43,3,0,2,0,44.4,0.28,1.4,0.04,255,623,40.9,914,146,46.9,39.1,282,68.8,48.2,608,23,3.8,43,1.13,14.8,2021-2022
Elche,2,38.0,52,7,0,6,0,54.5,0.27,2.5,0.07,257,626,41.1,966,183,42.1,36.4,346,63.3,45.9,616,25,4.1,56,1.47,15.2,2,38.0,40,1,0,3,1,33.0,0.3,-6.0,-0.16,186,445,41.8,794,136,40.2,35.9,244,51.6,42.5,529,25,4.7,58,1.53,17.3,2021-2022
Espanyol,3,38.0,53,4,0,4,2,53.6,0.3,2.6,0.07,171,466,36.7,897,221,35.1,33.8,337,44.8,36.9,662,38,5.7,48,1.26,13.7,3,38.0,40,5,1,7,1,37.3,0.24,-1.7,-0.05,191,389,49.1,792,149,32.6,33.1,266,49.2,40.3,458,19,4.1,35,0.92,14.4,2021-2022
Getafe,2,38.0,41,2,0,5,1,40.9,0.29,0.9,0.02,366,869,42.1,892,101,69.5,61.0,294,84.7,54.2,576,26,4.5,45,1.18,5.0,2,38.0,33,3,0,4,2,29.4,0.21,-1.6,-0.04,199,497,40.0,969,185,37.7,35.1,248,53.2,43.0,471,26,5.5,50,1.32,17.0,2021-2022
Granada,2,38.0,61,7,0,7,2,60.2,0.27,1.2,0.03,267,818,32.6,922,162,57.7,44.0,380,75.3,52.0,615,32,5.2,64,1.68,16.1,2,38.0,44,3,0,11,1,37.5,0.26,-5.5,-0.14,200,544,36.8,880,143,41.3,36.7,314,57.6,45.2,530,23,4.3,43,1.13,15.1,2021-2022
Levante,4,38.0,76,5,1,13,0,65.9,0.3,-10.1,-0.27,155,460,33.7,821,151,42.1,36.6,309,36.9,34.6,532,19,3.6,47,1.24,15.6,4,38.0,51,8,0,3,0,55.3,0.28,4.3,0.11,214,585,36.6,938,170,43.4,37.3,300,59.3,45.1,485,34,7.0,50,1.32,15.5,2021-2022
Mallorca,4,38.0,63,6,1,5,4,53.8,0.3,-5.2,-0.14,244,595,41.0,787,130,52.4,39.4,312,58.7,43.5,576,17,3.0,20,0.53,12.6,4,38.0,36,6,0,5,3,42.8,0.27,9.8,0.26,192,519,37.0,894,139,40.6,37.0,273,57.1,43.8,440,22,5.0,51,1.34,17.0,2021-2022
