Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Unnamed: 3_level_0 90s_for,Touches Touches_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries TotDist_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Poss_against,Unnamed: 3_level_0 90s_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Touches Live_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against,Season
Athletic Club,27,49.8,38.0,22845,1965,6376,10617,6083,901,22839,743,338,45.5,349,47.0,12487,65998,34507,735,528,193,571,366,14367,1596,27,50.2,38.0,23484,2691,8965,10228,4515,674,23479,707,330,46.7,305,43.1,12385,62315,30852,521,413,127,636,276,14757,1281,2023-2024
Atlético Madrid,27,50.8,38.0,24749,2368,7880,11405,5662,954,24743,567,297,52.4,227,40.0,14402,72549,38491,758,546,181,533,303,16931,1580,27,49.2,38.0,24093,2473,7087,11377,5862,780,24091,734,344,46.9,327,44.6,13383,68637,34692,648,485,140,585,327,16293,1533,2023-2024
Barcelona,29,64.3,38.0,28717,2191,7360,14262,7313,1077,28710,826,384,46.5,338,40.9,17768,96311,54148,964,728,262,605,305,21296,1911,29,35.7,38.0,17756,2590,6676,7139,4146,710,17754,583,280,48.0,243,41.7,8889,47244,23635,487,364,162,466,328,10372,982,2023-2024
Betis,35,50.4,38.0,23335,2339,7497,10512,5555,886,23332,793,386,48.7,329,41.5,13053,68844,34142,676,495,186,626,427,15184,1424,35,49.6,38.0,23260,2492,7590,10639,5269,717,23252,744,325,43.7,358,48.1,12459,67077,34583,649,532,144,556,334,15032,1440,2023-2024
Cádiz,34,43.3,38.0,19166,2242,6375,8425,4551,570,19163,537,230,42.8,263,49.0,9664,52345,25428,456,422,76,571,343,10662,996,34,56.7,38.0,24061,2102,7017,10887,6383,796,24059,807,387,48.0,342,42.4,13220,72327,38991,787,604,170,628,330,15630,1662,2023-2024
Celta Vigo,31,46.1,38.0,22062,2314,7084,9675,5538,818,22057,646,295,45.7,291,45.0,12540,63894,32693,660,489,162,600,336,13773,1332,31,53.9,38.0,25210,2323,7202,12448,5778,865,25201,726,354,48.8,308,42.4,14322,73397,36692,651,474,161,604,319,16825,1517,2023-2024
Getafe,33,44.8,38.0,19243,2020,5619,8971,4848,684,19236,552,239,43.3,261,47.3,9360,49101,24618,439,385,122,576,281,10603,1124,33,55.2,38.0,22993,2488,8205,10305,4717,750,22986,640,286,44.7,291,45.5,12328,64824,32570,599,404,146,629,317,14334,1309,2023-2024
Girona,25,56.9,38.0,25780,2695,8432,11583,5985,977,25772,745,353,47.4,297,39.9,16055,90323,46626,894,599,234,584,376,18610,1673,25,43.1,38.0,20464,2336,6616,8688,5391,863,20457,575,247,43.0,274,47.7,11743,61564,30974,610,486,160,492,270,13251,1269,2023-2024
Granada,40,45.6,38.0,20152,2413,7720,8677,3997,667,20144,658,303,46.0,296,45.0,10969,57198,28813,512,379,112,600,305,12010,1030,40,54.4,38.0,23519,2136,6926,10791,6025,843,23513,687,334,48.6,289,42.1,13379,71262,37550,728,542,175,598,348,15349,1478,2023-2024
Las Palmas,29,59.2,38.0,27041,2667,9077,12876,5282,614,27036,680,316,46.5,308,45.3,15544,71689,36286,577,459,116,645,365,18955,1573,29,40.8,38.0,19855,2120,6381,8981,4703,833,19846,687,328,47.7,305,44.4,10333,56743,28580,584,379,190,566,357,11762,1191,2023-2024
Mallorca,25,45.0,38.0,19767,2279,6620,8961,4390,672,19764,511,251,49.1,219,42.9,9848,53864,26398,498,377,108,566,313,11353,1155,25,55.0,38.0,23564,2063,6405,11512,5867,711,23559,718,317,44.2,340,47.4,13445,72039,37582,663,580,151,616,346,15209,1386,2023-2024
Osasuna,29,47.5,38.0,21181,2147,6244,9526,5586,720,21176,530,237,44.7,247,46.6,10522,54022,25894,501,408,97,540,283,12730,1306,29,52.5,38.0,23425,2440,7860,10580,5164,768,23423,589,274,46.5,243,41.3,13001,66811,34389,646,459,171,692,282,14838,1414,2023-2024
Rayo Vallecano,26,49.4,38.0,21757,2306,7210,9672,5091,669,21751,653,283,43.3,306,46.9,10906,56132,26844,506,368,116,634,373,13171,1327,26,50.6,38.0,21917,2382,7287,9837,5015,770,21915,673,338,50.2,270,40.1,11508,64079,34744,658,446,165,621,360,13403,1351,2023-2024
Real Madrid,27,59.2,38.0,28670,2455,7880,13241,7813,1156,28665,889,401,45.1,393,44.2,18483,97637,52448,950,802,315,480,312,21642,1923,27,40.8,38.0,20983,2668,7335,9155,4702,615,20982,504,236,46.8,225,44.6,12788,66462,33195,583,460,127,502,332,13956,1247,2023-2024
Real Sociedad,31,55.3,38.0,23321,2214,6934,11207,5377,769,23317,681,321,47.1,284,41.7,12972,71091,36540,685,465,175,612,351,15092,1402,31,44.7,38.0,19722,2455,7311,8526,4089,603,19715,619,269,43.5,283,45.7,9987,50358,22681,405,318,99,578,368,11578,936,2023-2024
Sevilla,35,50.3,38.0,22879,2261,7429,10033,5652,746,22877,632,292,46.2,278,44.0,12225,64805,32942,635,447,146,620,280,14506,1406,35,49.7,38.0,22884,2402,7397,10296,5374,787,22879,692,291,42.1,335,48.4,12098,66048,34820,693,492,188,536,362,14675,1469,2023-2024
Valencia,29,44.3,38.0,20444,2323,7222,9012,4440,593,20435,644,276,42.9,294,45.7,10723,56085,28187,522,399,136,582,318,12130,1151,29,55.7,38.0,24786,2064,7654,11522,5816,801,24780,698,309,44.3,309,44.3,14210,70919,35120,621,459,147,635,348,16546,1575,2023-2024
Villarreal,32,49.6,38.0,22729,2879,8003,9685,5250,848,22722,723,351,48.5,329,45.5,12248,68209,34560,654,491,189,570,356,15179,1548,32,50.4,38.0,23143,2172,6893,10048,6441,992,23137,580,272,46.9,260,44.8,13049,69618,35861,734,573,182,516,316,15513,1644,2023-2024
Almería,29,45.1,38.0,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10792,56990,29135,569,433,131,580,281,12047,1080,29,54.9,38.0,23165,1977,6271,10606,6490,1018,23159,711,343,48.2,280,39.4,13816,75540,41267,860,626,236,483,277,15280,1692,2022-2023
Athletic Club,26,51.6,38.0,22737,1978,6159,10166,6645,931,22730,734,347,47.3,305,41.6,12898,70963,39297,864,587,217,554,351,14284,1801,26,48.4,38.0,21997,2875,8384,9237,4606,626,21994,719,320,44.5,322,44.8,12125,62047,30317,549,410,135,600,286,13412,1202,2022-2023
Atlético Madrid,27,50.6,38.0,24417,2414,7790,11103,5714,934,24415,656,322,49.1,262,39.9,13701,67344,35788,730,473,200,486,277,16706,1557,27,49.4,38.0,24043,2425,7018,11697,5530,691,24038,764,351,45.9,334,43.7,14819,75451,38319,729,515,146,540,333,16237,1617,2022-2023
Barcelona,29,64.3,38.0,28424,2020,6759,14000,7894,1154,28422,803,396,49.3,321,40.0,18802,101072,55616,961,785,279,546,326,21144,2169,29,35.7,38.0,17707,2714,6971,7319,3601,547,17704,567,271,47.8,227,40.0,9553,51042,23763,475,342,130,517,295,10227,952,2022-2023
Betis,30,50.6,38.0,22482,2330,7276,10222,5226,718,22473,773,365,47.2,311,40.2,12640,63667,31076,621,492,156,564,353,14568,1259,30,49.4,38.0,21956,2101,6663,9684,5849,785,21952,774,363,46.9,338,43.7,12654,68196,36562,749,606,146,492,327,14098,1553,2022-2023
Cádiz,38,41.9,38.0,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960,38,58.1,38.0,23666,2154,6661,10803,6401,957,23656,746,351,47.1,320,42.9,13832,75623,41624,823,601,187,596,303,15488,1728,2022-2023
Celta Vigo,26,50.2,38.0,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393,26,49.8,38.0,22441,2271,6852,10804,4993,631,22433,747,381,51.0,295,39.5,13039,64525,31897,536,393,137,617,369,14469,1277,2022-2023
Elche,32,45.5,38.0,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11273,60014,29395,561,408,107,577,345,11950,1185,32,54.5,38.0,23458,2067,6449,10874,6360,932,23448,695,323,46.5,280,40.3,13420,72977,39930,737,555,204,588,353,15458,1597,2022-2023
Espanyol,33,43.1,38.0,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135,33,56.9,38.0,23635,2324,7122,10596,6153,936,23629,680,299,44.0,301,44.3,13382,73050,39005,748,549,223,539,351,15672,1619,2022-2023
Getafe,25,39.9,38.0,17948,1980,5769,8366,3993,589,17940,456,217,47.6,189,41.4,8695,41814,20506,365,292,78,504,268,9605,989,25,60.1,38.0,25414,2202,7691,12149,5823,670,25406,714,334,46.8,285,39.9,14672,76145,38243,688,544,138,556,256,16902,1504,2022-2023
Girona,29,51.3,38.0,22398,2619,7919,9753,4932,761,22389,728,341,46.8,311,42.7,13365,73974,38669,725,497,167,467,330,15020,1364,29,48.7,38.0,21779,2166,6541,9479,5968,808,21771,623,288,46.2,244,39.2,12609,66110,34363,677,507,166,467,307,14270,1425,2022-2023
Mallorca,31,41.1,38.0,18171,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,50982,24564,476,341,94,498,302,10356,935,31,58.9,38.0,24505,1788,5800,12118,6813,758,24498,652,298,45.7,283,43.4,15033,80117,44803,795,569,132,561,300,16791,1695,2022-2023
Osasuna,26,48.0,38.0,20888,2287,6397,9352,5331,709,20883,626,313,50.0,247,39.5,11200,58264,28888,545,416,128,590,316,12580,1338,26,52.0,38.0,22253,2493,7751,9410,5318,786,22249,673,322,47.8,266,39.5,12906,68441,35932,680,486,170,586,268,14007,1357,2022-2023
Rayo Vallecano,28,51.2,38.0,21773,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,65376,33507,703,547,131,554,374,13384,1377,28,48.8,38.0,21335,2445,7779,8961,4840,738,21330,765,383,50.1,281,36.7,11197,60030,30078,589,432,165,594,355,12797,1222,2022-2023
Real Madrid,26,60.9,38.0,28884,2415,7782,12859,8463,1151,28872,971,475,48.9,379,39.0,19026,100306,53191,1008,734,338,490,297,21956,2000,26,39.1,38.0,19963,2604,6935,8542,4678,640,19958,617,306,49.6,259,42.0,11794,62135,32008,631,505,140,470,283,12901,1178,2022-2023
Real Sociedad,30,54.6,38.0,23231,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,70912,36738,692,499,187,607,368,15101,1463,30,45.4,38.0,20064,2400,7172,8271,4812,654,20062,681,328,48.2,285,41.9,10456,56751,26955,575,450,130,558,375,12005,1017,2022-2023
Sevilla,35,52.6,38.0,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13544,67136,32550,558,520,122,515,312,15243,1497,35,47.4,38.0,21296,2448,6961,9372,5172,750,21293,661,310,46.9,281,42.5,12175,64880,33009,643,489,160,532,306,13536,1265,2022-2023
Valencia,28,52.0,38.0,21620,2061,6446,9155,6255,822,21612,747,352,47.1,307,41.1,12240,69474,37665,786,630,165,555,338,13469,1457,28,48.0,38.0,20602,2406,7019,9022,4748,680,20597,712,334,46.9,311,43.7,11308,59636,29192,480,378,117,545,367,12455,1209,2022-2023
Valladolid,36,48.7,38.0,20748,2571,7370,9027,4583,638,20744,718,309,43.0,318,44.3,11499,64338,32319,610,451,147,589,316,12521,1233,36,51.3,38.0,21570,2128,6441,9260,6084,980,21560,712,332,46.6,296,41.6,11974,64300,33417,723,531,215,533,375,13506,1474,2022-2023
Villarreal,32,56.9,38.0,23818,2621,7659,10215,6181,911,23811,880,435,49.4,345,39.2,14393,81383,45453,846,570,239,552,343,16363,1617,32,43.1,38.0,19276,2222,6362,8049,5094,744,19272,597,264,44.2,270,45.2,10572,57622,30004,640,480,170,513,308,11928,1226,2022-2023
Alavés,33,42.0,38.0,18371,2222,6215,8104,4235,605,18364,504,271,53.8,233,46.2,8699,42737,20539,420,310,102,616,278,9576,969,33,58.2,38.0,24006,2263,7419,10974,5796,897,23997,638,375,58.8,262,41.1,13155,67162,34846,656,466,159,632,288,15266,1558,2021-2022
Athletic Club,26,48.1,38.0,21254,2066,6214,9532,5722,799,21247,530,297,56.0,232,43.8,10777,57778,30509,653,461,146,569,341,12839,1559,26,51.9,38.0,23145,2686,8299,9724,5338,738,23142,582,358,61.5,224,38.5,13233,61552,29810,586,413,154,626,284,14558,1356,2021-2022
Atlético Madrid,26,50.6,38.0,23038,2006,6787,10729,5702,868,23033,600,383,63.8,217,36.2,12629,65613,34800,705,531,164,555,353,14978,1456,26,49.4,38.0,22840,2520,7416,10829,4797,518,22832,619,326,52.7,293,47.3,12320,62922,31387,495,430,78,587,343,14731,1304,2021-2022
Barcelona,38,64.2,38.0,28778,2236,7093,14319,7567,1055,28771,747,474,63.5,273,36.5,18228,93372,52508,961,704,280,623,358,21334,2059,38,35.2,38.0,18008,2652,7090,7453,3639,576,18005,493,249,50.5,244,49.5,9266,49398,23152,448,287,136,569,343,10357,931,2021-2022
Betis,31,53.7,38.0,23691,2299,7311,10969,5603,826,23685,655,372,56.8,283,43.2,13042,66497,33876,666,482,187,588,364,15573,1501,31,45.9,38.0,21018,2221,6760,9187,5302,736,21015,695,371,53.4,324,46.6,11051,61249,32663,686,469,160,562,338,12921,1356,2021-2022
Cádiz,33,41.3,38.0,18574,2215,6501,7898,4374,646,18568,519,281,54.1,238,45.9,9062,51953,26751,571,382,106,576,291,10039,1063,33,59.1,38.0,24939,2196,6771,12031,6336,803,24926,712,410,57.6,302,42.4,14139,77242,41615,735,581,139,672,345,16592,1789,2021-2022
Celta Vigo,25,55.2,38.0,24789,2272,7479,11772,5737,719,24783,591,346,58.5,244,41.3,13606,72693,38568,665,544,125,572,310,15869,1434,25,44.4,38.0,21082,2265,6965,9473,4873,676,21074,762,476,62.5,286,37.5,10464,53122,25441,547,395,133,679,410,12239,1241,2021-2022
Elche,28,48.4,38.0,20889,2493,7657,9086,4313,498,20888,597,339,56.8,258,43.2,11059,55476,26247,531,403,89,650,330,12844,1087,28,51.6,38.0,22214,1764,6198,10589,5631,834,22205,623,354,56.8,268,43.0,12291,66584,35516,657,488,163,567,321,14181,1463,2021-2022
Espanyol,34,46.9,38.0,20970,2604,7525,9167,4471,581,20965,616,373,60.6,243,39.4,11191,60124,30222,610,468,119,563,331,13239,1196,34,52.9,38.0,23110,1938,6189,10593,6526,976,23105,646,371,57.4,275,42.6,12859,72070,39484,800,567,194,533,282,15370,1679,2021-2022
Getafe,31,41.5,38.0,18658,2003,5988,8734,4125,551,18653,452,242,53.5,210,46.5,9326,44746,20748,399,328,92,603,301,10197,910,31,58.8,38.0,25022,2099,7619,12389,5225,653,25018,594,346,58.2,248,41.8,14196,68698,34864,612,505,111,621,339,16581,1509,2021-2022
Granada,32,44.7,38.0,19055,2401,6704,8239,4287,600,19050,495,270,54.5,225,45.5,9255,49523,24761,435,354,96,588,321,10466,1036,32,66.0,38.0,22987,2120,6813,10236,6130,960,22978,632,358,56.6,274,43.4,12410,63240,33624,706,505,190,644,337,14472,1594,2021-2022
Levante,31,47.2,38.0,20500,2377,7382,8840,4535,719,20487,683,348,51.0,335,49.0,10842,56754,29187,569,405,154,614,302,12487,1334,31,53.1,38.0,22619,2204,6680,10519,5639,842,22613,611,374,61.2,237,38.8,12819,67914,35497,716,561,187,554,321,14569,1437,2021-2022
Mallorca,33,45.3,38.0,19305,2231,6593,8320,4619,647,19298,612,368,60.1,244,39.9,10034,55423,27611,575,449,112,613,404,10923,1110,33,54.9,38.0,22593,2165,6846,10513,5434,804,22585,551,303,55.0,248,45.0,12229,64575,33902,650,495,141,622,359,14251,1358,2021-2022
Osasuna,29,46.9,38.0,20565,2013,6066,9272,5397,697,20557,467,261,55.9,206,44.1,10211,50361,23279,417,358,76,597,309,11775,1313,29,53.3,38.0,23306,2463,7877,10125,5520,747,23299,598,347,58.0,251,42.0,12658,67449,35402,722,527,182,603,326,14488,1309,2021-2022
Rayo Vallecano,28,49.9,38.0,21279,2161,6591,9702,5241,734,21275,639,357,55.9,282,44.1,10829,61444,32089,697,497,151,696,371,12632,1299,28,50.1,38.0,21403,2364,7202,9223,5218,723,21394,688,408,59.3,280,40.7,11305,58159,29428,603,470,154,614,341,12807,1315,2021-2022
Real Madrid,31,59.9,38.0,28389,2399,8154,12038,8430,1198,28377,780,456,58.5,324,41.5,18562,96303,51714,1029,757,330,495,277,21234,2061,31,34.0,38.0,20331,2591,6738,8722,5040,681,20326,502,291,58.0,211,42.0,11747,60712,32279,632,509,147,507,349,13167,1250,2021-2022
Real Sociedad,32,54.3,38.0,23452,2574,7504,10671,5504,851,23442,670,360,53.7,310,46.3,13290,69302,36038,667,546,178,626,391,15188,1447,32,45.3,38.0,20488,2362,6990,8514,5184,665,20482,546,286,52.4,260,47.6,11269,57819,28984,587,471,149,625,326,12202,1191,2021-2022
Sevilla,33,59.4,38.0,25980,2692,8904,11372,5872,742,25977,588,305,51.9,283,48.1,15097,68309,34977,625,517,139,589,326,18197,1580,33,40.2,38.0,19020,2220,6221,8288,4698,685,19016,542,306,56.5,236,43.5,9919,52159,26910,521,423,124,558,298,11202,1174,2021-2022
Valencia,34,43.6,38.0,17905,1994,5790,7525,4822,630,17896,642,360,56.1,282,43.9,9186,52453,27482,554,449,109,656,294,9503,1187,34,56.4,38.0,21974,2234,7262,9584,5338,726,21966,623,357,57.3,266,42.7,11943,61183,31339,597,444,133,663,325,13584,1383,2021-2022
Villarreal,29,56.8,38.0,24258,2439,7743,10778,5950,974,24252,746,450,60.3,296,39.7,14622,78519,42169,790,483,240,570,332,16415,1683,29,43.0,38.0,19595,2370,6846,8101,4842,700,19590,476,247,51.9,229,48.1,10274,56171,27932,583,422,161,521,309,11770,1087,2021-2022
Alavés,30,42.8,38.0,18196,2104,6503,8087,3788,575,18188,468,255,54.5,214,45.7,8984,44443,20934,404,315,104,557,256,10113,926,30,57.3,38.0,23128,2076,6655,10894,5762,716,23124,565,368,65.1,197,34.9,12586,68276,35717,632,488,139,564,302,15191,1461,2020-2021
Athletic Club,27,49.9,38.0,21405,1919,5860,10254,5480,675,21400,501,304,60.7,197,39.3,11148,64935,35153,685,508,147,496,335,13474,1477,27,50.2,38.0,22249,2418,7574,9636,5255,664,22243,515,348,67.6,167,32.4,12503,63220,31400,589,465,121,557,294,14174,1366,2020-2021
Atlético Madrid,25,52.3,38.0,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598,25,47.6,38.0,22889,2326,6949,10656,5476,577,22885,631,335,53.1,296,46.9,12371,66054,32881,557,531,89,516,326,15032,1371,2020-2021
Barcelona,25,65.5,38.0,31975,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,104711,56171,972,930,276,477,341,25054,2144,25,45.0,38.0,18887,2541,6990,8060,4070,606,18882,522,298,57.1,224,42.9,10362,57617,29498,529,402,127,534,275,11631,1027,2020-2021
Betis,25,53.6,38.0,23642,2102,6948,11168,5736,790,23631,638,420,65.8,218,34.2,13276,66794,34503,694,547,172,591,368,15686,1428,25,46.1,38.0,20972,2314,7011,9392,4770,658,20962,556,345,62.1,211,37.9,11164,59828,30800,551,399,127,505,345,13078,1297,2020-2021
