Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Unnamed: 3_level_0 Poss_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Per 90 Minutes Gls_for,Per 90 Minutes Ast_for,Per 90 Minutes G+A_for,Per 90 Minutes G-PK_for,Per 90 Minutes G+A-PK_for,Per 90 Minutes xG_for,Per 90 Minutes xAG_for,Per 90 Minutes xG+xAG_for,Per 90 Minutes npxG_for,Per 90 Minutes npxG+xAG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Unnamed: 3_level_0 Poss_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against,Per 90 Minutes Gls_against,Per 90 Minutes Ast_against,Per 90 Minutes G+A_against,Per 90 Minutes G-PK_against,Per 90 Minutes G+A-PK_against,Per 90 Minutes xG_against,Per 90 Minutes xAG_against,Per 90 Minutes xG+xAG_against,Per 90 Minutes npxG_against,Per 90 Minutes npxG+xAG_against,Season
Betis,35,27.8,50.4,38,418,3420,38.0,46,31,77,44,2,3,87,3,43.9,41.7,32.7,74.4,676,1441,1.21,0.82,2.03,1.16,1.97,1.16,0.86,2.02,1.1,1.96,35,27.0,49.6,38,418,3420,38.0,42,23,65,35,7,8,97,5,50.2,44.0,32.6,76.5,649,1457,1.11,0.61,1.71,0.92,1.53,1.32,0.86,2.18,1.16,2.01,2023-2024
Cádiz,34,28.5,43.3,38,418,3420,38.0,25,17,42,22,3,3,107,7,36.0,33.6,25.2,58.9,456,1017,0.66,0.45,1.11,0.58,1.03,0.95,0.66,1.61,0.88,1.55,34,27.3,56.7,38,418,3420,38.0,54,37,91,52,2,2,97,4,52.3,50.7,40.2,90.9,787,1679,1.42,0.97,2.39,1.37,2.34,1.38,1.06,2.43,1.34,2.39,2023-2024
Celta Vigo,31,26.7,46.1,38,418,3420,38.0,45,35,80,42,3,5,66,5,50.7,46.9,38.2,85.1,660,1345,1.18,0.92,2.11,1.11,2.03,1.34,1.01,2.34,1.23,2.24,31,27.1,53.9,38,418,3420,38.0,54,32,86,48,6,8,89,4,54.6,48.4,35.9,84.3,651,1535,1.42,0.84,2.26,1.26,2.11,1.44,0.95,2.38,1.27,2.22,2023-2024
Getafe,33,27.3,44.8,38,418,3420,38.0,42,27,69,36,6,7,135,10,45.7,40.2,27.9,68.0,439,1141,1.11,0.71,1.82,0.95,1.66,1.2,0.73,1.94,1.06,1.79,33,27.2,55.2,38,418,3420,38.0,54,37,91,49,5,7,105,10,53.8,48.3,38.0,86.3,599,1325,1.42,0.97,2.39,1.29,2.26,1.42,1.0,2.42,1.27,2.27,2023-2024
Girona,25,26.1,56.9,38,418,3420,38.0,84,64,148,77,7,8,75,1,70.8,64.6,54.0,118.6,894,1685,2.21,1.68,3.89,2.03,3.71,1.86,1.42,3.28,1.7,3.12,25,27.2,43.1,38,418,3420,38.0,46,30,76,41,5,7,104,5,54.3,48.9,37.7,86.6,610,1277,1.21,0.79,2.0,1.08,1.87,1.43,0.99,2.42,1.29,2.28,2023-2024
Granada,40,26.7,45.6,38,418,3420,38.0,35,27,62,30,5,8,98,4,42.6,36.4,31.1,67.6,512,1044,0.92,0.71,1.63,0.79,1.5,1.12,0.82,1.94,0.96,1.78,40,27.2,54.4,38,418,3420,38.0,77,54,131,72,5,6,92,5,64.2,59.5,43.8,103.2,728,1490,2.03,1.42,3.45,1.89,3.32,1.69,1.15,2.84,1.57,2.72,2023-2024
Las Palmas,29,25.6,59.2,38,418,3420,38.0,33,23,56,30,3,5,84,5,33.2,29.2,23.3,52.5,577,1596,0.87,0.61,1.47,0.79,1.39,0.87,0.61,1.49,0.77,1.38,29,27.1,40.8,38,418,3420,38.0,44,33,77,39,5,9,97,5,56.6,49.7,41.8,91.4,584,1207,1.16,0.87,2.03,1.03,1.89,1.49,1.1,2.59,1.31,2.41,2023-2024
Mallorca,25,28.7,45.0,38,418,3420,38.0,33,27,60,32,1,3,105,4,40.5,38.2,30.8,69.0,498,1174,0.87,0.71,1.58,0.84,1.55,1.06,0.81,1.87,1.01,1.81,25,27.0,55.0,38,418,3420,38.0,43,29,72,39,4,5,53,1,42.9,39.0,28.5,67.5,663,1399,1.13,0.76,1.89,1.03,1.79,1.13,0.75,1.88,1.03,1.78,2023-2024
Osasuna,29,27.7,47.5,38,418,3420,38.0,45,32,77,41,4,5,78,5,40.5,36.6,28.5,65.1,501,1322,1.18,0.84,2.03,1.08,1.92,1.07,0.75,1.82,0.96,1.71,29,27.1,52.5,38,418,3420,38.0,56,44,100,55,1,2,92,6,49.9,48.5,38.3,86.8,646,1427,1.47,1.16,2.63,1.45,2.61,1.31,1.01,2.32,1.28,2.28,2023-2024
Rayo Vallecano,26,29.4,49.4,38,418,3420,38.0,29,12,41,23,6,6,108,5,42.3,37.7,24.6,62.3,506,1335,0.76,0.32,1.08,0.61,0.92,1.11,0.65,1.76,0.99,1.64,26,26.9,50.6,38,418,3420,38.0,46,36,82,45,1,2,105,7,44.6,43.1,36.3,79.4,658,1371,1.21,0.95,2.16,1.18,2.13,1.17,0.96,2.13,1.13,2.09,2023-2024
Real Madrid,27,27.4,59.2,38,418,3420,38.0,85,66,151,83,2,5,69,4,68.8,65.2,52.5,117.7,950,1935,2.24,1.74,3.97,2.18,3.92,1.81,1.38,3.19,1.71,3.1,27,27.1,40.8,38,418,3420,38.0,25,17,42,24,1,1,95,0,35.4,34.7,26.4,61.1,583,1261,0.66,0.45,1.11,0.63,1.08,0.93,0.69,1.63,0.91,1.61,2023-2024
Real Sociedad,31,25.8,55.3,38,418,3420,38.0,48,36,84,44,4,4,98,2,44.9,41.8,30.7,72.5,685,1414,1.26,0.95,2.21,1.16,2.11,1.18,0.81,1.99,1.1,1.91,31,27.2,44.7,38,418,3420,38.0,38,24,62,32,6,7,100,6,41.3,36.0,24.6,60.5,405,941,1.0,0.63,1.63,0.84,1.47,1.09,0.65,1.73,0.95,1.59,2023-2024
Sevilla,35,28.6,50.3,38,418,3420,38.0,46,30,76,44,2,2,108,4,44.9,43.3,31.7,75.0,635,1416,1.21,0.79,2.0,1.16,1.95,1.18,0.83,2.01,1.14,1.97,35,27.2,49.7,38,418,3420,38.0,52,40,92,47,5,5,81,3,55.9,52.1,42.0,94.1,693,1483,1.37,1.05,2.42,1.24,2.29,1.47,1.11,2.58,1.37,2.48,2023-2024
Valencia,29,23.8,44.3,38,418,3420,38.0,39,24,63,31,8,9,64,5,43.1,36.2,27.0,63.2,522,1162,1.03,0.63,1.66,0.82,1.45,1.13,0.71,1.85,0.95,1.66,29,27.1,55.7,38,418,3420,38.0,43,31,74,40,3,6,102,5,47.6,42.9,32.8,75.7,621,1587,1.13,0.82,1.95,1.05,1.87,1.25,0.86,2.12,1.13,1.99,2023-2024
Villarreal,32,27.9,49.6,38,418,3420,38.0,64,47,111,59,5,7,110,8,55.6,50.1,40.5,90.6,654,1558,1.68,1.24,2.92,1.55,2.79,1.46,1.07,2.53,1.32,2.38,32,27.1,50.4,38,418,3420,38.0,64,48,112,58,6,6,91,2,58.7,54.0,40.6,94.6,734,1655,1.68,1.26,2.95,1.53,2.79,1.54,1.07,2.61,1.42,2.49,2023-2024
Almería,29,26.4,45.1,38,418,3420,38.0,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,1.29,0.87,2.16,1.24,2.11,1.2,0.85,2.05,1.14,1.99,29,27.6,54.9,38,418,3420,38.0,64,49,113,60,4,6,93,5,62.5,57.8,49.5,107.4,860,1707,1.68,1.29,2.97,1.58,2.87,1.65,1.3,2.95,1.52,2.83,2022-2023
Athletic Club,26,27.4,51.6,38,418,3420,38.0,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,1.21,0.87,2.08,1.08,1.95,1.43,1.02,2.45,1.28,2.31,26,27.3,48.4,38,418,3420,38.0,40,28,68,37,3,3,97,3,36.9,34.5,26.9,61.4,549,1212,1.05,0.74,1.79,0.97,1.71,0.97,0.71,1.68,0.91,1.62,2022-2023
Atlético Madrid,27,28.5,50.6,38,418,3420,38.0,68,51,119,67,1,1,92,8,61.9,61.1,48.0,109.1,730,1571,1.79,1.34,3.13,1.76,3.11,1.63,1.26,2.89,1.61,2.87,27,27.0,49.4,38,418,3420,38.0,33,22,55,29,4,5,93,6,41.1,37.2,31.3,68.5,729,1634,0.87,0.58,1.45,0.76,1.34,1.08,0.82,1.9,0.98,1.8,2022-2023
Barcelona,29,25.9,64.3,38,418,3420,38.0,69,56,125,69,0,2,84,6,75.5,74.0,60.1,134.1,961,2182,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53,29,27.4,35.7,38,418,3420,38.0,17,10,27,14,3,3,93,8,33.2,30.8,23.0,53.9,475,955,0.45,0.26,0.71,0.37,0.63,0.87,0.61,1.48,0.81,1.42,2022-2023
Betis,30,28.6,50.6,38,418,3420,38.0,43,26,69,35,8,9,83,15,51.3,44.3,34.6,78.9,621,1272,1.13,0.68,1.82,0.92,1.61,1.35,0.91,2.26,1.17,2.08,30,27.3,49.4,38,418,3420,38.0,40,28,68,37,3,3,99,8,50.0,47.7,37.0,84.7,749,1571,1.05,0.74,1.79,0.97,1.71,1.32,0.97,2.29,1.26,2.23,2022-2023
Cádiz,38,29.1,41.9,38,418,3420,38.0,29,20,49,25,4,5,116,7,41.5,37.7,27.7,65.4,475,969,0.76,0.53,1.29,0.66,1.18,1.09,0.73,1.82,0.99,1.72,38,27.2,58.1,38,418,3420,38.0,53,32,85,44,9,10,100,11,61.6,53.8,38.4,92.3,823,1739,1.39,0.84,2.24,1.16,2.0,1.62,1.01,2.63,1.42,2.43,2022-2023
Celta Vigo,26,26.7,50.2,38,418,3420,38.0,41,31,72,39,2,3,85,6,42.6,40.3,30.8,71.1,704,1403,1.08,0.82,1.89,1.03,1.84,1.12,0.81,1.93,1.06,1.87,26,27.6,49.8,38,418,3420,38.0,52,35,87,47,5,8,112,9,45.4,39.2,30.5,69.7,536,1297,1.37,0.92,2.29,1.24,2.16,1.2,0.8,2.0,1.03,1.83,2022-2023
Elche,32,28.3,45.5,38,418,3420,38.0,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,0.79,0.55,1.34,0.68,1.24,0.99,0.71,1.7,0.88,1.6,32,27.3,54.5,38,418,3420,38.0,65,44,109,58,7,10,83,8,70.0,62.1,48.7,110.9,737,1615,1.71,1.16,2.87,1.53,2.68,1.84,1.28,3.13,1.64,2.92,2022-2023
Espanyol,33,27.6,43.1,38,418,3420,38.0,51,31,82,46,5,5,99,10,48.3,44.4,35.0,79.4,528,1146,1.34,0.82,2.16,1.21,2.03,1.27,0.92,2.19,1.17,2.09,33,27.6,56.9,38,418,3420,38.0,67,47,114,62,5,6,111,8,59.8,55.3,44.6,99.8,748,1634,1.76,1.24,3.0,1.63,2.87,1.57,1.17,2.75,1.45,2.63,2022-2023
Getafe,25,27.4,39.9,38,418,3420,38.0,34,21,55,29,5,8,126,9,36.7,30.4,22.5,53.0,365,1003,0.89,0.55,1.45,0.76,1.32,0.96,0.59,1.56,0.8,1.39,25,27.5,60.1,38,418,3420,38.0,43,29,72,39,4,8,91,7,46.0,39.8,31.0,70.8,688,1519,1.13,0.76,1.89,1.03,1.79,1.21,0.82,2.03,1.05,1.86,2022-2023
Girona,29,26.0,51.3,38,418,3420,38.0,55,41,96,47,8,9,92,3,50.6,43.8,37.5,81.3,725,1378,1.45,1.08,2.53,1.24,2.32,1.33,0.99,2.32,1.15,2.14,29,27.2,48.7,38,418,3420,38.0,55,39,94,49,6,8,91,5,54.9,48.6,38.6,87.2,677,1439,1.45,1.03,2.47,1.29,2.32,1.44,1.02,2.46,1.28,2.29,2022-2023
Mallorca,31,27.7,41.1,38,418,3420,38.0,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,0.95,0.71,1.66,0.84,1.55,0.93,0.7,1.62,0.82,1.52,31,27.4,58.9,38,418,3420,38.0,43,31,74,37,6,7,94,4,46.4,41.0,31.8,72.8,795,1706,1.13,0.82,1.95,0.97,1.79,1.22,0.84,2.06,1.08,1.92,2022-2023
Osasuna,26,27.5,48.0,38,418,3420,38.0,36,30,66,32,4,5,93,7,39.8,35.9,28.4,64.3,545,1356,0.95,0.79,1.74,0.84,1.63,1.05,0.75,1.8,0.94,1.69,26,27.4,52.0,38,418,3420,38.0,40,29,69,39,1,4,81,9,45.7,42.5,34.8,77.3,680,1371,1.05,0.76,1.82,1.03,1.79,1.2,0.92,2.12,1.12,2.03,2022-2023
Rayo Vallecano,28,27.9,51.2,38,418,3420,38.0,41,29,70,37,4,8,90,6,43.9,37.8,30.0,67.8,703,1390,1.08,0.76,1.84,0.97,1.74,1.16,0.79,1.95,0.99,1.78,28,27.2,48.8,38,418,3420,38.0,49,34,83,45,4,5,93,7,50.3,46.6,36.8,83.4,589,1231,1.29,0.89,2.18,1.18,2.08,1.32,0.97,2.29,1.23,2.2,2022-2023
Real Madrid,26,27.4,60.9,38,418,3420,38.0,73,56,129,64,9,12,72,3,75.5,66.1,56.8,122.9,1008,2017,1.92,1.47,3.39,1.68,3.16,1.99,1.49,3.48,1.74,3.23,26,27.3,39.1,38,418,3420,38.0,35,21,56,31,4,5,97,7,38.9,35.0,27.8,62.8,631,1189,0.92,0.55,1.47,0.82,1.37,1.02,0.73,1.76,0.92,1.65,2022-2023
Real Sociedad,30,25.9,54.6,38,418,3420,38.0,47,36,83,45,2,4,90,2,52.9,49.7,39.7,89.4,692,1483,1.24,0.95,2.18,1.18,2.13,1.39,1.04,2.44,1.31,2.35,30,27.5,45.4,38,418,3420,38.0,33,26,59,32,1,2,98,10,33.0,31.5,24.8,56.3,575,1025,0.87,0.68,1.55,0.84,1.53,0.87,0.65,1.52,0.83,1.48,2022-2023
Sevilla,35,28.7,52.6,38,418,3420,38.0,47,31,78,43,4,5,121,13,46.3,42.4,32.0,74.5,558,1513,1.24,0.82,2.05,1.13,1.95,1.22,0.84,2.06,1.12,1.96,35,27.3,47.4,38,418,3420,38.0,51,40,91,49,2,3,95,8,54.2,51.8,42.0,93.7,643,1275,1.34,1.05,2.39,1.29,2.34,1.43,1.1,2.53,1.36,2.47,2022-2023
Valencia,28,24.2,52.0,38,418,3420,38.0,40,23,63,35,5,8,93,8,49.3,43.0,32.5,75.5,786,1472,1.05,0.61,1.66,0.92,1.53,1.3,0.86,2.15,1.13,1.99,28,27.5,48.0,38,418,3420,38.0,43,34,77,41,2,5,127,10,43.5,39.7,32.3,72.0,480,1225,1.13,0.89,2.03,1.08,1.97,1.14,0.85,1.99,1.04,1.89,2022-2023
Valladolid,36,27.4,48.7,38,418,3420,38.0,32,24,56,29,3,4,94,6,38.5,35.4,28.4,63.7,610,1244,0.84,0.63,1.47,0.76,1.39,1.01,0.75,1.76,0.93,1.68,36,27.4,51.3,38,418,3420,38.0,62,46,108,56,6,10,66,2,65.2,57.5,46.7,104.2,723,1486,1.63,1.21,2.84,1.47,2.68,1.71,1.23,2.94,1.51,2.74,2022-2023
